Mapping parameters for Oxycheilinus orientalis (Oriental maori wrasse)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51 |  61 |  71 |  77 |  81,
Bounding Box (NSWE): ,30,-15,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,17,45,80
Temperature (°C),1,22.16,26.62,29.27,33.47
Salinity (psu),1,31.13,32.51,34.98,38.83
Primary Production (mgC·m-3·day-1) ,1,0.09,1.09,13.75,31.17
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,31.5,88.49,206.07,306.08
Distance to Land (km),0,9,19,133,424
 

Map data (HSPEC) for predicted occurrences (n = 3532): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Oxycheilinus,orientalis,28.25,-178.25,7217:488:1,0.19
Oxycheilinus,orientalis,26.75,-176.25,7217:466:3,0.09
Oxycheilinus,orientalis,24.25,-166.75,7216:246:2,0.19
Oxycheilinus,orientalis,23.75,-165.75,7216:235:4,0.14
Oxycheilinus,orientalis,23.25,-163.25,7216:133:1,0.07
Oxycheilinus,orientalis,23.25,-162.75,7216:132:2,0.13
Oxycheilinus,orientalis,29.75,-114.25,7211:394:3,0.16
Oxycheilinus,orientalis,29.75,-113.75,7211:393:4,0.13
Oxycheilinus,orientalis,29.75,-113.25,7211:393:3,0.17
Oxycheilinus,orientalis,29.25,-113.25,7211:393:1,0.05
Oxycheilinus,orientalis,29.75,-112.75,7211:392:4,0.19
Oxycheilinus,orientalis,29.25,-112.75,7211:392:2,0.03
Oxycheilinus,orientalis,28.75,-112.75,7211:382:4,0.08
Oxycheilinus,orientalis,28.25,-112.75,7211:382:2,0.11
Oxycheilinus,orientalis,27.75,-112.75,7211:372:4,0.04
Oxycheilinus,orientalis,24.75,-111.75,7211:141:4,0.04
Oxycheilinus,orientalis,24.25,-111.25,7211:141:1,0.05
Oxycheilinus,orientalis,23.75,-111.75,7211:131:4,0.10
Oxycheilinus,orientalis,27.25,-109.75,7210:479:2,0.16
Oxycheilinus,orientalis,23.75,-107.75,7210:237:4,0.05
Oxycheilinus,orientalis,21.75,-105.25,7210:215:3,0.01
Oxycheilinus,orientalis,18.25,-102.25,7110:382:1,0.14
Oxycheilinus,orientalis,15.75,-97.25,7109:457:3,0.17
Oxycheilinus,orientalis,15.75,-93.25,7109:353:3,0.04
Oxycheilinus,orientalis,15.25,-92.75,7109:352:2,0.01
Oxycheilinus,orientalis,14.75,-93.75,7109:143:4,0.11
Oxycheilinus,orientalis,13.25,-90.25,7109:130:1,0.15
Oxycheilinus,orientalis,13.25,-89.75,7108:239:2,0.04
Oxycheilinus,orientalis,12.25,-87.25,7108:227:1,0.01
Oxycheilinus,orientalis,10.25,-84.75,7108:104:2,0.01
Oxycheilinus,orientalis,0.25,-91.75,7009:101:2,0.04
Oxycheilinus,orientalis,0.25,-91.25,7009:101:1,0.16
Oxycheilinus,orientalis,9.75,-84.75,7008:394:4,0.07
Oxycheilinus,orientalis,9.25,-84.75,7008:394:2,0.17
Oxycheilinus,orientalis,9.25,-84.25,7008:394:1,0.05
Oxycheilinus,orientalis,8.75,-84.25,7008:384:3,0.01
Oxycheilinus,orientalis,8.25,-83.75,7008:383:2,0.06
Oxycheilinus,orientalis,8.25,-83.25,7008:383:1,0.04
Oxycheilinus,orientalis,8.25,-82.75,7008:382:2,0.01
Oxycheilinus,orientalis,8.25,-82.25,7008:382:1,0.04
Oxycheilinus,orientalis,7.75,-82.25,7008:372:3,0.09
Oxycheilinus,orientalis,7.75,-81.75,7008:371:4,0.04
Oxycheilinus,orientalis,7.25,-81.75,7008:371:2,0.02
Oxycheilinus,orientalis,8.75,-78.25,7007:488:3,0.07
Oxycheilinus,orientalis,7.75,-79.25,7007:479:3,0.02
Oxycheilinus,orientalis,7.25,-79.75,7007:479:2,0.06
Oxycheilinus,orientalis,-14.25,-170.25,5117:140:1,0.14
Oxycheilinus,orientalis,-14.75,-168.25,5116:248:3,0.17
Oxycheilinus,orientalis,-1.25,-90.25,5009:110:1,0.13
Oxycheilinus,orientalis,-0.75,-90.25,5009:100:3,0.02
Oxycheilinus,orientalis,-0.25,-90.75,5009:100:2,0.05
Oxycheilinus,orientalis,-0.75,-89.75,5008:209:4,0.06
Oxycheilinus,orientalis,-14.75,144.75,3114:144:4,0.14
Oxycheilinus,orientalis,-14.75,139.25,3113:249:3,0.06
Oxycheilinus,orientalis,-13.25,139.25,3113:239:1,0.11
Oxycheilinus,orientalis,-10.25,130.75,3113:100:2,0.14
Oxycheilinus,orientalis,-12.75,44.75,3104:124:4,0.14
Oxycheilinus,orientalis,-8.25,144.25,3014:384:1,0.19
Oxycheilinus,orientalis,-8.75,143.75,3014:383:4,0.08
Oxycheilinus,orientalis,-3.25,143.25,3014:133:1,0.15
Oxycheilinus,orientalis,-3.25,142.75,3014:132:2,0.12
Oxycheilinus,orientalis,-3.25,142.25,3014:132:1,0.12
Oxycheilinus,orientalis,-2.75,141.75,3014:121:4,0.19
Oxycheilinus,orientalis,-2.75,141.25,3014:121:3,0.16
Oxycheilinus,orientalis,-2.75,140.75,3014:120:4,0.11
Oxycheilinus,orientalis,-7.75,138.25,3013:478:3,0.01
Oxycheilinus,orientalis,-7.25,137.75,3013:477:2,0.16
Oxycheilinus,orientalis,-8.75,134.25,3013:384:3,0.06
Oxycheilinus,orientalis,-8.25,134.25,3013:384:1,0.17
Oxycheilinus,orientalis,-2.25,139.75,3013:229:2,0.06
Oxycheilinus,orientalis,-2.25,139.25,3013:229:1,0.06
Oxycheilinus,orientalis,-1.75,138.75,3013:218:4,0.11
Oxycheilinus,orientalis,-1.75,138.25,3013:218:3,0.11
Oxycheilinus,orientalis,-1.25,138.25,3013:218:1,0.09
Oxycheilinus,orientalis,-1.75,137.75,3013:217:4,0.17
Oxycheilinus,orientalis,-1.75,132.25,3013:112:3,0.07
Oxycheilinus,orientalis,-3.75,115.25,3011:235:3,0.13
Oxycheilinus,orientalis,-3.75,114.75,3011:134:4,0.02
Oxycheilinus,orientalis,-3.25,111.25,3011:131:1,0.16
Oxycheilinus,orientalis,-2.75,110.75,3011:120:4,0.08
Oxycheilinus,orientalis,-2.25,110.25,3011:120:1,0.13
Oxycheilinus,orientalis,-1.75,110.25,3011:110:3,0.02
Oxycheilinus,orientalis,-5.75,107.25,3010:457:3,0.13
Oxycheilinus,orientalis,-5.25,106.25,3010:456:1,0.14
Oxycheilinus,orientalis,-4.75,106.25,3010:246:3,0.16
Oxycheilinus,orientalis,-4.25,106.25,3010:246:1,0.10
Oxycheilinus,orientalis,-4.75,105.75,3010:245:4,0.11
Oxycheilinus,orientalis,-4.25,105.75,3010:245:2,0.08
Oxycheilinus,orientalis,-3.25,106.75,3010:236:2,0.12
Oxycheilinus,orientalis,-3.75,105.75,3010:235:4,0.02
Oxycheilinus,orientalis,-2.75,106.25,3010:226:3,0.01
Oxycheilinus,orientalis,-2.25,105.75,3010:225:2,0.13
Oxycheilinus,orientalis,-1.75,109.75,3010:219:4,0.18
Oxycheilinus,orientalis,-1.25,109.75,3010:219:2,0.10
Oxycheilinus,orientalis,-1.75,105.75,3010:215:4,0.16
Oxycheilinus,orientalis,-1.25,105.25,3010:215:1,0.17
Oxycheilinus,orientalis,-0.75,109.25,3010:209:3,0.09
