Mapping parameters for Paralichthys adspersus (Fine flounder)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 87,
Bounding Box (NSWE): ,,-46,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,6,26,50
Temperature (°C),1,13.79,14.77,21.08,25.87
Salinity (psu),1,33.38,33.91,35.09,35.59
Primary Production,1,83,1073,2854,3467
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,1,4,97,197
 

Map data (HSPEC) for predicted occurrences (n = 165): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Paralichthys,adspersus,-8.25,-79.75,5007:489:2,0.08
Paralichthys,adspersus,-2.25,-80.25,5008:120:1,0.12
Paralichthys,adspersus,-0.75,-89.25,5008:209:3,0.17
Paralichthys,adspersus,-0.75,-89.75,5008:209:4,0.18
Paralichthys,adspersus,-0.25,-90.25,5009:100:1,0.17
Paralichthys,adspersus,-0.25,-90.75,5009:100:2,0.19
Paralichthys,adspersus,-0.75,-90.25,5009:100:3,0.19
Paralichthys,adspersus,-28.75,-71.75,5207:381:4,0.17
Paralichthys,adspersus,-21.25,-81.75,5208:111:2,0.14
Paralichthys,adspersus,-25.75,-84.25,5208:354:3,0.14
Paralichthys,adspersus,-26.25,-80.25,5208:360:1,0.19
Paralichthys,adspersus,-25.75,-86.75,5208:456:4,0.09
Paralichthys,adspersus,-25.25,-87.25,5208:457:1,0.08
Paralichthys,adspersus,-25.75,-89.25,5208:459:3,0.05
Paralichthys,adspersus,-33.75,-77.75,5307:237:4,0.09
Paralichthys,adspersus,-37.25,-73.25,5307:373:1,0.05
Paralichthys,adspersus,-38.25,-73.25,5307:383:1,0.11
Paralichthys,adspersus,-38.25,-73.75,5307:383:2,0.11
Paralichthys,adspersus,-38.75,-73.25,5307:383:3,0.11
Paralichthys,adspersus,-38.75,-73.75,5307:383:4,0.11
Paralichthys,adspersus,0.25,-89.75,7008:209:2,0.09
Paralichthys,adspersus,0.25,-90.25,7009:100:1,0.10
Paralichthys,adspersus,0.75,-90.75,7009:100:4,0.10
Paralichthys,adspersus,0.25,-91.25,7009:101:1,0.14
Paralichthys,adspersus,0.25,-91.75,7009:101:2,0.15
Paralichthys,adspersus,1.75,-91.75,7009:111:4,0.01
Paralichthys,adspersus,-1.25,-80.75,5008:110:2,0.23
Paralichthys,adspersus,-1.75,-80.75,5008:110:4,0.23
Paralichthys,adspersus,-1.25,-81.25,5008:111:1,0.21
Paralichthys,adspersus,-1.75,-81.25,5008:111:3,0.22
Paralichthys,adspersus,-1.25,-89.75,5008:219:2,0.20
Paralichthys,adspersus,-0.75,-90.75,5009:100:4,0.23
Paralichthys,adspersus,-0.25,-91.25,5009:101:1,0.33
