Mapping parameters for Paralichthys aestuarius (Cortez flounder)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77,
Bounding Box (NSWE): ,32,24,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,5,23,44
Temperature (°C),1,18.96,21.39,24.24,25.89
Salinity (psu),1,33.63,34.4,35.4,35.9
Primary Production,1,433.5,1007,1754,2309.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,5,7,71,90
 

Map data (HSPEC) for predicted occurrences (n = 83): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Paralichthys,aestuarius,24.25,-108.25,7210:248:1,0.01
Paralichthys,aestuarius,24.75,-108.25,7210:248:3,0.05
Paralichthys,aestuarius,25.25,-108.25,7210:458:1,0.02
Paralichthys,aestuarius,25.25,-108.75,7210:458:2,0.02
Paralichthys,aestuarius,26.25,-113.25,7211:363:1,0.17
Paralichthys,aestuarius,26.25,-113.75,7211:363:2,0.05
Paralichthys,aestuarius,26.75,-113.25,7211:363:3,0.16
Paralichthys,aestuarius,26.75,-113.75,7211:363:4,0.16
Paralichthys,aestuarius,26.75,-114.25,7211:364:3,0.03
Paralichthys,aestuarius,27.25,-113.75,7211:373:2,0.15
Paralichthys,aestuarius,29.25,-114.75,7211:394:2,0.01
Paralichthys,aestuarius,30.75,-115.75,7311:205:4,0.07
Paralichthys,aestuarius,25.25,-112.75,7211:352:2,0.38
Paralichthys,aestuarius,27.75,-113.75,7211:373:4,0.21
Paralichthys,aestuarius,28.75,-113.75,7211:383:4,0.25
Paralichthys,aestuarius,24.25,-109.75,7210:249:2,0.42
Paralichthys,aestuarius,25.25,-109.25,7210:459:1,0.40
Paralichthys,aestuarius,25.75,-109.25,7210:459:3,0.40
Paralichthys,aestuarius,26.25,-109.25,7210:469:1,0.52
Paralichthys,aestuarius,26.25,-109.75,7210:469:2,0.48
Paralichthys,aestuarius,26.75,-109.25,7210:469:3,0.52
Paralichthys,aestuarius,26.75,-109.75,7210:469:4,0.52
Paralichthys,aestuarius,29.75,-114.25,7211:394:3,0.59
Paralichthys,aestuarius,24.25,-110.25,7211:140:1,0.65
Paralichthys,aestuarius,24.75,-111.75,7211:141:4,0.67
Paralichthys,aestuarius,24.75,-112.25,7211:142:3,0.77
Paralichthys,aestuarius,30.25,-113.25,7311:103:1,0.67
Paralichthys,aestuarius,27.25,-109.75,7210:479:2,0.91
Paralichthys,aestuarius,24.25,-110.75,7211:140:2,0.80
Paralichthys,aestuarius,24.75,-110.25,7211:140:3,0.83
Paralichthys,aestuarius,24.75,-110.75,7211:140:4,0.87
Paralichthys,aestuarius,24.25,-111.25,7211:141:1,1.00
Paralichthys,aestuarius,24.25,-111.75,7211:141:2,0.82
Paralichthys,aestuarius,25.25,-110.75,7211:350:2,0.95
Paralichthys,aestuarius,25.75,-110.75,7211:350:4,0.91
Paralichthys,aestuarius,25.75,-111.25,7211:351:3,1.00
Paralichthys,aestuarius,25.25,-112.25,7211:352:1,0.83
