Mapping parameters for Pseudorhombus tenuirastrum ()

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 71 |  81,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,11,16,20
Temperature (°C),1,17.13,20.23,24.28,27.85
Salinity (psu),1,34.81,35.31,35.96,36.46
Primary Production,1,174,230,769,1037.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,0,1,75,89
 

Map data (HSPEC) for predicted occurrences (n = 400): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pseudorhombus,tenuirastrum,-9.75,142.75,3014:392:4,0.01
Pseudorhombus,tenuirastrum,-9.25,143.25,3014:393:1,0.01
Pseudorhombus,tenuirastrum,-9.25,143.75,3014:393:2,0.01
Pseudorhombus,tenuirastrum,-9.75,143.25,3014:393:3,0.01
Pseudorhombus,tenuirastrum,-9.75,143.75,3014:393:4,0.01
Pseudorhombus,tenuirastrum,-10.25,142.75,3114:102:2,0.04
Pseudorhombus,tenuirastrum,-10.75,142.75,3114:102:4,0.04
Pseudorhombus,tenuirastrum,-10.25,143.25,3114:103:1,0.05
Pseudorhombus,tenuirastrum,-10.25,143.75,3114:103:2,0.05
Pseudorhombus,tenuirastrum,-10.75,143.25,3114:103:3,0.03
Pseudorhombus,tenuirastrum,-10.75,143.75,3114:103:4,0.05
Pseudorhombus,tenuirastrum,-10.25,144.25,3114:104:1,0.02
Pseudorhombus,tenuirastrum,-10.25,144.75,3114:104:2,0.02
Pseudorhombus,tenuirastrum,-10.75,144.25,3114:104:3,0.02
Pseudorhombus,tenuirastrum,-11.25,142.75,3114:112:2,0.02
Pseudorhombus,tenuirastrum,-11.75,142.75,3114:112:4,0.02
Pseudorhombus,tenuirastrum,-11.25,143.25,3114:113:1,0.05
Pseudorhombus,tenuirastrum,-11.25,143.75,3114:113:2,0.05
Pseudorhombus,tenuirastrum,-11.75,143.25,3114:113:3,0.05
Pseudorhombus,tenuirastrum,-11.75,143.75,3114:113:4,0.04
Pseudorhombus,tenuirastrum,-11.25,144.25,3114:114:1,0.05
Pseudorhombus,tenuirastrum,-11.75,144.25,3114:114:3,0.05
Pseudorhombus,tenuirastrum,-12.25,143.25,3114:123:1,0.06
Pseudorhombus,tenuirastrum,-12.25,143.75,3114:123:2,0.06
Pseudorhombus,tenuirastrum,-12.75,143.25,3114:123:3,0.06
Pseudorhombus,tenuirastrum,-12.75,143.75,3114:123:4,0.13
Pseudorhombus,tenuirastrum,-12.25,144.25,3114:124:1,0.13
Pseudorhombus,tenuirastrum,-13.25,143.75,3114:133:2,0.10
Pseudorhombus,tenuirastrum,-13.75,143.75,3114:133:4,0.10
Pseudorhombus,tenuirastrum,-13.25,144.25,3114:134:1,0.10
Pseudorhombus,tenuirastrum,-13.75,144.25,3114:134:3,0.01
Pseudorhombus,tenuirastrum,-13.75,144.75,3114:134:4,0.10
Pseudorhombus,tenuirastrum,-14.25,143.75,3114:143:2,0.09
Pseudorhombus,tenuirastrum,-14.25,144.25,3114:144:1,0.11
Pseudorhombus,tenuirastrum,-14.25,144.75,3114:144:2,0.06
Pseudorhombus,tenuirastrum,-14.75,144.75,3114:144:4,0.12
Pseudorhombus,tenuirastrum,-10.25,149.25,3114:209:1,0.01
Pseudorhombus,tenuirastrum,-10.25,149.75,3114:209:2,0.01
Pseudorhombus,tenuirastrum,-10.75,149.75,3114:209:4,0.01
Pseudorhombus,tenuirastrum,-13.75,146.75,3114:236:4,0.08
Pseudorhombus,tenuirastrum,-14.25,145.25,3114:245:1,0.13
Pseudorhombus,tenuirastrum,-14.25,145.75,3114:245:2,0.13
Pseudorhombus,tenuirastrum,-14.75,145.25,3114:245:3,0.13
Pseudorhombus,tenuirastrum,-14.75,145.75,3114:245:4,0.13
Pseudorhombus,tenuirastrum,-15.25,145.25,3114:455:1,0.14
Pseudorhombus,tenuirastrum,-15.25,145.75,3114:455:2,0.14
Pseudorhombus,tenuirastrum,-15.75,145.25,3114:455:3,0.14
Pseudorhombus,tenuirastrum,-15.75,145.75,3114:455:4,0.14
Pseudorhombus,tenuirastrum,-15.75,149.25,3114:459:3,0.16
Pseudorhombus,tenuirastrum,-16.25,145.25,3114:465:1,0.16
Pseudorhombus,tenuirastrum,-16.25,145.75,3114:465:2,0.16
Pseudorhombus,tenuirastrum,-16.75,145.75,3114:465:4,0.16
Pseudorhombus,tenuirastrum,-16.25,146.25,3114:466:1,0.16
Pseudorhombus,tenuirastrum,-16.75,146.25,3114:466:3,0.16
Pseudorhombus,tenuirastrum,-16.75,146.75,3114:466:4,0.16
Pseudorhombus,tenuirastrum,-16.25,147.75,3114:467:2,0.19
Pseudorhombus,tenuirastrum,-16.75,147.75,3114:467:4,0.19
Pseudorhombus,tenuirastrum,-17.25,145.75,3114:475:2,0.14
Pseudorhombus,tenuirastrum,-17.25,146.25,3114:476:1,0.14
Pseudorhombus,tenuirastrum,-17.25,146.75,3114:476:2,0.14
Pseudorhombus,tenuirastrum,-17.75,146.25,3114:476:3,0.14
