Mapping parameters for Parupeneus moffitti ()

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 71,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,120,131,174,230
Temperature (°C),1,27.95,28.45,28.58,32.78
Salinity (psu),1,34.06,34.56,34.83,35.33
Primary Production,1,154.5,162,175,182.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,24.4,25.4,169.199996948242,366
 

Map data (HSPEC) for predicted occurrences (n = 16): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Parupeneus,moffitti,7.25,126.75,1012:476:2,0.06
Parupeneus,moffitti,7.75,126.75,1012:476:4,0.09
Parupeneus,moffitti,8.25,126.75,1012:486:2,0.08
Parupeneus,moffitti,13.75,124.75,1112:134:4,0.15
Parupeneus,moffitti,10.75,125.75,1112:205:4,0.04
Parupeneus,moffitti,10.25,139.75,1113:209:2,0.18
Parupeneus,moffitti,14.25,124.75,1112:144:2,0.29
Parupeneus,moffitti,15.75,124.25,1112:354:3,0.23
Parupeneus,moffitti,13.75,144.75,1114:134:4,0.57
Parupeneus,moffitti,16.25,146.25,1114:466:1,0.59
Parupeneus,moffitti,14.25,123.75,1112:143:2,0.70
Parupeneus,moffitti,12.75,144.25,1114:124:3,0.61
Parupeneus,moffitti,16.25,145.75,1114:465:2,0.69
Parupeneus,moffitti,13.25,144.25,1114:134:1,0.96
Parupeneus,moffitti,13.25,144.75,1114:134:2,0.96
Parupeneus,moffitti,15.25,145.75,1114:455:2,1.00


Occurrence cells used for creating environmental envelope (n = 5)
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Parupeneus,moffitti,13.25,145.75,1114:235:2,4986,28.57,34.58,172,0,162
Parupeneus,moffitti,13.25,144.75,1114:134:2,1431,28.59,34.54,172,0,25
Parupeneus,moffitti,15.25,145.75,1114:455:2,949,28.49,34.75,165,0,26
Parupeneus,moffitti,15.75,146.75,1114:456:4,4994,28.47,34.81,160,0,174
Parupeneus,moffitti,16.25,145.75,1114:465:2,1902,28.43,34.84,177,0,26
