Mapping parameters for Ilisha fuerthii (Pacific ilisha)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77 |  87,
Bounding Box (NSWE): ,14,-4,-92,-77

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,22.24,22.74,28.86,33.06
Salinity (psu),1,28.92,31.55,35.45,37.72
Primary Production,1,465,476,2067,3603
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,1,2,27,96
 

Map data (HSPEC) for predicted occurrences (n = 129): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Ilisha,fuerthii,-3.75,-80.25,5008:130:3,0.11
Ilisha,fuerthii,10.75,-86.25,7108:206:3,0.12
Ilisha,fuerthii,-2.25,-79.75,5007:229:2,0.20
Ilisha,fuerthii,0.25,-79.75,7007:209:2,0.20
Ilisha,fuerthii,1.75,-78.25,7007:218:3,0.20
Ilisha,fuerthii,2.25,-78.25,7007:228:1,0.20
Ilisha,fuerthii,8.25,-77.75,7007:487:2,0.20
Ilisha,fuerthii,11.25,-86.75,7108:216:2,0.21
Ilisha,fuerthii,-2.25,-80.25,5008:120:1,0.40
Ilisha,fuerthii,-0.25,-90.25,5009:100:1,0.45
Ilisha,fuerthii,3.75,-77.75,7007:237:4,0.46
Ilisha,fuerthii,7.75,-78.75,7007:478:4,0.41
Ilisha,fuerthii,6.25,-77.25,7007:467:1,0.75
Ilisha,fuerthii,6.75,-77.25,7007:467:3,0.75
Ilisha,fuerthii,6.75,-77.75,7007:467:4,0.75
Ilisha,fuerthii,7.25,-77.75,7007:477:2,0.75
Ilisha,fuerthii,7.25,-78.25,7007:478:1,0.75
Ilisha,fuerthii,7.75,-78.25,7007:478:3,0.75
Ilisha,fuerthii,-2.75,-79.75,5007:229:4,1.00
Ilisha,fuerthii,-3.25,-79.75,5007:239:2,0.96
Ilisha,fuerthii,-0.25,-80.25,5008:100:1,1.00
Ilisha,fuerthii,-0.25,-80.75,5008:100:2,1.00
Ilisha,fuerthii,-0.75,-80.25,5008:100:3,1.00
Ilisha,fuerthii,-0.75,-80.75,5008:100:4,1.00
Ilisha,fuerthii,-1.25,-80.75,5008:110:2,1.00
Ilisha,fuerthii,-1.75,-80.75,5008:110:4,1.00
Ilisha,fuerthii,-1.25,-81.25,5008:111:1,1.00
Ilisha,fuerthii,-1.75,-81.25,5008:111:3,1.00
Ilisha,fuerthii,-2.25,-80.75,5008:120:2,1.00
