Mapping parameters for Ilisha africana (West African ilisha)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 34 |  47,
Bounding Box (NSWE): ,17,-7,-17,14

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,2,13,25
Temperature (°C),1,24.46,25.88,27.95,32.15
Salinity (psu),1,29.54,30.54,34.77,36.7
Primary Production,1,64.5,888,2241,3830
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,0.5,9,96,286
 

Map data (HSPEC) for predicted occurrences (n = 190): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Ilisha,africana,-0.25,8.75,3000:208:2,0.08
Ilisha,africana,3.75,6.75,1000:236:4,0.25
Ilisha,africana,-6.25,11.75,3001:361:2,0.32
Ilisha,africana,12.75,-16.25,7101:226:3,0.30
Ilisha,africana,13.25,-15.75,7101:235:2,0.32
Ilisha,africana,13.75,-15.75,7101:235:4,0.20
Ilisha,africana,13.75,-16.25,7101:236:3,0.21
Ilisha,africana,13.75,-16.75,7101:236:4,0.34
Ilisha,africana,3.75,6.25,1000:236:3,0.58
Ilisha,africana,3.25,9.75,1000:239:2,0.56
Ilisha,africana,4.75,6.75,1000:246:4,0.50
Ilisha,africana,4.75,7.25,1000:247:3,0.50
Ilisha,africana,6.75,3.75,1000:363:4,0.50
Ilisha,africana,5.25,5.75,1000:455:2,0.50
Ilisha,africana,5.75,5.75,1000:455:4,0.50
Ilisha,africana,3.25,10.25,1001:130:1,0.45
Ilisha,africana,-6.25,12.25,3001:362:1,0.46
Ilisha,africana,-6.25,12.75,3001:362:2,0.53
Ilisha,africana,4.75,-0.75,7000:140:4,0.42
Ilisha,africana,7.75,-12.25,7001:372:3,0.50
Ilisha,africana,8.75,-12.75,7001:382:4,0.50
Ilisha,africana,10.25,-13.75,7101:103:2,0.50
Ilisha,africana,11.25,-14.75,7101:114:2,0.50
Ilisha,africana,12.25,-14.75,7101:124:2,0.50
Ilisha,africana,10.25,-16.75,7101:206:2,0.42
Ilisha,africana,12.25,-15.25,7101:225:1,0.50
Ilisha,africana,12.25,-15.75,7101:225:2,0.49
Ilisha,africana,13.25,-16.25,7101:236:1,0.42
Ilisha,africana,13.25,-16.75,7101:236:2,0.42
Ilisha,africana,0.25,6.75,1000:206:2,0.68
Ilisha,africana,2.25,9.75,1000:229:2,0.66
Ilisha,africana,2.75,9.75,1000:229:4,0.66
Ilisha,africana,3.25,8.75,1000:238:2,0.66
Ilisha,africana,3.25,9.25,1000:239:1,0.66
Ilisha,africana,3.75,9.25,1000:239:3,0.66
Ilisha,africana,3.75,9.75,1000:239:4,0.64
Ilisha,africana,4.25,9.75,1000:249:2,0.62
Ilisha,africana,6.25,1.25,1000:361:1,0.65
Ilisha,africana,6.25,1.75,1000:361:2,0.79
Ilisha,africana,-1.25,5.75,3000:215:2,0.76
Ilisha,africana,-3.25,9.75,3000:239:2,0.67
Ilisha,africana,-4.25,11.25,3001:141:1,0.64
Ilisha,africana,-4.25,11.75,3001:141:2,0.79
Ilisha,africana,-6.75,12.75,3001:362:4,0.60
Ilisha,africana,5.25,-0.75,7000:350:2,0.72
Ilisha,africana,8.25,-13.75,7001:383:2,0.76
Ilisha,africana,8.75,-14.25,7001:384:3,0.76
Ilisha,africana,9.25,-14.25,7001:394:1,0.73
Ilisha,africana,12.25,-16.25,7101:226:1,0.74
Ilisha,africana,12.25,-16.75,7101:226:2,0.61
Ilisha,africana,12.75,-16.75,7101:226:4,0.61
Ilisha,africana,0.25,9.25,1000:209:1,1.00
Ilisha,africana,0.25,9.75,1000:209:2,1.00
Ilisha,africana,0.75,9.25,1000:209:3,1.00
Ilisha,africana,0.75,9.75,1000:209:4,1.00
Ilisha,africana,1.25,7.25,1000:217:1,0.97
Ilisha,africana,1.75,7.25,1000:217:3,0.93
Ilisha,africana,1.75,7.75,1000:217:4,1.00
Ilisha,africana,1.25,9.25,1000:219:1,1.00
Ilisha,africana,1.25,9.75,1000:219:2,1.00
Ilisha,africana,1.75,9.75,1000:219:4,1.00
Ilisha,africana,3.75,5.75,1000:235:4,0.94
Ilisha,africana,3.25,8.25,1000:238:1,1.00
Ilisha,africana,3.75,8.25,1000:238:3,1.00
Ilisha,africana,3.75,8.75,1000:238:4,1.00
Ilisha,africana,4.25,5.25,1000:245:1,0.92
Ilisha,africana,4.25,5.75,1000:245:2,0.84
Ilisha,africana,4.75,5.25,1000:245:3,1.00
Ilisha,africana,4.75,5.75,1000:245:4,1.00
Ilisha,africana,4.25,6.25,1000:246:1,1.00
Ilisha,africana,4.25,6.75,1000:246:2,1.00
Ilisha,africana,4.25,7.25,1000:247:1,1.00
Ilisha,africana,4.25,7.75,1000:247:2,1.00
Ilisha,africana,4.75,7.75,1000:247:4,1.00
Ilisha,africana,4.25,8.25,1000:248:1,1.00
Ilisha,africana,4.25,8.75,1000:248:2,0.87
Ilisha,africana,4.75,8.25,1000:248:3,1.00
Ilisha,africana,4.75,8.75,1000:248:4,1.00
Ilisha,africana,4.25,9.25,1000:249:1,0.93
Ilisha,africana,5.75,0.25,1000:350:3,0.83
Ilisha,africana,5.75,0.75,1000:350:4,0.83
Ilisha,africana,5.75,1.25,1000:351:3,0.83
Ilisha,africana,5.75,4.75,1000:354:4,1.00
Ilisha,africana,6.25,2.25,1000:362:1,1.00
Ilisha,africana,6.25,2.75,1000:362:2,1.00
Ilisha,africana,6.25,3.25,1000:363:1,1.00
Ilisha,africana,6.25,3.75,1000:363:2,1.00
Ilisha,africana,6.75,3.25,1000:363:3,1.00
Ilisha,africana,6.25,4.25,1000:364:1,1.00
Ilisha,africana,6.25,4.75,1000:364:2,1.00
Ilisha,africana,5.25,5.25,1000:455:1,1.00
Ilisha,africana,5.75,5.25,1000:455:3,1.00
Ilisha,africana,-0.75,8.75,3000:208:4,1.00
Ilisha,africana,-0.25,9.25,3000:209:1,1.00
Ilisha,africana,-0.75,9.25,3000:209:3,1.00
Ilisha,africana,-1.25,8.75,3000:218:2,1.00
Ilisha,africana,-1.25,9.25,3000:219:1,0.97
Ilisha,africana,-1.75,9.25,3000:219:3,1.00
Ilisha,africana,-2.25,9.25,3000:229:1,1.00
Ilisha,africana,-2.25,9.75,3000:229:2,1.00
Ilisha,africana,-2.75,9.25,3000:229:3,1.00
Ilisha,africana,-2.75,9.75,3000:229:4,1.00
Ilisha,africana,-2.75,10.25,3001:120:3,1.00
Ilisha,africana,-3.25,10.25,3001:130:1,1.00
Ilisha,africana,-3.25,10.75,3001:130:2,1.00
Ilisha,africana,-3.75,10.75,3001:130:4,1.00
Ilisha,africana,-3.75,11.25,3001:131:3,1.00
Ilisha,africana,-6.75,11.75,3001:361:4,0.98
Ilisha,africana,-6.75,12.25,3001:362:3,0.81
Ilisha,africana,4.25,-1.75,7000:141:2,0.83
Ilisha,africana,4.75,-1.25,7000:141:3,0.95
Ilisha,africana,4.75,-1.75,7000:141:4,1.00
Ilisha,africana,4.75,-2.25,7000:142:3,1.00
Ilisha,africana,4.75,-2.75,7000:142:4,1.00
Ilisha,africana,4.75,-3.25,7000:143:3,1.00
Ilisha,africana,4.75,-5.25,7000:245:3,1.00
Ilisha,africana,4.75,-5.75,7000:245:4,1.00
Ilisha,africana,4.75,-6.25,7000:246:3,1.00
Ilisha,africana,4.75,-6.75,7000:246:4,1.00
Ilisha,africana,4.25,-7.25,7000:247:1,1.00
Ilisha,africana,4.25,-7.75,7000:247:2,1.00
Ilisha,africana,4.75,-7.25,7000:247:3,1.00
Ilisha,africana,4.75,-7.75,7000:247:4,1.00
Ilisha,africana,4.25,-8.25,7000:248:1,1.00
Ilisha,africana,4.75,-8.25,7000:248:3,1.00
Ilisha,africana,4.75,-8.75,7000:248:4,1.00
Ilisha,africana,5.25,-0.25,7000:350:1,0.99
Ilisha,africana,5.75,-0.25,7000:350:3,0.99
Ilisha,africana,5.25,-1.25,7000:351:1,0.98
Ilisha,africana,5.25,-1.75,7000:351:2,1.00
Ilisha,africana,5.25,-2.75,7000:352:2,1.00
Ilisha,africana,5.25,-3.25,7000:353:1,1.00
Ilisha,africana,5.25,-3.75,7000:353:2,1.00
Ilisha,africana,5.25,-4.25,7000:354:1,1.00
Ilisha,africana,5.25,-4.75,7000:354:2,1.00
Ilisha,africana,5.25,-5.25,7000:455:1,1.00
Ilisha,africana,5.25,-5.75,7000:455:2,1.00
