Mapping parameters for Percophis brasiliensis (Brazilian flathead)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  41 ,
Bounding Box (NSWE): ,-21,-49,-68,-41

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,22,95,200
Temperature (°C),1,5.63,11.45,21.76,24.85
Salinity (psu),1,13.52,30.42,35.9,38.13
Primary Production (mgC·m-3·day-1) ,1,0.43,2.31,37.2,53.53
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,177.14,206.64,279.23,329.84
Distance to Land (km),0,0,14,191,527
 

Map data (HSPEC) for predicted occurrences (n = 508): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Percophis,brasiliensis,-21.75,-41.25,5204:111:3,0.06
Percophis,brasiliensis,-22.75,-44.25,5204:124:3,0.09
Percophis,brasiliensis,-23.25,-41.25,5204:131:1,0.09
Percophis,brasiliensis,-23.75,-41.75,5204:131:4,0.07
Percophis,brasiliensis,-23.75,-42.25,5204:132:3,0.07
Percophis,brasiliensis,-23.75,-42.75,5204:132:4,0.10
Percophis,brasiliensis,-23.75,-43.25,5204:133:3,0.15
Percophis,brasiliensis,-24.25,-43.25,5204:143:1,0.03
Percophis,brasiliensis,-24.25,-43.75,5204:143:2,0.07
Percophis,brasiliensis,-24.25,-44.25,5204:144:1,0.15
Percophis,brasiliensis,-24.75,-44.75,5204:144:4,0.14
Percophis,brasiliensis,-25.25,-44.75,5204:354:2,0.06
Percophis,brasiliensis,-25.75,-45.25,5204:455:3,0.17
Percophis,brasiliensis,-25.25,-48.75,5204:458:2,0.03
Percophis,brasiliensis,-26.75,-46.75,5204:466:4,0.16
Percophis,brasiliensis,-27.25,-46.75,5204:476:2,0.04
Percophis,brasiliensis,-28.25,-47.25,5204:487:1,0.16
Percophis,brasiliensis,-28.75,-47.25,5204:487:3,0.14
Percophis,brasiliensis,-29.25,-47.75,5204:497:2,0.09
Percophis,brasiliensis,-30.25,-48.25,5304:208:1,0.18
Percophis,brasiliensis,-31.25,-51.25,5305:111:1,0.17
Percophis,brasiliensis,-33.25,-50.25,5305:130:1,0.18
Percophis,brasiliensis,-35.25,-56.25,5305:456:1,0.18
Percophis,brasiliensis,-35.75,-56.75,5305:456:4,0.09
Percophis,brasiliensis,-36.25,-56.75,5305:466:2,0.16
Percophis,brasiliensis,-41.75,-57.25,5405:217:3,0.17
Percophis,brasiliensis,-41.25,-62.25,5406:112:1,0.17
Percophis,brasiliensis,-41.25,-62.75,5406:112:2,0.05
Percophis,brasiliensis,-41.75,-63.25,5406:113:3,0.14
Percophis,brasiliensis,-42.75,-65.25,5406:225:3,0.09
Percophis,brasiliensis,-48.25,-60.75,5406:380:2,0.14
Percophis,brasiliensis,-48.75,-60.75,5406:380:4,0.17
Percophis,brasiliensis,-21.25,-41.25,5204:111:1,0.20
Percophis,brasiliensis,-22.75,-41.25,5204:121:3,0.26
Percophis,brasiliensis,-22.75,-42.75,5204:122:4,0.38
Percophis,brasiliensis,-22.75,-43.25,5204:123:3,0.36
Percophis,brasiliensis,-22.75,-43.75,5204:123:4,0.32
Percophis,brasiliensis,-23.25,-41.75,5204:131:2,0.26
Percophis,brasiliensis,-23.25,-42.25,5204:132:1,0.27
Percophis,brasiliensis,-23.25,-42.75,5204:132:2,0.31
Percophis,brasiliensis,-23.25,-43.25,5204:133:1,0.38
Percophis,brasiliensis,-23.25,-43.75,5204:133:2,0.37
Percophis,brasiliensis,-23.75,-43.75,5204:133:4,0.27
Percophis,brasiliensis,-23.25,-44.25,5204:134:1,0.38
Percophis,brasiliensis,-23.25,-44.75,5204:134:2,0.37
Percophis,brasiliensis,-23.75,-44.25,5204:134:3,0.34
Percophis,brasiliensis,-24.25,-44.75,5204:144:2,0.28
Percophis,brasiliensis,-23.25,-45.25,5204:235:1,0.32
Percophis,brasiliensis,-24.75,-45.25,5204:245:3,0.35
Percophis,brasiliensis,-25.25,-45.25,5204:455:1,0.25
Percophis,brasiliensis,-25.25,-45.75,5204:455:2,0.39
Percophis,brasiliensis,-25.75,-45.75,5204:455:4,0.29
Percophis,brasiliensis,-25.75,-46.25,5204:456:3,0.33
Percophis,brasiliensis,-26.25,-46.25,5204:466:1,0.22
Percophis,brasiliensis,-26.25,-46.75,5204:466:2,0.29
Percophis,brasiliensis,-27.25,-47.25,5204:477:1,0.29
Percophis,brasiliensis,-27.75,-47.25,5204:477:3,0.20
Percophis,brasiliensis,-31.25,-49.25,5304:219:1,0.37
Percophis,brasiliensis,-30.25,-50.75,5305:100:2,0.31
Percophis,brasiliensis,-31.25,-51.75,5305:111:2,0.24
Percophis,brasiliensis,-33.75,-50.75,5305:130:4,0.34
Percophis,brasiliensis,-34.75,-51.75,5305:141:4,0.34
Percophis,brasiliensis,-36.25,-57.25,5305:467:1,0.22
Percophis,brasiliensis,-39.75,-61.25,5306:391:3,0.38
Percophis,brasiliensis,-45.25,-59.75,5405:459:2,0.32
Percophis,brasiliensis,-40.25,-61.25,5406:101:1,0.26
Percophis,brasiliensis,-40.75,-61.75,5406:101:4,0.30
Percophis,brasiliensis,-41.25,-61.75,5406:111:2,0.39
Percophis,brasiliensis,-41.75,-62.75,5406:112:4,0.26
Percophis,brasiliensis,-48.75,-61.25,5406:381:3,0.31
Percophis,brasiliensis,-48.75,-61.75,5406:381:4,0.31
Percophis,brasiliensis,-48.25,-62.25,5406:382:1,0.33
Percophis,brasiliensis,-22.25,-41.25,5204:121:1,0.43
Percophis,brasiliensis,-22.25,-41.75,5204:121:2,0.52
Percophis,brasiliensis,-22.75,-41.75,5204:121:4,0.46
Percophis,brasiliensis,-22.75,-42.25,5204:122:3,0.40
Percophis,brasiliensis,-23.75,-44.75,5204:134:4,0.41
Percophis,brasiliensis,-23.75,-45.25,5204:235:3,0.43
Percophis,brasiliensis,-23.75,-45.75,5204:235:4,0.42
Percophis,brasiliensis,-23.75,-46.25,5204:236:3,0.45
Percophis,brasiliensis,-24.25,-45.25,5204:245:1,0.44
Percophis,brasiliensis,-24.25,-45.75,5204:245:2,0.49
Percophis,brasiliensis,-24.75,-45.75,5204:245:4,0.46
Percophis,brasiliensis,-24.25,-46.25,5204:246:1,0.50
Percophis,brasiliensis,-24.25,-46.75,5204:246:2,0.50
Percophis,brasiliensis,-24.75,-46.25,5204:246:3,0.52
Percophis,brasiliensis,-24.75,-46.75,5204:246:4,0.56
Percophis,brasiliensis,-24.25,-47.25,5204:247:1,0.52
Percophis,brasiliensis,-24.75,-47.25,5204:247:3,0.56
Percophis,brasiliensis,-24.75,-47.75,5204:247:4,0.58
Percophis,brasiliensis,-25.25,-46.25,5204:456:1,0.45
Percophis,brasiliensis,-25.25,-46.75,5204:456:2,0.54
Percophis,brasiliensis,-25.75,-46.75,5204:456:4,0.46
Percophis,brasiliensis,-25.75,-47.25,5204:457:3,0.59
Percophis,brasiliensis,-26.25,-47.25,5204:467:1,0.53
Percophis,brasiliensis,-26.75,-47.25,5204:467:3,0.44
Percophis,brasiliensis,-27.75,-47.75,5204:477:4,0.59
Percophis,brasiliensis,-28.25,-47.75,5204:487:2,0.58
Percophis,brasiliensis,-28.75,-47.75,5204:487:4,0.40
Percophis,brasiliensis,-29.25,-48.25,5204:498:1,0.59
Percophis,brasiliensis,-29.75,-48.25,5204:498:3,0.42
Percophis,brasiliensis,-30.75,-48.75,5304:208:4,0.59
Percophis,brasiliensis,-31.25,-50.75,5305:110:2,0.52
Percophis,brasiliensis,-31.75,-51.25,5305:111:3,0.57
Percophis,brasiliensis,-34.75,-55.75,5305:245:4,0.40
Percophis,brasiliensis,-36.25,-54.75,5305:364:2,0.52
Percophis,brasiliensis,-36.75,-54.75,5305:364:4,0.49
Percophis,brasiliensis,-35.25,-55.75,5305:455:2,0.53
Percophis,brasiliensis,-35.75,-56.25,5305:456:3,0.51
Percophis,brasiliensis,-36.75,-55.25,5305:465:3,0.49
Percophis,brasiliensis,-36.25,-56.25,5305:466:1,0.47
Percophis,brasiliensis,-36.75,-56.25,5305:466:3,0.58
Percophis,brasiliensis,-36.75,-56.75,5305:466:4,0.54
Percophis,brasiliensis,-43.75,-59.75,5405:239:4,0.46
Percophis,brasiliensis,-44.25,-59.75,5405:249:2,0.55
Percophis,brasiliensis,-44.75,-59.75,5405:249:4,0.49
Percophis,brasiliensis,-40.25,-61.75,5406:101:2,0.49
Percophis,brasiliensis,-40.75,-61.25,5406:101:3,0.49
Percophis,brasiliensis,-40.75,-64.25,5406:104:3,0.48
Percophis,brasiliensis,-41.75,-62.25,5406:112:3,0.47
Percophis,brasiliensis,-42.25,-63.75,5406:123:2,0.55
Percophis,brasiliensis,-44.75,-66.25,5406:246:3,0.55
Percophis,brasiliensis,-45.75,-60.25,5406:350:3,0.56
Percophis,brasiliensis,-46.25,-60.25,5406:360:1,0.51
Percophis,brasiliensis,-46.75,-60.25,5406:360:3,0.45
Percophis,brasiliensis,-46.75,-60.75,5406:360:4,0.54
Percophis,brasiliensis,-47.25,-60.75,5406:370:2,0.48
Percophis,brasiliensis,-47.25,-61.25,5406:371:1,0.55
Percophis,brasiliensis,-47.75,-61.25,5406:371:3,0.50
Percophis,brasiliensis,-47.75,-61.75,5406:371:4,0.52
Percophis,brasiliensis,-47.75,-62.25,5406:372:3,0.55
Percophis,brasiliensis,-47.75,-62.75,5406:372:4,0.56
Percophis,brasiliensis,-48.25,-61.25,5406:381:1,0.47
Percophis,brasiliensis,-48.25,-61.75,5406:381:2,0.51
Percophis,brasiliensis,-48.25,-62.75,5406:382:2,0.58
Percophis,brasiliensis,-48.75,-62.25,5406:382:3,0.51
Percophis,brasiliensis,-48.75,-62.75,5406:382:4,0.48
Percophis,brasiliensis,-48.75,-63.25,5406:383:3,0.55
Percophis,brasiliensis,-48.75,-63.75,5406:383:4,0.57
Percophis,brasiliensis,-48.75,-64.25,5406:384:3,0.58
Percophis,brasiliensis,-47.25,-66.75,5406:476:2,0.46
Percophis,brasiliensis,-48.25,-65.75,5406:485:2,0.58
Percophis,brasiliensis,-48.75,-65.75,5406:485:4,0.59
Percophis,brasiliensis,-48.25,-66.25,5406:486:1,0.57
Percophis,brasiliensis,-48.75,-66.25,5406:486:3,0.58
Percophis,brasiliensis,-48.75,-66.75,5406:486:4,0.55
Percophis,brasiliensis,-48.75,-67.25,5406:487:3,0.53
Percophis,brasiliensis,-25.25,-47.25,5204:457:1,0.62
Percophis,brasiliensis,-25.25,-47.75,5204:457:2,0.62
Percophis,brasiliensis,-25.75,-47.75,5204:457:4,0.64
Percophis,brasiliensis,-25.25,-48.25,5204:458:1,0.65
Percophis,brasiliensis,-25.75,-48.25,5204:458:3,0.67
Percophis,brasiliensis,-25.75,-48.75,5204:458:4,0.76
Percophis,brasiliensis,-26.25,-47.75,5204:467:2,0.74
Percophis,brasiliensis,-26.75,-47.75,5204:467:4,0.71
Percophis,brasiliensis,-26.25,-48.25,5204:468:1,0.79
Percophis,brasiliensis,-27.25,-47.75,5204:477:2,0.63
Percophis,brasiliensis,-30.25,-48.75,5304:208:2,0.76
Percophis,brasiliensis,-31.75,-49.75,5304:219:4,0.75
Percophis,brasiliensis,-30.75,-50.25,5305:100:3,0.64
Percophis,brasiliensis,-31.75,-51.75,5305:111:4,0.77
Percophis,brasiliensis,-34.25,-52.75,5305:142:2,0.77
Percophis,brasiliensis,-34.75,-53.25,5305:143:3,0.76
Percophis,brasiliensis,-34.75,-53.75,5305:143:4,0.63
Percophis,brasiliensis,-34.75,-54.25,5305:144:3,0.72
Percophis,brasiliensis,-34.75,-54.75,5305:144:4,0.79
Percophis,brasiliensis,-34.75,-55.25,5305:245:3,0.60
Percophis,brasiliensis,-35.25,-53.75,5305:353:2,0.78
Percophis,brasiliensis,-35.75,-54.25,5305:354:3,0.69
Percophis,brasiliensis,-36.25,-54.25,5305:364:1,0.66
Percophis,brasiliensis,-37.75,-54.75,5305:374:4,0.70
Percophis,brasiliensis,-35.25,-55.25,5305:455:1,0.79
Percophis,brasiliensis,-35.75,-55.75,5305:455:4,0.78
Percophis,brasiliensis,-36.25,-55.25,5305:465:1,0.74
Percophis,brasiliensis,-36.25,-55.75,5305:465:2,0.78
Percophis,brasiliensis,-37.25,-55.25,5305:475:1,0.62
Percophis,brasiliensis,-37.25,-55.75,5305:475:2,0.69
Percophis,brasiliensis,-37.25,-57.25,5305:477:1,0.60
Percophis,brasiliensis,-39.75,-55.75,5305:495:4,0.69
Percophis,brasiliensis,-39.25,-61.25,5306:391:1,0.78
Percophis,brasiliensis,-39.25,-61.75,5306:391:2,0.73
Percophis,brasiliensis,-39.25,-62.25,5306:392:1,0.69
Percophis,brasiliensis,-40.25,-56.25,5405:206:1,0.76
Percophis,brasiliensis,-40.75,-56.75,5405:206:4,0.72
Percophis,brasiliensis,-41.25,-57.25,5405:217:1,0.71
Percophis,brasiliensis,-41.75,-57.75,5405:217:4,0.70
Percophis,brasiliensis,-42.25,-58.25,5405:228:1,0.66
Percophis,brasiliensis,-42.75,-58.75,5405:228:4,0.63
Percophis,brasiliensis,-42.75,-59.25,5405:229:3,0.77
Percophis,brasiliensis,-43.25,-59.25,5405:239:1,0.62
Percophis,brasiliensis,-43.25,-59.75,5405:239:2,0.77
Percophis,brasiliensis,-42.25,-63.25,5406:123:1,0.78
Percophis,brasiliensis,-42.75,-64.75,5406:124:4,0.75
Percophis,brasiliensis,-44.25,-60.25,5406:140:1,0.69
Percophis,brasiliensis,-44.75,-60.25,5406:140:3,0.62
Percophis,brasiliensis,-44.75,-60.75,5406:140:4,0.75
Percophis,brasiliensis,-45.25,-60.25,5406:350:1,0.60
Percophis,brasiliensis,-45.25,-60.75,5406:350:2,0.72
Percophis,brasiliensis,-45.75,-60.75,5406:350:4,0.68
Percophis,brasiliensis,-45.75,-61.25,5406:351:3,0.76
Percophis,brasiliensis,-46.25,-60.75,5406:360:2,0.61
Percophis,brasiliensis,-46.25,-61.25,5406:361:1,0.63
Percophis,brasiliensis,-46.25,-61.75,5406:361:2,0.75
Percophis,brasiliensis,-46.75,-61.25,5406:361:3,0.61
Percophis,brasiliensis,-46.75,-61.75,5406:361:4,0.67
Percophis,brasiliensis,-46.75,-62.25,5406:362:3,0.73
Percophis,brasiliensis,-46.75,-62.75,5406:362:4,0.77
Percophis,brasiliensis,-46.75,-63.25,5406:363:3,0.79
Percophis,brasiliensis,-46.75,-64.25,5406:364:3,0.79
Percophis,brasiliensis,-46.75,-64.75,5406:364:4,0.78
Percophis,brasiliensis,-47.25,-61.75,5406:371:2,0.61
Percophis,brasiliensis,-47.25,-62.25,5406:372:1,0.65
Percophis,brasiliensis,-47.25,-62.75,5406:372:2,0.69
Percophis,brasiliensis,-47.25,-63.25,5406:373:1,0.72
Percophis,brasiliensis,-47.25,-63.75,5406:373:2,0.73
Percophis,brasiliensis,-47.75,-63.25,5406:373:3,0.66
