Mapping parameters for Plectropomus areolatus (Squaretail coralgrouper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 |  77 ,
Bounding Box (NSWE): ,31,-25,32,-169

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,3,11,20
Temperature (°C),1,23.63,25.72,29.43,33.63
Salinity (psu),1,28.14,32.61,35.61,38.86
Primary Production (mgC·m-3·day-1) ,1,0.34,1.81,19.4,97.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,93.17,209.47,317.93
Distance to Land (km),0,3,18,164,514
 

Map data (HSPEC) for predicted occurrences (n = 3926): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Plectropomus,areolatus,28.25,-178.25,7217:488:1,0.03
Plectropomus,areolatus,28.25,-177.25,7217:487:1,0.03
Plectropomus,areolatus,27.75,-175.75,7217:475:4,0.05
Plectropomus,areolatus,26.25,-174.25,7217:364:1,0.14
Plectropomus,areolatus,26.25,-173.75,7217:363:2,0.13
Plectropomus,areolatus,26.25,-173.25,7217:363:1,0.11
Plectropomus,areolatus,25.75,-173.25,7217:353:3,0.14
Plectropomus,areolatus,25.75,-171.75,7217:351:4,0.18
Plectropomus,areolatus,25.75,-171.25,7217:351:3,0.12
Plectropomus,areolatus,25.25,-170.25,7217:350:1,0.16
Plectropomus,areolatus,25.75,-169.25,7216:459:3,0.12
Plectropomus,areolatus,16.75,-169.25,7116:469:3,0.16
Plectropomus,areolatus,-23.75,-179.25,5217:239:3,0.12
Plectropomus,areolatus,-23.75,-178.75,5217:238:4,0.11
Plectropomus,areolatus,-15.75,-179.25,5117:459:3,0.11
Plectropomus,areolatus,-15.75,-175.75,5117:455:4,0.10
Plectropomus,areolatus,-19.25,-173.75,5117:393:2,0.14
Plectropomus,areolatus,-18.75,-174.75,5117:384:4,0.11
Plectropomus,areolatus,-18.75,-174.25,5117:384:3,0.15
Plectropomus,areolatus,-18.75,-173.75,5117:383:4,0.11
Plectropomus,areolatus,-15.75,-173.75,5117:353:4,0.18
Plectropomus,areolatus,-14.25,-178.25,5117:248:1,0.12
Plectropomus,areolatus,-14.25,-177.75,5117:247:2,0.08
Plectropomus,areolatus,-14.25,-176.25,5117:246:1,0.10
Plectropomus,areolatus,-14.25,-175.75,5117:245:2,0.10
Plectropomus,areolatus,-13.25,-176.25,5117:236:1,0.17
Plectropomus,areolatus,-12.75,-179.25,5117:229:3,0.18
Plectropomus,areolatus,-14.25,-171.25,5117:141:1,0.13
Plectropomus,areolatus,-14.25,-170.75,5117:140:2,0.08
Plectropomus,areolatus,-13.75,-171.25,5117:131:3,0.14
Plectropomus,areolatus,-11.25,-171.25,5117:111:1,0.10
Plectropomus,areolatus,-24.25,159.75,3215:249:2,0.06
Plectropomus,areolatus,-24.25,159.25,3215:249:1,0.08
Plectropomus,areolatus,-23.75,159.75,3215:239:4,0.15
Plectropomus,areolatus,-23.75,159.25,3215:239:3,0.18
Plectropomus,areolatus,-24.75,153.25,3215:143:3,0.19
Plectropomus,areolatus,-24.25,152.25,3215:142:1,0.01
Plectropomus,areolatus,-23.75,151.75,3215:131:4,0.05
Plectropomus,areolatus,-23.25,151.25,3215:131:1,0.08
Plectropomus,areolatus,-23.25,150.75,3215:130:2,0.01
Plectropomus,areolatus,-22.75,150.75,3215:120:4,0.18
Plectropomus,areolatus,-22.75,149.75,3214:229:4,0.04
Plectropomus,areolatus,-22.25,149.75,3214:229:2,0.16
Plectropomus,areolatus,-20.75,35.25,3203:205:3,0.19
Plectropomus,areolatus,-12.75,177.25,3117:227:3,0.13
Plectropomus,areolatus,-12.25,177.25,3117:227:1,0.15
Plectropomus,areolatus,-11.75,175.75,3117:215:4,0.16
Plectropomus,areolatus,-14.75,168.25,3116:248:3,0.19
Plectropomus,areolatus,-14.25,168.25,3116:248:1,0.18
Plectropomus,areolatus,-17.25,155.75,3115:475:2,0.17
Plectropomus,areolatus,-12.25,137.75,3113:227:2,0.11
Plectropomus,areolatus,-16.25,121.75,3112:361:2,0.11
Plectropomus,areolatus,-19.75,63.75,3106:393:4,0.03
Plectropomus,areolatus,-19.75,63.25,3106:393:3,0.06
Plectropomus,areolatus,-19.75,62.25,3106:392:3,0.03
Plectropomus,areolatus,-19.75,61.75,3106:391:4,0.04
Plectropomus,areolatus,-19.25,61.75,3106:391:2,0.03
Plectropomus,areolatus,-16.25,60.25,3106:360:1,0.05
Plectropomus,areolatus,-12.75,48.25,3104:228:3,0.11
Plectropomus,areolatus,-19.25,35.75,3103:495:2,0.02
Plectropomus,areolatus,-7.25,138.75,3013:478:2,0.18
Plectropomus,areolatus,-3.75,108.25,3010:238:3,0.19
Plectropomus,areolatus,-3.75,107.75,3010:237:4,0.09
Plectropomus,areolatus,30.75,131.25,1313:101:3,0.19
Plectropomus,areolatus,30.75,130.25,1313:100:3,0.10
Plectropomus,areolatus,30.75,129.75,1312:209:4,0.17
Plectropomus,areolatus,30.25,48.25,1304:208:1,0.13
Plectropomus,areolatus,25.25,120.75,1212:350:2,0.12
Plectropomus,areolatus,24.75,123.25,1212:143:3,0.11
Plectropomus,areolatus,24.75,120.25,1212:140:3,0.17
Plectropomus,areolatus,23.75,118.75,1211:238:4,0.08
Plectropomus,areolatus,23.25,118.25,1211:238:1,0.10
Plectropomus,areolatus,22.75,114.75,1211:124:4,0.03
Plectropomus,areolatus,22.75,114.25,1211:124:3,0.02
Plectropomus,areolatus,22.75,113.75,1211:123:4,0.03
Plectropomus,areolatus,21.75,113.75,1211:113:4,0.10
Plectropomus,areolatus,21.75,113.25,1211:113:3,0.10
Plectropomus,areolatus,20.75,108.25,1210:208:3,0.10
Plectropomus,areolatus,20.25,91.75,1209:101:2,0.02
Plectropomus,areolatus,20.75,88.25,1208:208:3,0.06
Plectropomus,areolatus,20.75,87.75,1208:207:4,0.11
Plectropomus,areolatus,20.25,86.75,1208:206:2,0.03
Plectropomus,areolatus,20.25,86.25,1208:206:1,0.18
Plectropomus,areolatus,25.75,55.75,1205:455:4,0.04
Plectropomus,areolatus,25.75,55.25,1205:455:3,0.04
Plectropomus,areolatus,25.25,55.25,1205:455:1,0.11
Plectropomus,areolatus,29.25,50.25,1205:390:1,0.02
Plectropomus,areolatus,28.75,51.25,1205:381:3,0.16
Plectropomus,areolatus,28.25,51.25,1205:381:1,0.02
Plectropomus,areolatus,27.75,52.25,1205:372:3,0.15
Plectropomus,areolatus,27.25,52.75,1205:372:2,0.18
Plectropomus,areolatus,27.75,51.75,1205:371:4,0.05
Plectropomus,areolatus,27.75,51.25,1205:371:3,0.05
Plectropomus,areolatus,27.75,50.25,1205:370:3,0.04
Plectropomus,areolatus,27.25,50.75,1205:370:2,0.12
Plectropomus,areolatus,27.25,50.25,1205:370:1,0.17
Plectropomus,areolatus,26.25,54.25,1205:364:1,0.08
Plectropomus,areolatus,26.75,51.75,1205:361:4,0.02
Plectropomus,areolatus,26.75,51.25,1205:361:3,0.13
Plectropomus,areolatus,26.25,51.75,1205:361:2,0.10
Plectropomus,areolatus,25.75,54.75,1205:354:4,0.08
Plectropomus,areolatus,25.25,54.25,1205:354:1,0.05
Plectropomus,areolatus,25.75,53.25,1205:353:3,0.01
Plectropomus,areolatus,25.25,53.75,1205:353:2,0.01
Plectropomus,areolatus,25.25,53.25,1205:353:1,0.02
Plectropomus,areolatus,25.75,52.25,1205:352:3,0.13
Plectropomus,areolatus,25.25,52.75,1205:352:2,0.08
Plectropomus,areolatus,25.25,52.25,1205:352:1,0.11
Plectropomus,areolatus,25.75,51.75,1205:351:4,0.18
Plectropomus,areolatus,25.25,51.75,1205:351:2,0.17
Plectropomus,areolatus,24.75,54.75,1205:144:4,0.10
Plectropomus,areolatus,24.25,54.25,1205:144:1,0.12
Plectropomus,areolatus,24.75,53.75,1205:143:4,0.01
Plectropomus,areolatus,24.75,53.25,1205:143:3,0.04
Plectropomus,areolatus,24.25,53.75,1205:143:2,0.08
Plectropomus,areolatus,24.25,53.25,1205:143:1,0.06
Plectropomus,areolatus,24.75,52.75,1205:142:4,0.07
Plectropomus,areolatus,24.75,52.25,1205:142:3,0.13
Plectropomus,areolatus,24.25,52.75,1205:142:2,0.13
Plectropomus,areolatus,29.75,48.75,1204:498:4,0.02
Plectropomus,areolatus,29.75,48.25,1204:498:3,0.17
Plectropomus,areolatus,28.25,49.25,1204:489:1,0.16
Plectropomus,areolatus,27.75,49.75,1204:479:4,0.13
Plectropomus,areolatus,28.25,35.25,1203:485:1,0.04
Plectropomus,areolatus,27.75,35.75,1203:475:4,0.10
Plectropomus,areolatus,27.75,35.25,1203:475:3,0.04
Plectropomus,areolatus,27.25,35.75,1203:475:2,0.08
Plectropomus,areolatus,26.75,36.25,1203:466:3,0.15
Plectropomus,areolatus,26.25,36.25,1203:466:1,0.19
Plectropomus,areolatus,26.75,35.75,1203:465:4,0.10
Plectropomus,areolatus,25.75,36.25,1203:456:3,0.16
Plectropomus,areolatus,25.25,35.25,1203:455:1,0.10
Plectropomus,areolatus,29.75,34.75,1203:394:4,0.01
Plectropomus,areolatus,28.25,34.75,1203:384:2,0.01
Plectropomus,areolatus,27.75,34.75,1203:374:4,0.03
Plectropomus,areolatus,27.75,34.25,1203:374:3,0.01
Plectropomus,areolatus,27.25,34.25,1203:374:1,0.02
Plectropomus,areolatus,26.75,34.25,1203:364:3,0.03
Plectropomus,areolatus,26.25,34.25,1203:364:1,0.04
Plectropomus,areolatus,25.75,34.75,1203:354:4,0.06
Plectropomus,areolatus,25.75,34.25,1203:354:3,0.08
Plectropomus,areolatus,25.25,34.75,1203:354:2,0.08
Plectropomus,areolatus,24.75,35.25,1203:245:3,0.11
Plectropomus,areolatus,24.25,35.75,1203:245:2,0.17
Plectropomus,areolatus,24.25,35.25,1203:245:1,0.16
Plectropomus,areolatus,23.75,36.25,1203:236:3,0.19
Plectropomus,areolatus,23.75,35.25,1203:235:3,0.12
Plectropomus,areolatus,24.75,34.75,1203:144:4,0.15
Plectropomus,areolatus,12.25,170.25,1117:120:1,0.12
Plectropomus,areolatus,14.75,169.25,1116:249:3,0.07
Plectropomus,areolatus,14.75,168.75,1116:248:4,0.11
Plectropomus,areolatus,10.25,107.25,1110:207:1,0.08
Plectropomus,areolatus,12.75,102.25,1110:122:3,0.17
Plectropomus,areolatus,12.25,102.25,1110:122:1,0.13
Plectropomus,areolatus,12.75,101.75,1110:121:4,0.15
Plectropomus,areolatus,12.25,100.25,1110:120:1,0.15
Plectropomus,areolatus,15.25,95.75,1109:455:2,0.04
Plectropomus,areolatus,15.25,95.25,1109:455:1,0.03
Plectropomus,areolatus,18.25,94.75,1109:384:2,0.16
