Mapping parameters for Pleuronectes putnami (American smooth flounder)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21,
Bounding Box (NSWE): ,60,41,-71,-50

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,3,10,27
Temperature (°C),1,0.96,3.29,8.82,12.86
Salinity (psu),1,19.44,21.23,31.26,37.04
Primary Production (mgC·m-3·day-1) ,1,4.41,5.83,36.96,45.22
Sea Ice Concentration (0-1 fraction),1,-0.96,0,0.11,0.17
Dissolved Bottom Oxygen (mmol·m-3),0,2.1,211.08,350.73,404.05
Distance to Land (km),0,0,2,19,151
 

Map data (HSPEC) for predicted occurrences (n = 287): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pleuronectes,putnami,44.75,-53.25,7405:143:3,0.14
Pleuronectes,putnami,45.25,-51.75,7405:351:2,0.19
Pleuronectes,putnami,49.75,-58.25,7405:498:3,0.13
Pleuronectes,putnami,42.75,-62.75,7406:122:4,0.05
Pleuronectes,putnami,41.25,-66.75,7406:216:2,0.17
Pleuronectes,putnami,41.75,-67.75,7406:217:4,0.18
Pleuronectes,putnami,41.25,-68.25,7406:218:1,0.04
Pleuronectes,putnami,41.75,-68.25,7406:218:3,0.11
Pleuronectes,putnami,46.75,-61.75,7406:361:4,0.04
Pleuronectes,putnami,46.75,-62.25,7406:362:3,0.03
Pleuronectes,putnami,46.75,-62.75,7406:362:4,0.09
Pleuronectes,putnami,48.75,-67.75,7406:487:4,0.17
Pleuronectes,putnami,49.25,-66.75,7406:496:2,0.18
Pleuronectes,putnami,41.25,-70.75,7407:110:2,0.02
Pleuronectes,putnami,41.75,-70.75,7407:110:4,0.16
Pleuronectes,putnami,55.25,-60.25,7506:350:1,0.15
Pleuronectes,putnami,55.75,-60.75,7506:350:4,0.11
Pleuronectes,putnami,56.25,-61.25,7506:361:1,0.17
Pleuronectes,putnami,56.25,-61.75,7506:361:2,0.14
Pleuronectes,putnami,56.75,-61.25,7506:361:3,0.01
Pleuronectes,putnami,56.75,-61.75,7506:361:4,0.12
Pleuronectes,putnami,56.25,-62.25,7506:362:1,0.06
Pleuronectes,putnami,44.75,-51.25,7405:141:3,0.36
Pleuronectes,putnami,44.75,-51.75,7405:141:4,0.20
Pleuronectes,putnami,45.75,-50.75,7405:350:4,0.30
Pleuronectes,putnami,45.75,-51.25,7405:351:3,0.34
Pleuronectes,putnami,49.75,-53.25,7405:393:3,0.32
Pleuronectes,putnami,46.75,-56.25,7405:466:3,0.38
Pleuronectes,putnami,48.75,-59.25,7405:489:3,0.38
Pleuronectes,putnami,43.75,-64.75,7406:134:4,0.21
Pleuronectes,putnami,44.25,-64.25,7406:144:1,0.26
Pleuronectes,putnami,41.75,-66.25,7406:216:3,0.21
Pleuronectes,putnami,45.25,-60.75,7406:350:2,0.27
Pleuronectes,putnami,45.25,-61.25,7406:351:1,0.38
Pleuronectes,putnami,46.75,-60.25,7406:360:3,0.35
Pleuronectes,putnami,46.25,-61.75,7406:361:2,0.35
Pleuronectes,putnami,46.25,-62.25,7406:362:1,0.38
Pleuronectes,putnami,46.75,-63.25,7406:363:3,0.27
Pleuronectes,putnami,47.25,-61.25,7406:371:1,0.35
Pleuronectes,putnami,47.75,-69.75,7406:479:4,0.29
