Mapping parameters for Pleuronichthys decurrens (Curlfin sole)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 67 |  77,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,8,20,245,533
Temperature (°C),1,5.26,9.43,16.58,27.09
Salinity (psu),1,24.68,29.43,33.43,36.46
Primary Production (mgC·m-3·day-1) ,1,2.34,9.88,61.69,95.69
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,8.17,19.03,284.66,298.32
Distance to Land (km),0,0,8,118,426
 

Map data (HSPEC) for predicted occurrences (n = 1566): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pleuronichthys,decurrens,-28.25,153.75,3215:383:2,0.11
Pleuronichthys,decurrens,-28.75,153.75,3215:383:4,0.12
Pleuronichthys,decurrens,-28.25,154.25,3215:384:1,0.01
Pleuronichthys,decurrens,-29.25,153.25,3215:393:1,0.14
Pleuronichthys,decurrens,-29.25,153.75,3215:393:2,0.12
Pleuronichthys,decurrens,-29.75,153.25,3215:393:3,0.15
Pleuronichthys,decurrens,-29.75,153.75,3215:393:4,0.12
Pleuronichthys,decurrens,-27.25,155.25,3215:475:1,0.01
Pleuronichthys,decurrens,-27.75,155.25,3215:475:3,0.02
Pleuronichthys,decurrens,-27.75,155.75,3215:475:4,0.03
Pleuronichthys,decurrens,-28.25,155.75,3215:485:2,0.02
Pleuronichthys,decurrens,-28.75,155.75,3215:485:4,0.02
Pleuronichthys,decurrens,-29.25,159.25,3215:499:1,0.03
Pleuronichthys,decurrens,-29.75,159.25,3215:499:3,0.04
Pleuronichthys,decurrens,-28.75,167.75,3216:487:4,0.03
Pleuronichthys,decurrens,-28.75,168.25,3216:488:3,0.03
Pleuronichthys,decurrens,-29.25,167.75,3216:497:2,0.04
Pleuronichthys,decurrens,-29.75,167.75,3216:497:4,0.02
Pleuronichthys,decurrens,-29.25,168.25,3216:498:1,0.04
Pleuronichthys,decurrens,-29.75,168.25,3216:498:3,0.02
Pleuronichthys,decurrens,-30.25,153.25,3315:103:1,0.14
Pleuronichthys,decurrens,-30.25,153.75,3315:103:2,0.12
Pleuronichthys,decurrens,-30.75,153.25,3315:103:3,0.13
Pleuronichthys,decurrens,-31.25,152.75,3315:112:2,0.16
Pleuronichthys,decurrens,-31.75,152.75,3315:112:4,0.16
Pleuronichthys,decurrens,-31.25,153.25,3315:113:1,0.13
Pleuronichthys,decurrens,-31.75,153.25,3315:113:3,0.13
Pleuronichthys,decurrens,-32.75,151.75,3315:121:4,0.18
Pleuronichthys,decurrens,-32.25,152.25,3315:122:1,0.17
Pleuronichthys,decurrens,-32.25,152.75,3315:122:2,0.15
Pleuronichthys,decurrens,-32.75,152.25,3315:122:3,0.17
Pleuronichthys,decurrens,-32.75,152.75,3315:122:4,0.15
Pleuronichthys,decurrens,-32.25,153.25,3315:123:1,0.13
Pleuronichthys,decurrens,-33.25,151.75,3315:131:2,0.19
Pleuronichthys,decurrens,-33.75,151.75,3315:131:4,0.17
Pleuronichthys,decurrens,-33.25,152.25,3315:132:1,0.16
Pleuronichthys,decurrens,-33.25,152.75,3315:132:2,0.04
Pleuronichthys,decurrens,-33.75,152.25,3315:132:3,0.13
Pleuronichthys,decurrens,-34.25,150.75,3315:140:2,0.19
Pleuronichthys,decurrens,-34.25,151.25,3315:141:1,0.19
Pleuronichthys,decurrens,-34.25,151.75,3315:141:2,0.17
Pleuronichthys,decurrens,-34.75,151.25,3315:141:3,0.18
Pleuronichthys,decurrens,-30.75,156.25,3315:206:3,0.09
Pleuronichthys,decurrens,-31.25,159.25,3315:219:1,0.06
Pleuronichthys,decurrens,-31.75,159.25,3315:219:3,0.07
Pleuronichthys,decurrens,-32.75,156.25,3315:226:3,0.14
Pleuronichthys,decurrens,-33.25,156.25,3315:236:1,0.15
Pleuronichthys,decurrens,-35.25,151.25,3315:351:1,0.18
Pleuronichthys,decurrens,-36.25,150.75,3315:360:2,0.03
Pleuronichthys,decurrens,-36.75,156.25,3315:466:3,0.08
Pleuronichthys,decurrens,-32.75,163.25,3316:123:3,0.02
Pleuronichthys,decurrens,-33.75,162.75,3316:132:4,0.01
Pleuronichthys,decurrens,-30.25,167.75,3316:207:2,0.02
Pleuronichthys,decurrens,-31.75,167.75,3316:217:4,0.05
Pleuronichthys,decurrens,-31.75,168.25,3316:218:3,0.02
