Mapping parameters for Genyatremus dovii (Spotted head sargo)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77 |  87,
Bounding Box (NSWE): ,25,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,6,26,50
Temperature (°C),1,19.85,25.87,28.86,33.06
Salinity (psu),1,28.93,31.79,35.06,38.13
Primary Production,1,416,620,1952,2368
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,1,8,27,83
 

Map data (HSPEC) for predicted occurrences (n = 264): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Genyatremus,dovii,-6.75,-79.75,5007:469:4,0.08
Genyatremus,dovii,-7.25,-79.75,5007:479:2,0.02
Genyatremus,dovii,-7.75,-79.25,5007:479:3,0.02
Genyatremus,dovii,-7.75,-79.75,5007:479:4,0.02
Genyatremus,dovii,-8.25,-78.75,5007:488:2,0.09
Genyatremus,dovii,-8.75,-78.75,5007:488:4,0.02
Genyatremus,dovii,-8.25,-79.25,5007:489:1,0.09
Genyatremus,dovii,-8.25,-79.75,5007:489:2,0.01
Genyatremus,dovii,-8.75,-79.75,5007:489:4,0.09
Genyatremus,dovii,-9.25,-78.25,5007:498:1,0.03
Genyatremus,dovii,-9.25,-78.75,5007:498:2,0.07
Genyatremus,dovii,-9.75,-78.25,5007:498:3,0.07
Genyatremus,dovii,-9.75,-78.75,5007:498:4,0.05
Genyatremus,dovii,-2.25,-80.25,5008:120:1,0.11
Genyatremus,dovii,-5.75,-80.75,5008:350:4,0.17
Genyatremus,dovii,-5.75,-81.25,5008:351:3,0.04
Genyatremus,dovii,-6.25,-80.25,5008:360:1,0.09
Genyatremus,dovii,-6.75,-80.25,5008:360:3,0.10
Genyatremus,dovii,-6.75,-80.75,5008:360:4,0.01
Genyatremus,dovii,-7.25,-80.25,5008:370:1,0.12
Genyatremus,dovii,-7.25,-80.75,5008:370:2,0.12
Genyatremus,dovii,-7.75,-80.25,5008:370:3,0.12
Genyatremus,dovii,-0.25,-90.25,5009:100:1,0.17
Genyatremus,dovii,-9.75,-138.75,5013:498:4,0.16
Genyatremus,dovii,-9.75,-139.25,5013:499:3,0.08
Genyatremus,dovii,-8.75,-140.25,5014:380:3,0.10
Genyatremus,dovii,-8.75,-140.75,5014:380:4,0.03
Genyatremus,dovii,-9.25,-140.25,5014:390:1,0.12
Genyatremus,dovii,-10.25,-77.75,5107:207:2,0.06
Genyatremus,dovii,-10.75,-77.75,5107:207:4,0.02
Genyatremus,dovii,-10.25,-78.25,5107:208:1,0.07
Genyatremus,dovii,-16.25,-72.75,5107:362:2,0.04
Genyatremus,dovii,-16.75,-72.25,5107:362:3,0.05
Genyatremus,dovii,-16.75,-72.75,5107:362:4,0.05
Genyatremus,dovii,-16.25,-73.25,5107:363:1,0.03
Genyatremus,dovii,-16.25,-73.75,5107:363:2,0.03
Genyatremus,dovii,-17.75,-70.75,5107:370:4,0.13
Genyatremus,dovii,-17.25,-71.25,5107:371:1,0.13
Genyatremus,dovii,-17.25,-71.75,5107:371:2,0.13
Genyatremus,dovii,-17.75,-71.25,5107:371:3,0.13
Genyatremus,dovii,-18.25,-70.25,5107:380:1,0.13
Genyatremus,dovii,-18.25,-70.75,5107:380:2,0.13
Genyatremus,dovii,-18.75,-70.25,5107:380:3,0.13
Genyatremus,dovii,-19.25,-70.25,5107:390:1,0.11
Genyatremus,dovii,-19.75,-70.25,5107:390:3,0.11
Genyatremus,dovii,-10.25,-138.75,5113:208:2,0.04
Genyatremus,dovii,-15.75,-145.75,5114:455:4,0.03
Genyatremus,dovii,-20.25,-70.25,5207:100:1,0.06
Genyatremus,dovii,-20.75,-70.25,5207:100:3,0.06
Genyatremus,dovii,2.75,-77.75,7007:227:4,0.10
Genyatremus,dovii,0.25,-89.75,7008:209:2,0.14
Genyatremus,dovii,0.25,-90.25,7009:100:1,0.15
Genyatremus,dovii,0.75,-90.75,7009:100:4,0.11
Genyatremus,dovii,10.75,-86.25,7108:206:3,0.12
Genyatremus,dovii,11.25,-86.75,7108:216:2,0.19
Genyatremus,dovii,-3.25,-79.75,5007:239:2,0.29
Genyatremus,dovii,-4.25,-81.25,5008:141:1,0.28
Genyatremus,dovii,-0.75,-89.25,5008:209:3,0.24
Genyatremus,dovii,-0.75,-89.75,5008:209:4,0.35
Genyatremus,dovii,-1.25,-89.75,5008:219:2,0.29
Genyatremus,dovii,-5.25,-80.75,5008:350:2,0.20
Genyatremus,dovii,-0.25,-90.75,5009:100:2,0.31
Genyatremus,dovii,-0.75,-90.25,5009:100:3,0.30
Genyatremus,dovii,-1.25,-90.25,5009:110:1,0.37
Genyatremus,dovii,-0.25,-159.75,5015:209:2,0.31
Genyatremus,dovii,3.75,-77.25,7007:237:3,0.30
Genyatremus,dovii,7.75,-78.75,7007:478:4,0.37
Genyatremus,dovii,4.25,-81.75,7008:141:2,0.32
Genyatremus,dovii,10.25,-84.75,7108:104:2,0.24
Genyatremus,dovii,10.25,-85.25,7108:205:1,0.29
Genyatremus,dovii,10.75,-85.75,7108:205:4,0.21
Genyatremus,dovii,11.25,-85.75,7108:215:2,0.32
Genyatremus,dovii,15.25,-93.75,7109:353:2,0.33
Genyatremus,dovii,23.75,-111.75,7211:131:4,0.25
Genyatremus,dovii,-2.75,-79.75,5007:229:4,0.43
Genyatremus,dovii,-2.25,-80.75,5008:120:2,0.54
Genyatremus,dovii,-2.75,-80.25,5008:120:3,0.54
Genyatremus,dovii,-2.75,-80.75,5008:120:4,0.54
Genyatremus,dovii,-2.25,-81.25,5008:121:1,0.53
Genyatremus,dovii,-3.25,-80.25,5008:130:1,0.48
