Mapping parameters for Pomadasys rogerii (Pigsnout grunt)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 34 |  47,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,25,31,58,90
Temperature (°C),1,21.02,23.76,27.91,32.11
Salinity (psu),1,17.86,24.63,35.2,40.28
Primary Production (mgC·m-3·day-1) ,1,1.75,6.02,59.83,139.39
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,14.44,67.73,222.88,318.4
Distance to Land (km),0,2,9,109,178
 

Map data (HSPEC) for predicted occurrences (n = 267): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pomadasys,rogerii,3.75,6.75,1000:236:4,0.12
Pomadasys,rogerii,4.25,7.75,1000:247:2,0.19
Pomadasys,rogerii,-15.25,12.25,3101:352:1,0.09
Pomadasys,rogerii,-34.75,24.75,3302:144:4,0.03
Pomadasys,rogerii,-33.25,27.25,3302:237:1,0.03
Pomadasys,rogerii,-34.25,26.25,3302:246:1,0.12
Pomadasys,rogerii,7.25,-13.75,7001:373:2,0.02
Pomadasys,rogerii,8.75,-14.75,7001:384:4,0.14
Pomadasys,rogerii,18.75,-16.25,7101:486:3,0.11
Pomadasys,rogerii,19.75,-17.25,7101:497:3,0.11
Pomadasys,rogerii,15.25,-24.75,7102:354:2,0.10
