Mapping parameters for Prionotus paralatus (Mexican searobin)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 31,
Bounding Box (NSWE): ,,20,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,36,51,106,180
Temperature (°C),1,21.89,23.86,26.29,30.49
Salinity (psu),1,30.56,32.7,36.4,39.36
Primary Production,1,192,366,1431,2398
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,1,21,218,310
 

Map data (HSPEC) for predicted occurrences (n = 477): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Prionotus,paralatus,20.75,-69.25,7206:209:3,0.14
Prionotus,paralatus,21.25,-70.75,7207:110:2,0.18
Prionotus,paralatus,21.75,-73.25,7207:113:3,0.15
Prionotus,paralatus,22.25,-71.75,7207:121:2,0.06
Prionotus,paralatus,22.25,-72.75,7207:122:2,0.19
Prionotus,paralatus,22.25,-73.25,7207:123:1,0.17
Prionotus,paralatus,21.75,-88.25,7208:218:3,0.01
Prionotus,paralatus,23.25,-88.25,7208:238:1,0.07
Prionotus,paralatus,25.25,-81.75,7208:351:2,0.07
Prionotus,paralatus,25.75,-82.25,7208:352:3,0.07
Prionotus,paralatus,26.75,-84.75,7208:364:4,0.16
Prionotus,paralatus,28.25,-82.75,7208:382:2,0.13
Prionotus,paralatus,28.75,-89.75,7208:489:4,0.13
Prionotus,paralatus,29.25,-89.25,7208:499:1,0.18
Prionotus,paralatus,28.75,-94.75,7209:384:4,0.07
Prionotus,paralatus,29.25,-90.25,7209:390:1,0.07
Prionotus,paralatus,29.25,-92.25,7209:392:1,0.05
Prionotus,paralatus,29.75,-92.25,7209:392:3,0.11
Prionotus,paralatus,31.75,-65.25,7306:215:3,0.18
Prionotus,paralatus,34.25,-77.25,7307:247:1,0.11
Prionotus,paralatus,35.25,-74.75,7307:354:2,0.02
Prionotus,paralatus,35.75,-74.75,7307:354:4,0.02
Prionotus,paralatus,30.25,-80.75,7308:100:2,0.12
Prionotus,paralatus,30.25,-81.25,7308:101:1,0.11
Prionotus,paralatus,31.75,-80.25,7308:110:3,0.15
Prionotus,paralatus,30.25,-90.25,7309:100:1,0.17
Prionotus,paralatus,20.25,-68.75,7206:208:2,0.25
Prionotus,paralatus,20.25,-69.75,7206:209:2,0.27
Prionotus,paralatus,20.75,-70.25,7207:100:3,0.36
Prionotus,paralatus,20.75,-73.25,7207:103:3,0.24
Prionotus,paralatus,20.75,-73.75,7207:103:4,0.23
Prionotus,paralatus,20.25,-74.25,7207:104:1,0.31
Prionotus,paralatus,20.25,-74.75,7207:104:2,0.30
Prionotus,paralatus,20.75,-74.75,7207:104:4,0.32
Prionotus,paralatus,21.75,-71.25,7207:111:3,0.20
Prionotus,paralatus,21.75,-71.75,7207:111:4,0.37
Prionotus,paralatus,21.25,-72.75,7207:112:2,0.25
Prionotus,paralatus,21.25,-73.25,7207:113:1,0.20
Prionotus,paralatus,21.25,-73.75,7207:113:2,0.21
Prionotus,paralatus,21.75,-73.75,7207:113:4,0.24
Prionotus,paralatus,22.25,-73.75,7207:123:2,0.24
Prionotus,paralatus,22.75,-73.25,7207:123:3,0.27
Prionotus,paralatus,22.75,-73.75,7207:123:4,0.29
Prionotus,paralatus,22.25,-74.75,7207:124:2,0.32
Prionotus,paralatus,22.75,-74.75,7207:124:4,0.31
Prionotus,paralatus,23.25,-73.75,7207:133:2,0.28
Prionotus,paralatus,23.25,-74.75,7207:134:2,0.36
Prionotus,paralatus,23.75,-74.25,7207:134:3,0.20
Prionotus,paralatus,23.75,-74.75,7207:134:4,0.30
Prionotus,paralatus,24.25,-74.25,7207:144:1,0.24
Prionotus,paralatus,20.25,-76.25,7207:206:1,0.39
Prionotus,paralatus,20.25,-78.25,7207:208:1,0.36
Prionotus,paralatus,21.75,-79.25,7207:219:3,0.32
Prionotus,paralatus,23.75,-76.75,7207:236:4,0.32
Prionotus,paralatus,24.25,-79.25,7207:249:1,0.31
Prionotus,paralatus,21.75,-87.75,7208:217:4,0.32
Prionotus,paralatus,23.75,-88.75,7208:238:4,0.35
Prionotus,paralatus,25.25,-81.25,7208:351:1,0.33
Prionotus,paralatus,26.25,-82.75,7208:362:2,0.27
Prionotus,paralatus,27.75,-83.25,7208:373:3,0.20
Prionotus,paralatus,29.75,-81.25,7208:391:3,0.33
Prionotus,paralatus,28.75,-89.25,7208:489:3,0.32
Prionotus,paralatus,29.25,-88.75,7208:498:2,0.37
Prionotus,paralatus,27.75,-91.25,7209:371:3,0.22
Prionotus,paralatus,28.75,-90.25,7209:380:3,0.38
Prionotus,paralatus,28.75,-91.25,7209:381:3,0.25
Prionotus,paralatus,28.75,-94.25,7209:384:3,0.20
