Mapping parameters for Prionotus tribulus (Bighead searobin)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31,
Bounding Box (NSWE): ,37,24,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,20,88,183
Temperature (°C),1,17.33,22.84,26.1,30.3
Salinity (psu),1,31.36,32.7,36.06,38.56
Primary Production,1,342,644,1849,3160
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,0,6,120,385
 

Map data (HSPEC) for predicted occurrences (n = 324): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Prionotus,tribulus,24.25,-79.75,7207:249:2,0.05
Prionotus,tribulus,25.75,-76.75,7207:456:4,0.02
Prionotus,tribulus,25.25,-77.25,7207:457:1,0.11
Prionotus,tribulus,26.25,-76.75,7207:466:2,0.03
Prionotus,tribulus,26.75,-76.75,7207:466:4,0.17
Prionotus,tribulus,27.25,-77.25,7207:477:1,0.14
Prionotus,tribulus,24.25,-80.25,7208:140:1,0.13
Prionotus,tribulus,24.25,-81.75,7208:141:2,0.13
Prionotus,tribulus,24.25,-82.75,7208:142:2,0.14
Prionotus,tribulus,24.75,-82.25,7208:142:3,0.05
Prionotus,tribulus,24.25,-83.25,7208:143:1,0.04
Prionotus,tribulus,24.75,-83.25,7208:143:3,0.14
Prionotus,tribulus,25.25,-84.25,7208:354:1,0.03
Prionotus,tribulus,26.25,-84.25,7208:364:1,0.02
Prionotus,tribulus,26.75,-84.25,7208:364:3,0.10
Prionotus,tribulus,26.75,-84.75,7208:364:4,0.01
Prionotus,tribulus,27.75,-80.75,7208:370:4,0.05
Prionotus,tribulus,27.25,-84.25,7208:374:1,0.16
Prionotus,tribulus,27.25,-84.75,7208:374:2,0.05
Prionotus,tribulus,27.75,-84.75,7208:374:4,0.17
Prionotus,tribulus,29.75,-89.25,7208:499:3,0.11
Prionotus,tribulus,24.75,-96.75,7209:246:4,0.11
Prionotus,tribulus,24.25,-97.25,7209:247:1,0.15
Prionotus,tribulus,27.75,-91.25,7209:371:3,0.01
Prionotus,tribulus,27.75,-91.75,7209:371:4,0.01
Prionotus,tribulus,27.75,-92.25,7209:372:3,0.03
Prionotus,tribulus,27.75,-92.75,7209:372:4,0.05
Prionotus,tribulus,27.75,-93.25,7209:373:3,0.15
Prionotus,tribulus,27.75,-93.75,7209:373:4,0.19
Prionotus,tribulus,25.25,-96.25,7209:456:1,0.08
Prionotus,tribulus,32.25,-64.75,7306:124:2,0.12
Prionotus,tribulus,32.25,-65.25,7306:225:1,0.17
Prionotus,tribulus,33.25,-79.75,7307:239:2,0.05
Prionotus,tribulus,35.25,-76.75,7307:456:2,0.19
