Mapping parameters for Prionotus beanii (Bean's searobin)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 31 |  41,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,35,52,115,200
Temperature (°C),1,23.7,27.04,28.11,32.31
Salinity (psu),1,30.56,33.21,36.02,38.99
Primary Production,1,398,502,1827,3307
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,5,12,166,364
 

Map data (HSPEC) for predicted occurrences (n = 712): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Prionotus,beanii,-4.75,-35.75,5003:245:4,0.18
Prionotus,beanii,-4.75,-37.25,5003:247:3,0.04
Prionotus,beanii,-1.75,-42.75,5004:112:4,0.10
Prionotus,beanii,-2.75,-40.25,5004:120:3,0.12
Prionotus,beanii,-2.25,-44.25,5004:124:1,0.04
Prionotus,beanii,-0.75,-45.25,5004:205:3,0.06
Prionotus,beanii,-0.25,-46.25,5004:206:1,0.06
Prionotus,beanii,-1.75,-45.25,5004:215:3,0.17
Prionotus,beanii,-17.75,-37.75,5103:477:4,0.02
Prionotus,beanii,-17.25,-39.25,5103:479:1,0.17
Prionotus,beanii,-18.75,-39.75,5103:489:4,0.11
Prionotus,beanii,-19.25,-38.25,5103:498:1,0.05
Prionotus,beanii,-19.75,-38.75,5103:498:4,0.04
Prionotus,beanii,-19.75,-39.25,5103:499:3,0.02
Prionotus,beanii,-21.25,-40.25,5204:110:1,0.09
Prionotus,beanii,-21.75,-40.25,5204:110:3,0.05
Prionotus,beanii,-22.75,-40.25,5204:120:3,0.05
Prionotus,beanii,-22.75,-43.25,5204:123:3,0.09
Prionotus,beanii,-22.75,-43.75,5204:123:4,0.09
Prionotus,beanii,-23.75,-41.25,5204:131:3,0.11
Prionotus,beanii,-23.25,-42.25,5204:132:1,0.16
Prionotus,beanii,-23.25,-42.75,5204:132:2,0.16
Prionotus,beanii,-23.75,-42.25,5204:132:3,0.09
Prionotus,beanii,-23.75,-42.75,5204:132:4,0.08
Prionotus,beanii,-23.25,-43.25,5204:133:1,0.07
Prionotus,beanii,-23.25,-43.75,5204:133:2,0.07
Prionotus,beanii,-23.75,-43.25,5204:133:3,0.07
Prionotus,beanii,-23.75,-43.75,5204:133:4,0.07
Prionotus,beanii,-24.25,-43.25,5204:143:1,0.02
Prionotus,beanii,-24.25,-43.75,5204:143:2,0.06
Prionotus,beanii,-24.25,-44.25,5204:144:1,0.02
Prionotus,beanii,-24.25,-44.75,5204:144:2,0.02
Prionotus,beanii,0.25,-46.25,7004:206:1,0.16
Prionotus,beanii,1.75,-46.75,7004:216:4,0.12
Prionotus,beanii,2.25,-47.25,7004:227:1,0.07
Prionotus,beanii,2.75,-47.75,7004:227:4,0.04
Prionotus,beanii,3.25,-48.25,7004:238:1,0.18
Prionotus,beanii,3.25,-48.75,7004:238:2,0.18
Prionotus,beanii,3.75,-48.75,7004:238:4,0.18
Prionotus,beanii,4.25,-50.75,7005:140:2,0.16
Prionotus,beanii,4.75,-51.75,7005:141:4,0.07
Prionotus,beanii,5.25,-52.25,7005:352:1,0.11
Prionotus,beanii,5.25,-52.75,7005:352:2,0.15
Prionotus,beanii,5.75,-52.75,7005:352:4,0.17
Prionotus,beanii,7.25,-52.75,7005:372:2,0.05
Prionotus,beanii,9.25,-60.25,7006:390:1,0.02
Prionotus,beanii,9.75,-61.75,7006:391:4,0.17
Prionotus,beanii,10.25,-62.25,7106:102:1,0.17
Prionotus,beanii,14.25,-60.75,7106:140:2,0.12
Prionotus,beanii,14.75,-60.75,7106:140:4,0.12
Prionotus,beanii,14.25,-61.25,7106:141:1,0.03
Prionotus,beanii,17.25,-78.75,7107:478:2,0.16
Prionotus,beanii,11.25,-83.25,7108:113:1,0.11
Prionotus,beanii,14.25,-81.25,7108:141:1,0.07
Prionotus,beanii,15.75,-82.25,7108:352:3,0.03
Prionotus,beanii,16.75,-81.75,7108:361:4,0.12
Prionotus,beanii,16.75,-82.75,7108:362:4,0.07
Prionotus,beanii,16.75,-83.25,7108:363:3,0.03
Prionotus,beanii,19.75,-95.75,7109:495:4,0.11
Prionotus,beanii,20.75,-77.25,7207:207:3,0.10
Prionotus,beanii,20.75,-77.75,7207:207:4,0.11
Prionotus,beanii,21.75,-75.75,7207:215:4,0.03
Prionotus,beanii,26.75,-76.75,7207:466:4,0.03
Prionotus,beanii,26.75,-79.25,7207:469:3,0.02
Prionotus,beanii,26.75,-79.75,7207:469:4,0.13
Prionotus,beanii,27.25,-79.75,7207:479:2,0.13
Prionotus,beanii,27.75,-79.75,7207:479:4,0.17
Prionotus,beanii,28.25,-79.75,7207:489:2,0.14
Prionotus,beanii,28.75,-79.75,7207:489:4,0.16
Prionotus,beanii,29.25,-79.75,7207:499:2,0.02
Prionotus,beanii,21.25,-82.75,7208:112:2,0.15
Prionotus,beanii,24.25,-82.25,7208:142:1,0.12
Prionotus,beanii,22.25,-86.75,7208:226:2,0.17
Prionotus,beanii,22.75,-88.25,7208:228:3,0.13
Prionotus,beanii,25.25,-81.75,7208:351:2,0.09
Prionotus,beanii,25.75,-81.25,7208:351:3,0.05
Prionotus,beanii,25.75,-82.25,7208:352:3,0.09
Prionotus,beanii,25.25,-83.75,7208:353:2,0.09
Prionotus,beanii,25.75,-83.75,7208:353:4,0.19
Prionotus,beanii,26.25,-82.75,7208:362:2,0.15
Prionotus,beanii,27.25,-82.75,7208:372:2,0.19
Prionotus,beanii,27.75,-83.25,7208:373:3,0.08
Prionotus,beanii,27.75,-84.25,7208:374:3,0.17
Prionotus,beanii,27.75,-84.75,7208:374:4,0.04
Prionotus,beanii,28.25,-82.75,7208:382:2,0.05
Prionotus,beanii,28.25,-83.75,7208:383:2,0.14
Prionotus,beanii,28.75,-83.75,7208:383:4,0.10
Prionotus,beanii,28.25,-84.25,7208:384:1,0.18
Prionotus,beanii,28.25,-84.75,7208:384:2,0.18
Prionotus,beanii,28.75,-84.25,7208:384:3,0.17
Prionotus,beanii,28.75,-84.75,7208:384:4,0.18
Prionotus,beanii,29.75,-81.25,7208:391:3,0.13
Prionotus,beanii,29.75,-84.25,7208:394:3,0.01
Prionotus,beanii,28.25,-85.25,7208:485:1,0.16
Prionotus,beanii,28.75,-85.75,7208:485:4,0.17
Prionotus,beanii,28.75,-89.25,7208:489:3,0.19
Prionotus,beanii,28.75,-89.75,7208:489:4,0.16
Prionotus,beanii,29.25,-86.25,7208:496:1,0.05
Prionotus,beanii,29.75,-86.25,7208:496:3,0.05
Prionotus,beanii,29.75,-86.75,7208:496:4,0.05
Prionotus,beanii,29.25,-87.25,7208:497:1,0.07
Prionotus,beanii,29.25,-87.75,7208:497:2,0.07
Prionotus,beanii,29.75,-87.25,7208:497:3,0.07
Prionotus,beanii,29.75,-87.75,7208:497:4,0.07
Prionotus,beanii,29.25,-88.25,7208:498:1,0.03
Prionotus,beanii,29.25,-88.75,7208:498:2,0.03
Prionotus,beanii,29.75,-88.25,7208:498:3,0.03
Prionotus,beanii,29.75,-88.75,7208:498:4,0.03
Prionotus,beanii,20.25,-90.25,7209:100:1,0.04
Prionotus,beanii,20.25,-91.25,7209:101:1,0.09
Prionotus,beanii,21.25,-91.75,7209:111:2,0.15
Prionotus,beanii,22.25,-91.25,7209:121:1,0.04
Prionotus,beanii,21.25,-97.25,7209:217:1,0.04
Prionotus,beanii,21.75,-97.25,7209:217:3,0.14
Prionotus,beanii,24.75,-97.75,7209:247:4,0.03
Prionotus,beanii,27.75,-94.25,7209:374:3,0.02
Prionotus,beanii,27.75,-94.75,7209:374:4,0.02
Prionotus,beanii,28.25,-90.25,7209:380:1,0.14
Prionotus,beanii,28.25,-90.75,7209:380:2,0.14
Prionotus,beanii,28.75,-90.25,7209:380:3,0.12
Prionotus,beanii,28.75,-90.75,7209:380:4,0.10
Prionotus,beanii,28.25,-91.25,7209:381:1,0.11
Prionotus,beanii,28.25,-91.75,7209:381:2,0.11
Prionotus,beanii,28.75,-91.25,7209:381:3,0.05
Prionotus,beanii,28.75,-91.75,7209:381:4,0.10
Prionotus,beanii,28.25,-92.25,7209:382:1,0.15
Prionotus,beanii,28.25,-92.75,7209:382:2,0.15
Prionotus,beanii,28.75,-92.25,7209:382:3,0.15
Prionotus,beanii,28.75,-92.75,7209:382:4,0.13
Prionotus,beanii,28.25,-93.25,7209:383:1,0.12
Prionotus,beanii,28.25,-93.75,7209:383:2,0.12
Prionotus,beanii,28.75,-93.25,7209:383:3,0.12
Prionotus,beanii,28.75,-93.75,7209:383:4,0.12
Prionotus,beanii,28.25,-94.25,7209:384:1,0.09
Prionotus,beanii,28.25,-94.75,7209:384:2,0.09
Prionotus,beanii,28.75,-94.25,7209:384:3,0.02
Prionotus,beanii,28.75,-94.75,7209:384:4,0.01
Prionotus,beanii,27.75,-95.25,7209:475:3,0.07
Prionotus,beanii,27.75,-95.75,7209:475:4,0.13
Prionotus,beanii,27.25,-96.25,7209:476:1,0.14
Prionotus,beanii,27.25,-97.25,7209:477:1,0.17
Prionotus,beanii,27.75,-97.25,7209:477:3,0.17
Prionotus,beanii,28.25,-95.25,7209:485:1,0.10
Prionotus,beanii,28.25,-95.75,7209:485:2,0.10
Prionotus,beanii,28.25,-96.25,7209:486:1,0.05
Prionotus,beanii,28.25,-96.75,7209:486:2,0.08
Prionotus,beanii,28.75,-96.75,7209:486:4,0.06
Prionotus,beanii,30.75,-79.75,7307:209:4,0.11
Prionotus,beanii,31.25,-79.75,7307:219:2,0.17
Prionotus,beanii,32.25,-79.25,7307:229:1,0.11
Prionotus,beanii,32.25,-79.75,7307:229:2,0.07
Prionotus,beanii,32.75,-79.25,7307:229:3,0.03
Prionotus,beanii,32.75,-79.75,7307:229:4,0.11
Prionotus,beanii,33.25,-76.75,7307:236:2,0.18
Prionotus,beanii,33.75,-76.25,7307:236:3,0.18
Prionotus,beanii,33.75,-76.75,7307:236:4,0.18
Prionotus,beanii,33.25,-77.25,7307:237:1,0.19
Prionotus,beanii,33.25,-77.75,7307:237:2,0.19
Prionotus,beanii,33.75,-77.25,7307:237:3,0.12
Prionotus,beanii,33.25,-78.25,7307:238:1,0.09
Prionotus,beanii,33.75,-78.25,7307:238:3,0.15
Prionotus,beanii,33.75,-78.75,7307:238:4,0.15
Prionotus,beanii,30.25,-80.75,7308:100:2,0.05
Prionotus,beanii,30.25,-81.25,7308:101:1,0.03
Prionotus,beanii,30.75,-81.25,7308:101:3,0.18
Prionotus,beanii,31.25,-80.25,7308:110:1,0.06
Prionotus,beanii,31.75,-80.25,7308:110:3,0.02
Prionotus,beanii,-2.75,-39.25,5003:229:3,0.32
Prionotus,beanii,-5.75,-35.25,5003:455:3,0.22
Prionotus,beanii,-9.25,-35.25,5003:495:1,0.28
Prionotus,beanii,-1.25,-44.25,5004:114:1,0.23
Prionotus,beanii,-2.25,-40.25,5004:120:1,0.28
Prionotus,beanii,-2.25,-43.25,5004:123:1,0.22
Prionotus,beanii,-2.75,-44.25,5004:124:3,0.39
Prionotus,beanii,-0.25,-45.25,5004:205:1,0.28
Prionotus,beanii,-0.75,-45.75,5004:205:4,0.29
Prionotus,beanii,-0.25,-46.75,5004:206:2,0.28
Prionotus,beanii,-13.75,-38.75,5103:238:4,0.31
Prionotus,beanii,-16.75,-39.25,5103:469:3,0.21
Prionotus,beanii,-19.25,-39.75,5103:499:2,0.21
Prionotus,beanii,-19.75,-40.25,5104:390:3,0.36
Prionotus,beanii,-20.25,-40.25,5204:100:1,0.29
Prionotus,beanii,-20.75,-40.25,5204:100:3,0.29
Prionotus,beanii,-21.25,-40.75,5204:110:2,0.31
Prionotus,beanii,-21.75,-40.75,5204:110:4,0.31
Prionotus,beanii,-21.25,-41.25,5204:111:1,0.27
Prionotus,beanii,-22.25,-40.25,5204:120:1,0.21
Prionotus,beanii,-22.25,-40.75,5204:120:2,0.28
Prionotus,beanii,-22.25,-41.25,5204:121:1,0.23
Prionotus,beanii,-22.25,-41.75,5204:121:2,0.23
Prionotus,beanii,-22.75,-41.25,5204:121:3,0.23
Prionotus,beanii,-22.75,-41.75,5204:121:4,0.24
Prionotus,beanii,-22.75,-42.25,5204:122:3,0.20
Prionotus,beanii,-22.75,-42.75,5204:122:4,0.20
Prionotus,beanii,-23.25,-41.25,5204:131:1,0.22
Prionotus,beanii,-23.25,-41.75,5204:131:2,0.22
Prionotus,beanii,-23.75,-41.75,5204:131:4,0.22
Prionotus,beanii,0.75,-45.25,7004:205:3,0.35
Prionotus,beanii,2.25,-47.75,7004:227:2,0.22
Prionotus,beanii,4.25,-51.25,7005:141:1,0.24
Prionotus,beanii,4.75,-52.25,7005:142:3,0.21
Prionotus,beanii,5.25,-51.75,7005:351:2,0.27
Prionotus,beanii,5.75,-52.25,7005:352:3,0.27
Prionotus,beanii,8.75,-60.75,7006:380:4,0.21
Prionotus,beanii,9.75,-61.25,7006:391:3,0.29
Prionotus,beanii,9.75,-71.25,7007:391:3,0.30
Prionotus,beanii,9.75,-71.75,7007:391:4,0.31
Prionotus,beanii,10.25,-61.25,7106:101:1,0.20
Prionotus,beanii,10.75,-61.75,7106:101:4,0.32
Prionotus,beanii,13.75,-60.75,7106:130:4,0.36
Prionotus,beanii,14.75,-61.25,7106:141:3,0.22
Prionotus,beanii,11.25,-66.25,7106:216:1,0.31
Prionotus,beanii,12.25,-68.75,7106:228:2,0.31
Prionotus,beanii,12.75,-69.75,7106:229:4,0.20
Prionotus,beanii,15.75,-63.75,7106:353:4,0.22
Prionotus,beanii,17.75,-66.25,7106:476:3,0.21
Prionotus,beanii,17.75,-67.25,7106:477:3,0.31
Prionotus,beanii,18.25,-67.25,7106:487:1,0.28
Prionotus,beanii,10.75,-75.75,7107:205:4,0.34
Prionotus,beanii,10.25,-82.75,7108:102:2,0.38
Prionotus,beanii,10.75,-83.25,7108:103:3,0.27
Prionotus,beanii,11.75,-83.25,7108:113:3,0.34
Prionotus,beanii,13.75,-83.75,7108:133:4,0.35
Prionotus,beanii,15.75,-84.25,7108:354:3,0.38
Prionotus,beanii,16.75,-80.25,7108:360:3,0.24
Prionotus,beanii,16.25,-83.75,7108:363:2,0.38
Prionotus,beanii,16.75,-85.75,7108:465:4,0.25
Prionotus,beanii,19.75,-90.75,7109:390:4,0.36
Prionotus,beanii,21.25,-76.75,7207:216:2,0.22
Prionotus,beanii,21.25,-79.25,7207:219:1,0.22
Prionotus,beanii,25.75,-77.25,7207:457:3,0.20
Prionotus,beanii,26.25,-79.75,7207:469:2,0.24
Prionotus,beanii,22.25,-84.75,7208:124:2,0.36
Prionotus,beanii,23.75,-80.25,7208:130:3,0.31
Prionotus,beanii,23.25,-82.75,7208:132:2,0.32
Prionotus,beanii,21.75,-86.75,7208:216:4,0.28
Prionotus,beanii,21.75,-89.25,7208:219:3,0.33
Prionotus,beanii,22.75,-87.75,7208:227:4,0.38
Prionotus,beanii,22.25,-88.25,7208:228:1,0.33
Prionotus,beanii,22.75,-89.75,7208:229:4,0.25
Prionotus,beanii,25.25,-81.25,7208:351:1,0.27
Prionotus,beanii,26.25,-82.25,7208:362:1,0.28
Prionotus,beanii,26.25,-83.75,7208:363:2,0.31
Prionotus,beanii,27.25,-83.25,7208:373:1,0.35
Prionotus,beanii,27.25,-83.75,7208:373:2,0.35
