Mapping parameters for Pristiophorus lanae (Lanaâ€™s Sawshark)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 71,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,29,96,282,593
Temperature (°C),1,27.98,28.48,28.78,32.98
Salinity (psu),1,33.19,33.69,34.69,35.19
Primary Production,1,172,305.2,576.2,619
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,1.5,13.2,89.4000015258789,133
 

Map data (HSPEC) for predicted occurrences (n = 1049): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pristiophorus,lanae,4.25,104.25,1010:144:1,0.03
Pristiophorus,lanae,4.75,104.25,1010:144:3,0.18
Pristiophorus,lanae,4.25,105.25,1010:245:1,0.10
Pristiophorus,lanae,4.25,105.75,1010:245:2,0.10
Pristiophorus,lanae,4.75,105.25,1010:245:3,0.10
Pristiophorus,lanae,4.75,105.75,1010:245:4,0.11
Pristiophorus,lanae,4.25,106.25,1010:246:1,0.12
Pristiophorus,lanae,4.25,106.75,1010:246:2,0.12
Pristiophorus,lanae,4.75,106.25,1010:246:3,0.12
Pristiophorus,lanae,4.75,106.75,1010:246:4,0.12
Pristiophorus,lanae,4.25,107.25,1010:247:1,0.12
Pristiophorus,lanae,4.25,107.75,1010:247:2,0.09
Pristiophorus,lanae,4.75,107.25,1010:247:3,0.12
Pristiophorus,lanae,4.75,107.75,1010:247:4,0.12
Pristiophorus,lanae,4.25,108.75,1010:248:2,0.02
Pristiophorus,lanae,4.75,108.25,1010:248:3,0.02
Pristiophorus,lanae,4.75,108.75,1010:248:4,0.02
Pristiophorus,lanae,5.25,105.25,1010:455:1,0.04
Pristiophorus,lanae,5.25,105.75,1010:455:2,0.05
Pristiophorus,lanae,5.75,105.25,1010:455:3,0.04
Pristiophorus,lanae,5.75,105.75,1010:455:4,0.04
Pristiophorus,lanae,5.25,106.25,1010:456:1,0.14
Pristiophorus,lanae,5.25,106.75,1010:456:2,0.09
Pristiophorus,lanae,5.75,106.25,1010:456:3,0.10
Pristiophorus,lanae,5.75,106.75,1010:456:4,0.09
Pristiophorus,lanae,5.25,107.25,1010:457:1,0.16
Pristiophorus,lanae,5.25,107.75,1010:457:2,0.18
Pristiophorus,lanae,5.75,107.25,1010:457:3,0.12
Pristiophorus,lanae,5.75,107.75,1010:457:4,0.14
Pristiophorus,lanae,5.75,108.75,1010:458:4,0.19
Pristiophorus,lanae,5.25,109.25,1010:459:1,0.10
Pristiophorus,lanae,5.25,109.75,1010:459:2,0.10
Pristiophorus,lanae,5.75,109.25,1010:459:3,0.09
Pristiophorus,lanae,5.75,109.75,1010:459:4,0.06
Pristiophorus,lanae,6.25,106.25,1010:466:1,0.03
Pristiophorus,lanae,6.25,106.75,1010:466:2,0.03
Pristiophorus,lanae,6.75,106.25,1010:466:3,0.02
Pristiophorus,lanae,6.75,106.75,1010:466:4,0.03
Pristiophorus,lanae,6.25,107.25,1010:467:1,0.08
Pristiophorus,lanae,6.25,107.75,1010:467:2,0.14
Pristiophorus,lanae,6.75,107.25,1010:467:3,0.08
Pristiophorus,lanae,6.75,107.75,1010:467:4,0.12
Pristiophorus,lanae,6.75,109.75,1010:469:4,0.15
Pristiophorus,lanae,7.25,107.25,1010:477:1,0.04
Pristiophorus,lanae,7.25,107.75,1010:477:2,0.06
Pristiophorus,lanae,7.75,107.25,1010:477:3,0.04
Pristiophorus,lanae,7.75,107.75,1010:477:4,0.06
Pristiophorus,lanae,7.25,108.25,1010:478:1,0.13
Pristiophorus,lanae,7.25,108.75,1010:478:2,0.13
Pristiophorus,lanae,7.75,108.25,1010:478:3,0.13
Pristiophorus,lanae,7.75,108.75,1010:478:4,0.13
Pristiophorus,lanae,8.25,108.25,1010:488:1,0.04
Pristiophorus,lanae,8.25,108.75,1010:488:2,0.04
Pristiophorus,lanae,8.75,108.25,1010:488:3,0.04
Pristiophorus,lanae,8.75,108.75,1010:488:4,0.04
Pristiophorus,lanae,8.25,109.25,1010:489:1,0.15
Pristiophorus,lanae,8.25,109.75,1010:489:2,0.08
Pristiophorus,lanae,8.75,109.25,1010:489:3,0.15
Pristiophorus,lanae,8.75,109.75,1010:489:4,0.03
Pristiophorus,lanae,9.25,109.25,1010:499:1,0.05
Pristiophorus,lanae,9.75,109.25,1010:499:3,0.05
Pristiophorus,lanae,7.25,113.75,1011:373:2,0.18
Pristiophorus,lanae,7.75,113.25,1011:373:3,0.18
Pristiophorus,lanae,7.75,113.75,1011:373:4,0.18
Pristiophorus,lanae,7.75,114.25,1011:374:3,0.10
Pristiophorus,lanae,7.75,114.75,1011:374:4,0.10
Pristiophorus,lanae,9.25,111.75,1011:391:2,0.15
Pristiophorus,lanae,9.25,112.25,1011:392:1,0.07
Pristiophorus,lanae,9.25,114.25,1011:394:1,0.11
Pristiophorus,lanae,6.75,116.75,1011:466:4,0.06
Pristiophorus,lanae,6.75,117.25,1011:467:3,0.03
Pristiophorus,lanae,7.25,115.75,1011:475:2,0.02
Pristiophorus,lanae,7.25,116.75,1011:476:2,0.06
Pristiophorus,lanae,7.75,116.25,1011:476:3,0.04
Pristiophorus,lanae,7.75,116.75,1011:476:4,0.06
Pristiophorus,lanae,7.25,117.25,1011:477:1,0.17
Pristiophorus,lanae,7.25,118.25,1011:478:1,0.17
Pristiophorus,lanae,7.75,118.25,1011:478:3,0.14
Pristiophorus,lanae,8.25,115.25,1011:485:1,0.14
Pristiophorus,lanae,8.25,116.75,1011:486:2,0.02
Pristiophorus,lanae,8.75,116.75,1011:486:4,0.01
Pristiophorus,lanae,8.25,117.25,1011:487:1,0.02
Pristiophorus,lanae,8.25,117.75,1011:487:2,0.14
Pristiophorus,lanae,8.25,118.75,1011:488:2,0.17
Pristiophorus,lanae,9.75,116.75,1011:496:4,0.15
Pristiophorus,lanae,0.25,124.75,1012:104:2,0.13
Pristiophorus,lanae,6.25,122.25,1012:362:1,0.09
Pristiophorus,lanae,6.75,122.75,1012:362:4,0.06
Pristiophorus,lanae,9.25,124.75,1012:394:2,0.07
Pristiophorus,lanae,6.25,126.75,1012:466:2,0.05
Pristiophorus,lanae,6.75,126.75,1012:466:4,0.14
