Mapping parameters for Pristipomoides macrophthalmus (Cardinal snapper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  31 ,
Bounding Box (NSWE): ,27,5,-89,-53

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,110,161,310,550
Temperature (°C),1,26.01,26.79,28.37,32.57
Salinity (psu),1,30.12,33.73,36.26,37.54
Primary Production (mgC·m-3·day-1) ,1,-0.77,0.23,18.98,102.5
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,130.86,156.83,241.36,266.05
Distance to Land (km),0,3,15,220,364
 

Map data (HSPEC) for predicted occurrences (n = 678): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pristipomoides,macrophthalmus,23.75,-86.75,7208:236:4,0.04
Pristipomoides,macrophthalmus,22.25,-85.25,7208:225:1,0.02
Pristipomoides,macrophthalmus,24.75,-82.25,7208:142:3,0.08
Pristipomoides,macrophthalmus,24.75,-78.25,7207:248:3,0.13
Pristipomoides,macrophthalmus,14.75,-83.25,7108:143:3,0.18
Pristipomoides,macrophthalmus,12.75,-83.25,7108:123:3,0.04
Pristipomoides,macrophthalmus,12.75,-82.75,7108:122:4,0.12
Pristipomoides,macrophthalmus,11.75,-83.75,7108:113:4,0.14
Pristipomoides,macrophthalmus,17.25,-75.25,7107:475:1,0.05
Pristipomoides,macrophthalmus,19.25,-73.75,7107:393:2,0.13
Pristipomoides,macrophthalmus,13.25,-79.75,7107:239:2,0.09
Pristipomoides,macrophthalmus,11.75,-71.25,7107:111:3,0.04
Pristipomoides,macrophthalmus,11.25,-71.25,7107:111:1,0.03
Pristipomoides,macrophthalmus,10.75,-71.75,7107:101:4,0.14
Pristipomoides,macrophthalmus,17.75,-69.75,7106:479:4,0.17
Pristipomoides,macrophthalmus,12.25,-65.75,7106:225:2,0.02
Pristipomoides,macrophthalmus,11.75,-68.25,7106:218:3,0.14
Pristipomoides,macrophthalmus,13.25,-63.25,7106:133:1,0.06
Pristipomoides,macrophthalmus,10.75,-64.25,7106:104:3,0.07
Pristipomoides,macrophthalmus,10.75,-63.75,7106:103:4,0.01
Pristipomoides,macrophthalmus,9.25,-58.75,7005:498:2,0.07
Pristipomoides,macrophthalmus,6.25,-56.75,7005:466:2,0.19
Pristipomoides,macrophthalmus,6.25,-56.25,7005:466:1,0.07
Pristipomoides,macrophthalmus,6.75,-53.75,7005:363:4,0.02
Pristipomoides,macrophthalmus,6.75,-53.25,7005:363:3,0.09
Pristipomoides,macrophthalmus,6.25,-53.75,7005:363:2,0.05
Pristipomoides,macrophthalmus,5.75,-53.25,7005:353:3,0.06
Pristipomoides,macrophthalmus,26.75,-84.75,7208:364:4,0.37
Pristipomoides,macrophthalmus,25.75,-83.75,7208:353:4,0.24
Pristipomoides,macrophthalmus,23.25,-88.75,7208:238:2,0.20
Pristipomoides,macrophthalmus,22.75,-86.25,7208:226:3,0.36
Pristipomoides,macrophthalmus,24.25,-83.75,7208:143:2,0.26
Pristipomoides,macrophthalmus,21.25,-83.25,7208:113:1,0.21
Pristipomoides,macrophthalmus,26.75,-77.75,7207:467:4,0.33
Pristipomoides,macrophthalmus,26.75,-77.25,7207:467:3,0.29
Pristipomoides,macrophthalmus,26.75,-76.75,7207:466:4,0.29
Pristipomoides,macrophthalmus,24.75,-79.75,7207:249:4,0.28
Pristipomoides,macrophthalmus,22.75,-75.25,7207:225:3,0.20
Pristipomoides,macrophthalmus,20.25,-76.25,7207:206:1,0.35
Pristipomoides,macrophthalmus,15.25,-80.25,7108:350:1,0.34
Pristipomoides,macrophthalmus,14.75,-80.75,7108:140:4,0.24
Pristipomoides,macrophthalmus,19.75,-74.25,7107:394:3,0.29
Pristipomoides,macrophthalmus,11.25,-75.25,7107:215:1,0.27
Pristipomoides,macrophthalmus,12.25,-72.25,7107:122:1,0.35
Pristipomoides,macrophthalmus,11.75,-73.75,7107:113:4,0.36
Pristipomoides,macrophthalmus,11.25,-71.75,7107:111:2,0.33
Pristipomoides,macrophthalmus,11.75,-70.75,7107:110:4,0.31
Pristipomoides,macrophthalmus,10.25,-71.75,7107:101:2,0.33
Pristipomoides,macrophthalmus,11.75,-65.75,7106:215:4,0.27
Pristipomoides,macrophthalmus,10.75,-68.25,7106:208:3,0.37
Pristipomoides,macrophthalmus,10.25,-64.75,7106:104:2,0.29
Pristipomoides,macrophthalmus,10.75,-61.75,7106:101:4,0.37
Pristipomoides,macrophthalmus,9.25,-79.25,7007:499:1,0.20
Pristipomoides,macrophthalmus,9.25,-77.25,7007:497:1,0.39
Pristipomoides,macrophthalmus,9.75,-75.75,7007:495:4,0.39
Pristipomoides,macrophthalmus,8.75,-77.75,7007:487:4,0.21
Pristipomoides,macrophthalmus,8.25,-76.75,7007:486:2,0.20
Pristipomoides,macrophthalmus,7.75,-76.75,7007:476:4,0.20
Pristipomoides,macrophthalmus,9.75,-71.75,7007:391:4,0.32
Pristipomoides,macrophthalmus,9.75,-71.25,7007:391:3,0.36
Pristipomoides,macrophthalmus,9.25,-71.75,7007:391:2,0.34
Pristipomoides,macrophthalmus,9.25,-71.25,7007:391:1,0.36
Pristipomoides,macrophthalmus,7.75,-58.25,7005:478:3,0.24
Pristipomoides,macrophthalmus,6.75,-58.25,7005:468:3,0.31
Pristipomoides,macrophthalmus,7.75,-53.25,7005:373:3,0.27
Pristipomoides,macrophthalmus,5.75,-53.75,7005:353:4,0.34
Pristipomoides,macrophthalmus,26.25,-84.25,7208:364:1,0.40
Pristipomoides,macrophthalmus,26.75,-80.25,7208:360:3,0.59
Pristipomoides,macrophthalmus,25.25,-83.75,7208:353:2,0.56
Pristipomoides,macrophthalmus,24.75,-81.75,7208:141:4,0.44
Pristipomoides,macrophthalmus,26.75,-78.25,7207:468:3,0.51
Pristipomoides,macrophthalmus,26.25,-77.25,7207:467:1,0.48
Pristipomoides,macrophthalmus,26.25,-76.75,7207:466:2,0.45
Pristipomoides,macrophthalmus,25.75,-78.75,7207:458:4,0.51
Pristipomoides,macrophthalmus,25.25,-78.25,7207:458:1,0.59
Pristipomoides,macrophthalmus,24.75,-78.75,7207:248:4,0.56
Pristipomoides,macrophthalmus,23.75,-77.75,7207:237:4,0.41
Pristipomoides,macrophthalmus,15.75,-88.75,7108:458:4,0.54
Pristipomoides,macrophthalmus,17.25,-84.25,7108:374:1,0.41
Pristipomoides,macrophthalmus,17.25,-81.75,7108:371:2,0.51
Pristipomoides,macrophthalmus,17.25,-81.25,7108:371:1,0.58
Pristipomoides,macrophthalmus,16.25,-82.75,7108:362:2,0.57
Pristipomoides,macrophthalmus,13.25,-81.75,7108:131:2,0.58
Pristipomoides,macrophthalmus,11.75,-72.25,7107:112:3,0.59
Pristipomoides,macrophthalmus,11.75,-70.25,7107:110:3,0.41
Pristipomoides,macrophthalmus,11.25,-64.25,7106:114:1,0.48
Pristipomoides,macrophthalmus,10.75,-64.75,7106:104:4,0.48
Pristipomoides,macrophthalmus,10.25,-64.25,7106:104:1,0.54
Pristipomoides,macrophthalmus,9.75,-80.75,7008:390:4,0.59
Pristipomoides,macrophthalmus,9.75,-72.25,7007:392:3,0.46
Pristipomoides,macrophthalmus,9.75,-60.75,7006:390:4,0.54
Pristipomoides,macrophthalmus,7.25,-58.25,7005:478:1,0.40
Pristipomoides,macrophthalmus,6.75,-57.25,7005:467:3,0.48
Pristipomoides,macrophthalmus,7.75,-54.25,7005:374:3,0.59
Pristipomoides,macrophthalmus,7.25,-54.25,7005:374:1,0.45
Pristipomoides,macrophthalmus,7.25,-53.75,7005:373:2,0.40
Pristipomoides,macrophthalmus,7.25,-53.25,7005:373:1,0.47
Pristipomoides,macrophthalmus,6.75,-54.25,7005:364:3,0.48
Pristipomoides,macrophthalmus,26.25,-84.75,7208:364:2,0.75
Pristipomoides,macrophthalmus,25.75,-84.25,7208:354:3,0.69
Pristipomoides,macrophthalmus,26.75,-78.75,7207:468:4,0.70
Pristipomoides,macrophthalmus,26.25,-77.75,7207:467:2,0.74
Pristipomoides,macrophthalmus,25.25,-78.75,7207:458:2,0.61
Pristipomoides,macrophthalmus,25.75,-77.25,7207:457:3,0.73
Pristipomoides,macrophthalmus,25.25,-77.75,7207:457:2,0.79
Pristipomoides,macrophthalmus,25.25,-77.25,7207:457:1,0.76
Pristipomoides,macrophthalmus,25.75,-76.75,7207:456:4,0.61
Pristipomoides,macrophthalmus,25.25,-76.75,7207:456:2,0.74
Pristipomoides,macrophthalmus,25.25,-76.25,7207:456:1,0.68
Pristipomoides,macrophthalmus,24.25,-78.75,7207:248:2,0.62
Pristipomoides,macrophthalmus,24.75,-77.75,7207:247:4,0.72
Pristipomoides,macrophthalmus,24.75,-77.25,7207:247:3,0.78
Pristipomoides,macrophthalmus,24.25,-77.75,7207:247:2,0.75
Pristipomoides,macrophthalmus,24.25,-77.25,7207:247:1,0.77
Pristipomoides,macrophthalmus,24.75,-76.75,7207:246:4,0.79
Pristipomoides,macrophthalmus,23.75,-78.75,7207:238:4,0.73
Pristipomoides,macrophthalmus,23.75,-78.25,7207:238:3,0.76
Pristipomoides,macrophthalmus,23.75,-77.25,7207:237:3,0.79
Pristipomoides,macrophthalmus,22.25,-72.25,7207:122:1,0.62
Pristipomoides,macrophthalmus,18.25,-88.25,7108:488:1,0.60
Pristipomoides,macrophthalmus,18.75,-86.75,7108:486:4,0.78
Pristipomoides,macrophthalmus,16.75,-86.25,7108:466:3,0.73
Pristipomoides,macrophthalmus,15.75,-83.75,7108:353:4,0.69
Pristipomoides,macrophthalmus,14.25,-82.25,7108:142:1,0.65
Pristipomoides,macrophthalmus,13.75,-83.25,7108:133:3,0.76
Pristipomoides,macrophthalmus,17.25,-76.25,7107:476:1,0.66
Pristipomoides,macrophthalmus,17.25,-71.25,7107:371:1,0.78
Pristipomoides,macrophthalmus,10.75,-75.25,7107:205:3,0.68
Pristipomoides,macrophthalmus,12.25,-72.75,7107:122:2,0.79
Pristipomoides,macrophthalmus,18.25,-63.75,7106:383:2,0.64
Pristipomoides,macrophthalmus,12.25,-66.25,7106:226:1,0.70
Pristipomoides,macrophthalmus,10.25,-65.25,7106:205:1,0.74
Pristipomoides,macrophthalmus,13.75,-63.25,7106:133:3,0.74
Pristipomoides,macrophthalmus,11.25,-63.75,7106:113:2,0.65
