Mapping parameters for Promethichthys prometheus (Roudi escolar)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  27 |  31 |  34 |  41 |  47 |  51 |  57 |  61 |  71 |  77 |  81 |  87,
Bounding Box (NSWE): ,50,-36,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,80,300,400,800
Temperature (°C),1,8.65,20.22,28.25,32.45
Salinity (psu),1,17.55,31.64,36.19,38.3
Primary Production (mgC·m-3·day-1) ,1,-0.44,0.56,27.88,103.37
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,8.45,99.85,241.28,302.7
Distance to Land (km),0,2,19,277,1216
 

Map data (HSPEC) for predicted occurrences (n = 9530): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Promethichthys,prometheus,48.25,-132.75,7413:382:2,0.10
Promethichthys,prometheus,46.75,-131.25,7413:361:3,0.16
Promethichthys,prometheus,46.25,-130.25,7413:360:1,0.16
Promethichthys,prometheus,49.75,-127.75,7412:497:4,0.17
Promethichthys,prometheus,49.75,-127.25,7412:497:3,0.15
Promethichthys,prometheus,49.25,-127.25,7412:497:1,0.19
Promethichthys,prometheus,49.75,-126.75,7412:496:4,0.03
Promethichthys,prometheus,49.25,-126.75,7412:496:2,0.17
Promethichthys,prometheus,49.25,-126.25,7412:496:1,0.12
Promethichthys,prometheus,49.75,-125.25,7412:495:3,0.08
Promethichthys,prometheus,49.25,-125.75,7412:495:2,0.03
Promethichthys,prometheus,48.75,-126.25,7412:486:3,0.18
Promethichthys,prometheus,48.75,-125.75,7412:485:4,0.07
Promethichthys,prometheus,48.75,-125.25,7412:485:3,0.06
Promethichthys,prometheus,48.25,-125.25,7412:485:1,0.15
Promethichthys,prometheus,47.25,-125.25,7412:475:1,0.10
Promethichthys,prometheus,46.75,-125.25,7412:465:3,0.17
Promethichthys,prometheus,49.75,-124.75,7412:394:4,0.14
Promethichthys,prometheus,49.75,-124.25,7412:394:3,0.15
Promethichthys,prometheus,49.25,-124.75,7412:394:2,0.10
Promethichthys,prometheus,49.25,-124.25,7412:394:1,0.15
Promethichthys,prometheus,49.25,-123.75,7412:393:2,0.15
Promethichthys,prometheus,49.25,-123.25,7412:393:1,0.14
Promethichthys,prometheus,48.75,-124.75,7412:384:4,0.10
Promethichthys,prometheus,48.75,-124.25,7412:384:3,0.06
