Mapping parameters for Pterois volitans (Red lionfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 |  77 |  81 ,
Bounding Box (NSWE): ,43,-40,95,-130

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,2,7,29,55
Temperature (°C),1,13.27,22.74,29.14,33.34
Salinity (psu),1,27.26,32.21,35.4,36.85
Primary Production (mgC·m-3·day-1) ,1,0.23,1.66,17.91,97.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,37.53,108.55,211.52,277.75
Distance to Land (km),0,0,15,212,527
 

Map data (HSPEC) for predicted occurrences (n = 4480): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pterois,volitans,26.25,-174.75,7217:364:2,0.10
Pterois,volitans,25.75,-173.75,7217:353:4,0.11
Pterois,volitans,23.75,-164.25,7216:134:3,0.18
Pterois,volitans,23.25,-164.75,7216:134:2,0.09
Pterois,volitans,22.75,-162.25,7216:122:3,0.19
Pterois,volitans,22.75,-161.25,7216:121:3,0.08
Pterois,volitans,20.75,-157.75,7215:207:4,0.16
Pterois,volitans,16.75,-169.75,7116:469:4,0.19
Pterois,volitans,-21.25,-159.75,5215:219:2,0.01
Pterois,volitans,-20.25,-157.25,5215:207:1,0.02
Pterois,volitans,-22.25,-151.25,5215:121:1,0.02
Pterois,volitans,-21.75,-140.75,5214:110:4,0.03
Pterois,volitans,-22.25,-138.75,5213:228:2,0.02
Pterois,volitans,-21.75,-138.75,5213:218:4,0.02
Pterois,volitans,-21.75,-136.25,5213:216:3,0.01
Pterois,volitans,-21.25,-136.75,5213:216:2,0.03
Pterois,volitans,-21.25,-136.25,5213:216:1,0.01
Pterois,volitans,-20.75,-139.25,5213:209:3,0.02
Pterois,volitans,-20.75,-138.75,5213:208:4,0.02
Pterois,volitans,-20.75,-138.25,5213:208:3,0.01
Pterois,volitans,-23.25,-134.75,5213:134:2,0.03
Pterois,volitans,-22.75,-134.75,5213:124:4,0.01
Pterois,volitans,-15.75,-179.25,5117:459:3,0.19
Pterois,volitans,-15.75,-176.75,5117:456:4,0.14
Pterois,volitans,-15.75,-175.75,5117:455:4,0.18
Pterois,volitans,-18.75,-174.75,5117:384:4,0.19
Pterois,volitans,-18.75,-173.75,5117:383:4,0.19
Pterois,volitans,-17.75,-174.25,5117:374:3,0.09
Pterois,volitans,-14.25,-177.75,5117:247:2,0.16
Pterois,volitans,-14.25,-176.25,5117:246:1,0.18
Pterois,volitans,-14.25,-175.75,5117:245:2,0.18
Pterois,volitans,-13.25,-179.25,5117:239:1,0.09
Pterois,volitans,-11.75,-178.25,5117:218:3,0.11
Pterois,volitans,-14.25,-170.75,5117:140:2,0.16
Pterois,volitans,-19.25,-169.75,5116:499:2,0.06
Pterois,volitans,-18.75,-169.75,5116:489:4,0.04
Pterois,volitans,-14.75,-169.75,5116:249:4,0.05
Pterois,volitans,-14.25,-169.75,5116:249:2,0.07
Pterois,volitans,-14.25,-169.25,5116:249:1,0.05
Pterois,volitans,-14.75,-168.25,5116:248:3,0.01
Pterois,volitans,-19.75,-158.25,5115:498:3,0.03
Pterois,volitans,-19.25,-158.75,5115:498:2,0.01
