Mapping parameters for Rastrelliger kanagurta (Indian mackerel)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  47 |  51 |  57 |  61 |  71 |  77 |  81 ,
Bounding Box (NSWE): ,38,-36,20,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,20,27,55,90
Temperature (°C),1,18.4,25.46,29.02,33.22
Salinity (psu),1,20.55,32.01,35.27,38.86
Primary Production (mgC·m-3·day-1) ,1,0.79,2.93,21.14,195.85
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,131.39,209.78,254.42
Distance to Land (km),0,1,11,211,602
 

Map data (HSPEC) for predicted occurrences (n = 5215): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Rastrelliger,kanagurta,-34.75,174.25,3317:144:3,0.01
Rastrelliger,kanagurta,-35.75,150.75,3315:350:4,0.18
Rastrelliger,kanagurta,-35.75,150.25,3315:350:3,0.10
Rastrelliger,kanagurta,-35.25,150.75,3315:350:2,0.17
Rastrelliger,kanagurta,-35.25,150.25,3315:350:1,0.12
Rastrelliger,kanagurta,-34.75,150.75,3315:140:4,0.18
Rastrelliger,kanagurta,-32.75,131.25,3313:121:3,0.01
Rastrelliger,kanagurta,-32.75,130.75,3313:120:4,0.02
Rastrelliger,kanagurta,-32.75,130.25,3313:120:3,0.02
Rastrelliger,kanagurta,-32.25,130.75,3313:120:2,0.01
Rastrelliger,kanagurta,-32.25,130.25,3313:120:1,0.01
Rastrelliger,kanagurta,-33.25,125.75,3312:235:2,0.01
Rastrelliger,kanagurta,-33.25,125.25,3312:235:1,0.02
Rastrelliger,kanagurta,-32.75,129.75,3312:229:4,0.02
Rastrelliger,kanagurta,-32.75,129.25,3312:229:3,0.02
Rastrelliger,kanagurta,-32.25,129.75,3312:229:2,0.01
Rastrelliger,kanagurta,-32.25,129.25,3312:229:1,0.01
Rastrelliger,kanagurta,-32.75,128.75,3312:228:4,0.02
Rastrelliger,kanagurta,-32.75,128.25,3312:228:3,0.02
Rastrelliger,kanagurta,-32.25,128.75,3312:228:2,0.01
Rastrelliger,kanagurta,-32.25,128.25,3312:228:1,0.01
Rastrelliger,kanagurta,-32.75,127.75,3312:227:4,0.02
Rastrelliger,kanagurta,-32.75,127.25,3312:227:3,0.02
Rastrelliger,kanagurta,-32.75,126.75,3312:226:4,0.02
Rastrelliger,kanagurta,-32.75,126.25,3312:226:3,0.01
Rastrelliger,kanagurta,-32.75,125.75,3312:225:4,0.01
Rastrelliger,kanagurta,-32.25,125.75,3312:225:2,0.01
Rastrelliger,kanagurta,-34.25,123.75,3312:143:2,0.01
Rastrelliger,kanagurta,-34.25,123.25,3312:143:1,0.01
Rastrelliger,kanagurta,-34.25,122.75,3312:142:2,0.02
Rastrelliger,kanagurta,-34.25,122.25,3312:142:1,0.02
Rastrelliger,kanagurta,-34.25,121.75,3312:141:2,0.04
Rastrelliger,kanagurta,-34.25,121.25,3312:141:1,0.05
Rastrelliger,kanagurta,-34.25,120.75,3312:140:2,0.07
Rastrelliger,kanagurta,-34.25,120.25,3312:140:1,0.07
Rastrelliger,kanagurta,-33.75,124.75,3312:134:4,0.01
Rastrelliger,kanagurta,-33.75,124.25,3312:134:3,0.01
Rastrelliger,kanagurta,-33.25,124.75,3312:134:2,0.01
Rastrelliger,kanagurta,-33.75,122.75,3312:132:4,0.01
Rastrelliger,kanagurta,-33.75,121.75,3312:131:4,0.03
Rastrelliger,kanagurta,-33.75,121.25,3312:131:3,0.03
Rastrelliger,kanagurta,-33.75,120.75,3312:130:4,0.05
Rastrelliger,kanagurta,-33.75,120.25,3312:130:3,0.07
Rastrelliger,kanagurta,-32.75,124.75,3312:124:4,0.01
Rastrelliger,kanagurta,-32.75,124.25,3312:124:3,0.02
Rastrelliger,kanagurta,-35.25,118.75,3311:458:2,0.03
Rastrelliger,kanagurta,-35.25,118.25,3311:458:1,0.10
Rastrelliger,kanagurta,-35.25,117.75,3311:457:2,0.12
Rastrelliger,kanagurta,-35.25,117.25,3311:457:1,0.14
Rastrelliger,kanagurta,-35.25,116.75,3311:456:2,0.15
Rastrelliger,kanagurta,-35.25,116.25,3311:456:1,0.15
Rastrelliger,kanagurta,-35.25,115.75,3311:455:2,0.14
Rastrelliger,kanagurta,-34.75,119.75,3311:249:4,0.03
Rastrelliger,kanagurta,-34.75,119.25,3311:249:3,0.08
Rastrelliger,kanagurta,-34.25,119.75,3311:249:2,0.07
Rastrelliger,kanagurta,-34.25,119.25,3311:249:1,0.09
Rastrelliger,kanagurta,-34.75,118.75,3311:248:4,0.10
Rastrelliger,kanagurta,-34.75,118.25,3311:248:3,0.11
Rastrelliger,kanagurta,-34.25,118.75,3311:248:2,0.11
Rastrelliger,kanagurta,-34.75,116.25,3311:246:3,0.16
Rastrelliger,kanagurta,-34.75,115.75,3311:245:4,0.18
Rastrelliger,kanagurta,-34.25,115.75,3311:245:2,0.17
Rastrelliger,kanagurta,-33.75,119.75,3311:239:4,0.09
Rastrelliger,kanagurta,-33.75,115.25,3311:235:3,0.19
Rastrelliger,kanagurta,-33.25,115.25,3311:235:1,0.17
Rastrelliger,kanagurta,-35.25,22.75,3302:352:2,0.14
Rastrelliger,kanagurta,-35.25,22.25,3302:352:1,0.19
Rastrelliger,kanagurta,-35.75,21.75,3302:351:4,0.03
Rastrelliger,kanagurta,-35.75,21.25,3302:351:3,0.06
Rastrelliger,kanagurta,-35.25,21.75,3302:351:2,0.06
Rastrelliger,kanagurta,-35.75,20.75,3302:350:4,0.01
Rastrelliger,kanagurta,-34.25,25.25,3302:245:1,0.14
