Mapping parameters for Glaucostegus cemiculus (Blackchin guitarfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  34 |  37,
Bounding Box (NSWE): ,42,-19,-19,38

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,9,18,54,100
Temperature (°C),1,16.03,19.92,27.91,32.11
Salinity (psu),1,21.03,26.68,38.21,39.25
Primary Production (mgC·m-3·day-1) ,1,0.53,1.58,45.17,98.91
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,41.08,118.85,235.4,266.8
Distance to Land (km),0,1,9,109,257
 

Map data (HSPEC) for predicted occurrences (n = 867): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Glaucostegus,cemiculus,2.75,8.25,1000:228:3,0.15
Glaucostegus,cemiculus,3.25,8.75,1000:238:2,0.18
Glaucostegus,cemiculus,38.75,1.25,1300:381:3,0.05
Glaucostegus,cemiculus,39.25,1.25,1300:391:1,0.07
Glaucostegus,cemiculus,39.25,1.75,1300:391:2,0.04
Glaucostegus,cemiculus,39.25,2.25,1300:392:1,0.01
Glaucostegus,cemiculus,39.75,2.25,1300:392:3,0.05
Glaucostegus,cemiculus,39.75,2.75,1300:392:4,0.04
Glaucostegus,cemiculus,39.75,4.25,1300:394:3,0.06
Glaucostegus,cemiculus,38.75,8.75,1300:488:4,0.03
Glaucostegus,cemiculus,39.25,8.25,1300:498:1,0.01
Glaucostegus,cemiculus,39.25,8.75,1300:498:2,0.09
Glaucostegus,cemiculus,39.75,8.25,1300:498:3,0.05
Glaucostegus,cemiculus,39.75,8.75,1300:498:4,0.11
Glaucostegus,cemiculus,39.25,9.25,1300:499:1,0.18
Glaucostegus,cemiculus,39.25,9.75,1300:499:2,0.13
Glaucostegus,cemiculus,32.75,13.25,1301:123:3,0.19
Glaucostegus,cemiculus,32.75,13.75,1301:123:4,0.14
Glaucostegus,cemiculus,32.25,14.75,1301:124:2,0.12
Glaucostegus,cemiculus,32.75,14.25,1301:124:3,0.10
Glaucostegus,cemiculus,32.75,14.75,1301:124:4,0.10
Glaucostegus,cemiculus,33.75,11.75,1301:131:4,0.10
Glaucostegus,cemiculus,33.25,12.25,1301:132:1,0.08
Glaucostegus,cemiculus,33.25,12.75,1301:132:2,0.07
Glaucostegus,cemiculus,33.75,12.25,1301:132:3,0.02
Glaucostegus,cemiculus,33.75,12.75,1301:132:4,0.01
Glaucostegus,cemiculus,33.25,13.75,1301:133:2,0.10
Glaucostegus,cemiculus,34.25,11.25,1301:141:1,0.12
Glaucostegus,cemiculus,34.25,11.75,1301:141:2,0.04
Glaucostegus,cemiculus,34.75,11.75,1301:141:4,0.13
Glaucostegus,cemiculus,34.25,12.25,1301:142:1,0.01
Glaucostegus,cemiculus,34.75,12.25,1301:142:3,0.03
Glaucostegus,cemiculus,34.75,12.75,1301:142:4,0.01
Glaucostegus,cemiculus,34.25,13.25,1301:143:1,0.01
Glaucostegus,cemiculus,34.75,13.25,1301:143:3,0.01
Glaucostegus,cemiculus,30.75,18.75,1301:208:4,0.09
Glaucostegus,cemiculus,30.75,19.25,1301:209:3,0.02
Glaucostegus,cemiculus,30.75,19.75,1301:209:4,0.10
Glaucostegus,cemiculus,31.75,15.25,1301:215:3,0.16
Glaucostegus,cemiculus,31.75,15.75,1301:215:4,0.14
Glaucostegus,cemiculus,31.25,16.25,1301:216:1,0.12
Glaucostegus,cemiculus,31.25,16.75,1301:216:2,0.10
Glaucostegus,cemiculus,31.75,16.25,1301:216:3,0.09
Glaucostegus,cemiculus,31.25,17.25,1301:217:1,0.10
Glaucostegus,cemiculus,31.25,17.75,1301:217:2,0.10
Glaucostegus,cemiculus,31.25,18.25,1301:218:1,0.08
Glaucostegus,cemiculus,31.25,19.75,1301:219:2,0.09
Glaucostegus,cemiculus,31.75,19.75,1301:219:4,0.08
Glaucostegus,cemiculus,32.25,15.25,1301:225:1,0.11
Glaucostegus,cemiculus,32.25,15.75,1301:225:2,0.07
Glaucostegus,cemiculus,32.75,15.25,1301:225:3,0.03
Glaucostegus,cemiculus,32.25,19.75,1301:229:2,0.11
Glaucostegus,cemiculus,35.25,11.75,1301:351:2,0.10
Glaucostegus,cemiculus,35.75,11.25,1301:351:3,0.18
Glaucostegus,cemiculus,35.25,12.25,1301:352:1,0.04
Glaucostegus,cemiculus,35.25,12.75,1301:352:2,0.01
Glaucostegus,cemiculus,35.75,12.75,1301:352:4,0.01
Glaucostegus,cemiculus,35.25,13.25,1301:353:1,0.02
Glaucostegus,cemiculus,35.75,14.25,1301:354:3,0.11
Glaucostegus,cemiculus,35.75,14.75,1301:354:4,0.09
Glaucostegus,cemiculus,36.75,12.25,1301:362:3,0.01
Glaucostegus,cemiculus,36.75,12.75,1301:362:4,0.04
Glaucostegus,cemiculus,36.75,13.25,1301:363:3,0.04
Glaucostegus,cemiculus,36.25,14.25,1301:364:1,0.13
Glaucostegus,cemiculus,36.25,14.75,1301:364:2,0.05
Glaucostegus,cemiculus,37.25,10.75,1301:370:2,0.15
Glaucostegus,cemiculus,37.25,12.75,1301:372:2,0.01
Glaucostegus,cemiculus,37.75,12.75,1301:372:4,0.04
Glaucostegus,cemiculus,37.25,13.25,1301:373:1,0.10
Glaucostegus,cemiculus,37.25,13.75,1301:373:2,0.15
Glaucostegus,cemiculus,37.75,13.25,1301:373:3,0.06
Glaucostegus,cemiculus,38.25,12.25,1301:382:1,0.01
Glaucostegus,cemiculus,38.25,12.75,1301:382:2,0.08
Glaucostegus,cemiculus,38.25,13.25,1301:383:1,0.02
Glaucostegus,cemiculus,38.25,14.25,1301:384:1,0.04
Glaucostegus,cemiculus,38.25,14.75,1301:384:2,0.03
Glaucostegus,cemiculus,35.75,15.25,1301:455:3,0.09
Glaucostegus,cemiculus,36.25,15.25,1301:465:1,0.05
Glaucostegus,cemiculus,38.25,15.25,1301:485:1,0.15
Glaucostegus,cemiculus,38.75,15.75,1301:485:4,0.19
Glaucostegus,cemiculus,38.25,16.75,1301:486:2,0.19
Glaucostegus,cemiculus,39.25,15.75,1301:495:2,0.04
Glaucostegus,cemiculus,39.25,17.25,1301:497:1,0.13
Glaucostegus,cemiculus,39.75,17.25,1301:497:3,0.12
Glaucostegus,cemiculus,39.75,17.75,1301:497:4,0.02
Glaucostegus,cemiculus,39.75,18.25,1301:498:3,0.04
Glaucostegus,cemiculus,39.75,18.75,1301:498:4,0.11
