Mapping parameters for Rhinoptera bonasus (Cownose ray)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31 |  34 |  41,
Bounding Box (NSWE): ,42,-1,-99,-12

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,2,12,22
Temperature (°C),1,10.1,15.31,27.55,31.75
Salinity (psu),1,19.98,26.9,36.17,36.79
Primary Production (mgC·m-3·day-1) ,1,0.16,2.69,34.55,102.5
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.02
Dissolved Bottom Oxygen (mmol·m-3),0,122.9,201.26,257.24,278.89
Distance to Land (km),0,1,6,102,237
 

Map data (HSPEC) for predicted occurrences (n = 1147): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Rhinoptera,bonasus,0.75,-49.25,7004:209:3,0.09
Rhinoptera,bonasus,1.25,-47.75,7004:217:2,0.03
Rhinoptera,bonasus,1.25,-48.75,7004:218:2,0.16
Rhinoptera,bonasus,1.75,-48.75,7004:218:4,0.18
Rhinoptera,bonasus,1.25,-49.25,7004:219:1,0.12
Rhinoptera,bonasus,1.75,-49.25,7004:219:3,0.17
Rhinoptera,bonasus,2.75,-49.75,7004:229:4,0.16
Rhinoptera,bonasus,3.75,-49.75,7004:239:4,0.09
Rhinoptera,bonasus,3.75,-50.75,7005:130:4,0.14
Rhinoptera,bonasus,4.25,-51.25,7005:141:1,0.08
Rhinoptera,bonasus,9.75,-78.25,7007:498:3,0.03
Rhinoptera,bonasus,9.75,-78.75,7007:498:4,0.05
Rhinoptera,bonasus,9.75,-79.25,7007:499:3,0.06
Rhinoptera,bonasus,9.75,-79.75,7007:499:4,0.17
Rhinoptera,bonasus,18.75,-16.25,7101:486:3,0.05
Rhinoptera,bonasus,18.25,-64.25,7106:384:1,0.16
Rhinoptera,bonasus,18.25,-64.75,7106:384:2,0.16
Rhinoptera,bonasus,18.75,-64.25,7106:384:3,0.12
Rhinoptera,bonasus,18.75,-64.75,7106:384:4,0.15
Rhinoptera,bonasus,17.75,-66.25,7106:476:3,0.19
Rhinoptera,bonasus,17.75,-66.75,7106:476:4,0.19
Rhinoptera,bonasus,17.75,-67.25,7106:477:3,0.19
Rhinoptera,bonasus,18.75,-65.75,7106:485:4,0.12
Rhinoptera,bonasus,18.25,-66.25,7106:486:1,0.07
Rhinoptera,bonasus,18.25,-66.75,7106:486:2,0.15
Rhinoptera,bonasus,18.75,-66.25,7106:486:3,0.06
Rhinoptera,bonasus,18.75,-66.75,7106:486:4,0.11
Rhinoptera,bonasus,18.25,-67.25,7106:487:1,0.17
Rhinoptera,bonasus,18.25,-67.75,7106:487:2,0.16
Rhinoptera,bonasus,18.75,-67.25,7106:487:3,0.15
Rhinoptera,bonasus,18.25,-68.25,7106:488:1,0.16
Rhinoptera,bonasus,18.25,-68.75,7106:488:2,0.14
Rhinoptera,bonasus,18.75,-68.25,7106:488:3,0.15
Rhinoptera,bonasus,18.25,-69.25,7106:489:1,0.14
Rhinoptera,bonasus,19.25,-68.75,7106:498:2,0.10
Rhinoptera,bonasus,19.75,-69.75,7106:499:4,0.08
Rhinoptera,bonasus,17.75,-71.25,7107:371:3,0.17
Rhinoptera,bonasus,17.75,-71.75,7107:371:4,0.17
Rhinoptera,bonasus,18.25,-72.25,7107:382:1,0.18
Rhinoptera,bonasus,18.75,-72.75,7107:382:4,0.11
Rhinoptera,bonasus,18.25,-73.25,7107:383:1,0.18
Rhinoptera,bonasus,18.25,-73.75,7107:383:2,0.13
Rhinoptera,bonasus,18.75,-73.25,7107:383:3,0.10
Rhinoptera,bonasus,18.75,-73.75,7107:383:4,0.02
Rhinoptera,bonasus,18.25,-74.25,7107:384:1,0.06
Rhinoptera,bonasus,18.25,-74.75,7107:384:2,0.08
Rhinoptera,bonasus,18.75,-74.25,7107:384:3,0.02
Rhinoptera,bonasus,19.25,-72.75,7107:392:2,0.16
Rhinoptera,bonasus,19.75,-72.75,7107:392:4,0.16
Rhinoptera,bonasus,19.75,-73.25,7107:393:3,0.08
Rhinoptera,bonasus,17.75,-76.25,7107:476:3,0.08
Rhinoptera,bonasus,17.75,-76.75,7107:476:4,0.07
Rhinoptera,bonasus,17.25,-77.25,7107:477:1,0.01
