Mapping parameters for Rhomboplites aurorubens (Vermilion snapper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31 |  41,
Bounding Box (NSWE): ,42,-33,-99,-30

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,40,40,100,300
Temperature (°C),1,11.57,23.03,28.19,32.39
Salinity (psu),1,21.55,33.17,36.24,38.3
Primary Production (mgC·m-3·day-1) ,1,-0.53,0.47,19.67,102.5
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,122.46,161.88,240.95,272.32
Distance to Land (km),0,0,15,203,405
 

Map data (HSPEC) for predicted occurrences (n = 1452): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Rhomboplites,aurorubens,41.25,-72.75,7407:112:2,0.05
Rhomboplites,aurorubens,41.25,-72.25,7407:112:1,0.06
Rhomboplites,aurorubens,41.25,-71.75,7407:111:2,0.08
Rhomboplites,aurorubens,41.25,-71.25,7407:111:1,0.09
Rhomboplites,aurorubens,41.75,-70.75,7407:110:4,0.05
Rhomboplites,aurorubens,41.75,-70.25,7407:110:3,0.02
Rhomboplites,aurorubens,41.25,-70.75,7407:110:2,0.07
Rhomboplites,aurorubens,41.25,-70.25,7407:110:1,0.02
Rhomboplites,aurorubens,40.75,-73.25,7407:103:3,0.14
Rhomboplites,aurorubens,40.25,-73.75,7407:103:2,0.19
Rhomboplites,aurorubens,40.75,-72.75,7407:102:4,0.14
Rhomboplites,aurorubens,40.75,-72.25,7407:102:3,0.15
Rhomboplites,aurorubens,40.75,-71.75,7407:101:4,0.16
Rhomboplites,aurorubens,40.75,-71.25,7407:101:3,0.16
Rhomboplites,aurorubens,40.75,-70.75,7407:100:4,0.13
Rhomboplites,aurorubens,40.75,-70.25,7407:100:3,0.08
Rhomboplites,aurorubens,41.75,-69.25,7406:219:3,0.02
Rhomboplites,aurorubens,41.75,-68.75,7406:218:4,0.02
Rhomboplites,aurorubens,41.25,-68.75,7406:218:2,0.01
Rhomboplites,aurorubens,41.25,-66.75,7406:216:2,0.01
Rhomboplites,aurorubens,41.25,-66.25,7406:216:1,0.10
Rhomboplites,aurorubens,41.75,-65.75,7406:215:4,0.03
Rhomboplites,aurorubens,41.25,-65.75,7406:215:2,0.15
Rhomboplites,aurorubens,40.75,-69.75,7406:209:4,0.04
Rhomboplites,aurorubens,40.75,-69.25,7406:209:3,0.04
Rhomboplites,aurorubens,40.75,-68.75,7406:208:4,0.06
Rhomboplites,aurorubens,40.75,-68.25,7406:208:3,0.08
Rhomboplites,aurorubens,40.75,-67.75,7406:207:4,0.10
Rhomboplites,aurorubens,40.75,-67.25,7406:207:3,0.16
Rhomboplites,aurorubens,39.75,-76.25,7307:496:3,0.02
Rhomboplites,aurorubens,39.25,-76.25,7307:496:1,0.02
Rhomboplites,aurorubens,39.25,-75.25,7307:495:1,0.15
Rhomboplites,aurorubens,37.25,-76.75,7307:476:2,0.10
Rhomboplites,aurorubens,37.25,-76.25,7307:476:1,0.12
Rhomboplites,aurorubens,39.75,-70.25,7307:390:3,0.08
Rhomboplites,aurorubens,23.25,-90.25,7209:130:1,0.14
Rhomboplites,aurorubens,29.75,-89.75,7208:499:4,0.07
Rhomboplites,aurorubens,24.25,-87.75,7208:247:2,0.06
Rhomboplites,aurorubens,23.75,-89.75,7208:239:4,0.14
Rhomboplites,aurorubens,21.25,-70.25,7207:110:1,0.07
Rhomboplites,aurorubens,20.25,-73.75,7207:103:2,0.03
Rhomboplites,aurorubens,20.75,-71.75,7207:101:4,0.04
Rhomboplites,aurorubens,20.75,-71.25,7207:101:3,0.19
Rhomboplites,aurorubens,20.25,-71.75,7207:101:2,0.08
Rhomboplites,aurorubens,17.75,-78.25,7107:478:3,0.07
Rhomboplites,aurorubens,17.75,-75.75,7107:475:4,0.15
Rhomboplites,aurorubens,17.25,-61.25,7106:371:1,0.03
Rhomboplites,aurorubens,16.75,-63.75,7106:363:4,0.12
Rhomboplites,aurorubens,11.25,-67.75,7106:217:2,0.18
Rhomboplites,aurorubens,13.25,-60.75,7106:130:2,0.18
Rhomboplites,aurorubens,11.75,-61.25,7106:111:3,0.19
Rhomboplites,aurorubens,11.75,-60.75,7106:110:4,0.12
Rhomboplites,aurorubens,9.25,-77.25,7007:497:1,0.06
Rhomboplites,aurorubens,4.75,-51.75,7005:141:4,0.16
Rhomboplites,aurorubens,4.75,-51.25,7005:141:3,0.14
Rhomboplites,aurorubens,4.25,-50.75,7005:140:2,0.19
Rhomboplites,aurorubens,3.25,-50.25,7005:130:1,0.12
Rhomboplites,aurorubens,1.25,-49.25,7004:219:1,0.05
Rhomboplites,aurorubens,1.75,-48.75,7004:218:4,0.11
Rhomboplites,aurorubens,0.75,-49.25,7004:209:3,0.03
Rhomboplites,aurorubens,0.75,-48.75,7004:208:4,0.09
Rhomboplites,aurorubens,-26.75,-46.25,5204:466:3,0.07
Rhomboplites,aurorubens,-21.75,-39.75,5203:219:4,0.17
Rhomboplites,aurorubens,-16.75,-37.75,5103:467:4,0.01
Rhomboplites,aurorubens,-16.75,-37.25,5103:467:3,0.10
Rhomboplites,aurorubens,-1.25,-48.75,5004:218:2,0.03
Rhomboplites,aurorubens,-0.75,-48.25,5004:208:3,0.14
Rhomboplites,aurorubens,-4.25,-36.25,5003:246:1,0.12
Rhomboplites,aurorubens,-3.75,-33.25,5003:133:3,0.02
Rhomboplites,aurorubens,40.25,-73.25,7407:103:1,0.21
Rhomboplites,aurorubens,40.25,-72.75,7407:102:2,0.22
Rhomboplites,aurorubens,40.25,-72.25,7407:102:1,0.24
Rhomboplites,aurorubens,40.25,-71.75,7407:101:2,0.26
Rhomboplites,aurorubens,40.25,-71.25,7407:101:1,0.28
Rhomboplites,aurorubens,40.25,-70.75,7407:100:2,0.27
Rhomboplites,aurorubens,40.25,-70.25,7407:100:1,0.25
Rhomboplites,aurorubens,40.25,-69.75,7406:209:2,0.22
Rhomboplites,aurorubens,40.25,-69.25,7406:209:1,0.23
Rhomboplites,aurorubens,40.25,-68.75,7406:208:2,0.27
Rhomboplites,aurorubens,40.25,-68.25,7406:208:1,0.33
Rhomboplites,aurorubens,40.25,-67.75,7406:207:2,0.32
Rhomboplites,aurorubens,40.25,-67.25,7406:207:1,0.32
Rhomboplites,aurorubens,40.75,-66.75,7406:206:4,0.24
Rhomboplites,aurorubens,40.75,-66.25,7406:206:3,0.20
Rhomboplites,aurorubens,30.75,-88.25,7308:208:3,0.21
Rhomboplites,aurorubens,30.25,-88.25,7308:208:1,0.38
Rhomboplites,aurorubens,37.75,-75.75,7307:475:4,0.20
Rhomboplites,aurorubens,36.75,-76.25,7307:466:3,0.30
Rhomboplites,aurorubens,36.25,-76.75,7307:466:2,0.39
Rhomboplites,aurorubens,36.75,-75.75,7307:465:4,0.37
Rhomboplites,aurorubens,39.75,-74.25,7307:394:3,0.21
Rhomboplites,aurorubens,39.25,-74.25,7307:394:1,0.26
Rhomboplites,aurorubens,39.75,-73.25,7307:393:3,0.27
Rhomboplites,aurorubens,39.25,-73.75,7307:393:2,0.29
Rhomboplites,aurorubens,39.25,-73.25,7307:393:1,0.34
Rhomboplites,aurorubens,39.75,-72.75,7307:392:4,0.30
Rhomboplites,aurorubens,39.75,-72.25,7307:392:3,0.35
Rhomboplites,aurorubens,39.75,-71.25,7307:391:3,0.34
Rhomboplites,aurorubens,38.75,-74.25,7307:384:3,0.33
Rhomboplites,aurorubens,38.25,-74.75,7307:384:2,0.34
Rhomboplites,aurorubens,38.75,-73.75,7307:383:4,0.37
Rhomboplites,aurorubens,37.75,-73.75,7307:373:4,0.35
Rhomboplites,aurorubens,32.25,-78.25,7307:228:1,0.22
Rhomboplites,aurorubens,32.75,-77.25,7307:227:3,0.24
Rhomboplites,aurorubens,39.75,-69.75,7306:499:4,0.38
Rhomboplites,aurorubens,27.25,-95.75,7209:475:2,0.20
Rhomboplites,aurorubens,27.75,-90.75,7209:370:4,0.38
Rhomboplites,aurorubens,24.25,-96.75,7209:246:2,0.26
Rhomboplites,aurorubens,22.75,-91.25,7209:121:3,0.31
Rhomboplites,aurorubens,29.25,-89.75,7208:499:2,0.30
Rhomboplites,aurorubens,29.25,-89.25,7208:499:1,0.35
Rhomboplites,aurorubens,29.75,-88.75,7208:498:4,0.24
Rhomboplites,aurorubens,29.25,-86.75,7208:496:2,0.22
Rhomboplites,aurorubens,28.75,-86.25,7208:486:3,0.23
Rhomboplites,aurorubens,28.25,-85.75,7208:485:2,0.35
Rhomboplites,aurorubens,25.25,-79.75,7207:459:2,0.21
Rhomboplites,aurorubens,24.75,-75.25,7207:245:3,0.33
Rhomboplites,aurorubens,24.25,-74.75,7207:144:2,0.22
Rhomboplites,aurorubens,17.75,-87.25,7108:477:3,0.27
Rhomboplites,aurorubens,11.25,-75.25,7107:215:1,0.27
Rhomboplites,aurorubens,17.75,-64.25,7106:374:3,0.36
Rhomboplites,aurorubens,11.75,-67.75,7106:217:4,0.26
Rhomboplites,aurorubens,12.75,-59.25,7105:229:3,0.34
Rhomboplites,aurorubens,8.75,-57.75,7005:487:4,0.35
Rhomboplites,aurorubens,7.75,-54.75,7005:374:4,0.31
Rhomboplites,aurorubens,7.75,-53.75,7005:373:4,0.38
Rhomboplites,aurorubens,5.25,-52.25,7005:352:1,0.33
Rhomboplites,aurorubens,5.25,-51.75,7005:351:2,0.37
Rhomboplites,aurorubens,4.75,-52.25,7005:142:3,0.21
Rhomboplites,aurorubens,2.75,-49.75,7004:229:4,0.22
Rhomboplites,aurorubens,2.25,-49.25,7004:229:1,0.28
Rhomboplites,aurorubens,2.25,-48.75,7004:228:2,0.30
Rhomboplites,aurorubens,1.75,-48.25,7004:218:3,0.32
Rhomboplites,aurorubens,1.25,-48.25,7004:218:1,0.31
Rhomboplites,aurorubens,1.25,-47.75,7004:217:2,0.29
Rhomboplites,aurorubens,0.75,-48.25,7004:208:3,0.31
Rhomboplites,aurorubens,-30.25,-51.25,5305:101:1,0.37
Rhomboplites,aurorubens,-30.75,-50.75,5305:100:4,0.39
Rhomboplites,aurorubens,-24.75,-44.25,5204:144:3,0.32
Rhomboplites,aurorubens,-22.25,-39.75,5203:229:2,0.31
Rhomboplites,aurorubens,-1.75,-42.25,5004:112:3,0.36
