Mapping parameters for Sardinella albella (White sardinella)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 |  77 ,
Bounding Box (NSWE): ,31,-30,31,155

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,21.47,25.36,29.21,33.41
Salinity (psu),1,21.09,30.11,36.45,39.93
Primary Production (mgC·m-3·day-1) ,1,0.43,3.86,26.76,195.85
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,132.41,211.25,249.82
Distance to Land (km),0,1,9,109,473
 

Map data (HSPEC) for predicted occurrences (n = 4406): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sardinella,albella,-25.75,152.75,3215:352:4,0.18
Sardinella,albella,-22.75,150.25,3215:120:3,0.12
Sardinella,albella,-29.25,115.25,3211:495:1,0.01
Sardinella,albella,-29.75,114.75,3211:394:4,0.02
Sardinella,albella,-29.75,114.25,3211:394:3,0.02
Sardinella,albella,-29.25,114.25,3211:394:1,0.06
Sardinella,albella,-28.75,114.75,3211:384:4,0.03
Sardinella,albella,-28.75,114.25,3211:384:3,0.06
Sardinella,albella,-28.25,114.75,3211:384:2,0.07
Sardinella,albella,-28.25,114.25,3211:384:1,0.05
Sardinella,albella,-28.75,113.75,3211:383:4,0.12
Sardinella,albella,-28.25,113.75,3211:383:2,0.11
Sardinella,albella,-28.25,113.25,3211:383:1,0.16
Sardinella,albella,-27.75,114.25,3211:374:3,0.10
Sardinella,albella,-27.25,114.25,3211:374:1,0.16
Sardinella,albella,-27.75,113.75,3211:373:4,0.09
Sardinella,albella,-27.75,113.25,3211:373:3,0.17
Sardinella,albella,-27.25,113.75,3211:373:2,0.13
Sardinella,albella,-27.25,113.25,3211:373:1,0.19
Sardinella,albella,-24.25,112.75,3211:142:2,0.08
Sardinella,albella,-21.25,55.75,3205:215:2,0.11
Sardinella,albella,-21.25,55.25,3205:215:1,0.13
Sardinella,albella,-20.25,57.75,3205:207:2,0.14
Sardinella,albella,-20.25,57.25,3205:207:1,0.15
Sardinella,albella,-20.75,55.75,3205:205:4,0.11
Sardinella,albella,-20.75,55.25,3205:205:3,0.10
Sardinella,albella,-20.25,36.25,3203:206:1,0.17
Sardinella,albella,-20.25,34.75,3203:104:2,0.09
Sardinella,albella,-18.75,152.25,3115:382:3,0.10
Sardinella,albella,-17.25,152.25,3115:372:1,0.07
Sardinella,albella,-17.75,151.75,3115:371:4,0.09
Sardinella,albella,-17.75,151.25,3115:371:3,0.13
Sardinella,albella,-17.25,151.75,3115:371:2,0.12
Sardinella,albella,-17.25,151.25,3115:371:1,0.13
Sardinella,albella,-17.75,150.75,3115:370:4,0.18
Sardinella,albella,-17.25,150.75,3115:370:2,0.14
Sardinella,albella,-17.25,150.25,3115:370:1,0.05
Sardinella,albella,-16.75,150.25,3115:360:3,0.13
Sardinella,albella,-16.25,150.25,3115:360:1,0.14
Sardinella,albella,-17.25,149.75,3114:479:2,0.10
Sardinella,albella,-17.25,148.75,3114:478:2,0.11
Sardinella,albella,-17.25,148.25,3114:478:1,0.17
Sardinella,albella,-16.75,149.75,3114:469:4,0.12
Sardinella,albella,-16.75,149.25,3114:469:3,0.11
Sardinella,albella,-16.25,149.75,3114:469:2,0.13
Sardinella,albella,-16.25,148.25,3114:468:1,0.17
Sardinella,albella,-16.75,147.75,3114:467:4,0.17
Sardinella,albella,-16.25,147.75,3114:467:2,0.18
Sardinella,albella,-14.75,138.75,3113:248:4,0.12
