Mapping parameters for Sardinella sindensis (Sind sardinella)

"Cite AquaMaps itself as: Kaschner, K., J. Rius-Barile, K. Kesner-Reyes, C. Garilao, S.O. Kullander, T. Rees and R. Froese. 2013. AquaMaps: Predicted range maps for aquatic species World Wide Web electronic publication, www.aquamaps.org, Version 08/2013. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51 |  61,
Bounding Box (NSWE): ,30,10,42,74

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,24.49,25.01,28.47,32.67
Salinity (psu),1,30.99,35.41,39.5,40
Primary Production,1,612,778,2642,3467.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,8.5,17,90,121
 

Map data (HSPEC) for predicted occurrences (n = 389): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,SST,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Sardinella,sindensis,13.75,48.75,1104:238:4,0.08,,,,,,
Sardinella,sindensis,11.25,72.75,1107:112:2,0.19,,,,,,
Sardinella,sindensis,27.25,49.75,1204:479:2,0.14,,,,,,
Sardinella,sindensis,28.75,49.25,1204:489:3,0.11,,,,,,
Sardinella,sindensis,28.75,49.75,1204:489:4,0.09,,,,,,
Sardinella,sindensis,23.75,52.25,1205:132:3,0.14,,,,,,
Sardinella,sindensis,26.75,52.25,1205:362:3,0.17,,,,,,
Sardinella,sindensis,27.25,50.25,1205:370:1,0.14,,,,,,
Sardinella,sindensis,27.25,50.75,1205:370:2,0.14,,,,,,
Sardinella,sindensis,27.75,50.25,1205:370:3,0.14,,,,,,
Sardinella,sindensis,27.25,51.25,1205:371:1,0.10,,,,,,
Sardinella,sindensis,27.75,51.25,1205:371:3,0.14,,,,,,
Sardinella,sindensis,27.75,51.75,1205:371:4,0.14,,,,,,
Sardinella,sindensis,25.25,65.75,1206:455:2,0.16,,,,,,
Sardinella,sindensis,14.75,43.25,1104:143:3,0.38,,,,,,
Sardinella,sindensis,17.75,71.75,1107:371:4,0.28,,,,,,
Sardinella,sindensis,18.25,71.75,1107:381:2,0.33,,,,,,
Sardinella,sindensis,18.75,73.25,1107:383:3,0.20,,,,,,
Sardinella,sindensis,19.25,73.25,1107:393:1,0.20,,,,,,
Sardinella,sindensis,27.75,48.75,1204:478:4,0.20,,,,,,
Sardinella,sindensis,27.25,49.25,1204:479:1,0.20,,,,,,
Sardinella,sindensis,27.75,49.25,1204:479:3,0.20,,,,,,
Sardinella,sindensis,27.75,49.75,1204:479:4,0.20,,,,,,
Sardinella,sindensis,28.25,48.75,1204:488:2,0.20,,,,,,
Sardinella,sindensis,28.25,49.25,1204:489:1,0.20,,,,,,
Sardinella,sindensis,28.25,49.75,1204:489:2,0.20,,,,,,
Sardinella,sindensis,24.75,52.75,1205:142:4,0.30,,,,,,
Sardinella,sindensis,24.25,54.75,1205:144:2,0.20,,,,,,
Sardinella,sindensis,20.25,57.75,1205:207:2,0.31,,,,,,
Sardinella,sindensis,26.25,52.75,1205:362:2,0.38,,,,,,
Sardinella,sindensis,26.75,52.75,1205:362:4,0.29,,,,,,
Sardinella,sindensis,27.25,52.25,1205:372:1,0.25,,,,,,
Sardinella,sindensis,25.75,56.75,1205:456:4,0.29,,,,,,
Sardinella,sindensis,25.75,59.25,1205:459:3,0.20,,,,,,
Sardinella,sindensis,22.25,67.75,1206:227:2,0.38,,,,,,
Sardinella,sindensis,23.75,68.75,1206:238:4,0.20,,,,,,
Sardinella,sindensis,24.25,67.75,1206:247:2,0.20,,,,,,
Sardinella,sindensis,25.75,64.25,1206:354:3,0.20,,,,,,
Sardinella,sindensis,25.25,65.25,1206:455:1,0.37,,,,,,
Sardinella,sindensis,25.75,66.75,1206:456:4,0.20,,,,,,
Sardinella,sindensis,20.75,72.25,1207:102:3,0.25,,,,,,
Sardinella,sindensis,23.25,70.25,1207:130:1,0.20,,,,,,
Sardinella,sindensis,11.25,43.25,1104:113:1,0.40,,,,,,
Sardinella,sindensis,18.25,56.75,1105:486:2,0.55,,,,,,
Sardinella,sindensis,18.75,56.75,1105:486:4,0.58,,,,,,
Sardinella,sindensis,19.25,69.75,1106:499:2,0.42,,,,,,
Sardinella,sindensis,11.75,72.75,1107:112:4,0.53,,,,,,
Sardinella,sindensis,18.75,72.25,1107:382:3,0.46,,,,,,
Sardinella,sindensis,29.25,47.75,1204:497:2,0.56,,,,,,
