Mapping parameters for Sardinella zunasi (Japanese sardinella)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61,
Bounding Box (NSWE): ,38,22,117,134

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,5,9,28,50
Temperature (°C),1,3.21,13.88,25.22,29.42
Salinity (psu),1,24.41,27.54,34.11,39.31
Primary Production (mgC·m-3·day-1) ,1,1.2,5.24,33.44,61.42
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,94.35,190.03,287.43,385.6
Distance to Land (km),0,3,8,91,113
 

Map data (HSPEC) for predicted occurrences (n = 377): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sardinella,zunasi,29.25,123.25,1212:393:1,0.18
Sardinella,zunasi,25.75,127.25,1212:457:3,0.03
Sardinella,zunasi,29.75,125.25,1212:495:3,0.14
Sardinella,zunasi,29.75,127.25,1212:497:3,0.09
Sardinella,zunasi,30.25,124.25,1312:104:1,0.09
Sardinella,zunasi,30.75,124.25,1312:104:3,0.18
Sardinella,zunasi,30.75,124.75,1312:104:4,0.14
Sardinella,zunasi,32.75,124.75,1312:124:4,0.14
Sardinella,zunasi,33.25,120.75,1312:130:2,0.12
Sardinella,zunasi,33.25,124.25,1312:134:1,0.14
Sardinella,zunasi,31.25,125.75,1312:215:2,0.14
Sardinella,zunasi,36.25,121.75,1312:361:2,0.13
Sardinella,zunasi,36.75,121.75,1312:361:4,0.16
Sardinella,zunasi,36.25,122.25,1312:362:1,0.16
Sardinella,zunasi,36.25,122.75,1312:362:2,0.18
Sardinella,zunasi,36.75,122.25,1312:362:3,0.15
Sardinella,zunasi,37.75,120.75,1312:370:4,0.01
Sardinella,zunasi,37.25,122.25,1312:372:1,0.17
Sardinella,zunasi,37.75,122.25,1312:372:3,0.11
Sardinella,zunasi,35.75,125.25,1312:455:3,0.18
Sardinella,zunasi,37.25,131.75,1313:371:2,0.18
Sardinella,zunasi,23.25,117.25,1211:237:1,0.32
Sardinella,zunasi,23.75,117.25,1211:237:3,0.21
Sardinella,zunasi,29.75,122.25,1212:392:3,0.25
Sardinella,zunasi,24.75,131.25,1213:141:3,0.24
Sardinella,zunasi,31.25,124.75,1312:114:2,0.32
Sardinella,zunasi,33.75,120.25,1312:130:3,0.25
Sardinella,zunasi,33.75,120.75,1312:130:4,0.35
Sardinella,zunasi,33.25,121.25,1312:131:1,0.28
Sardinella,zunasi,33.75,123.25,1312:133:3,0.32
Sardinella,zunasi,31.25,125.25,1312:215:1,0.27
Sardinella,zunasi,31.75,126.25,1312:216:3,0.27
Sardinella,zunasi,31.75,128.25,1312:218:3,0.32
Sardinella,zunasi,32.25,125.25,1312:225:1,0.23
Sardinella,zunasi,35.25,120.25,1312:350:1,0.39
Sardinella,zunasi,35.75,121.25,1312:351:3,0.27
Sardinella,zunasi,35.75,121.75,1312:351:4,0.27
Sardinella,zunasi,35.25,122.25,1312:352:1,0.36
Sardinella,zunasi,35.75,122.25,1312:352:3,0.37
Sardinella,zunasi,35.75,122.75,1312:352:4,0.24
Sardinella,zunasi,36.25,121.25,1312:361:1,0.35
Sardinella,zunasi,36.75,121.25,1312:361:3,0.24
Sardinella,zunasi,36.75,124.25,1312:364:3,0.24
Sardinella,zunasi,37.25,122.75,1312:372:2,0.38
Sardinella,zunasi,37.75,126.25,1312:476:3,0.20
Sardinella,zunasi,24.25,117.75,1211:247:2,0.55
Sardinella,zunasi,22.25,120.25,1212:120:1,0.46
Sardinella,zunasi,22.25,120.75,1212:120:2,0.51
Sardinella,zunasi,22.75,120.75,1212:120:4,0.59
Sardinella,zunasi,22.25,121.75,1212:121:2,0.49
Sardinella,zunasi,22.75,121.25,1212:121:3,0.55
Sardinella,zunasi,22.75,121.75,1212:121:4,0.52
Sardinella,zunasi,24.25,122.75,1212:142:2,0.41
Sardinella,zunasi,24.25,123.25,1212:143:1,0.53
Sardinella,zunasi,26.25,121.25,1212:361:1,0.50
Sardinella,zunasi,26.75,122.25,1212:362:3,0.45
Sardinella,zunasi,29.25,121.75,1212:391:2,0.58
Sardinella,zunasi,29.75,123.75,1212:393:4,0.55
Sardinella,zunasi,29.75,124.25,1212:394:3,0.50
Sardinella,zunasi,25.75,131.25,1213:351:3,0.54
Sardinella,zunasi,34.25,119.75,1311:249:2,0.52
Sardinella,zunasi,35.25,119.25,1311:459:1,0.40
Sardinella,zunasi,35.75,119.75,1311:459:4,0.57
Sardinella,zunasi,31.25,123.75,1312:113:2,0.45
Sardinella,zunasi,31.75,123.75,1312:113:4,0.55
Sardinella,zunasi,31.25,124.25,1312:114:1,0.50
Sardinella,zunasi,31.75,124.25,1312:114:3,0.55
Sardinella,zunasi,31.75,124.75,1312:114:4,0.59
Sardinella,zunasi,32.25,123.75,1312:123:2,0.55
Sardinella,zunasi,32.25,124.25,1312:124:1,0.55
Sardinella,zunasi,32.75,124.25,1312:124:3,0.50
Sardinella,zunasi,33.75,121.25,1312:131:3,0.55
Sardinella,zunasi,34.25,120.75,1312:140:2,0.58
Sardinella,zunasi,34.25,121.25,1312:141:1,0.48
Sardinella,zunasi,34.75,121.25,1312:141:3,0.47
Sardinella,zunasi,34.25,122.75,1312:142:2,0.56
Sardinella,zunasi,35.25,120.75,1312:350:2,0.41
Sardinella,zunasi,35.75,120.75,1312:350:4,0.59
Sardinella,zunasi,35.25,121.25,1312:351:1,0.47
Sardinella,zunasi,36.75,122.75,1312:362:4,0.41
