Mapping parameters for Sargocentron hastatum (Red squirrelfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  34 |  47,
Bounding Box (NSWE): ,42,-18,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,3,24,97,200
Temperature (°C),1,16.28,24.45,27.94,32.14
Salinity (psu),1,29.54,30.54,35.82,36.8
Primary Production,1,367,691,2447,3894
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,2,13,208,331
 

Map data (HSPEC) for predicted occurrences (n = 440): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sargocentron,hastatum,1.75,9.25,1000:219:3,0.10
Sargocentron,hastatum,4.75,-7.25,7000:247:3,0.05
Sargocentron,hastatum,5.25,-5.75,7000:455:2,0.05
Sargocentron,hastatum,16.75,-16.25,7101:466:3,0.17
Sargocentron,hastatum,16.75,-16.75,7101:466:4,0.11
Sargocentron,hastatum,18.75,-16.25,7101:486:3,0.05
Sargocentron,hastatum,19.25,-16.25,7101:496:1,0.16
Sargocentron,hastatum,17.25,-25.25,7102:475:1,0.18
Sargocentron,hastatum,29.75,-9.75,7200:499:4,0.16
Sargocentron,hastatum,24.75,-14.75,7201:144:4,0.13
Sargocentron,hastatum,20.25,-17.25,7201:207:1,0.18
Sargocentron,hastatum,20.25,-17.75,7201:207:2,0.17
Sargocentron,hastatum,21.25,-17.25,7201:217:1,0.13
Sargocentron,hastatum,21.75,-17.25,7201:217:3,0.13
Sargocentron,hastatum,22.25,-16.25,7201:226:1,0.16
Sargocentron,hastatum,22.25,-16.75,7201:226:2,0.12
Sargocentron,hastatum,22.75,-16.25,7201:226:3,0.16
Sargocentron,hastatum,22.75,-16.75,7201:226:4,0.14
Sargocentron,hastatum,22.25,-17.25,7201:227:1,0.18
Sargocentron,hastatum,22.75,-17.25,7201:227:3,0.19
Sargocentron,hastatum,23.25,-15.75,7201:235:2,0.18
Sargocentron,hastatum,23.75,-15.75,7201:235:4,0.18
Sargocentron,hastatum,23.25,-16.25,7201:236:1,0.17
Sargocentron,hastatum,23.25,-16.75,7201:236:2,0.17
Sargocentron,hastatum,23.75,-16.25,7201:236:3,0.17
Sargocentron,hastatum,23.75,-16.75,7201:236:4,0.17
Sargocentron,hastatum,23.25,-17.25,7201:237:1,0.15
Sargocentron,hastatum,24.25,-15.25,7201:245:1,0.13
Sargocentron,hastatum,24.25,-15.75,7201:245:2,0.08
Sargocentron,hastatum,24.75,-15.25,7201:245:3,0.13
Sargocentron,hastatum,24.75,-15.75,7201:245:4,0.13
Sargocentron,hastatum,24.25,-16.25,7201:246:1,0.09
Sargocentron,hastatum,24.25,-16.75,7201:246:2,0.09
Sargocentron,hastatum,24.75,-16.25,7201:246:3,0.09
Sargocentron,hastatum,25.25,-14.75,7201:354:2,0.13
Sargocentron,hastatum,25.75,-14.75,7201:354:4,0.13
Sargocentron,hastatum,26.75,-13.25,7201:363:3,0.07
Sargocentron,hastatum,26.75,-13.75,7201:363:4,0.07
Sargocentron,hastatum,26.25,-14.25,7201:364:1,0.07
Sargocentron,hastatum,26.25,-14.75,7201:364:2,0.09
Sargocentron,hastatum,26.75,-14.25,7201:364:3,0.07
Sargocentron,hastatum,27.25,-13.25,7201:373:1,0.19
Sargocentron,hastatum,27.25,-13.75,7201:373:2,0.07
Sargocentron,hastatum,27.75,-13.25,7201:373:3,0.19
Sargocentron,hastatum,27.75,-14.75,7201:374:4,0.05
Sargocentron,hastatum,28.75,-10.75,7201:380:4,0.13
Sargocentron,hastatum,28.25,-11.25,7201:381:1,0.07
Sargocentron,hastatum,28.75,-11.25,7201:381:3,0.14
Sargocentron,hastatum,28.75,-11.75,7201:381:4,0.14
Sargocentron,hastatum,28.75,-12.75,7201:382:4,0.16
Sargocentron,hastatum,28.25,-13.25,7201:383:1,0.17
Sargocentron,hastatum,28.25,-13.75,7201:383:2,0.09
Sargocentron,hastatum,28.75,-13.25,7201:383:3,0.10
Sargocentron,hastatum,28.75,-13.75,7201:383:4,0.09
Sargocentron,hastatum,28.25,-14.25,7201:384:1,0.09
Sargocentron,hastatum,28.25,-14.75,7201:384:2,0.03
Sargocentron,hastatum,28.75,-14.25,7201:384:3,0.03
Sargocentron,hastatum,29.25,-10.25,7201:390:1,0.16
Sargocentron,hastatum,29.25,-10.75,7201:390:2,0.12
Sargocentron,hastatum,29.75,-10.25,7201:390:3,0.16
Sargocentron,hastatum,29.25,-11.25,7201:391:1,0.13
Sargocentron,hastatum,29.25,-11.75,7201:391:2,0.06
Sargocentron,hastatum,29.25,-12.25,7201:392:1,0.01
Sargocentron,hastatum,29.75,-12.75,7201:392:4,0.03
Sargocentron,hastatum,29.25,-13.25,7201:393:1,0.05
Sargocentron,hastatum,29.25,-13.75,7201:393:2,0.04
Sargocentron,hastatum,25.25,-15.25,7201:455:1,0.14
Sargocentron,hastatum,25.25,-15.75,7201:455:2,0.14
Sargocentron,hastatum,25.75,-15.25,7201:455:3,0.11
Sargocentron,hastatum,25.75,-15.75,7201:455:4,0.04
Sargocentron,hastatum,25.25,-16.25,7201:456:1,0.09
Sargocentron,hastatum,26.25,-15.25,7201:465:1,0.02
Sargocentron,hastatum,27.75,-15.25,7201:475:3,0.03
Sargocentron,hastatum,27.75,-15.75,7201:475:4,0.02
Sargocentron,hastatum,28.25,-16.25,7201:486:1,0.01
Sargocentron,hastatum,28.25,-17.25,7201:487:1,0.01
Sargocentron,hastatum,30.25,-9.75,7300:209:2,0.15
Sargocentron,hastatum,30.75,-9.75,7300:209:4,0.15
Sargocentron,hastatum,31.25,-9.75,7300:219:2,0.15
Sargocentron,hastatum,31.75,-9.25,7300:219:3,0.13
Sargocentron,hastatum,31.75,-9.75,7300:219:4,0.15
Sargocentron,hastatum,32.75,-8.75,7300:228:4,0.09
Sargocentron,hastatum,32.25,-9.25,7300:229:1,0.08
Sargocentron,hastatum,32.25,-9.75,7300:229:2,0.11
Sargocentron,hastatum,32.75,-9.25,7300:229:3,0.08
Sargocentron,hastatum,32.75,-9.75,7300:229:4,0.03
Sargocentron,hastatum,33.75,-6.75,7300:236:4,0.08
Sargocentron,hastatum,33.75,-7.25,7300:237:3,0.15
Sargocentron,hastatum,33.75,-7.75,7300:237:4,0.18
Sargocentron,hastatum,33.25,-8.25,7300:238:1,0.13
Sargocentron,hastatum,33.25,-8.75,7300:238:2,0.09
Sargocentron,hastatum,33.75,-8.25,7300:238:3,0.06
Sargocentron,hastatum,33.25,-9.25,7300:239:1,0.01
Sargocentron,hastatum,34.25,-6.75,7300:246:2,0.12
Sargocentron,hastatum,34.75,-6.25,7300:246:3,0.07
Sargocentron,hastatum,34.75,-6.75,7300:246:4,0.15
Sargocentron,hastatum,34.25,-7.25,7300:247:1,0.12
Sargocentron,hastatum,35.75,-5.75,7300:455:4,0.10
Sargocentron,hastatum,35.25,-6.25,7300:456:1,0.13
Sargocentron,hastatum,35.75,-6.25,7300:456:3,0.13
Sargocentron,hastatum,36.25,-5.75,7300:465:2,0.09
Sargocentron,hastatum,36.25,-6.25,7300:466:1,0.11
Sargocentron,hastatum,36.75,-8.25,7300:468:3,0.17
Sargocentron,hastatum,36.75,-8.75,7300:468:4,0.17
Sargocentron,hastatum,36.75,-9.25,7300:469:3,0.07
Sargocentron,hastatum,37.25,-6.75,7300:476:2,0.19
Sargocentron,hastatum,37.25,-7.25,7300:477:1,0.18
Sargocentron,hastatum,37.25,-7.75,7300:477:2,0.18
Sargocentron,hastatum,37.25,-8.25,7300:478:1,0.14
Sargocentron,hastatum,37.25,-8.75,7300:478:2,0.14
Sargocentron,hastatum,37.75,-8.75,7300:478:4,0.14
Sargocentron,hastatum,37.25,-9.25,7300:479:1,0.13
Sargocentron,hastatum,38.25,-8.75,7300:488:2,0.12
Sargocentron,hastatum,38.75,-8.75,7300:488:4,0.12
Sargocentron,hastatum,38.25,-9.25,7300:489:1,0.10
Sargocentron,hastatum,38.75,-9.25,7300:489:3,0.13
Sargocentron,hastatum,38.75,-9.75,7300:489:4,0.13
Sargocentron,hastatum,39.75,-8.75,7300:498:4,0.10
Sargocentron,hastatum,39.25,-9.25,7300:499:1,0.11
Sargocentron,hastatum,39.25,-9.75,7300:499:2,0.09
Sargocentron,hastatum,39.75,-9.25,7300:499:3,0.11
Sargocentron,hastatum,39.75,-9.75,7300:499:4,0.11
Sargocentron,hastatum,30.75,-10.25,7301:100:3,0.16
Sargocentron,hastatum,30.75,-10.75,7301:100:4,0.13
Sargocentron,hastatum,30.25,-12.75,7301:102:2,0.02
Sargocentron,hastatum,31.25,-10.25,7301:110:1,0.16
Sargocentron,hastatum,31.75,-10.25,7301:110:3,0.16
Sargocentron,hastatum,37.75,-25.25,7302:475:3,0.01
Sargocentron,hastatum,37.75,-25.75,7302:475:4,0.02
Sargocentron,hastatum,38.75,-26.75,7302:486:4,0.04
Sargocentron,hastatum,38.25,-27.75,7302:487:2,0.03
Sargocentron,hastatum,38.75,-27.25,7302:487:3,0.05
