Mapping parameters for Sargocentron iota (Dwarf squirrelfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  57 |  71 |  77 ,
Bounding Box (NSWE): ,25,-45,105,-154

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,4,18,34
Temperature (°C),1,21.355,25.2,27,33.14
Salinity (psu),1,33,35,35.5,37.245
Primary Production,1,169,188,632,797.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,15,19,129,250
 

Map data (HSPEC) for predicted occurrences (n = 2006): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Sargocentron,iota,1.25,105.25,1010:215:1,0.02,1,0.69381107491857,0.125,0.23262839879154,1,1
Sargocentron,iota,1.75,105.25,1010:215:3,0.01,0.125,0.69381107491857,0.125,0.5166163141994,1,1
Sargocentron,iota,1.25,106.75,1010:216:2,0.02,1,0.69218241042345,0.039999999999999,0.81873111782477,1,1
Sargocentron,iota,1.75,106.25,1010:216:3,0.03,1,0.69218241042345,0.039999999999999,0.93353474320242,1,1
Sargocentron,iota,1.75,106.75,1010:216:4,0.03,1,0.69218241042345,0.039999999999999,0.90936555891239,1,1
Sargocentron,iota,1.25,107.25,1010:217:1,0.02,1,0.685667752443,0.039999999999999,0.63746223564955,1,1
Sargocentron,iota,2.25,105.25,1010:225:1,0.01,0.1875,0.70521172638437,0.045000000000002,0.96374622356495,1,1
Sargocentron,iota,2.25,105.75,1010:225:2,0.03,1,0.70521172638437,0.045000000000002,1,1,1
Sargocentron,iota,2.75,105.25,1010:225:3,0.03,1,0.70521172638437,0.045000000000002,1,1,1
Sargocentron,iota,2.75,105.75,1010:225:4,0.03,1,0.70521172638437,0.045000000000002,1,1,1
Sargocentron,iota,2.25,106.25,1010:226:1,0.05,1,0.70358306188925,0.065000000000001,1,1,1
Sargocentron,iota,2.75,106.25,1010:226:3,0.05,1,0.70358306188925,0.065000000000001,1,1,1
Sargocentron,iota,2.75,106.75,1010:226:4,0.05,1,0.70358306188925,0.065000000000001,1,1,1
Sargocentron,iota,2.75,107.75,1010:227:4,0.04,1,0.69706840390879,0.055,1,1,1
Sargocentron,iota,3.25,105.75,1010:235:2,0.05,1,0.71986970684039,0.074999999999999,1,1,1
Sargocentron,iota,3.25,106.25,1010:236:1,0.06,1,0.71986970684039,0.09,1,1,1
Sargocentron,iota,3.25,106.75,1010:236:2,0.06,1,0.71986970684039,0.09,1,1,1
Sargocentron,iota,3.75,106.25,1010:236:3,0.06,1,0.71986970684039,0.09,1,1,1
Sargocentron,iota,3.25,107.75,1010:237:2,0.06,1,0.71498371335505,0.079999999999998,1,1,1
Sargocentron,iota,3.75,107.75,1010:237:4,0.06,1,0.71498371335505,0.079999999999998,1,1,1
Sargocentron,iota,3.25,108.25,1010:238:1,0.03,1,0.70684039087948,0.045000000000002,1,1,1
Sargocentron,iota,3.25,108.75,1010:238:2,0.03,1,0.70684039087948,0.045000000000002,0.82477341389728,1,1
Sargocentron,iota,3.75,108.25,1010:238:3,0.03,1,0.70684039087948,0.045000000000002,1,1,1
Sargocentron,iota,3.75,108.75,1010:238:4,0.03,1,0.70684039087948,0.045000000000002,1,1,1
Sargocentron,iota,4.25,107.25,1010:247:1,0.09,1,0.73941368078176,0.125,1,1,1
Sargocentron,iota,4.25,107.75,1010:247:2,0.09,1,0.73941368078176,0.125,1,1,1
Sargocentron,iota,4.75,107.75,1010:247:4,0.09,1,0.73941368078176,0.125,1,1,1
Sargocentron,iota,4.25,108.25,1010:248:1,0.07,1,0.7328990228013,0.1,1,1,1
Sargocentron,iota,4.25,108.75,1010:248:2,0.07,1,0.7328990228013,0.1,1,1,1
Sargocentron,iota,4.75,108.25,1010:248:3,0.07,1,0.7328990228013,0.1,1,1,1
Sargocentron,iota,6.75,106.25,1010:466:3,0.01,0.125,0.78990228013029,0.125,1,1,1
Sargocentron,iota,6.75,107.25,1010:467:3,0.02,0.125,0.78990228013029,0.155,1,1,1
Sargocentron,iota,7.75,105.75,1010:475:4,0.01,0.375,0.78827361563518,0.02,1,1,1
Sargocentron,iota,7.25,106.25,1010:476:1,0.02,0.25,0.81270358306189,0.1,1,1,1
Sargocentron,iota,7.25,106.75,1010:476:2,0.02,0.25,0.81270358306189,0.1,1,1,1
Sargocentron,iota,7.75,106.25,1010:476:3,0.05,0.5625,0.81270358306189,0.1,1,1,1
Sargocentron,iota,7.75,106.75,1010:476:4,0.03,0.375,0.81270358306189,0.1,1,1,1
Sargocentron,iota,7.75,107.25,1010:477:3,0.07,0.625,0.81596091205212,0.145,1,1,1
Sargocentron,iota,7.75,107.75,1010:477:4,0.06,0.5,0.81596091205212,0.145,1,1,1
Sargocentron,iota,7.25,108.25,1010:478:1,0.05,0.375,0.80130293159609,0.165,1,1,1
Sargocentron,iota,7.75,108.25,1010:478:3,0.12,0.9375,0.80130293159609,0.165,1,1,1
Sargocentron,iota,7.75,109.25,1010:479:3,0.04,0.25,0.78338762214984,0.18,1,1,1
Sargocentron,iota,8.25,106.25,1010:486:1,0.08,1,0.83876221498371,0.1,1,1,1
Sargocentron,iota,8.25,106.75,1010:486:2,0.08,1,0.83876221498371,0.1,1,1,1
Sargocentron,iota,8.75,106.25,1010:486:3,0.08,1,0.83876221498371,0.1,1,1,1
Sargocentron,iota,8.75,106.75,1010:486:4,0.08,1,0.83876221498371,0.1,1,1,1
Sargocentron,iota,8.25,107.25,1010:487:1,0.10,0.9375,0.84527687296417,0.125,1,1,1
Sargocentron,iota,8.25,107.75,1010:487:2,0.11,1,0.84527687296417,0.125,1,1,1
Sargocentron,iota,8.75,107.25,1010:487:3,0.10,0.9375,0.84527687296417,0.125,1,1,1
Sargocentron,iota,8.75,107.75,1010:487:4,0.09,0.8125,0.84527687296417,0.125,1,1,1
Sargocentron,iota,8.25,108.25,1010:488:1,0.13,1,0.8257328990228,0.155,1,1,1
Sargocentron,iota,8.75,108.25,1010:488:3,0.13,1,0.8257328990228,0.155,1,1,1
Sargocentron,iota,9.25,107.25,1010:497:1,0.02,0.75,0.87947882736156,0.12,0.29305135951662,1,1
Sargocentron,iota,9.75,107.75,1010:497:4,0.10,1,0.87947882736156,0.12,0.96978851963746,1,1
Sargocentron,iota,9.25,108.25,1010:498:1,0.10,0.875,0.85342019543974,0.135,1,1,1
Sargocentron,iota,9.25,108.75,1010:498:2,0.12,1,0.85342019543974,0.135,1,1,1
Sargocentron,iota,9.75,108.25,1010:498:3,0.12,1,0.85342019543974,0.135,1,1,1
Sargocentron,iota,9.75,108.75,1010:498:4,0.12,1,0.85342019543974,0.135,1,1,1
Sargocentron,iota,9.75,109.25,1010:499:3,0.07,0.5,0.82736156351792,0.17,1,1,1
Sargocentron,iota,0.25,119.75,1011:209:2,0.01,1,0.64983713355049,0.305,0.075528700906344,1,1
Sargocentron,iota,0.75,119.25,1011:209:3,0.05,1,0.64983713355049,0.305,0.25075528700906,1,1
Sargocentron,iota,1.25,118.75,1011:218:2,0.16,1,0.6628664495114,0.42,0.56495468277946,1,1
Sargocentron,iota,1.75,118.25,1011:218:3,0.03,1,0.6628664495114,0.43,0.099697885196375,1,1
Sargocentron,iota,1.25,119.25,1011:219:1,0.13,1,0.65472312703583,0.42,0.48640483383686,1,1
Sargocentron,iota,4.75,115.25,1011:245:3,0.01,1,0.70195439739414,0.045000000000002,0.20845921450151,1,1
Sargocentron,iota,5.25,112.75,1011:352:2,0.01,1,0.71172638436482,0.015000000000001,1,1,1
Sargocentron,iota,7.75,111.75,1011:371:4,0.13,1,0.74755700325733,0.17,1,1,1
Sargocentron,iota,7.75,112.75,1011:372:4,0.11,1,0.7328990228013,0.155,1,1,1
Sargocentron,iota,7.25,113.75,1011:373:2,0.10,1,0.72312703583062,0.14,1,1,1
Sargocentron,iota,7.75,113.75,1011:373:4,0.10,1,0.72312703583062,0.14,1,1,1
Sargocentron,iota,7.75,114.25,1011:374:3,0.09,1,0.71661237785016,0.12,1,1,1
Sargocentron,iota,8.25,110.75,1011:380:2,0.15,1,0.7785016286645,0.19,1,1,1
Sargocentron,iota,8.25,111.75,1011:381:2,0.14,1,0.7557003257329,0.19,1,1,1
Sargocentron,iota,8.75,111.75,1011:381:4,0.14,1,0.7557003257329,0.19,1,1,1
Sargocentron,iota,8.25,112.25,1011:382:1,0.13,1,0.73452768729642,0.18,1,1,1
Sargocentron,iota,8.75,112.25,1011:382:3,0.13,1,0.73452768729642,0.18,1,1,1
Sargocentron,iota,8.75,112.75,1011:382:4,0.13,1,0.73452768729642,0.18,1,1,1
Sargocentron,iota,8.25,113.25,1011:383:1,0.12,1,0.72312703583062,0.165,1,1,1
Sargocentron,iota,8.25,113.75,1011:383:2,0.12,1,0.72312703583062,0.165,1,1,1
Sargocentron,iota,8.75,113.75,1011:383:4,0.12,1,0.72312703583062,0.165,1,1,1
Sargocentron,iota,8.25,114.25,1011:384:1,0.11,1,0.71498371335505,0.15,1,1,1
Sargocentron,iota,8.25,114.75,1011:384:2,0.11,1,0.71498371335505,0.15,1,1,1
Sargocentron,iota,8.75,114.25,1011:384:3,0.11,1,0.71498371335505,0.15,1,1,1
Sargocentron,iota,9.75,112.75,1011:392:4,0.14,1,0.7442996742671,0.19,1,1,1
Sargocentron,iota,9.25,113.75,1011:393:2,0.13,1,0.72964169381107,0.18,1,1,1
Sargocentron,iota,9.75,113.25,1011:393:3,0.13,1,0.72964169381107,0.18,1,1,1
Sargocentron,iota,9.75,114.25,1011:394:3,0.12,1,0.71986970684039,0.17,1,1,1
Sargocentron,iota,9.75,114.75,1011:394:4,0.12,1,0.71986970684039,0.17,1,1,1
Sargocentron,iota,5.75,115.75,1011:455:4,0.01,1,0.71172638436482,0.045000000000002,0.43202416918429,1,1
Sargocentron,iota,5.25,118.75,1011:458:2,0.10,1,0.69543973941368,0.475,0.29305135951662,1,1
Sargocentron,iota,5.75,119.75,1011:459:4,0.09,1,0.69218241042345,0.34,0.37160120845921,1,1
Sargocentron,iota,6.25,115.25,1011:465:1,0.03,1,0.71172638436482,0.045000000000002,0.92749244712991,1,1
Sargocentron,iota,6.75,115.75,1011:465:4,0.03,1,0.71172638436482,0.045000000000002,1,1,1
Sargocentron,iota,6.25,116.25,1011:466:1,0.02,1,0.71009771986971,0.045000000000002,0.70392749244713,1,1
Sargocentron,iota,6.75,116.75,1011:466:4,0.08,1,0.71009771986971,0.11,1,1,1
Sargocentron,iota,6.75,117.25,1011:467:3,0.11,1,0.70684039087948,0.155,1,1,1
Sargocentron,iota,6.25,118.75,1011:468:2,0.15,1,0.70358306188925,0.27,0.78851963746224,1,1
Sargocentron,iota,6.75,118.25,1011:468:3,0.12,1,0.70358306188925,0.27,0.65558912386707,1,1
Sargocentron,iota,6.75,118.75,1011:468:4,0.19,1,0.70358306188925,0.27,1,1,1
Sargocentron,iota,7.25,116.75,1011:476:2,0.08,1,0.70521172638437,0.11,1,1,1
Sargocentron,iota,7.75,116.75,1011:476:4,0.08,1,0.70521172638437,0.11,1,1,1
Sargocentron,iota,7.25,117.25,1011:477:1,0.11,1,0.70195439739414,0.155,1,1,1
Sargocentron,iota,7.25,117.75,1011:477:2,0.01,1,0.70195439739414,0.155,0.11178247734139,1,1
Sargocentron,iota,7.75,117.25,1011:477:3,0.11,1,0.70195439739414,0.155,1,1,1
Sargocentron,iota,7.25,118.25,1011:478:1,0.18,1,0.70195439739414,0.25,1,1,1
Sargocentron,iota,7.25,118.75,1011:478:2,0.18,1,0.70195439739414,0.25,1,1,1
Sargocentron,iota,7.75,118.25,1011:478:3,0.18,1,0.70195439739414,0.25,1,1,1
Sargocentron,iota,7.75,118.75,1011:478:4,0.18,1,0.70195439739414,0.25,1,1,1
Sargocentron,iota,8.25,115.25,1011:485:1,0.09,1,0.70684039087948,0.13,1,1,1
Sargocentron,iota,8.25,116.75,1011:486:2,0.07,1,0.69869706840391,0.1,1,1,1
Sargocentron,iota,8.25,117.25,1011:487:1,0.07,1,0.69381107491857,0.1,1,1,1
Sargocentron,iota,8.25,117.75,1011:487:2,0.17,1,0.69381107491857,0.245,1,1,1
Sargocentron,iota,8.75,117.25,1011:487:3,0.19,1,0.69381107491857,0.28,1,1,1
Sargocentron,iota,8.75,117.75,1011:487:4,0.19,1,0.69381107491857,0.28,1,1,1
Sargocentron,iota,8.75,118.25,1011:488:3,0.17,1,0.69543973941368,0.245,1,1,1
Sargocentron,iota,9.75,115.75,1011:495:4,0.05,0.375,0.70846905537459,0.17,1,1,1
Sargocentron,iota,9.25,117.75,1011:497:2,0.19,1,0.69055374592834,0.28,1,1,1
Sargocentron,iota,9.25,118.25,1011:498:1,0.19,1,0.69381107491857,0.28,1,1,1
Sargocentron,iota,9.75,118.25,1011:498:3,0.19,1,0.69381107491857,0.28,1,1,1
Sargocentron,iota,9.75,118.75,1011:498:4,0.19,1,0.69381107491857,0.28,1,1,1
Sargocentron,iota,0.25,120.25,1012:100:1,0.19,1,0.63680781758958,0.305,1,1,1
Sargocentron,iota,0.25,120.75,1012:100:2,0.13,1,0.63680781758958,0.2,1,1,1
Sargocentron,iota,0.25,121.25,1012:101:1,0.14,1,0.63192182410423,0.225,1,1,1
Sargocentron,iota,0.25,121.75,1012:101:2,0.14,1,0.63192182410423,0.225,1,1,1
Sargocentron,iota,0.75,121.75,1012:101:4,0.10,0.33333333333333,0.63192182410423,0.475,1,1,1
Sargocentron,iota,0.25,122.25,1012:102:1,0.14,1,0.63843648208469,0.225,1,1,1
Sargocentron,iota,0.75,122.25,1012:102:3,0.10,0.33333333333333,0.63843648208469,0.475,1,1,1
Sargocentron,iota,0.25,128.25,1012:208:1,0.17,1,0.68892508143322,0.59,0.42598187311178,1,1
Sargocentron,iota,0.25,128.75,1012:208:2,0.18,1,0.68892508143322,0.665,0.40181268882175,1,1
Sargocentron,iota,0.75,128.25,1012:208:3,0.11,1,0.68892508143322,0.665,0.23262839879154,1,1
Sargocentron,iota,0.75,128.75,1012:208:4,0.02,1,0.68892508143322,0.665,0.039274924471299,1,1
Sargocentron,iota,0.25,129.25,1012:209:1,0.18,1,0.66775244299674,0.665,0.39577039274924,1,1
Sargocentron,iota,0.25,129.75,1012:209:2,0.08,1,0.66775244299674,0.665,0.17824773413897,1,1
Sargocentron,iota,1.75,127.75,1012:217:4,0.07,1,0.71009771986971,0.645,0.14199395770393,1,1
Sargocentron,iota,2.25,127.75,1012:227:2,0.07,1,0.71009771986971,0.645,0.14199395770393,1,1
Sargocentron,iota,2.75,128.25,1012:228:3,0.18,1,0.69381107491857,0.655,0.38972809667674,1,1
Sargocentron,iota,5.25,120.25,1012:350:1,0.04,1,0.68403908794788,0.45,0.1238670694864,1,1
Sargocentron,iota,6.75,121.75,1012:361:4,0.11,1,0.69543973941368,0.42,0.36555891238671,1,1
Sargocentron,iota,6.75,122.25,1012:362:3,0.17,1,0.69706840390879,0.44,0.54682779456193,1,1
Sargocentron,iota,7.25,121.75,1012:371:2,0.15,1,0.70846905537459,0.405,0.52870090634441,1,1
Sargocentron,iota,7.25,122.25,1012:372:1,0.13,1,0.71335504885993,0.405,0.4380664652568,1,1
Sargocentron,iota,7.75,122.25,1012:372:3,0.06,1,0.71335504885993,0.45,0.19033232628399,1,1
Sargocentron,iota,7.75,123.75,1012:373:4,0.19,1,0.71498371335505,0.465,0.57099697885196,1,1
Sargocentron,iota,8.25,122.25,1012:382:1,0.08,1,0.72475570032573,0.45,0.25075528700906,1,1
Sargocentron,iota,8.25,123.75,1012:383:2,0.05,1,0.7214983713355,0.45,0.16616314199396,1,1
Sargocentron,iota,8.75,123.25,1012:383:3,0.03,1,0.7214983713355,0.45,0.093655589123867,1,1
Sargocentron,iota,9.75,123.75,1012:393:4,0.17,1,0.73941368078176,0.45,0.5166163141994,1,1
Sargocentron,iota,7.25,126.75,1012:476:2,0.18,1,0.69218241042345,0.555,0.47368421052632,1,1
Sargocentron,iota,7.75,126.75,1012:476:4,0.06,1,0.69218241042345,0.555,0.15789473684211,1,1
Sargocentron,iota,8.25,126.75,1012:486:2,0.11,0.8125,0.69055374592834,0.555,0.36842105263158,1,1
Sargocentron,iota,0.25,130.25,1013:100:1,0.18,1,0.64983713355049,0.655,0.41389728096677,1,1
Sargocentron,iota,7.25,144.25,1014:374:1,0.02,0.0625,0.66612377850163,0.6,1,1,1
Sargocentron,iota,10.25,106.75,1110:206:2,0.01,1,0.90553745928339,0.12,0.057401812688822,1,1
Sargocentron,iota,10.25,107.75,1110:207:2,0.04,1,0.89902280130293,0.1,0.45619335347432,1,1
Sargocentron,iota,10.75,107.25,1110:207:3,0.09,1,0.89902280130293,0.1,1,1,1
Sargocentron,iota,10.75,107.75,1110:207:4,0.09,1,0.89902280130293,0.1,1,1,1
Sargocentron,iota,10.25,108.25,1110:208:1,0.09,1,0.87133550488599,0.1,1,1,1
Sargocentron,iota,10.25,108.75,1110:208:2,0.09,1,0.87133550488599,0.1,1,1,1
Sargocentron,iota,10.75,108.25,1110:208:3,0.09,1,0.87133550488599,0.1,1,1,1
Sargocentron,iota,10.75,108.75,1110:208:4,0.02,1,0.87133550488599,0.1,0.26283987915408,1,1
Sargocentron,iota,10.25,109.25,1110:209:1,0.14,1,0.85016286644951,0.17,1,1,1
Sargocentron,iota,10.75,109.25,1110:209:3,0.14,1,0.85016286644951,0.17,1,1,1
Sargocentron,iota,11.25,108.25,1110:218:1,0.09,1,0.87622149837134,0.1,1,1,1
Sargocentron,iota,11.25,108.75,1110:218:2,0.01,1,0.87622149837134,0.1,0.13595166163142,1,1
Sargocentron,iota,11.25,109.25,1110:219:1,0.08,1,0.86807817589577,0.17,0.57099697885196,1,1
Sargocentron,iota,11.75,109.25,1110:219:3,0.05,1,0.86807817589577,0.25,0.25075528700906,1,1
Sargocentron,iota,12.25,109.25,1110:229:1,0.03,1,0.89087947882736,0.235,0.14803625377644,1,1
Sargocentron,iota,12.75,109.25,1110:229:3,0.10,1,0.89087947882736,0.235,0.48036253776435,1,1
Sargocentron,iota,13.25,109.25,1110:239:1,0.05,1,0.91042345276873,0.27,0.20845921450151,1,1
Sargocentron,iota,15.75,108.75,1110:458:4,0.07,1,0.98045602605863,0.295,0.23262839879154,1,1
