Mapping parameters for Scarus coeruleus (Blue parrotfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  31 |  41 ,
Bounding Box (NSWE): ,39,-24,-98,-31

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,3,5,15,25
Temperature (°C),1,23.47,26.46,28.23,32.43
Salinity (psu),1,23.53,34.43,36.4,37.83
Primary Production (mgC·m-3·day-1) ,1,-0.77,0.23,12.42,43.27
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,147.2,159.21,232.07,268.94
Distance to Land (km),0,1,13,102,152
 

Map data (HSPEC) for predicted occurrences (n = 1015): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Scarus,coeruleus,30.25,-87.75,7308:207:2,0.02
Scarus,coeruleus,30.25,-87.25,7308:207:1,0.09
Scarus,coeruleus,30.25,-86.75,7308:206:2,0.14
Scarus,coeruleus,30.25,-86.25,7308:206:1,0.07
Scarus,coeruleus,30.75,-80.75,7308:100:4,0.08
Scarus,coeruleus,30.25,-80.25,7308:100:1,0.08
Scarus,coeruleus,33.75,-77.25,7307:237:3,0.08
Scarus,coeruleus,33.25,-77.75,7307:237:2,0.09
Scarus,coeruleus,33.75,-76.75,7307:236:4,0.19
Scarus,coeruleus,32.75,-78.75,7307:228:4,0.08
Scarus,coeruleus,28.25,-97.25,7209:487:1,0.17
Scarus,coeruleus,28.75,-96.75,7209:486:4,0.10
Scarus,coeruleus,28.75,-96.25,7209:486:3,0.13
Scarus,coeruleus,28.25,-96.75,7209:486:2,0.16
Scarus,coeruleus,28.75,-95.75,7209:485:4,0.10
Scarus,coeruleus,28.75,-95.25,7209:485:3,0.12
Scarus,coeruleus,29.25,-94.25,7209:394:1,0.03
Scarus,coeruleus,29.25,-93.75,7209:393:2,0.08
Scarus,coeruleus,29.25,-93.25,7209:393:1,0.12
Scarus,coeruleus,29.25,-92.75,7209:392:2,0.12
Scarus,coeruleus,29.25,-92.25,7209:392:1,0.10
Scarus,coeruleus,29.25,-91.75,7209:391:2,0.07
Scarus,coeruleus,29.25,-91.25,7209:391:1,0.08
Scarus,coeruleus,29.25,-90.75,7209:390:2,0.06
Scarus,coeruleus,29.25,-90.25,7209:390:1,0.03
Scarus,coeruleus,28.75,-92.25,7209:382:3,0.19
Scarus,coeruleus,29.25,-89.25,7208:499:1,0.02
Scarus,coeruleus,29.75,-88.25,7208:498:3,0.15
Scarus,coeruleus,29.25,-88.75,7208:498:2,0.06
Scarus,coeruleus,29.75,-85.75,7208:495:4,0.14
Scarus,coeruleus,29.75,-85.25,7208:495:3,0.05
Scarus,coeruleus,29.25,-85.75,7208:495:2,0.12
Scarus,coeruleus,28.75,-89.75,7208:489:4,0.17
Scarus,coeruleus,28.75,-89.25,7208:489:3,0.15
Scarus,coeruleus,29.25,-84.75,7208:394:2,0.19
Scarus,coeruleus,29.25,-84.25,7208:394:1,0.09
Scarus,coeruleus,29.25,-83.75,7208:393:2,0.06
Scarus,coeruleus,29.25,-83.25,7208:393:1,0.07
Scarus,coeruleus,29.25,-82.75,7208:392:2,0.09
Scarus,coeruleus,29.75,-81.25,7208:391:3,0.02
Scarus,coeruleus,29.25,-81.25,7208:391:1,0.18
Scarus,coeruleus,28.75,-84.25,7208:384:3,0.08
Scarus,coeruleus,28.75,-83.75,7208:383:4,0.18
Scarus,coeruleus,28.75,-83.25,7208:383:3,0.16
Scarus,coeruleus,28.25,-83.75,7208:383:2,0.16
Scarus,coeruleus,27.75,-83.75,7208:373:4,0.05
Scarus,coeruleus,21.25,-86.25,7208:216:1,0.10
Scarus,coeruleus,16.75,-82.25,7108:362:3,0.10
Scarus,coeruleus,10.75,-74.75,7107:104:4,0.03
Scarus,coeruleus,10.75,-71.75,7107:101:4,0.06
Scarus,coeruleus,10.25,-71.75,7107:101:2,0.10
Scarus,coeruleus,10.25,-71.25,7107:101:1,0.19
Scarus,coeruleus,17.25,-63.75,7106:373:2,0.10
Scarus,coeruleus,11.25,-63.25,7106:113:1,0.01
Scarus,coeruleus,10.75,-63.75,7106:103:4,0.16
Scarus,coeruleus,10.25,-63.75,7106:103:2,0.17
Scarus,coeruleus,10.75,-62.75,7106:102:4,0.08
Scarus,coeruleus,10.75,-62.25,7106:102:3,0.13
Scarus,coeruleus,10.25,-62.25,7106:102:1,0.19
Scarus,coeruleus,10.25,-61.75,7106:101:2,0.16
Scarus,coeruleus,9.75,-72.25,7007:392:3,0.16
Scarus,coeruleus,9.75,-71.75,7007:391:4,0.11
Scarus,coeruleus,9.75,-71.25,7007:391:3,0.07
Scarus,coeruleus,9.25,-71.75,7007:391:2,0.11
Scarus,coeruleus,9.25,-71.25,7007:391:1,0.07
Scarus,coeruleus,9.75,-60.75,7006:390:4,0.18
Scarus,coeruleus,9.75,-60.25,7006:390:3,0.03
Scarus,coeruleus,9.25,-60.75,7006:390:2,0.11
Scarus,coeruleus,8.75,-60.75,7006:380:4,0.13
Scarus,coeruleus,7.25,-56.25,7005:476:1,0.09
Scarus,coeruleus,5.75,-56.75,7005:456:4,0.13
Scarus,coeruleus,5.75,-56.25,7005:456:3,0.15
Scarus,coeruleus,5.75,-55.75,7005:455:4,0.19
Scarus,coeruleus,6.25,-54.75,7005:364:2,0.12
Scarus,coeruleus,6.25,-54.25,7005:364:1,0.14
Scarus,coeruleus,5.75,-53.25,7005:353:3,0.19
Scarus,coeruleus,5.25,-53.25,7005:353:1,0.18
Scarus,coeruleus,5.75,-52.75,7005:352:4,0.15
Scarus,coeruleus,5.25,-52.75,7005:352:2,0.13
Scarus,coeruleus,5.25,-52.25,7005:352:1,0.12
Scarus,coeruleus,5.25,-51.75,7005:351:2,0.16
Scarus,coeruleus,4.75,-52.25,7005:142:3,0.04
Scarus,coeruleus,4.25,-50.75,7005:140:2,0.02
Scarus,coeruleus,3.75,-49.75,7004:239:4,0.15
Scarus,coeruleus,3.25,-49.75,7004:239:2,0.14
Scarus,coeruleus,3.25,-49.25,7004:239:1,0.10
Scarus,coeruleus,2.75,-49.75,7004:229:4,0.02
Scarus,coeruleus,2.75,-49.25,7004:229:3,0.02
Scarus,coeruleus,-23.75,-45.75,5204:235:4,0.01
Scarus,coeruleus,-23.25,-45.25,5204:235:1,0.04
Scarus,coeruleus,-23.25,-44.75,5204:134:2,0.03
Scarus,coeruleus,-23.25,-44.25,5204:134:1,0.01
Scarus,coeruleus,-22.75,-44.25,5204:124:3,0.05
Scarus,coeruleus,-22.75,-43.75,5204:123:4,0.03
Scarus,coeruleus,-22.25,-40.75,5204:120:2,0.08
Scarus,coeruleus,-21.75,-41.25,5204:111:3,0.01
Scarus,coeruleus,-21.25,-41.25,5204:111:1,0.13
Scarus,coeruleus,-21.75,-40.75,5204:110:4,0.06
Scarus,coeruleus,-21.25,-40.75,5204:110:2,0.09
Scarus,coeruleus,-18.75,-37.75,5103:487:4,0.11
Scarus,coeruleus,-0.75,-47.75,5004:207:4,0.11
Scarus,coeruleus,30.25,-80.75,7308:100:2,0.26
Scarus,coeruleus,34.25,-76.25,7307:246:1,0.30
Scarus,coeruleus,34.75,-75.75,7307:245:4,0.23
Scarus,coeruleus,32.25,-79.25,7307:229:1,0.24
Scarus,coeruleus,28.25,-96.25,7209:486:1,0.21
Scarus,coeruleus,28.25,-95.75,7209:485:2,0.31
Scarus,coeruleus,28.25,-95.25,7209:485:1,0.22
Scarus,coeruleus,27.75,-97.25,7209:477:3,0.20
Scarus,coeruleus,27.25,-97.25,7209:477:1,0.25
Scarus,coeruleus,27.75,-96.75,7209:476:4,0.31
Scarus,coeruleus,27.75,-96.25,7209:476:3,0.32
Scarus,coeruleus,26.75,-97.25,7209:467:3,0.29
Scarus,coeruleus,26.25,-97.25,7209:467:1,0.30
Scarus,coeruleus,26.25,-96.25,7209:466:1,0.31
Scarus,coeruleus,28.75,-94.75,7209:384:4,0.20
Scarus,coeruleus,28.75,-94.25,7209:384:3,0.27
Scarus,coeruleus,28.75,-93.75,7209:383:4,0.32
Scarus,coeruleus,28.75,-93.25,7209:383:3,0.36
Scarus,coeruleus,28.75,-92.75,7209:382:4,0.23
Scarus,coeruleus,28.75,-91.75,7209:381:4,0.32
Scarus,coeruleus,28.75,-91.25,7209:381:3,0.27
Scarus,coeruleus,28.75,-90.75,7209:380:4,0.26
Scarus,coeruleus,28.75,-90.25,7209:380:3,0.23
Scarus,coeruleus,22.75,-97.75,7209:227:4,0.27
Scarus,coeruleus,21.75,-97.75,7209:217:4,0.31
Scarus,coeruleus,29.75,-87.75,7208:497:4,0.22
Scarus,coeruleus,29.75,-87.25,7208:497:3,0.34
Scarus,coeruleus,29.75,-86.25,7208:496:3,0.31
Scarus,coeruleus,29.25,-85.25,7208:495:1,0.26
Scarus,coeruleus,29.75,-80.75,7208:390:4,0.33
Scarus,coeruleus,29.25,-80.75,7208:390:2,0.33
Scarus,coeruleus,28.25,-83.25,7208:383:1,0.27
Scarus,coeruleus,28.75,-82.75,7208:382:4,0.20
Scarus,coeruleus,28.25,-82.75,7208:382:2,0.29
Scarus,coeruleus,28.75,-80.75,7208:380:4,0.32
Scarus,coeruleus,27.75,-83.25,7208:373:3,0.39
Scarus,coeruleus,27.75,-82.75,7208:372:4,0.38
Scarus,coeruleus,10.75,-74.25,7107:104:3,0.24
Scarus,coeruleus,10.75,-71.25,7107:101:3,0.23
Scarus,coeruleus,11.25,-63.75,7106:113:2,0.20
Scarus,coeruleus,11.25,-62.75,7106:112:2,0.25
Scarus,coeruleus,10.75,-64.25,7106:104:3,0.28
Scarus,coeruleus,10.25,-62.75,7106:102:2,0.22
Scarus,coeruleus,10.75,-61.75,7106:101:4,0.36
Scarus,coeruleus,10.75,-61.25,7106:101:3,0.33
Scarus,coeruleus,10.25,-61.25,7106:101:1,0.25
Scarus,coeruleus,10.25,-60.75,7106:100:2,0.29
Scarus,coeruleus,9.75,-75.75,7007:495:4,0.31
Scarus,coeruleus,9.75,-61.75,7006:391:4,0.20
Scarus,coeruleus,9.75,-61.25,7006:391:3,0.20
Scarus,coeruleus,9.25,-60.25,7006:390:1,0.22
Scarus,coeruleus,8.75,-60.25,7006:380:3,0.28
Scarus,coeruleus,8.25,-59.75,7005:489:2,0.37
Scarus,coeruleus,7.25,-58.75,7005:478:2,0.34
Scarus,coeruleus,7.25,-58.25,7005:478:1,0.22
Scarus,coeruleus,6.75,-58.25,7005:468:3,0.36
Scarus,coeruleus,6.25,-57.75,7005:467:2,0.24
Scarus,coeruleus,6.25,-57.25,7005:467:1,0.22
Scarus,coeruleus,6.25,-55.75,7005:465:2,0.38
Scarus,coeruleus,6.25,-55.25,7005:465:1,0.26
Scarus,coeruleus,6.25,-53.75,7005:363:2,0.22
Scarus,coeruleus,6.25,-53.25,7005:363:1,0.30
Scarus,coeruleus,6.25,-52.75,7005:362:2,0.35
Scarus,coeruleus,5.75,-54.75,7005:354:4,0.25
Scarus,coeruleus,5.75,-54.25,7005:354:3,0.26
Scarus,coeruleus,5.75,-53.75,7005:353:4,0.28
Scarus,coeruleus,5.75,-52.25,7005:352:3,0.27
Scarus,coeruleus,5.25,-51.25,7005:351:1,0.32
Scarus,coeruleus,4.75,-50.75,7005:140:4,0.33
Scarus,coeruleus,3.75,-50.25,7005:130:3,0.26
Scarus,coeruleus,3.25,-48.75,7004:238:2,0.27
Scarus,coeruleus,-22.25,-40.25,5204:120:1,0.23
Scarus,coeruleus,-21.75,-40.25,5204:110:3,0.21
Scarus,coeruleus,-21.25,-40.25,5204:110:1,0.26
Scarus,coeruleus,-20.75,-40.75,5204:100:4,0.20
Scarus,coeruleus,-20.75,-40.25,5204:100:3,0.26
Scarus,coeruleus,-20.25,-40.25,5204:100:1,0.26
Scarus,coeruleus,-20.25,-39.75,5203:209:2,0.36
Scarus,coeruleus,-20.75,-37.75,5203:207:4,0.33
Scarus,coeruleus,-20.75,-37.25,5203:207:3,0.32
Scarus,coeruleus,-20.25,-36.75,5203:206:2,0.32
Scarus,coeruleus,-20.25,-36.25,5203:206:1,0.31
Scarus,coeruleus,-20.75,-34.75,5203:104:4,0.31
Scarus,coeruleus,-19.75,-40.25,5104:390:3,0.36
Scarus,coeruleus,-19.75,-39.25,5103:499:3,0.34
Scarus,coeruleus,-19.75,-38.25,5103:498:3,0.36
Scarus,coeruleus,-19.25,-38.75,5103:498:2,0.36
Scarus,coeruleus,-19.25,-38.25,5103:498:1,0.38
Scarus,coeruleus,-19.75,-37.75,5103:497:4,0.35
Scarus,coeruleus,-19.25,-37.75,5103:497:2,0.37
Scarus,coeruleus,-18.75,-38.75,5103:488:4,0.38
Scarus,coeruleus,-18.75,-38.25,5103:488:3,0.35
Scarus,coeruleus,-18.25,-37.25,5103:487:1,0.35
Scarus,coeruleus,-17.25,-38.25,5103:478:1,0.39
Scarus,coeruleus,-17.75,-37.25,5103:477:3,0.35
Scarus,coeruleus,-17.75,-36.25,5103:476:3,0.30
Scarus,coeruleus,-17.75,-35.75,5103:475:4,0.28
Scarus,coeruleus,-15.75,-38.25,5103:458:3,0.37
Scarus,coeruleus,-13.25,-38.25,5103:238:1,0.37
Scarus,coeruleus,-10.25,-36.25,5103:206:1,0.34
Scarus,coeruleus,-0.25,-48.25,5004:208:1,0.22
Scarus,coeruleus,-2.75,-44.75,5004:124:4,0.28
Scarus,coeruleus,-2.75,-44.25,5004:124:3,0.35
Scarus,coeruleus,-2.75,-43.75,5004:123:4,0.25
Scarus,coeruleus,35.25,-74.75,7307:354:2,0.43
Scarus,coeruleus,33.25,-77.25,7307:237:1,0.53
Scarus,coeruleus,27.25,-96.75,7209:476:2,0.40
Scarus,coeruleus,26.25,-96.75,7209:466:2,0.50
Scarus,coeruleus,25.75,-97.25,7209:457:3,0.42
Scarus,coeruleus,25.25,-97.75,7209:457:2,0.57
Scarus,coeruleus,25.25,-97.25,7209:457:1,0.57
Scarus,coeruleus,24.75,-97.75,7209:247:4,0.59
Scarus,coeruleus,20.25,-96.25,7209:206:1,0.40
Scarus,coeruleus,29.75,-80.25,7208:390:3,0.44
Scarus,coeruleus,28.25,-80.75,7208:380:2,0.51
Scarus,coeruleus,27.25,-83.25,7208:373:1,0.52
Scarus,coeruleus,27.75,-82.25,7208:372:3,0.43
Scarus,coeruleus,27.25,-82.75,7208:372:2,0.48
Scarus,coeruleus,27.25,-82.25,7208:372:1,0.52
Scarus,coeruleus,26.75,-83.25,7208:363:3,0.52
Scarus,coeruleus,26.75,-82.75,7208:362:4,0.53
Scarus,coeruleus,25.75,-82.75,7208:352:4,0.40
Scarus,coeruleus,22.25,-88.25,7208:228:1,0.56
Scarus,coeruleus,27.75,-79.75,7207:479:4,0.40
Scarus,coeruleus,22.25,-79.25,7207:229:1,0.50
Scarus,coeruleus,20.75,-70.75,7207:100:4,0.54
Scarus,coeruleus,18.25,-93.25,7109:383:1,0.44
Scarus,coeruleus,18.25,-92.75,7109:382:2,0.44
Scarus,coeruleus,15.25,-83.75,7108:353:2,0.49
Scarus,coeruleus,17.25,-77.25,7107:477:1,0.40
Scarus,coeruleus,11.25,-74.25,7107:114:1,0.44
Scarus,coeruleus,10.25,-64.75,7106:104:2,0.44
Scarus,coeruleus,10.25,-64.25,7106:104:1,0.40
Scarus,coeruleus,10.75,-60.75,7106:100:4,0.40
Scarus,coeruleus,9.25,-75.75,7007:495:2,0.49
Scarus,coeruleus,8.75,-77.25,7007:487:3,0.53
Scarus,coeruleus,8.25,-77.25,7007:487:1,0.59
Scarus,coeruleus,8.75,-76.75,7007:486:4,0.58
Scarus,coeruleus,8.75,-76.25,7007:486:3,0.59
Scarus,coeruleus,7.75,-76.75,7007:476:4,0.54
Scarus,coeruleus,7.75,-58.75,7005:478:4,0.50
Scarus,coeruleus,7.75,-58.25,7005:478:3,0.59
Scarus,coeruleus,6.25,-56.75,7005:466:2,0.45
Scarus,coeruleus,6.25,-56.25,7005:466:1,0.48
Scarus,coeruleus,6.75,-55.25,7005:465:3,0.49
Scarus,coeruleus,6.75,-54.25,7005:364:3,0.46
Scarus,coeruleus,6.75,-53.75,7005:363:4,0.50
Scarus,coeruleus,6.75,-53.25,7005:363:3,0.54
Scarus,coeruleus,6.25,-52.25,7005:362:1,0.51
Scarus,coeruleus,5.75,-51.75,7005:351:4,0.41
Scarus,coeruleus,4.25,-50.25,7005:140:1,0.45
Scarus,coeruleus,3.75,-49.25,7004:239:3,0.49
Scarus,coeruleus,2.75,-48.25,7004:228:3,0.53
Scarus,coeruleus,2.25,-47.75,7004:227:2,0.41
Scarus,coeruleus,0.25,-47.75,7004:207:2,0.58
Scarus,coeruleus,-19.75,-39.75,5103:499:4,0.53
Scarus,coeruleus,-19.25,-39.75,5103:499:2,0.51
Scarus,coeruleus,-19.25,-39.25,5103:499:1,0.41
Scarus,coeruleus,-18.75,-39.75,5103:489:4,0.48
Scarus,coeruleus,-18.75,-39.25,5103:489:3,0.41
Scarus,coeruleus,-18.25,-39.75,5103:489:2,0.49
Scarus,coeruleus,-18.25,-39.25,5103:489:1,0.46
Scarus,coeruleus,-18.25,-38.75,5103:488:2,0.41
Scarus,coeruleus,-18.25,-38.25,5103:488:1,0.40
Scarus,coeruleus,-18.25,-37.75,5103:487:2,0.40
Scarus,coeruleus,-17.75,-39.25,5103:479:3,0.50
Scarus,coeruleus,-17.25,-39.25,5103:479:1,0.51
Scarus,coeruleus,-17.75,-38.75,5103:478:4,0.43
Scarus,coeruleus,-17.75,-38.25,5103:478:3,0.42
Scarus,coeruleus,-17.25,-38.75,5103:478:2,0.45
Scarus,coeruleus,-17.75,-37.75,5103:477:4,0.41
Scarus,coeruleus,-16.75,-39.25,5103:469:3,0.52
Scarus,coeruleus,-16.25,-39.25,5103:469:1,0.54
Scarus,coeruleus,-16.75,-38.75,5103:468:4,0.44
Scarus,coeruleus,-16.25,-38.75,5103:468:2,0.48
Scarus,coeruleus,-16.25,-38.25,5103:468:1,0.42
Scarus,coeruleus,-15.75,-38.75,5103:458:4,0.48
Scarus,coeruleus,-15.25,-38.75,5103:458:2,0.47
Scarus,coeruleus,-14.75,-38.75,5103:248:4,0.46
Scarus,coeruleus,-14.25,-38.75,5103:248:2,0.47
Scarus,coeruleus,-13.75,-38.75,5103:238:4,0.49
Scarus,coeruleus,-13.25,-38.75,5103:238:2,0.52
Scarus,coeruleus,-12.75,-38.75,5103:228:4,0.51
Scarus,coeruleus,-12.75,-38.25,5103:228:3,0.49
Scarus,coeruleus,-12.75,-37.75,5103:227:4,0.50
Scarus,coeruleus,-12.25,-37.75,5103:227:2,0.55
Scarus,coeruleus,-12.25,-37.25,5103:227:1,0.54
Scarus,coeruleus,-10.75,-36.75,5103:206:4,0.49
Scarus,coeruleus,-10.75,-36.25,5103:206:3,0.55
Scarus,coeruleus,-1.25,-46.25,5004:216:1,0.51
Scarus,coeruleus,-0.75,-47.25,5004:207:3,0.50
Scarus,coeruleus,-0.25,-47.75,5004:207:2,0.44
Scarus,coeruleus,-9.25,-34.75,5003:394:2,0.40
