Mapping parameters for Sciaenops ocellatus (Red drum)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31,
Bounding Box (NSWE): ,43,0,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,14,31,50
Temperature (°C),1,13.45,16.27,25.93,30.13
Salinity (psu),1,18.94,24.2,36.15,36.65
Primary Production (mgC·m-3·day-1) ,1,0.48,1.7,40.55,52.15
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,147.46,207.85,244.29,269.89
Distance to Land (km),0,0,3,89,182
 

Map data (HSPEC) for predicted occurrences (n = 832): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sciaenops,ocellatus,0.75,-47.75,7004:207:4,0.14
Sciaenops,ocellatus,2.75,-48.75,7004:228:4,0.03
Sciaenops,ocellatus,2.25,-49.25,7004:229:1,0.08
Sciaenops,ocellatus,2.25,-49.75,7004:229:2,0.17
Sciaenops,ocellatus,2.75,-50.25,7005:120:3,0.05
Sciaenops,ocellatus,3.75,-50.75,7005:130:4,0.19
Sciaenops,ocellatus,3.25,-51.25,7005:131:1,0.02
Sciaenops,ocellatus,3.75,-51.25,7005:131:3,0.04
Sciaenops,ocellatus,4.25,-51.25,7005:141:1,0.14
Sciaenops,ocellatus,7.25,-55.75,7005:475:2,0.11
Sciaenops,ocellatus,7.25,-58.75,7005:478:2,0.12
Sciaenops,ocellatus,9.25,-71.25,7007:391:1,0.11
Sciaenops,ocellatus,9.25,-71.75,7007:391:2,0.11
Sciaenops,ocellatus,9.75,-71.25,7007:391:3,0.09
Sciaenops,ocellatus,9.75,-71.75,7007:391:4,0.09
Sciaenops,ocellatus,9.75,-72.25,7007:392:3,0.18
Sciaenops,ocellatus,9.75,-79.75,7007:499:4,0.08
Sciaenops,ocellatus,11.75,-63.75,7106:113:4,0.07
Sciaenops,ocellatus,16.25,-60.75,7106:360:2,0.12
Sciaenops,ocellatus,16.25,-61.25,7106:361:1,0.17
Sciaenops,ocellatus,16.75,-61.25,7106:361:3,0.14
Sciaenops,ocellatus,17.25,-61.75,7106:371:2,0.17
Sciaenops,ocellatus,17.75,-61.75,7106:371:4,0.13
Sciaenops,ocellatus,17.75,-62.25,7106:372:3,0.14
Sciaenops,ocellatus,17.75,-62.75,7106:372:4,0.16
Sciaenops,ocellatus,17.25,-63.25,7106:373:1,0.19
Sciaenops,ocellatus,17.25,-63.75,7106:373:2,0.19
