Mapping parameters for Scolopsis taeniata (Black-streaked monocle bream)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 ,
Bounding Box (NSWE): ,31,5,31,82

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,20,23,36,50
Temperature (°C),1,23.39,25.78,29.8,34
Salinity (psu),1,28.28,34.06,38.65,39.15
Primary Production (mgC·m-3·day-1) ,1,2.58,3.86,29.07,59.94
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,48.12,210.68,239.99
Distance to Land (km),0,4,12,89,105
 

Map data (HSPEC) for predicted occurrences (n = 586): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Scolopsis,taeniata,20.75,58.75,1205:208:4,0.10
Scolopsis,taeniata,20.25,57.75,1205:207:2,0.17
Scolopsis,taeniata,29.75,48.25,1204:498:3,0.12
Scolopsis,taeniata,29.75,47.75,1204:497:4,0.18
Scolopsis,taeniata,27.25,35.75,1203:475:2,0.02
Scolopsis,taeniata,25.75,36.25,1203:456:3,0.06
Scolopsis,taeniata,28.25,34.25,1203:384:1,0.15
Scolopsis,taeniata,27.75,33.75,1203:373:4,0.14
Scolopsis,taeniata,24.25,38.25,1203:248:1,0.06
Scolopsis,taeniata,24.75,37.25,1203:247:3,0.02
Scolopsis,taeniata,23.75,38.75,1203:238:4,0.10
Scolopsis,taeniata,21.25,37.25,1203:217:1,0.07
Scolopsis,taeniata,20.25,37.75,1203:207:2,0.03
Scolopsis,taeniata,20.25,37.25,1203:207:1,0.11
