Mapping parameters for Cybiosarda elegans (Leaping bonito)

"Cite AquaMaps itself as: Kaschner, K., J. Rius-Barile, K. Kesner-Reyes, C. Garilao, S.O. Kullander, T. Rees and R. Froese. 2013. AquaMaps: Predicted range maps for aquatic species World Wide Web electronic publication, www.aquamaps.org, Version 08/2013. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  71 |  81,
Bounding Box (NSWE): ,-6,-41,108,158

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,50,66,123,200
Temperature (°C),1,16.5,20.23,28.06,32.26
Salinity (psu),1,33.65,34.15,35.61,36.51
Primary Production,1,81,225,974,1552
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,1,10,299,362
 

Map data (HSPEC) for predicted occurrences (n = 1160): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,SST,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Cybiosarda,elegans,-8.25,109.75,3010:489:2,0.16,,,,,,
Cybiosarda,elegans,-7.25,120.25,3012:370:1,0.05,,,,,,
Cybiosarda,elegans,-7.25,120.75,3012:370:2,0.05,,,,,,
Cybiosarda,elegans,-7.25,121.25,3012:371:1,0.09,,,,,,
Cybiosarda,elegans,-7.25,121.75,3012:371:2,0.09,,,,,,
Cybiosarda,elegans,-7.25,122.25,3012:372:1,0.16,,,,,,
Cybiosarda,elegans,-8.25,120.25,3012:380:1,0.06,,,,,,
Cybiosarda,elegans,-8.25,120.75,3012:380:2,0.06,,,,,,
Cybiosarda,elegans,-8.25,121.25,3012:381:1,0.09,,,,,,
Cybiosarda,elegans,-8.25,121.75,3012:381:2,0.09,,,,,,
Cybiosarda,elegans,-8.25,122.25,3012:382:1,0.16,,,,,,
Cybiosarda,elegans,-8.25,122.75,3012:382:2,0.16,,,,,,
Cybiosarda,elegans,-7.75,134.25,3013:374:3,0.12,,,,,,
Cybiosarda,elegans,-7.75,134.75,3013:374:4,0.17,,,,,,
Cybiosarda,elegans,-7.75,135.25,3013:475:3,0.05,,,,,,
Cybiosarda,elegans,-8.75,137.75,3013:487:4,0.04,,,,,,
Cybiosarda,elegans,-8.75,138.25,3013:488:3,0.05,,,,,,
Cybiosarda,elegans,-9.25,136.75,3013:496:2,0.11,,,,,,
Cybiosarda,elegans,-9.25,137.25,3013:497:1,0.11,,,,,,
Cybiosarda,elegans,-9.25,137.75,3013:497:2,0.14,,,,,,
Cybiosarda,elegans,-9.75,137.25,3013:497:3,0.10,,,,,,
Cybiosarda,elegans,-9.75,137.75,3013:497:4,0.14,,,,,,
Cybiosarda,elegans,-9.75,138.25,3013:498:3,0.06,,,,,,
Cybiosarda,elegans,-8.25,145.75,3014:485:2,0.03,,,,,,
Cybiosarda,elegans,-13.75,127.25,3112:237:3,0.11,,,,,,
Cybiosarda,elegans,-14.25,127.75,3112:247:2,0.13,,,,,,
Cybiosarda,elegans,-15.75,120.75,3112:350:4,0.19,,,,,,
Cybiosarda,elegans,-15.25,121.25,3112:351:1,0.04,,,,,,
Cybiosarda,elegans,-15.25,123.75,3112:353:2,0.12,,,,,,
Cybiosarda,elegans,-16.25,124.25,3112:364:1,0.12,,,,,,
Cybiosarda,elegans,-19.75,120.25,3112:390:3,0.19,,,,,,
Cybiosarda,elegans,-19.75,120.75,3112:390:4,0.12,,,,,,
Cybiosarda,elegans,-11.75,130.75,3113:110:4,0.09,,,,,,
Cybiosarda,elegans,-11.25,134.25,3113:114:1,0.10,,,,,,
Cybiosarda,elegans,-11.25,134.75,3113:114:2,0.10,,,,,,
Cybiosarda,elegans,-12.25,130.75,3113:120:2,0.10,,,,,,
Cybiosarda,elegans,-10.25,137.25,3113:207:1,0.19,,,,,,
Cybiosarda,elegans,-11.25,136.25,3113:216:1,0.11,,,,,,
