Mapping parameters for Scophthalmus rhombus (Brill)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 ,
Bounding Box (NSWE): ,68,30,-25,42

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,5,9,28,50
Temperature (°C),1,7.06,10.08,18.78,23.06
Salinity (psu),1,3.58,21.29,36.89,39.25
Primary Production (mgC·m-3·day-1) ,1,0.4,1.81,18.11,67.2
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.05
Dissolved Bottom Oxygen (mmol·m-3),0,182.45,237.71,299.11,408.48
Distance to Land (km),0,0,6,162,754
 

Map data (HSPEC) for predicted occurrences (n = 1555): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Scophthalmus,rhombus,38.75,1.25,1300:381:3,0.09
Scophthalmus,rhombus,38.75,1.75,1300:381:4,0.06
Scophthalmus,rhombus,39.25,1.25,1300:391:1,0.11
Scophthalmus,rhombus,39.25,1.75,1300:391:2,0.08
Scophthalmus,rhombus,39.25,2.75,1300:392:2,0.07
Scophthalmus,rhombus,39.75,2.25,1300:392:3,0.09
Scophthalmus,rhombus,39.75,2.75,1300:392:4,0.08
Scophthalmus,rhombus,39.25,3.25,1300:393:1,0.05
Scophthalmus,rhombus,39.75,3.25,1300:393:3,0.05
Scophthalmus,rhombus,39.75,3.75,1300:393:4,0.06
Scophthalmus,rhombus,39.75,4.25,1300:394:3,0.10
Scophthalmus,rhombus,37.75,8.75,1300:478:4,0.04
Scophthalmus,rhombus,37.75,9.25,1300:479:3,0.05
Scophthalmus,rhombus,38.75,8.25,1300:488:3,0.03
Scophthalmus,rhombus,38.75,8.75,1300:488:4,0.07
Scophthalmus,rhombus,38.75,9.25,1300:489:3,0.04
Scophthalmus,rhombus,39.25,8.25,1300:498:1,0.07
Scophthalmus,rhombus,39.25,8.75,1300:498:2,0.11
Scophthalmus,rhombus,39.75,8.25,1300:498:3,0.09
Scophthalmus,rhombus,39.75,8.75,1300:498:4,0.13
Scophthalmus,rhombus,39.25,9.25,1300:499:1,0.14
Scophthalmus,rhombus,39.25,9.75,1300:499:2,0.10
Scophthalmus,rhombus,39.75,9.75,1300:499:4,0.12
Scophthalmus,rhombus,32.75,12.25,1301:122:3,0.06
Scophthalmus,rhombus,32.75,12.75,1301:122:4,0.05
Scophthalmus,rhombus,32.75,13.25,1301:123:3,0.04
Scophthalmus,rhombus,32.75,13.75,1301:123:4,0.03
Scophthalmus,rhombus,32.25,14.75,1301:124:2,0.03
Scophthalmus,rhombus,32.75,14.25,1301:124:3,0.02
Scophthalmus,rhombus,32.75,14.75,1301:124:4,0.02
Scophthalmus,rhombus,33.75,10.25,1301:130:3,0.08
Scophthalmus,rhombus,33.75,10.75,1301:130:4,0.07
Scophthalmus,rhombus,33.25,11.25,1301:131:1,0.06
Scophthalmus,rhombus,33.25,11.75,1301:131:2,0.05
Scophthalmus,rhombus,33.75,11.25,1301:131:3,0.05
Scophthalmus,rhombus,33.75,11.75,1301:131:4,0.03
Scophthalmus,rhombus,33.25,12.25,1301:132:1,0.03
Scophthalmus,rhombus,33.25,12.75,1301:132:2,0.03
Scophthalmus,rhombus,33.75,12.25,1301:132:3,0.01
Scophthalmus,rhombus,33.25,13.25,1301:133:1,0.02
Scophthalmus,rhombus,34.25,10.25,1301:140:1,0.08
Scophthalmus,rhombus,34.25,10.75,1301:140:2,0.07
Scophthalmus,rhombus,34.75,10.75,1301:140:4,0.13
Scophthalmus,rhombus,34.25,11.25,1301:141:1,0.04
Scophthalmus,rhombus,34.25,11.75,1301:141:2,0.02
Scophthalmus,rhombus,34.75,11.25,1301:141:3,0.11
Scophthalmus,rhombus,34.75,11.75,1301:141:4,0.05
Scophthalmus,rhombus,34.75,12.25,1301:142:3,0.04
Scophthalmus,rhombus,34.75,12.75,1301:142:4,0.01
Scophthalmus,rhombus,30.75,17.75,1301:207:4,0.05
Scophthalmus,rhombus,30.25,18.75,1301:208:2,0.05
Scophthalmus,rhombus,30.75,18.25,1301:208:3,0.05
Scophthalmus,rhombus,30.75,18.75,1301:208:4,0.02
Scophthalmus,rhombus,30.25,19.25,1301:209:1,0.05
Scophthalmus,rhombus,30.25,19.75,1301:209:2,0.05
Scophthalmus,rhombus,30.75,19.75,1301:209:4,0.04
Scophthalmus,rhombus,31.25,15.75,1301:215:2,0.04
Scophthalmus,rhombus,31.75,15.25,1301:215:3,0.03
Scophthalmus,rhombus,31.75,15.75,1301:215:4,0.02
Scophthalmus,rhombus,31.25,16.25,1301:216:1,0.03
Scophthalmus,rhombus,31.25,16.75,1301:216:2,0.02
Scophthalmus,rhombus,31.25,17.25,1301:217:1,0.02
Scophthalmus,rhombus,31.25,17.75,1301:217:2,0.02
Scophthalmus,rhombus,31.25,18.25,1301:218:1,0.01
Scophthalmus,rhombus,31.25,19.75,1301:219:2,0.03
Scophthalmus,rhombus,31.75,19.75,1301:219:4,0.02
Scophthalmus,rhombus,32.25,15.25,1301:225:1,0.02
Scophthalmus,rhombus,32.25,15.75,1301:225:2,0.01
Scophthalmus,rhombus,32.25,19.75,1301:229:2,0.02
Scophthalmus,rhombus,35.75,10.75,1301:350:4,0.18
Scophthalmus,rhombus,35.25,11.25,1301:351:1,0.13
Scophthalmus,rhombus,35.25,11.75,1301:351:2,0.06
Scophthalmus,rhombus,35.75,11.25,1301:351:3,0.10
Scophthalmus,rhombus,35.75,11.75,1301:351:4,0.04
Scophthalmus,rhombus,35.25,12.25,1301:352:1,0.04
Scophthalmus,rhombus,35.25,12.75,1301:352:2,0.04
Scophthalmus,rhombus,35.75,12.25,1301:352:3,0.04
Scophthalmus,rhombus,35.75,12.75,1301:352:4,0.04
Scophthalmus,rhombus,35.75,14.25,1301:354:3,0.05
Scophthalmus,rhombus,35.75,14.75,1301:354:4,0.05
Scophthalmus,rhombus,36.25,11.25,1301:361:1,0.04
Scophthalmus,rhombus,36.75,11.25,1301:361:3,0.04
Scophthalmus,rhombus,36.75,11.75,1301:361:4,0.04
Scophthalmus,rhombus,36.75,12.25,1301:362:3,0.05
Scophthalmus,rhombus,36.25,14.25,1301:364:1,0.07
Scophthalmus,rhombus,36.75,14.25,1301:364:3,0.16
Scophthalmus,rhombus,36.75,14.75,1301:364:4,0.13
Scophthalmus,rhombus,37.25,10.75,1301:370:2,0.13
Scophthalmus,rhombus,37.25,11.25,1301:371:1,0.04
Scophthalmus,rhombus,37.25,12.75,1301:372:2,0.03
Scophthalmus,rhombus,37.75,12.25,1301:372:3,0.05
Scophthalmus,rhombus,37.75,12.75,1301:372:4,0.06
Scophthalmus,rhombus,37.25,13.25,1301:373:1,0.10
Scophthalmus,rhombus,37.25,13.75,1301:373:2,0.10
Scophthalmus,rhombus,37.75,13.25,1301:373:3,0.07
Scophthalmus,rhombus,37.25,14.25,1301:374:1,0.11
Scophthalmus,rhombus,38.25,12.25,1301:382:1,0.05
Scophthalmus,rhombus,38.25,12.75,1301:382:2,0.07
Scophthalmus,rhombus,38.25,13.25,1301:383:1,0.04
Scophthalmus,rhombus,38.25,13.75,1301:383:2,0.04
Scophthalmus,rhombus,38.25,14.25,1301:384:1,0.05
Scophthalmus,rhombus,38.25,14.75,1301:384:2,0.04
Scophthalmus,rhombus,38.75,14.25,1301:384:3,0.03
Scophthalmus,rhombus,38.75,14.75,1301:384:4,0.02
Scophthalmus,rhombus,36.75,15.25,1301:465:3,0.09
Scophthalmus,rhombus,37.25,15.25,1301:475:1,0.09
Scophthalmus,rhombus,37.75,15.25,1301:475:3,0.10
Scophthalmus,rhombus,37.75,15.75,1301:475:4,0.12
Scophthalmus,rhombus,37.75,16.25,1301:476:3,0.07
Scophthalmus,rhombus,38.25,15.25,1301:485:1,0.08
Scophthalmus,rhombus,38.25,15.75,1301:485:2,0.11
Scophthalmus,rhombus,38.75,15.25,1301:485:3,0.03
Scophthalmus,rhombus,38.75,15.75,1301:485:4,0.09
Scophthalmus,rhombus,38.25,16.25,1301:486:1,0.10
Scophthalmus,rhombus,38.25,16.75,1301:486:2,0.06
Scophthalmus,rhombus,38.75,16.25,1301:486:3,0.13
Scophthalmus,rhombus,38.75,16.75,1301:486:4,0.14
Scophthalmus,rhombus,38.75,17.25,1301:487:3,0.07
Scophthalmus,rhombus,39.75,15.25,1301:495:3,0.01
Scophthalmus,rhombus,39.75,15.75,1301:495:4,0.01
Scophthalmus,rhombus,39.25,16.25,1301:496:1,0.13
Scophthalmus,rhombus,39.75,16.75,1301:496:4,0.16
Scophthalmus,rhombus,39.25,17.25,1301:497:1,0.05
Scophthalmus,rhombus,39.75,17.25,1301:497:3,0.05
Scophthalmus,rhombus,39.75,18.25,1301:498:3,0.03
Scophthalmus,rhombus,39.25,19.75,1301:499:2,0.04
Scophthalmus,rhombus,39.75,19.25,1301:499:3,0.09
Scophthalmus,rhombus,30.75,20.25,1302:100:3,0.04
Scophthalmus,rhombus,31.25,20.25,1302:110:1,0.03
Scophthalmus,rhombus,31.75,20.25,1302:110:3,0.02
Scophthalmus,rhombus,32.25,20.25,1302:120:1,0.02
Scophthalmus,rhombus,32.75,20.25,1302:120:3,0.01
Scophthalmus,rhombus,32.75,20.75,1302:120:4,0.01
Scophthalmus,rhombus,32.75,21.25,1302:121:3,0.01
Scophthalmus,rhombus,32.75,21.75,1302:121:4,0.01
Scophthalmus,rhombus,32.75,22.25,1302:122:3,0.01
Scophthalmus,rhombus,32.75,22.75,1302:122:4,0.01
Scophthalmus,rhombus,32.25,23.25,1302:123:1,0.01
Scophthalmus,rhombus,32.25,23.75,1302:123:2,0.01
Scophthalmus,rhombus,32.75,23.25,1302:123:3,0.01
Scophthalmus,rhombus,32.25,24.25,1302:124:1,0.01
Scophthalmus,rhombus,34.75,24.25,1302:144:3,0.01
Scophthalmus,rhombus,30.75,28.75,1302:208:4,0.01
Scophthalmus,rhombus,30.75,29.25,1302:209:3,0.01
Scophthalmus,rhombus,31.25,26.75,1302:216:2,0.01
Scophthalmus,rhombus,31.25,27.25,1302:217:1,0.01
Scophthalmus,rhombus,31.25,27.75,1302:217:2,0.01
Scophthalmus,rhombus,31.25,28.25,1302:218:1,0.01
Scophthalmus,rhombus,31.25,29.75,1302:219:2,0.01
Scophthalmus,rhombus,34.75,26.25,1302:246:3,0.01
Scophthalmus,rhombus,35.25,23.75,1302:353:2,0.01
Scophthalmus,rhombus,35.75,23.25,1302:353:3,0.05
Scophthalmus,rhombus,35.75,23.75,1302:353:4,0.04
Scophthalmus,rhombus,35.25,24.25,1302:354:1,0.01
Scophthalmus,rhombus,35.25,24.75,1302:354:2,0.01
Scophthalmus,rhombus,35.75,24.25,1302:354:3,0.03
Scophthalmus,rhombus,36.75,21.75,1302:361:4,0.11
Scophthalmus,rhombus,36.25,22.25,1302:362:1,0.04
Scophthalmus,rhombus,36.25,22.75,1302:362:2,0.06
Scophthalmus,rhombus,36.75,22.25,1302:362:3,0.16
Scophthalmus,rhombus,36.25,23.25,1302:363:1,0.07
Scophthalmus,rhombus,36.75,23.25,1302:363:3,0.19
Scophthalmus,rhombus,36.75,23.75,1302:363:4,0.08
Scophthalmus,rhombus,36.75,24.25,1302:364:3,0.07
Scophthalmus,rhombus,36.75,24.75,1302:364:4,0.05
Scophthalmus,rhombus,37.75,20.75,1302:370:4,0.03
