Mapping parameters for Sebastapistes mauritiana (Spineblotch scorpionfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 47 |  51 |  57 |  61 |  71 |  77,
Bounding Box (NSWE): ,16,-28,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,5,10
Temperature (°C),1,21.8,25.22,28.98,33.18
Salinity (psu),1,33.82,34.32,35.93,36.43
Primary Production,1,130,208,628,1687
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,10,19,111,433
 

Map data (HSPEC) for predicted occurrences (n = 2410): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sebastapistes,mauritiana,4.25,47.75,1004:247:2,0.07
Sebastapistes,mauritiana,8.25,49.75,1004:489:2,0.14
Sebastapistes,mauritiana,8.25,50.25,1005:380:1,0.16
Sebastapistes,mauritiana,9.75,50.75,1005:390:4,0.15
Sebastapistes,mauritiana,8.75,78.75,1007:488:4,0.13
Sebastapistes,mauritiana,8.75,79.75,1007:489:4,0.18
Sebastapistes,mauritiana,9.75,75.75,1007:495:4,0.06
Sebastapistes,mauritiana,9.25,76.75,1007:496:2,0.08
Sebastapistes,mauritiana,9.75,76.25,1007:496:3,0.05
Sebastapistes,mauritiana,9.25,78.75,1007:498:2,0.15
Sebastapistes,mauritiana,9.25,79.25,1007:499:1,0.06
Sebastapistes,mauritiana,9.25,79.75,1007:499:2,0.11
Sebastapistes,mauritiana,9.75,79.75,1007:499:4,0.18
Sebastapistes,mauritiana,6.75,80.25,1008:360:3,0.08
Sebastapistes,mauritiana,6.25,81.75,1008:361:2,0.16
Sebastapistes,mauritiana,1.25,117.75,1011:217:2,0.03
Sebastapistes,mauritiana,1.75,117.75,1011:217:4,0.04
Sebastapistes,mauritiana,1.25,118.25,1011:218:1,0.06
Sebastapistes,mauritiana,1.25,118.75,1011:218:2,0.04
Sebastapistes,mauritiana,1.75,118.25,1011:218:3,0.07
Sebastapistes,mauritiana,1.75,118.75,1011:218:4,0.05
Sebastapistes,mauritiana,1.25,119.25,1011:219:1,0.04
Sebastapistes,mauritiana,1.75,119.25,1011:219:3,0.04
Sebastapistes,mauritiana,2.25,117.75,1011:227:2,0.01
Sebastapistes,mauritiana,2.25,118.25,1011:228:1,0.03
Sebastapistes,mauritiana,2.25,118.75,1011:228:2,0.07
Sebastapistes,mauritiana,2.75,118.25,1011:228:3,0.06
Sebastapistes,mauritiana,3.25,117.25,1011:237:1,0.01
Sebastapistes,mauritiana,3.75,117.25,1011:237:3,0.01
Sebastapistes,mauritiana,4.25,117.25,1011:247:1,0.02
Sebastapistes,mauritiana,4.25,117.75,1011:247:2,0.01
Sebastapistes,mauritiana,4.25,118.25,1011:248:1,0.01
Sebastapistes,mauritiana,4.25,118.75,1011:248:2,0.15
Sebastapistes,mauritiana,4.75,119.25,1011:249:3,0.16
Sebastapistes,mauritiana,5.25,119.75,1011:459:2,0.13
Sebastapistes,mauritiana,0.75,120.25,1012:100:3,0.15
Sebastapistes,mauritiana,0.75,120.75,1012:100:4,0.15
Sebastapistes,mauritiana,1.25,120.25,1012:110:1,0.15
Sebastapistes,mauritiana,1.25,120.75,1012:110:2,0.15
Sebastapistes,mauritiana,1.25,121.25,1012:111:1,0.15
Sebastapistes,mauritiana,5.25,120.25,1012:350:1,0.14
Sebastapistes,mauritiana,5.25,120.75,1012:350:2,0.16
Sebastapistes,mauritiana,5.75,120.25,1012:350:3,0.11
Sebastapistes,mauritiana,5.75,120.75,1012:350:4,0.13
