Mapping parameters for Scorpaena notata (Small red scorpionfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  34 |  37,
Bounding Box (NSWE): ,45,12,-32,42

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,94,316,700
Temperature (°C),1,15.62,17.81,22.14,25.16
Salinity (psu),1,31.49,35.98,38.41,40.25
Primary Production (mgC·m-3·day-1) ,1,-0.48,0.52,9.61,98.91
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,64.53,185.55,248.66,315
Distance to Land (km),0,0,8,116,290
 

Map data (HSPEC) for predicted occurrences (n = 1083): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Scorpaena,notata,42.75,-11.75,7401:121:4,0.03
Scorpaena,notata,44.25,-8.25,7400:248:1,0.03
Scorpaena,notata,44.25,-7.75,7400:247:2,0.08
Scorpaena,notata,44.25,-7.25,7400:247:1,0.12
Scorpaena,notata,44.25,-6.75,7400:246:2,0.16
Scorpaena,notata,44.25,-5.25,7400:245:1,0.17
Scorpaena,notata,43.75,-7.25,7400:237:3,0.04
Scorpaena,notata,43.75,-6.75,7400:236:4,0.08
Scorpaena,notata,43.75,-6.25,7400:236:3,0.13
Scorpaena,notata,43.75,-5.75,7400:235:4,0.18
Scorpaena,notata,42.75,-9.75,7400:229:4,0.03
Scorpaena,notata,42.25,-9.25,7400:229:1,0.01
Scorpaena,notata,41.75,-9.25,7400:219:3,0.08
Scorpaena,notata,41.25,-9.25,7400:219:1,0.17
Scorpaena,notata,41.25,-8.75,7400:218:2,0.02
Scorpaena,notata,40.75,-8.75,7400:208:4,0.10
Scorpaena,notata,44.75,-1.75,7400:141:4,0.18
Scorpaena,notata,44.25,-1.25,7400:141:1,0.11
Scorpaena,notata,38.25,-30.75,7303:380:2,0.18
Scorpaena,notata,34.25,-30.75,7303:140:2,0.17
Scorpaena,notata,34.25,-29.75,7302:249:2,0.13
Scorpaena,notata,33.25,-29.75,7302:239:2,0.11
Scorpaena,notata,32.25,-27.25,7302:227:1,0.02
Scorpaena,notata,35.25,-15.75,7301:455:2,0.15
Scorpaena,notata,35.25,-15.25,7301:455:1,0.04
Scorpaena,notata,36.25,-11.25,7301:361:1,0.14
Scorpaena,notata,39.75,-8.75,7300:498:4,0.07
Scorpaena,notata,36.25,-2.25,7300:362:1,0.01
Scorpaena,notata,31.75,-9.25,7300:219:3,0.13
Scorpaena,notata,28.25,-11.25,7201:381:1,0.03
Scorpaena,notata,26.75,-14.75,7201:364:4,0.07
Scorpaena,notata,24.75,-16.75,7201:246:4,0.14
Scorpaena,notata,23.25,-15.75,7201:235:2,0.16
Scorpaena,notata,21.75,-17.25,7201:217:3,0.04
Scorpaena,notata,21.25,-16.75,7201:216:2,0.03
Scorpaena,notata,20.75,-17.25,7201:207:3,0.05
Scorpaena,notata,16.75,-25.25,7102:465:3,0.15
Scorpaena,notata,16.25,-24.25,7102:364:1,0.19
Scorpaena,notata,16.75,-23.25,7102:363:3,0.09
Scorpaena,notata,15.25,-24.75,7102:354:2,0.03
Scorpaena,notata,15.25,-24.25,7102:354:1,0.05
Scorpaena,notata,15.75,-23.25,7102:353:3,0.16
Scorpaena,notata,15.25,-23.75,7102:353:2,0.05
Scorpaena,notata,15.25,-23.25,7102:353:1,0.08
Scorpaena,notata,15.75,-22.75,7102:352:4,0.16
Scorpaena,notata,14.75,-23.25,7102:143:3,0.01
Scorpaena,notata,19.75,-17.25,7101:497:3,0.15
Scorpaena,notata,17.25,-16.25,7101:476:1,0.18
Scorpaena,notata,16.75,-16.75,7101:466:4,0.19
Scorpaena,notata,16.75,-16.25,7101:466:3,0.17
Scorpaena,notata,16.25,-16.75,7101:466:2,0.11
Scorpaena,notata,16.25,-16.25,7101:466:1,0.15
Scorpaena,notata,15.75,-17.75,7101:457:4,0.07
Scorpaena,notata,15.75,-17.25,7101:457:3,0.17
Scorpaena,notata,15.25,-17.75,7101:457:2,0.04
Scorpaena,notata,15.75,-16.75,7101:456:4,0.13
Scorpaena,notata,15.75,-16.25,7101:456:3,0.01
Scorpaena,notata,15.25,-16.75,7101:456:2,0.11
Scorpaena,notata,14.75,-17.75,7101:247:4,0.15
Scorpaena,notata,14.75,-17.25,7101:247:3,0.16
Scorpaena,notata,14.25,-17.75,7101:247:2,0.09
Scorpaena,notata,14.25,-17.25,7101:247:1,0.14
Scorpaena,notata,13.75,-17.75,7101:237:4,0.02
