Mapping parameters for Cephaloscyllium sufflans (Balloon shark)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51,
Bounding Box (NSWE): ,-19,-28,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,40,107,291,600
Temperature (°C),1,23.51,24.77,26.19,30.39
Salinity (psu),1,34.5,35,35.23,35.73
Primary Production,1,575,621.8,1292.2,1687
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,22,23.2,81.1999969482422,147.5
 

Map data (HSPEC) for predicted occurrences (n = 80): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cephaloscyllium,sufflans,-19.75,34.75,3103:394:4,0.03
Cephaloscyllium,sufflans,-19.75,44.25,3104:394:3,0.17
Cephaloscyllium,sufflans,-21.25,35.25,3203:215:1,0.03
Cephaloscyllium,sufflans,-25.75,35.25,3203:455:3,0.02
Cephaloscyllium,sufflans,-25.25,45.25,3204:455:1,0.17
Cephaloscyllium,sufflans,-19.25,43.75,3104:393:2,0.37
Cephaloscyllium,sufflans,-26.25,33.75,3203:363:2,0.22
Cephaloscyllium,sufflans,-24.75,44.25,3204:144:3,0.28
Cephaloscyllium,sufflans,-19.75,36.25,3103:496:3,0.47
Cephaloscyllium,sufflans,-23.25,35.25,3203:235:1,0.51
Cephaloscyllium,sufflans,-26.25,32.75,3203:362:2,0.48
Cephaloscyllium,sufflans,-25.25,45.75,3204:455:2,0.45
Cephaloscyllium,sufflans,-19.75,35.75,3103:495:4,0.77
Cephaloscyllium,sufflans,-19.25,36.25,3103:496:1,0.73
Cephaloscyllium,sufflans,-23.75,35.75,3203:235:4,0.60
Cephaloscyllium,sufflans,-26.25,34.25,3203:364:1,0.68
Cephaloscyllium,sufflans,-20.25,43.75,3204:103:2,0.76
Cephaloscyllium,sufflans,-20.75,43.75,3204:103:4,0.76
Cephaloscyllium,sufflans,-20.25,44.25,3204:104:1,0.78
Cephaloscyllium,sufflans,-20.75,44.25,3204:104:3,0.78
Cephaloscyllium,sufflans,-23.25,43.25,3204:133:1,0.74
Cephaloscyllium,sufflans,-23.25,43.75,3204:133:2,0.74
Cephaloscyllium,sufflans,-23.75,43.75,3204:133:4,0.74
Cephaloscyllium,sufflans,-19.75,48.75,3104:498:4,0.80
Cephaloscyllium,sufflans,-20.25,34.75,3203:104:2,0.99
Cephaloscyllium,sufflans,-24.75,34.75,3203:144:4,1.00
Cephaloscyllium,sufflans,-20.25,35.75,3203:205:2,0.97
Cephaloscyllium,sufflans,-20.75,35.75,3203:205:4,0.97
Cephaloscyllium,sufflans,-21.25,35.75,3203:215:2,0.98
Cephaloscyllium,sufflans,-21.75,35.25,3203:215:3,0.98
Cephaloscyllium,sufflans,-21.75,35.75,3203:215:4,0.98
Cephaloscyllium,sufflans,-22.25,35.25,3203:225:1,1.00
Cephaloscyllium,sufflans,-22.25,35.75,3203:225:2,1.00
Cephaloscyllium,sufflans,-22.75,35.75,3203:225:4,1.00
Cephaloscyllium,sufflans,-23.25,35.75,3203:235:2,1.00
Cephaloscyllium,sufflans,-24.25,35.25,3203:245:1,1.00
Cephaloscyllium,sufflans,-24.25,35.75,3203:245:2,1.00
Cephaloscyllium,sufflans,-24.75,35.25,3203:245:3,1.00
Cephaloscyllium,sufflans,-24.75,35.75,3203:245:4,1.00
Cephaloscyllium,sufflans,-25.75,32.75,3203:352:4,1.00
Cephaloscyllium,sufflans,-25.25,33.25,3203:353:1,1.00
Cephaloscyllium,sufflans,-25.25,33.75,3203:353:2,1.00
Cephaloscyllium,sufflans,-25.75,33.25,3203:353:3,1.00
Cephaloscyllium,sufflans,-25.75,33.75,3203:353:4,1.00
Cephaloscyllium,sufflans,-25.25,34.25,3203:354:1,1.00
Cephaloscyllium,sufflans,-25.25,34.75,3203:354:2,1.00
Cephaloscyllium,sufflans,-25.75,34.25,3203:354:3,1.00
Cephaloscyllium,sufflans,-25.75,34.75,3203:354:4,1.00
Cephaloscyllium,sufflans,-26.75,32.75,3203:362:4,0.97
Cephaloscyllium,sufflans,-26.25,33.25,3203:363:1,1.00
Cephaloscyllium,sufflans,-26.75,33.25,3203:363:3,1.00
Cephaloscyllium,sufflans,-27.25,32.75,3203:372:2,0.82
Cephaloscyllium,sufflans,-27.75,32.75,3203:372:4,0.82
Cephaloscyllium,sufflans,-25.25,35.25,3203:455:1,1.00
Cephaloscyllium,sufflans,-21.25,43.25,3204:113:1,0.82
Cephaloscyllium,sufflans,-21.25,43.75,3204:113:2,0.82
Cephaloscyllium,sufflans,-21.75,43.25,3204:113:3,0.82
Cephaloscyllium,sufflans,-22.25,43.25,3204:123:1,0.85
Cephaloscyllium,sufflans,-22.75,43.25,3204:123:3,0.85
Cephaloscyllium,sufflans,-24.75,43.75,3204:143:4,1.00
Cephaloscyllium,sufflans,-20.25,48.75,3204:208:2,0.80
Cephaloscyllium,sufflans,-21.25,48.25,3204:218:1,0.94
Cephaloscyllium,sufflans,-21.75,48.25,3204:218:3,0.90
Cephaloscyllium,sufflans,-22.75,47.75,3204:227:4,0.90
Cephaloscyllium,sufflans,-22.25,48.25,3204:228:1,0.90
Cephaloscyllium,sufflans,-23.25,47.75,3204:237:2,0.94
Cephaloscyllium,sufflans,-24.75,47.25,3204:247:3,0.90
Cephaloscyllium,sufflans,-25.25,44.25,3204:354:1,1.00
Cephaloscyllium,sufflans,-25.25,44.75,3204:354:2,1.00
Cephaloscyllium,sufflans,-25.75,44.25,3204:354:3,1.00
Cephaloscyllium,sufflans,-25.75,44.75,3204:354:4,1.00
Cephaloscyllium,sufflans,-26.25,44.75,3204:364:2,0.94
Cephaloscyllium,sufflans,-25.75,45.75,3204:455:4,1.00
Cephaloscyllium,sufflans,-25.25,46.25,3204:456:1,0.90
Cephaloscyllium,sufflans,-25.25,46.75,3204:456:2,0.90
Cephaloscyllium,sufflans,-25.75,46.25,3204:456:3,1.00
Cephaloscyllium,sufflans,-25.75,46.75,3204:456:4,0.90
Cephaloscyllium,sufflans,-25.25,47.25,3204:457:1,0.90
Cephaloscyllium,sufflans,-26.25,45.25,3204:465:1,0.88
Cephaloscyllium,sufflans,-26.25,45.75,3204:465:2,0.88


Occurrence cells used for creating environmental envelope (n = 5)
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Cephaloscyllium,sufflans,-27.25,33.25,3203:373:1,1092,24.65,35.24,603,0,74
Cephaloscyllium,sufflans,-26.75,33.25,3203:363:3,569,24.96,35.16,650,0,74
Cephaloscyllium,sufflans,-25.75,33.75,3203:353:4,439,25.14,35.18,700,0,86
Cephaloscyllium,sufflans,-23.25,35.75,3203:235:2,271,25.93,35.22,664,0,25
Cephaloscyllium,sufflans,-19.25,35.75,3103:495:2,4,26.37,34.9,1687,0,22
