Mapping parameters for Sebastes elongatus (Greenstriped rockfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 67 |  77,
Bounding Box (NSWE): ,60,28,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,25,91,366,425
Temperature (°C),1,3.15,8.92,15.97,17.36
Salinity (psu),1,29.5,31.4,33.47,34.9
Primary Production,1,405,896,2314,3195
Sea Ice Concentration,1,-1,0,0,0.09
Distance to Land (km),0,1,6,115,559
 

Map data (HSPEC) for predicted occurrences (n = 701): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sebastes,elongatus,32.25,-118.25,7311:228:1,0.17
Sebastes,elongatus,32.25,-118.75,7311:228:2,0.19
Sebastes,elongatus,32.75,-118.25,7311:228:3,0.19
Sebastes,elongatus,33.25,-117.25,7311:237:1,0.11
Sebastes,elongatus,33.25,-117.75,7311:237:2,0.11
Sebastes,elongatus,33.75,-117.75,7311:237:4,0.11
Sebastes,elongatus,33.25,-120.25,7312:130:1,0.14
Sebastes,elongatus,48.75,-122.25,7412:382:3,0.06
Sebastes,elongatus,51.25,-127.25,7512:217:1,0.03
Sebastes,elongatus,53.25,-135.75,7513:235:2,0.11
Sebastes,elongatus,56.25,-133.75,7513:363:2,0.11
Sebastes,elongatus,57.25,-135.25,7513:475:1,0.11
Sebastes,elongatus,59.75,-139.25,7513:499:3,0.07
Sebastes,elongatus,55.75,-141.75,7514:351:4,0.10
Sebastes,elongatus,58.75,-141.25,7514:381:3,0.11
Sebastes,elongatus,56.75,-154.25,7515:364:3,0.10
Sebastes,elongatus,57.25,-152.75,7515:372:2,0.15
Sebastes,elongatus,57.75,-153.25,7515:373:3,0.11
Sebastes,elongatus,57.75,-153.75,7515:373:4,0.15
Sebastes,elongatus,57.25,-154.25,7515:374:1,0.14
Sebastes,elongatus,58.75,-153.75,7515:383:4,0.17
Sebastes,elongatus,58.25,-154.75,7515:384:2,0.07
Sebastes,elongatus,56.75,-157.25,7515:467:3,0.13
Sebastes,elongatus,57.75,-156.25,7515:476:3,0.07
Sebastes,elongatus,57.25,-158.25,7515:478:1,0.03
Sebastes,elongatus,57.25,-158.75,7515:478:2,0.11
Sebastes,elongatus,57.75,-158.75,7515:478:4,0.02
Sebastes,elongatus,57.25,-159.25,7515:479:1,0.10
Sebastes,elongatus,57.25,-159.75,7515:479:2,0.18
Sebastes,elongatus,57.75,-159.25,7515:479:3,0.06
Sebastes,elongatus,57.75,-159.75,7515:479:4,0.10
Sebastes,elongatus,58.25,-159.75,7515:489:2,0.02
Sebastes,elongatus,53.75,-166.25,7516:236:3,0.19
Sebastes,elongatus,53.75,-167.25,7516:237:3,0.08
Sebastes,elongatus,53.75,-167.75,7516:237:4,0.19
Sebastes,elongatus,53.25,-168.75,7516:238:2,0.16
Sebastes,elongatus,53.75,-168.25,7516:238:3,0.18
Sebastes,elongatus,53.25,-169.25,7516:239:1,0.17
Sebastes,elongatus,53.25,-169.75,7516:239:2,0.14
Sebastes,elongatus,54.25,-166.75,7516:246:2,0.16
Sebastes,elongatus,54.75,-167.25,7516:247:3,0.18
Sebastes,elongatus,55.75,-161.75,7516:351:4,0.12
Sebastes,elongatus,55.25,-162.75,7516:352:2,0.06
Sebastes,elongatus,55.25,-163.25,7516:353:1,0.19
Sebastes,elongatus,56.25,-160.25,7516:360:1,0.15
Sebastes,elongatus,56.25,-160.75,7516:360:2,0.16
Sebastes,elongatus,56.25,-161.25,7516:361:1,0.13
Sebastes,elongatus,56.25,-161.75,7516:361:2,0.19
Sebastes,elongatus,56.75,-161.25,7516:361:3,0.19
Sebastes,elongatus,56.25,-162.25,7516:362:1,0.18
Sebastes,elongatus,56.25,-162.75,7516:362:2,0.18
Sebastes,elongatus,56.75,-162.25,7516:362:3,0.17
Sebastes,elongatus,56.75,-162.75,7516:362:4,0.19
Sebastes,elongatus,56.25,-163.25,7516:363:1,0.19
Sebastes,elongatus,56.75,-163.25,7516:363:3,0.19
Sebastes,elongatus,56.75,-163.75,7516:363:4,0.19
Sebastes,elongatus,56.25,-164.25,7516:364:1,0.19
Sebastes,elongatus,56.25,-164.75,7516:364:2,0.16
Sebastes,elongatus,56.75,-164.25,7516:364:3,0.14
Sebastes,elongatus,56.75,-164.75,7516:364:4,0.16
Sebastes,elongatus,57.25,-160.25,7516:370:1,0.14
Sebastes,elongatus,57.25,-160.75,7516:370:2,0.14
Sebastes,elongatus,57.75,-160.25,7516:370:3,0.06
Sebastes,elongatus,57.75,-160.75,7516:370:4,0.05
Sebastes,elongatus,57.25,-161.25,7516:371:1,0.10
Sebastes,elongatus,57.25,-161.75,7516:371:2,0.10
Sebastes,elongatus,57.75,-161.25,7516:371:3,0.04
Sebastes,elongatus,57.75,-161.75,7516:371:4,0.04
Sebastes,elongatus,57.25,-162.25,7516:372:1,0.06
Sebastes,elongatus,57.25,-162.75,7516:372:2,0.05
Sebastes,elongatus,57.75,-162.25,7516:372:3,0.03
Sebastes,elongatus,57.75,-162.75,7516:372:4,0.02
Sebastes,elongatus,57.25,-163.25,7516:373:1,0.06
Sebastes,elongatus,57.25,-163.75,7516:373:2,0.06
Sebastes,elongatus,57.75,-163.25,7516:373:3,0.02
Sebastes,elongatus,57.75,-163.75,7516:373:4,0.01
Sebastes,elongatus,57.25,-164.25,7516:374:1,0.05
Sebastes,elongatus,57.25,-164.75,7516:374:2,0.05
Sebastes,elongatus,57.75,-164.25,7516:374:3,0.01
Sebastes,elongatus,57.75,-164.75,7516:374:4,0.01
Sebastes,elongatus,58.25,-160.25,7516:380:1,0.01
Sebastes,elongatus,58.25,-160.75,7516:380:2,0.01
Sebastes,elongatus,55.25,-166.25,7516:456:1,0.17
Sebastes,elongatus,55.25,-166.75,7516:456:2,0.15
Sebastes,elongatus,55.75,-166.25,7516:456:3,0.19
Sebastes,elongatus,55.75,-166.75,7516:456:4,0.15
Sebastes,elongatus,55.25,-167.25,7516:457:1,0.11
Sebastes,elongatus,55.25,-167.75,7516:457:2,0.11
Sebastes,elongatus,55.75,-167.25,7516:457:3,0.14
Sebastes,elongatus,55.75,-167.75,7516:457:4,0.12
Sebastes,elongatus,55.25,-168.25,7516:458:1,0.14
Sebastes,elongatus,55.75,-168.25,7516:458:3,0.14
Sebastes,elongatus,55.75,-168.75,7516:458:4,0.14
Sebastes,elongatus,56.25,-165.25,7516:465:1,0.17
Sebastes,elongatus,56.25,-165.75,7516:465:2,0.18
Sebastes,elongatus,56.75,-165.25,7516:465:3,0.15
Sebastes,elongatus,56.75,-165.75,7516:465:4,0.17
Sebastes,elongatus,56.25,-166.25,7516:466:1,0.15
Sebastes,elongatus,56.25,-166.75,7516:466:2,0.14
Sebastes,elongatus,56.75,-166.25,7516:466:3,0.17
Sebastes,elongatus,56.75,-166.75,7516:466:4,0.15
Sebastes,elongatus,56.25,-167.25,7516:467:1,0.11
Sebastes,elongatus,56.25,-167.75,7516:467:2,0.09
Sebastes,elongatus,56.75,-167.25,7516:467:3,0.17
Sebastes,elongatus,56.75,-167.75,7516:467:4,0.12
Sebastes,elongatus,56.25,-168.25,7516:468:1,0.09
Sebastes,elongatus,56.25,-168.75,7516:468:2,0.09
Sebastes,elongatus,56.75,-168.25,7516:468:3,0.11
Sebastes,elongatus,56.75,-168.75,7516:468:4,0.12
Sebastes,elongatus,56.25,-169.25,7516:469:1,0.08
Sebastes,elongatus,56.25,-169.75,7516:469:2,0.12
Sebastes,elongatus,56.75,-169.25,7516:469:3,0.14
Sebastes,elongatus,56.75,-169.75,7516:469:4,0.14
Sebastes,elongatus,57.25,-165.25,7516:475:1,0.05
Sebastes,elongatus,57.25,-165.75,7516:475:2,0.07
Sebastes,elongatus,57.75,-165.25,7516:475:3,0.02
Sebastes,elongatus,57.75,-165.75,7516:475:4,0.02
Sebastes,elongatus,57.25,-166.25,7516:476:1,0.06
Sebastes,elongatus,57.25,-166.75,7516:476:2,0.04
Sebastes,elongatus,57.75,-166.25,7516:476:3,0.02
Sebastes,elongatus,57.75,-166.75,7516:476:4,0.02
Sebastes,elongatus,57.25,-167.25,7516:477:1,0.05
Sebastes,elongatus,57.25,-167.75,7516:477:2,0.07
Sebastes,elongatus,57.75,-167.25,7516:477:3,0.03
Sebastes,elongatus,57.75,-167.75,7516:477:4,0.04
Sebastes,elongatus,57.25,-168.25,7516:478:1,0.09
Sebastes,elongatus,57.25,-168.75,7516:478:2,0.11
Sebastes,elongatus,57.75,-168.25,7516:478:3,0.05
Sebastes,elongatus,57.75,-168.75,7516:478:4,0.07
Sebastes,elongatus,57.25,-169.25,7516:479:1,0.12
Sebastes,elongatus,57.25,-169.75,7516:479:2,0.09
Sebastes,elongatus,57.75,-169.25,7516:479:3,0.08
Sebastes,elongatus,57.75,-169.75,7516:479:4,0.07
Sebastes,elongatus,51.75,-173.75,7517:113:4,0.18
Sebastes,elongatus,51.75,-174.25,7517:114:3,0.16
Sebastes,elongatus,51.75,-174.75,7517:114:4,0.18
Sebastes,elongatus,52.75,-170.25,7517:120:3,0.17
Sebastes,elongatus,52.75,-170.75,7517:120:4,0.16
Sebastes,elongatus,52.25,-171.25,7517:121:1,0.15
Sebastes,elongatus,52.25,-171.75,7517:121:2,0.16
Sebastes,elongatus,52.75,-171.25,7517:121:3,0.08
Sebastes,elongatus,52.75,-171.75,7517:121:4,0.10
Sebastes,elongatus,52.25,-172.25,7517:122:1,0.11
Sebastes,elongatus,52.25,-172.75,7517:122:2,0.09
Sebastes,elongatus,52.75,-172.25,7517:122:3,0.12
Sebastes,elongatus,52.25,-173.25,7517:123:1,0.13
Sebastes,elongatus,52.25,-173.75,7517:123:2,0.15
Sebastes,elongatus,52.75,-173.25,7517:123:3,0.13
Sebastes,elongatus,52.75,-173.75,7517:123:4,0.12
Sebastes,elongatus,52.25,-174.25,7517:124:1,0.10
Sebastes,elongatus,52.25,-174.75,7517:124:2,0.09
Sebastes,elongatus,53.25,-170.25,7517:130:1,0.13
Sebastes,elongatus,55.75,-170.25,7517:350:3,0.18
Sebastes,elongatus,56.25,-170.25,7517:360:1,0.13
Sebastes,elongatus,56.25,-170.75,7517:360:2,0.07
