Mapping parameters for Sebastes inermis ()

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61 |  71,
Bounding Box (NSWE): ,45,30,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,22,95,200
Temperature (°C),1,11.2,12.68,21.72,25.56
Salinity (psu),1,32.83,33.56,34.56,35.39
Primary Production,1,214,382,784,1022
Sea Ice Concentration,1,-1,0,0,0.02
Distance to Land (km),0,3,5,121,252
 

Map data (HSPEC) for predicted occurrences (n = 293): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sebastes,inermis,30.25,125.25,1312:205:1,0.17
Sebastes,inermis,30.75,126.25,1312:206:3,0.08
Sebastes,inermis,30.75,128.25,1312:208:3,0.10
Sebastes,inermis,32.25,126.75,1312:226:2,0.13
Sebastes,inermis,32.75,126.75,1312:226:4,0.14
Sebastes,inermis,35.25,127.75,1312:457:2,0.03
Sebastes,inermis,35.25,128.25,1312:458:1,0.09
Sebastes,inermis,38.25,128.25,1312:488:1,0.09
Sebastes,inermis,39.75,127.75,1312:497:4,0.16
Sebastes,inermis,31.25,130.75,1313:110:2,0.13
Sebastes,inermis,33.25,132.75,1313:132:2,0.09
Sebastes,inermis,32.75,139.75,1313:229:4,0.16
Sebastes,inermis,37.25,132.25,1313:372:1,0.10
Sebastes,inermis,36.75,137.75,1313:467:4,0.18
Sebastes,inermis,37.25,140.75,1314:370:2,0.09
Sebastes,inermis,37.25,141.75,1314:371:2,0.02
Sebastes,inermis,41.75,142.75,1414:112:4,0.07
Sebastes,inermis,42.25,142.75,1414:122:2,0.04
Sebastes,inermis,43.75,140.75,1414:130:4,0.07
Sebastes,inermis,43.75,141.25,1414:131:3,0.05
Sebastes,inermis,43.75,141.75,1414:131:4,0.05
Sebastes,inermis,30.25,125.75,1312:205:2,0.24
Sebastes,inermis,30.25,129.75,1312:209:2,0.38
Sebastes,inermis,30.75,129.25,1312:209:3,0.38
Sebastes,inermis,30.75,129.75,1312:209:4,0.38
Sebastes,inermis,31.75,126.75,1312:216:4,0.36
Sebastes,inermis,31.75,128.75,1312:218:4,0.27
Sebastes,inermis,32.25,129.25,1312:229:1,0.39
Sebastes,inermis,33.25,127.25,1312:237:1,0.31
Sebastes,inermis,33.75,127.75,1312:237:4,0.26
Sebastes,inermis,34.75,128.75,1312:248:4,0.37
Sebastes,inermis,39.25,127.25,1312:497:1,0.30
Sebastes,inermis,39.75,128.75,1312:498:4,0.36
Sebastes,inermis,30.25,130.25,1313:100:1,0.34
Sebastes,inermis,30.25,130.75,1313:100:2,0.34
Sebastes,inermis,30.75,130.25,1313:100:3,0.34
Sebastes,inermis,30.75,130.75,1313:100:4,0.34
Sebastes,inermis,30.25,131.25,1313:101:1,0.36
Sebastes,inermis,30.75,131.25,1313:101:3,0.36
Sebastes,inermis,31.25,131.75,1313:111:2,0.39
Sebastes,inermis,33.75,132.25,1313:132:3,0.23
Sebastes,inermis,34.75,133.75,1313:143:4,0.32
Sebastes,inermis,31.75,139.75,1313:219:4,0.29
Sebastes,inermis,34.75,137.25,1313:247:3,0.29
Sebastes,inermis,36.75,133.25,1313:363:3,0.24
Sebastes,inermis,37.25,132.75,1313:372:2,0.30
Sebastes,inermis,37.25,133.25,1313:373:1,0.35
Sebastes,inermis,30.75,140.25,1314:100:3,0.30
Sebastes,inermis,33.75,140.25,1314:130:3,0.22
Sebastes,inermis,42.25,139.75,1413:229:2,0.31
Sebastes,inermis,42.75,139.75,1413:229:4,0.31
Sebastes,inermis,40.75,140.75,1414:100:4,0.35
Sebastes,inermis,40.75,141.25,1414:101:3,0.33
Sebastes,inermis,41.25,141.25,1414:111:1,0.29
Sebastes,inermis,41.25,141.75,1414:111:2,0.38
Sebastes,inermis,31.25,128.25,1312:218:1,0.51
Sebastes,inermis,31.25,129.25,1312:219:1,0.59
Sebastes,inermis,31.25,129.75,1312:219:2,0.59
Sebastes,inermis,31.75,129.75,1312:219:4,0.59
Sebastes,inermis,32.75,128.25,1312:228:3,0.41
Sebastes,inermis,34.25,128.25,1312:248:1,0.51
Sebastes,inermis,34.75,128.25,1312:248:3,0.49
Sebastes,inermis,31.25,130.25,1313:110:1,0.53
Sebastes,inermis,31.75,130.25,1313:110:3,0.53
Sebastes,inermis,31.75,130.75,1313:110:4,0.53
Sebastes,inermis,31.25,131.25,1313:111:1,0.50
Sebastes,inermis,31.75,131.25,1313:111:3,0.52
Sebastes,inermis,31.75,131.75,1313:111:4,0.52
Sebastes,inermis,35.75,130.75,1313:350:4,0.58
Sebastes,inermis,35.75,131.75,1313:351:4,0.51
Sebastes,inermis,36.75,132.75,1313:362:4,0.41
Sebastes,inermis,38.25,136.75,1313:486:2,0.47
Sebastes,inermis,39.25,138.75,1313:498:2,0.49
Sebastes,inermis,40.25,128.75,1412:208:2,0.50
Sebastes,inermis,40.25,129.25,1412:209:1,0.40
Sebastes,inermis,40.75,129.25,1412:209:3,0.40
Sebastes,inermis,42.25,139.25,1413:229:1,0.42
Sebastes,inermis,40.75,140.25,1414:100:3,0.50
Sebastes,inermis,40.25,141.75,1414:101:2,0.50
Sebastes,inermis,40.75,142.25,1414:102:3,0.59
Sebastes,inermis,41.75,140.25,1414:110:3,0.50
Sebastes,inermis,41.75,141.75,1414:111:4,0.40
Sebastes,inermis,30.25,126.25,1312:206:1,0.60
Sebastes,inermis,30.25,127.25,1312:207:1,0.79
