Mapping parameters for Sebastes jordani (Shortbelly rockfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 67 |  77,
Bounding Box (NSWE): ,60,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,40,161,350
Temperature (°C),1,4.26,6.2,17.21,26.81
Salinity (psu),1,30.15,31.53,33.5,35.43
Primary Production,1,467,651,1877,2737.5
Sea Ice Concentration,1,-1,0,0,0.05
Distance to Land (km),0,2,11,136,219
 

Map data (HSPEC) for predicted occurrences (n = 1186): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sebastes,jordani,-27.25,-71.25,5207:371:1,0.03
Sebastes,jordani,-2.25,-79.75,5007:229:2,0.01
Sebastes,jordani,-2.75,-79.75,5007:229:4,0.19
Sebastes,jordani,-3.25,-79.75,5007:239:2,0.16
Sebastes,jordani,-6.75,-79.75,5007:469:4,0.12
Sebastes,jordani,-7.25,-79.75,5007:479:2,0.16
Sebastes,jordani,-7.75,-79.25,5007:479:3,0.14
Sebastes,jordani,-7.75,-79.75,5007:479:4,0.16
Sebastes,jordani,-8.25,-78.75,5007:488:2,0.13
Sebastes,jordani,-8.75,-78.75,5007:488:4,0.06
Sebastes,jordani,-8.25,-79.25,5007:489:1,0.12
Sebastes,jordani,-8.25,-79.75,5007:489:2,0.13
Sebastes,jordani,-8.75,-79.25,5007:489:3,0.13
Sebastes,jordani,-8.75,-79.75,5007:489:4,0.13
Sebastes,jordani,-9.25,-78.25,5007:498:1,0.08
Sebastes,jordani,-9.25,-78.75,5007:498:2,0.12
Sebastes,jordani,-9.75,-78.25,5007:498:3,0.09
Sebastes,jordani,-9.75,-78.75,5007:498:4,0.12
Sebastes,jordani,-9.25,-79.25,5007:499:1,0.11
Sebastes,jordani,-9.25,-79.75,5007:499:2,0.11
Sebastes,jordani,-9.75,-79.25,5007:499:3,0.11
Sebastes,jordani,-9.75,-79.75,5007:499:4,0.05
Sebastes,jordani,-0.25,-80.25,5008:100:1,0.10
Sebastes,jordani,-0.25,-80.75,5008:100:2,0.08
Sebastes,jordani,-0.75,-80.25,5008:100:3,0.10
Sebastes,jordani,-0.75,-80.75,5008:100:4,0.10
Sebastes,jordani,-2.25,-80.25,5008:120:1,0.01
Sebastes,jordani,-2.75,-81.25,5008:121:3,0.11
Sebastes,jordani,-3.75,-80.25,5008:130:3,0.01
