Mapping parameters for Sebastes proriger (Redstripe rockfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61 |  67 |  77,
Bounding Box (NSWE): ,66,32,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,12,183,274,425
Temperature (°C),1,1.05,5.62,11.04,15.43
Salinity (psu),1,30.27,31.53,32.93,33.61
Primary Production,1,425,537,1777,2742
Sea Ice Concentration,1,-0.99,0,0.0199999995529652,0.1
Distance to Land (km),0,2,11,160,749
 

Map data (HSPEC) for predicted occurrences (n = 1249): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sebastes,proriger,34.75,119.25,1311:249:3,0.01
Sebastes,proriger,34.75,119.75,1311:249:4,0.03
Sebastes,proriger,35.25,119.25,1311:459:1,0.02
Sebastes,proriger,35.25,119.75,1311:459:2,0.02
Sebastes,proriger,39.25,119.75,1311:499:2,0.07
Sebastes,proriger,39.75,119.25,1311:499:3,0.07
Sebastes,proriger,39.75,119.75,1311:499:4,0.08
Sebastes,proriger,35.25,120.25,1312:350:1,0.01
Sebastes,proriger,36.25,120.25,1312:360:1,0.04
Sebastes,proriger,36.25,120.75,1312:360:2,0.04
Sebastes,proriger,36.25,121.25,1312:361:1,0.02
Sebastes,proriger,36.25,121.75,1312:361:2,0.03
Sebastes,proriger,36.75,121.25,1312:361:3,0.04
Sebastes,proriger,36.75,121.75,1312:361:4,0.04
Sebastes,proriger,36.25,122.25,1312:362:1,0.03
Sebastes,proriger,36.25,122.75,1312:362:2,0.06
Sebastes,proriger,36.75,122.25,1312:362:3,0.04
Sebastes,proriger,36.75,122.75,1312:362:4,0.03
Sebastes,proriger,36.25,123.25,1312:363:1,0.08
Sebastes,proriger,36.25,123.75,1312:363:2,0.08
Sebastes,proriger,36.75,123.25,1312:363:3,0.07
Sebastes,proriger,36.75,123.75,1312:363:4,0.07
Sebastes,proriger,36.25,124.25,1312:364:1,0.06
Sebastes,proriger,36.25,124.75,1312:364:2,0.06
Sebastes,proriger,36.75,124.25,1312:364:3,0.05
Sebastes,proriger,36.75,124.75,1312:364:4,0.04
Sebastes,proriger,37.75,120.25,1312:370:3,0.01
Sebastes,proriger,37.75,120.75,1312:370:4,0.01
Sebastes,proriger,37.75,121.75,1312:371:4,0.08
Sebastes,proriger,37.25,122.25,1312:372:1,0.02
Sebastes,proriger,37.25,122.75,1312:372:2,0.04
Sebastes,proriger,37.75,122.25,1312:372:3,0.08
Sebastes,proriger,37.75,122.75,1312:372:4,0.04
Sebastes,proriger,37.25,123.25,1312:373:1,0.13
Sebastes,proriger,37.25,123.75,1312:373:2,0.13
Sebastes,proriger,37.75,123.25,1312:373:3,0.09
Sebastes,proriger,37.75,123.75,1312:373:4,0.07
Sebastes,proriger,37.25,124.25,1312:374:1,0.10
Sebastes,proriger,37.25,124.75,1312:374:2,0.10
Sebastes,proriger,37.75,124.25,1312:374:3,0.10
Sebastes,proriger,37.75,124.75,1312:374:4,0.07
Sebastes,proriger,38.25,120.25,1312:380:1,0.01
Sebastes,proriger,38.25,120.75,1312:380:2,0.01
Sebastes,proriger,38.75,120.25,1312:380:3,0.02
Sebastes,proriger,38.75,120.75,1312:380:4,0.02
Sebastes,proriger,38.75,121.25,1312:381:3,0.01
Sebastes,proriger,38.75,121.75,1312:381:4,0.17
Sebastes,proriger,38.25,122.25,1312:382:1,0.17
Sebastes,proriger,38.25,122.75,1312:382:2,0.10
Sebastes,proriger,38.75,122.25,1312:382:3,0.09
Sebastes,proriger,38.75,122.75,1312:382:4,0.10
Sebastes,proriger,38.25,123.75,1312:383:2,0.19
Sebastes,proriger,38.75,123.25,1312:383:3,0.15
Sebastes,proriger,38.25,124.75,1312:384:2,0.16
Sebastes,proriger,39.25,120.25,1312:390:1,0.05
Sebastes,proriger,39.25,120.75,1312:390:2,0.04
Sebastes,proriger,39.75,120.25,1312:390:3,0.04
Sebastes,proriger,39.75,120.75,1312:390:4,0.03
Sebastes,proriger,39.25,121.25,1312:391:1,0.04
Sebastes,proriger,39.25,121.75,1312:391:2,0.17
Sebastes,proriger,39.75,121.25,1312:391:3,0.06
Sebastes,proriger,39.75,121.75,1312:391:4,0.01
Sebastes,proriger,39.25,122.25,1312:392:1,0.07
Sebastes,proriger,39.25,122.75,1312:392:2,0.13
Sebastes,proriger,39.75,122.75,1312:392:4,0.18
Sebastes,proriger,39.25,123.75,1312:393:2,0.18
Sebastes,proriger,39.75,123.25,1312:393:3,0.16
Sebastes,proriger,39.25,124.25,1312:394:1,0.18
Sebastes,proriger,39.75,124.25,1312:394:3,0.11
Sebastes,proriger,39.75,124.75,1312:394:4,0.10
Sebastes,proriger,36.25,125.25,1312:465:1,0.05
Sebastes,proriger,36.25,125.75,1312:465:2,0.05
Sebastes,proriger,36.75,125.25,1312:465:3,0.02
Sebastes,proriger,36.75,125.75,1312:465:4,0.01
Sebastes,proriger,36.25,126.25,1312:466:1,0.01
Sebastes,proriger,36.25,126.75,1312:466:2,0.03
Sebastes,proriger,36.75,126.25,1312:466:3,0.01
Sebastes,proriger,37.25,125.25,1312:475:1,0.02
Sebastes,proriger,37.25,125.75,1312:475:2,0.02
Sebastes,proriger,37.75,125.25,1312:475:3,0.05
Sebastes,proriger,37.75,125.75,1312:475:4,0.08
Sebastes,proriger,37.25,126.25,1312:476:1,0.05
Sebastes,proriger,37.25,126.75,1312:476:2,0.03
Sebastes,proriger,37.75,126.25,1312:476:3,0.04
Sebastes,proriger,38.75,125.25,1312:485:3,0.17
Sebastes,proriger,38.75,128.25,1312:488:3,0.01
Sebastes,proriger,38.75,128.75,1312:488:4,0.01
Sebastes,proriger,39.75,125.25,1312:495:3,0.04
Sebastes,proriger,39.25,127.25,1312:497:1,0.01
Sebastes,proriger,39.25,127.75,1312:497:2,0.01
Sebastes,proriger,39.75,127.75,1312:497:4,0.01
Sebastes,proriger,39.25,128.25,1312:498:1,0.01
Sebastes,proriger,39.75,128.25,1312:498:3,0.01
Sebastes,proriger,39.75,128.75,1312:498:4,0.01
Sebastes,proriger,40.25,119.75,1411:209:2,0.02
Sebastes,proriger,40.25,120.25,1412:100:1,0.10
Sebastes,proriger,40.25,120.75,1412:100:2,0.05
Sebastes,proriger,40.75,120.75,1412:100:4,0.08
Sebastes,proriger,40.25,121.25,1412:101:1,0.02
Sebastes,proriger,40.25,121.75,1412:101:2,0.01
Sebastes,proriger,40.75,121.25,1412:101:3,0.02
Sebastes,proriger,40.75,121.75,1412:101:4,0.01
Sebastes,proriger,40.25,122.25,1412:102:1,0.14
Sebastes,proriger,40.75,122.25,1412:102:3,0.03
Sebastes,proriger,40.25,128.25,1412:208:1,0.01
Sebastes,proriger,40.25,128.75,1412:208:2,0.02
Sebastes,proriger,47.25,139.75,1413:479:2,0.15
Sebastes,proriger,47.75,139.25,1413:479:3,0.08
Sebastes,proriger,48.25,139.75,1413:489:2,0.08
Sebastes,proriger,40.75,140.75,1414:100:4,0.07
Sebastes,proriger,40.25,141.75,1414:101:2,0.05
Sebastes,proriger,40.75,141.25,1414:101:3,0.09
Sebastes,proriger,40.25,142.25,1414:102:1,0.04
Sebastes,proriger,40.75,142.25,1414:102:3,0.04
Sebastes,proriger,42.25,140.75,1414:120:2,0.10
Sebastes,proriger,43.75,144.75,1414:134:4,0.01
Sebastes,proriger,44.75,149.75,1414:249:4,0.14
Sebastes,proriger,45.75,143.25,1414:353:3,0.12
Sebastes,proriger,46.25,141.75,1414:361:2,0.07
Sebastes,proriger,46.75,141.25,1414:361:3,0.13
Sebastes,proriger,46.75,141.75,1414:361:4,0.13
Sebastes,proriger,46.25,142.75,1414:362:2,0.12
Sebastes,proriger,46.75,142.25,1414:362:3,0.01
Sebastes,proriger,47.75,140.25,1414:370:3,0.02
Sebastes,proriger,47.25,141.75,1414:371:2,0.11
Sebastes,proriger,47.75,141.25,1414:371:3,0.18
Sebastes,proriger,47.75,141.75,1414:371:4,0.07
Sebastes,proriger,47.25,142.25,1414:372:1,0.02
Sebastes,proriger,48.25,140.25,1414:380:1,0.04
Sebastes,proriger,45.25,148.25,1414:458:1,0.12
Sebastes,proriger,47.75,154.25,1415:374:3,0.06
Sebastes,proriger,54.75,149.75,1514:249:4,0.07
Sebastes,proriger,51.25,154.75,1515:114:2,0.08
Sebastes,proriger,52.75,153.25,1515:123:3,0.05
Sebastes,proriger,53.75,151.75,1515:131:4,0.01
Sebastes,proriger,54.75,150.25,1515:140:3,0.12
Sebastes,proriger,54.25,152.75,1515:142:2,0.11
Sebastes,proriger,54.25,153.25,1515:143:1,0.01
Sebastes,proriger,54.75,153.25,1515:143:3,0.12
Sebastes,proriger,51.25,155.75,1515:215:2,0.07
Sebastes,proriger,51.25,156.25,1515:216:1,0.19
Sebastes,proriger,51.75,156.75,1515:216:4,0.13
Sebastes,proriger,51.75,158.25,1515:218:3,0.11
Sebastes,proriger,52.75,155.75,1515:225:4,0.10
Sebastes,proriger,52.25,156.25,1515:226:1,0.10
