Mapping parameters for Sebastes rosenblatti (Greenblotched rockfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,61,99,216,396
Temperature (°C),1,12.76,14.6,26.63,30.83
Salinity (psu),1,32.74,33.24,34.57,35.07
Primary Production,1,135.5,727,1617,2219.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,3,6,191,219
 

Map data (HSPEC) for predicted occurrences (n = 296): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sebastes,rosenblatti,8.25,-80.25,7008:380:1,0.01
Sebastes,rosenblatti,5.25,-86.75,7008:456:2,0.01
Sebastes,rosenblatti,5.75,-86.75,7008:456:4,0.01
Sebastes,rosenblatti,5.25,-87.25,7008:457:1,0.07
Sebastes,rosenblatti,5.75,-87.25,7008:457:3,0.07
Sebastes,rosenblatti,2.25,-157.25,7015:227:1,0.01
Sebastes,rosenblatti,3.75,-159.25,7015:239:3,0.04
Sebastes,rosenblatti,4.75,-160.25,7016:140:3,0.09
Sebastes,rosenblatti,5.75,-161.75,7016:351:4,0.10
Sebastes,rosenblatti,5.75,-162.25,7016:352:3,0.11
Sebastes,rosenblatti,6.25,-162.25,7016:362:1,0.15
Sebastes,rosenblatti,6.25,-162.75,7016:362:2,0.14
Sebastes,rosenblatti,6.75,-162.75,7016:362:4,0.12
Sebastes,rosenblatti,8.25,-160.25,7016:380:1,0.05
Sebastes,rosenblatti,14.25,-93.25,7109:143:1,0.08
Sebastes,rosenblatti,10.25,-109.25,7110:209:1,0.16
Sebastes,rosenblatti,19.25,-154.75,7115:394:2,0.09
Sebastes,rosenblatti,19.75,-154.75,7115:394:4,0.10
Sebastes,rosenblatti,18.75,-155.75,7115:485:4,0.14
Sebastes,rosenblatti,19.25,-155.25,7115:495:1,0.11
Sebastes,rosenblatti,19.25,-155.75,7115:495:2,0.13
Sebastes,rosenblatti,19.75,-155.25,7115:495:3,0.06
Sebastes,rosenblatti,19.75,-155.75,7115:495:4,0.06
Sebastes,rosenblatti,19.75,-156.25,7115:496:3,0.13
Sebastes,rosenblatti,16.75,-169.25,7116:469:3,0.12
Sebastes,rosenblatti,16.75,-169.75,7116:469:4,0.11
Sebastes,rosenblatti,22.75,-105.75,7210:225:4,0.13
Sebastes,rosenblatti,23.75,-109.25,7210:239:3,0.06
Sebastes,rosenblatti,23.75,-109.75,7210:239:4,0.06
Sebastes,rosenblatti,24.25,-109.25,7210:249:1,0.03
Sebastes,rosenblatti,24.25,-109.75,7210:249:2,0.06
Sebastes,rosenblatti,25.25,-109.25,7210:459:1,0.06
Sebastes,rosenblatti,25.75,-109.25,7210:459:3,0.02
Sebastes,rosenblatti,25.75,-109.75,7210:459:4,0.02
Sebastes,rosenblatti,23.75,-110.25,7211:130:3,0.06
Sebastes,rosenblatti,23.25,-111.25,7211:131:1,0.01
Sebastes,rosenblatti,24.25,-110.25,7211:140:1,0.06
Sebastes,rosenblatti,24.75,-110.25,7211:140:3,0.02
Sebastes,rosenblatti,24.75,-110.75,7211:140:4,0.02
Sebastes,rosenblatti,25.25,-110.25,7211:350:1,0.02
Sebastes,rosenblatti,25.25,-110.75,7211:350:2,0.02
Sebastes,rosenblatti,25.75,-110.75,7211:350:4,0.02
Sebastes,rosenblatti,25.75,-111.25,7211:351:3,0.02
Sebastes,rosenblatti,28.25,-114.75,7211:384:2,0.07
Sebastes,rosenblatti,20.25,-155.25,7215:205:1,0.06
Sebastes,rosenblatti,20.25,-155.75,7215:205:2,0.06
Sebastes,rosenblatti,20.75,-155.75,7215:205:4,0.05
Sebastes,rosenblatti,20.75,-156.25,7215:206:3,0.05
Sebastes,rosenblatti,20.75,-156.75,7215:206:4,0.03
Sebastes,rosenblatti,20.75,-157.25,7215:207:3,0.08
Sebastes,rosenblatti,20.75,-157.75,7215:207:4,0.07
Sebastes,rosenblatti,21.25,-156.25,7215:216:1,0.05
Sebastes,rosenblatti,21.25,-156.75,7215:216:2,0.05
Sebastes,rosenblatti,21.25,-157.25,7215:217:1,0.08
Sebastes,rosenblatti,21.25,-157.75,7215:217:2,0.08
Sebastes,rosenblatti,21.75,-157.75,7215:217:4,0.07
Sebastes,rosenblatti,21.25,-158.25,7215:218:1,0.07
Sebastes,rosenblatti,21.75,-158.25,7215:218:3,0.02
Sebastes,rosenblatti,21.75,-159.25,7215:219:3,0.03
Sebastes,rosenblatti,21.75,-159.75,7215:219:4,0.04
Sebastes,rosenblatti,22.25,-159.25,7215:229:1,0.02
Sebastes,rosenblatti,22.25,-159.75,7215:229:2,0.02
Sebastes,rosenblatti,21.75,-160.25,7216:110:3,0.03
Sebastes,rosenblatti,21.75,-160.75,7216:110:4,0.03
Sebastes,rosenblatti,22.25,-160.25,7216:120:1,0.01
Sebastes,rosenblatti,22.75,-160.75,7216:120:4,0.01
Sebastes,rosenblatti,22.75,-161.25,7216:121:3,0.01
Sebastes,rosenblatti,22.75,-162.25,7216:122:3,0.01
Sebastes,rosenblatti,35.75,-121.75,7312:351:4,0.06
Sebastes,rosenblatti,37.25,-122.25,7312:372:1,0.09
Sebastes,rosenblatti,37.25,-122.75,7312:372:2,0.06
Sebastes,rosenblatti,37.75,-122.25,7312:372:3,0.05
Sebastes,rosenblatti,37.75,-122.75,7312:372:4,0.03
Sebastes,rosenblatti,37.75,-123.25,7312:373:3,0.14
Sebastes,rosenblatti,0.25,-90.75,7009:100:2,0.38
Sebastes,rosenblatti,10.25,-84.75,7108:104:2,0.34
Sebastes,rosenblatti,10.25,-85.25,7108:205:1,0.38
Sebastes,rosenblatti,10.75,-85.75,7108:205:4,0.36
Sebastes,rosenblatti,11.25,-85.75,7108:215:2,0.39
Sebastes,rosenblatti,11.75,-87.25,7108:217:3,0.39
Sebastes,rosenblatti,12.75,-89.25,7108:229:3,0.39
Sebastes,rosenblatti,12.75,-89.75,7108:229:4,0.37
Sebastes,rosenblatti,13.25,-87.25,7108:237:1,0.32
Sebastes,rosenblatti,13.25,-89.75,7108:239:2,0.35
Sebastes,rosenblatti,13.75,-89.75,7108:239:4,0.29
Sebastes,rosenblatti,13.25,-90.25,7109:130:1,0.29
Sebastes,rosenblatti,13.25,-90.75,7109:130:2,0.30
Sebastes,rosenblatti,13.75,-90.25,7109:130:3,0.30
Sebastes,rosenblatti,13.75,-90.75,7109:130:4,0.36
Sebastes,rosenblatti,13.25,-91.25,7109:131:1,0.26
Sebastes,rosenblatti,13.75,-91.25,7109:131:3,0.35
Sebastes,rosenblatti,13.75,-91.75,7109:131:4,0.35
Sebastes,rosenblatti,16.25,-95.25,7109:465:1,0.31
Sebastes,rosenblatti,16.25,-97.75,7109:467:2,0.31
Sebastes,rosenblatti,16.25,-98.25,7109:468:1,0.38
Sebastes,rosenblatti,16.25,-98.75,7109:468:2,0.37
