Mapping parameters for Sebastes variegatus (Harlequin rockfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61 |  67,
Bounding Box (NSWE): ,55,45,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,70,127,291,558
Temperature (°C),1,4.68,5.71,10.41,12.09
Salinity (psu),1,30.83,31.81,32.99,34.19
Primary Production,1,425,501,1360,2551
Sea Ice Concentration,1,-1,0,0.00999999977648258,0.07
Distance to Land (km),0,11,15,122,445
 

Map data (HSPEC) for predicted occurrences (n = 382): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sebastes,variegatus,45.25,136.75,1413:456:2,0.15
Sebastes,variegatus,45.25,137.25,1413:457:1,0.06
Sebastes,variegatus,45.75,137.25,1413:457:3,0.18
Sebastes,variegatus,45.75,137.75,1413:457:4,0.07
Sebastes,variegatus,46.25,137.75,1413:467:2,0.14
Sebastes,variegatus,46.25,138.25,1413:468:1,0.07
Sebastes,variegatus,46.75,138.25,1413:468:3,0.14
Sebastes,variegatus,46.75,139.75,1413:469:4,0.04
Sebastes,variegatus,47.25,138.75,1413:478:2,0.11
Sebastes,variegatus,47.25,139.25,1413:479:1,0.07
Sebastes,variegatus,47.75,139.25,1413:479:3,0.10
Sebastes,variegatus,48.25,139.75,1413:489:2,0.10
Sebastes,variegatus,45.75,140.25,1414:350:3,0.17
Sebastes,variegatus,45.25,141.25,1414:351:1,0.10
Sebastes,variegatus,45.25,141.75,1414:351:2,0.06
Sebastes,variegatus,45.75,141.75,1414:351:4,0.13
Sebastes,variegatus,45.75,142.25,1414:352:3,0.04
Sebastes,variegatus,47.25,141.75,1414:371:2,0.19
Sebastes,variegatus,48.75,141.25,1414:381:3,0.14
Sebastes,variegatus,45.75,148.25,1414:458:3,0.17
Sebastes,variegatus,46.75,152.25,1415:362:3,0.13
Sebastes,variegatus,47.25,151.75,1415:371:2,0.02
Sebastes,variegatus,47.75,154.25,1415:374:3,0.07
Sebastes,variegatus,47.75,154.75,1415:374:4,0.11
Sebastes,variegatus,48.25,155.25,1415:485:1,0.13
Sebastes,variegatus,48.75,155.25,1415:485:3,0.13
Sebastes,variegatus,49.25,155.25,1415:495:1,0.03
Sebastes,variegatus,49.25,155.75,1415:495:2,0.03
Sebastes,variegatus,49.75,155.25,1415:495:3,0.03
Sebastes,variegatus,49.75,155.75,1415:495:4,0.03
