Mapping parameters for Seriola hippos (Samson fish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  71 |  81,
Bounding Box (NSWE): ,-25,-36,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,11.49,17.79,23.4,28.77
Salinity (psu),1,35,35.5,35.84,36.34
Primary Production,1,149,339,747,1017
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,1,6,192,237
 

Map data (HSPEC) for predicted occurrences (n = 293): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Seriola,hippos,-33.75,124.25,3312:134:3,0.15
Seriola,hippos,-32.75,129.75,3312:229:4,0.08
Seriola,hippos,-32.25,132.75,3313:122:2,0.17
Seriola,hippos,-32.25,133.25,3313:123:1,0.15
Seriola,hippos,-32.75,133.75,3313:123:4,0.04
Seriola,hippos,-33.25,132.75,3313:132:2,0.08
Seriola,hippos,-34.25,132.75,3313:142:2,0.15
Seriola,hippos,-33.75,136.25,3313:236:3,0.19
Seriola,hippos,-35.75,139.75,3313:459:4,0.16
Seriola,hippos,-33.75,151.75,3315:131:4,0.08
Seriola,hippos,-35.75,150.75,3315:350:4,0.17
Seriola,hippos,-35.25,172.75,3317:352:2,0.08
Seriola,hippos,-27.75,-143.25,5214:373:3,0.10
Seriola,hippos,-27.75,-144.25,5214:374:3,0.12
Seriola,hippos,-26.75,-145.75,5214:465:4,0.10
Seriola,hippos,-28.25,114.25,3211:384:1,0.32
Seriola,hippos,-29.75,114.25,3211:394:3,0.24
Seriola,hippos,-25.75,152.75,3215:352:4,0.20
Seriola,hippos,-26.25,153.25,3215:363:1,0.27
Seriola,hippos,-26.25,153.75,3215:363:2,0.22
Seriola,hippos,-33.25,123.75,3312:133:2,0.37
Seriola,hippos,-32.25,128.75,3312:228:2,0.34
Seriola,hippos,-32.25,129.25,3312:229:1,0.28
Seriola,hippos,-31.75,131.25,3313:111:3,0.39
Seriola,hippos,-32.75,131.75,3313:121:4,0.23
Seriola,hippos,-33.25,132.25,3313:132:1,0.21
Seriola,hippos,-33.25,133.25,3313:133:1,0.36
Seriola,hippos,-34.25,135.75,3313:245:2,0.36
Seriola,hippos,-35.25,135.75,3313:455:2,0.21
Seriola,hippos,-34.75,151.25,3315:141:3,0.29
Seriola,hippos,-25.25,113.25,3211:353:1,0.50
Seriola,hippos,-29.25,114.75,3211:394:2,0.40
Seriola,hippos,-25.25,152.75,3215:352:2,0.51
Seriola,hippos,-25.25,153.25,3215:353:1,0.52
Seriola,hippos,-25.25,153.75,3215:353:2,0.52
Seriola,hippos,-25.75,153.25,3215:353:3,0.52
Seriola,hippos,-25.75,153.75,3215:353:4,0.50
Seriola,hippos,-25.25,159.75,3215:459:2,0.43
Seriola,hippos,-25.25,161.75,3216:351:2,0.45
Seriola,hippos,-25.75,161.25,3216:351:3,0.46
Seriola,hippos,-25.75,161.75,3216:351:4,0.48
Seriola,hippos,-25.25,162.25,3216:352:1,0.50
Seriola,hippos,-25.25,162.75,3216:352:2,0.49
Seriola,hippos,-25.75,162.25,3216:352:3,0.48
Seriola,hippos,-25.75,162.75,3216:352:4,0.46
Seriola,hippos,-25.75,163.25,3216:353:3,0.54
Seriola,hippos,-26.25,161.75,3216:361:2,0.45
Seriola,hippos,-26.25,162.25,3216:362:1,0.46
Seriola,hippos,-32.75,114.75,3311:124:4,0.46
Seriola,hippos,-34.75,117.75,3311:247:4,0.40
Seriola,hippos,-32.75,127.75,3312:227:4,0.54
Seriola,hippos,-32.75,128.25,3312:228:3,0.51
Seriola,hippos,-32.75,128.75,3312:228:4,0.55
Seriola,hippos,-32.25,129.75,3312:229:2,0.41
Seriola,hippos,-32.75,129.25,3312:229:3,0.58
Seriola,hippos,-31.75,130.25,3313:110:3,0.44
Seriola,hippos,-31.75,130.75,3313:110:4,0.49
Seriola,hippos,-31.75,131.75,3313:111:4,0.57
Seriola,hippos,-31.75,132.75,3313:112:4,0.55
Seriola,hippos,-32.25,130.25,3313:120:1,0.57
Seriola,hippos,-32.25,131.75,3313:121:2,0.59
Seriola,hippos,-32.25,132.25,3313:122:1,0.40
Seriola,hippos,-32.75,133.25,3313:123:3,0.48
Seriola,hippos,-33.75,133.75,3313:133:4,0.44
Seriola,hippos,-33.75,134.75,3313:134:4,0.54
Seriola,hippos,-34.25,133.25,3313:143:1,0.50
Seriola,hippos,-34.25,136.25,3313:246:1,0.46
Seriola,hippos,-34.75,137.25,3313:247:3,0.45
Seriola,hippos,-35.75,137.25,3313:457:3,0.51
Seriola,hippos,-35.75,137.75,3313:457:4,0.50
Seriola,hippos,-35.25,173.75,3317:353:2,0.40
Seriola,hippos,-25.25,112.75,3211:352:2,0.77
Seriola,hippos,-25.75,112.75,3211:352:4,0.77
Seriola,hippos,-25.25,113.75,3211:353:2,0.75
Seriola,hippos,-25.75,113.25,3211:353:3,0.75
Seriola,hippos,-25.75,113.75,3211:353:4,0.75
Seriola,hippos,-25.75,114.25,3211:354:3,0.64
Seriola,hippos,-26.75,153.25,3215:363:3,0.63
Seriola,hippos,-26.75,153.75,3215:363:4,0.63
Seriola,hippos,-27.25,153.25,3215:373:1,0.66
Seriola,hippos,-27.25,153.75,3215:373:2,0.66
Seriola,hippos,-27.75,153.25,3215:373:3,0.66
Seriola,hippos,-29.25,159.25,3215:499:1,0.74
Seriola,hippos,-28.75,167.75,3216:487:4,0.78
Seriola,hippos,-28.75,168.25,3216:488:3,0.71
Seriola,hippos,-34.75,117.25,3311:247:3,0.60
Seriola,hippos,-31.75,128.25,3312:218:3,0.64
Seriola,hippos,-31.75,128.75,3312:218:4,0.64
Seriola,hippos,-33.75,122.25,3312:132:3,0.74
Seriola,hippos,-31.75,129.25,3312:219:3,0.64
Seriola,hippos,-31.75,129.75,3312:219:4,0.64
Seriola,hippos,-32.25,127.25,3312:227:1,0.64
Seriola,hippos,-32.25,127.75,3312:227:2,0.64
Seriola,hippos,-32.25,128.25,3312:228:1,0.64
Seriola,hippos,-33.25,125.25,3312:235:1,0.61
Seriola,hippos,-31.25,131.25,3313:111:1,0.70
Seriola,hippos,-31.75,132.25,3313:112:3,0.61
Seriola,hippos,-32.25,130.75,3313:120:2,0.68
Seriola,hippos,-32.75,132.75,3313:122:4,0.70
Seriola,hippos,-32.25,133.75,3313:123:2,0.70
Seriola,hippos,-32.75,137.75,3313:227:4,0.77
Seriola,hippos,-33.75,136.75,3313:236:4,0.76
Seriola,hippos,-35.25,135.25,3313:455:1,0.65
Seriola,hippos,-35.25,138.25,3313:458:1,0.71
Seriola,hippos,-32.75,152.75,3315:122:4,0.67
Seriola,hippos,-35.25,150.25,3315:350:1,0.77
Seriola,hippos,-35.75,150.25,3315:350:3,0.70
Seriola,hippos,-29.25,-177.75,5217:497:2,0.65
Seriola,hippos,-30.25,-178.25,5317:208:1,0.79
Seriola,hippos,-30.75,-178.75,5317:208:4,0.79
Seriola,hippos,-26.25,113.25,3211:363:1,0.82
Seriola,hippos,-26.25,113.75,3211:363:2,0.82
Seriola,hippos,-26.75,113.25,3211:363:3,0.82
Seriola,hippos,-26.75,113.75,3211:363:4,0.86
