Mapping parameters for Epinephelus lanceolatus (Giant grouper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  47 |  51 |  57 |  61 |  71 |  77 |  81 ,
Bounding Box (NSWE): ,29,-39,24,-122

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,4,14,50,100
Temperature (°C),1,16.11,23.07,28.95,33.15
Salinity (psu),1,28.69,31.6,35.59,37.8
Primary Production,1,0,200,900,1500
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,0,4,111,139
 

Map data (HSPEC) for predicted occurrences (n = 4997): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Epinephelus,lanceolatus,3.25,46.75,1004:236:2,0.14,1,1,1,0.14,1,1
Epinephelus,lanceolatus,3.75,47.25,1004:237:3,0.06,1,1,1,0.06,1,1
Epinephelus,lanceolatus,7.25,49.25,1004:479:1,0.08,1,1,1,0.076666666666667,1,1
Epinephelus,lanceolatus,7.25,49.75,1004:479:2,0.06,1,1,1,0.06,1,1
Epinephelus,lanceolatus,7.75,49.75,1004:479:4,0.04,1,1,1,0.035,1,1
Epinephelus,lanceolatus,7.75,50.25,1005:370:3,0.14,1,1,1,0.14,1,1
Epinephelus,lanceolatus,8.75,50.25,1005:380:3,0.05,1,1,1,0.048333333333333,1,1
Epinephelus,lanceolatus,7.75,76.75,1007:476:4,0.17,1,1,1,0.16666666666667,1,1
Epinephelus,lanceolatus,8.75,76.75,1007:486:4,0.06,1,1,1,0.056666666666667,1,1
Epinephelus,lanceolatus,8.25,77.25,1007:487:1,0.10,1,1,1,0.10333333333333,1,1
Epinephelus,lanceolatus,8.75,79.75,1007:489:4,0.11,1,1,1,0.11,1,1
Epinephelus,lanceolatus,9.75,76.25,1007:496:3,0.17,1,1,1,0.17333333333333,1,1
Epinephelus,lanceolatus,9.25,78.75,1007:498:2,0.04,1,1,1,0.04,1,1
Epinephelus,lanceolatus,9.75,79.75,1007:499:4,0.10,1,1,1,0.096666666666667,1,1
Epinephelus,lanceolatus,1.25,98.75,1009:218:2,0.15,1,0.9047619047619,1,0.16333333333333,1,1
Epinephelus,lanceolatus,3.75,99.25,1009:239:3,0.09,1,0.89047619047619,1,0.105,1,1
Epinephelus,lanceolatus,3.75,99.75,1009:239:4,0.13,1,0.89047619047619,1,0.14833333333333,1,1
Epinephelus,lanceolatus,6.25,98.25,1009:468:1,0.13,0.14,0.93571428571429,1,1,1,1
Epinephelus,lanceolatus,0.75,104.25,1010:104:3,0.01,1,0.99761904761905,1,0.0083333333333333,1,1
Epinephelus,lanceolatus,2.75,101.25,1010:121:3,0.18,1,0.92142857142857,1,0.2,1,1
Epinephelus,lanceolatus,2.25,102.75,1010:122:2,0.01,1,0.97380952380952,1,0.0066666666666667,1,1
Epinephelus,lanceolatus,3.25,101.25,1010:131:1,0.18,1,0.91428571428571,1,0.19666666666667,1,1
Epinephelus,lanceolatus,3.75,101.25,1010:131:3,0.14,1,0.91428571428571,1,0.15166666666667,1,1
Epinephelus,lanceolatus,3.25,103.25,1010:133:1,0.18,1,1,1,0.18166666666667,1,1
Epinephelus,lanceolatus,0.25,108.25,1010:208:1,0.15,1,0.98571428571429,1,0.15,1,1
Epinephelus,lanceolatus,1.25,109.25,1010:219:1,0.05,1,0.96666666666667,1,0.046666666666667,1,1
Epinephelus,lanceolatus,1.75,109.25,1010:219:3,0.19,1,0.96666666666667,1,0.195,1,1
Epinephelus,lanceolatus,4.75,109.75,1010:249:4,0.14,0.14,1,1,1,1,1
Epinephelus,lanceolatus,5.75,100.25,1010:350:3,0.01,1,0.89523809523809,1,0.01,1,1
Epinephelus,lanceolatus,5.75,102.25,1010:352:3,0.08,0.5,1,1,0.16166666666667,1,1
Epinephelus,lanceolatus,9.25,104.75,1010:394:2,0.05,1,1,1,0.045,1,1
Epinephelus,lanceolatus,5.25,109.25,1010:459:1,0.14,0.14,1,1,1,1,1
Epinephelus,lanceolatus,6.75,108.75,1010:468:4,0.12,0.12,1,1,1,1,1
Epinephelus,lanceolatus,6.25,109.25,1010:469:1,0.14,0.14,1,1,1,1,1
Epinephelus,lanceolatus,3.75,118.25,1011:238:3,0.07,0.26,0.98333333333333,1,0.285,1,1
Epinephelus,lanceolatus,5.25,113.25,1011:353:1,0.02,0.02,1,1,1,1,1
Epinephelus,lanceolatus,5.75,117.75,1011:457:4,0.12,0.4,1,1,0.31166666666667,1,1
Epinephelus,lanceolatus,8.25,167.25,1016:487:1,0.14,0.14,1,1,1,1,1
Epinephelus,lanceolatus,15.75,39.75,1103:459:4,0.17,1,0.96428571428571,0.23981900452488,0.73666666666667,1,1
Epinephelus,lanceolatus,16.25,39.25,1103:469:1,0.05,1,0.9547619047619,0.054298642533936,1,1,1
Epinephelus,lanceolatus,16.25,39.75,1103:469:2,0.01,1,0.9547619047619,0.027149321266966,0.455,1,1
Epinephelus,lanceolatus,16.75,39.25,1103:469:3,0.04,1,0.9547619047619,0.054298642533936,0.76166666666667,1,1
Epinephelus,lanceolatus,17.25,38.75,1103:478:2,0.05,1,0.99285714285714,0.054298642533936,0.89,1,1
Epinephelus,lanceolatus,17.75,38.75,1103:478:4,0.05,1,0.99285714285714,0.054298642533936,0.99166666666667,1,1
Epinephelus,lanceolatus,17.25,39.25,1103:479:1,0.05,1,0.94761904761905,0.054298642533936,1,1,1
Epinephelus,lanceolatus,17.25,39.75,1103:479:2,0.05,0.88,0.94761904761905,0.054298642533936,1,1,1
Epinephelus,lanceolatus,17.75,39.25,1103:479:3,0.05,1,0.94761904761905,0.054298642533936,1,1,1
Epinephelus,lanceolatus,18.25,38.75,1103:488:2,0.13,1,1,0.12669683257918,1,1,1
Epinephelus,lanceolatus,19.75,39.75,1103:499:4,0.02,1,0.99047619047619,0.022624434389139,1,1,1
Epinephelus,lanceolatus,10.75,43.75,1104:103:4,0.02,1,1,0.69230769230769,0.033333333333333,1,1
Epinephelus,lanceolatus,10.25,44.25,1104:104:1,0.08,1,1,0.69230769230769,0.11833333333333,1,1
Epinephelus,lanceolatus,11.75,43.25,1104:113:3,0.12,1,1,0.64253393665158,0.19,1,1
Epinephelus,lanceolatus,12.25,43.25,1104:123:1,0.02,1,1,0.64253393665158,0.025,1,1
Epinephelus,lanceolatus,12.25,43.75,1104:123:2,0.07,1,1,0.64253393665158,0.11166666666667,1,1
Epinephelus,lanceolatus,12.25,44.25,1104:124:1,0.11,1,1,0.64253393665158,0.165,1,1
Epinephelus,lanceolatus,12.25,44.75,1104:124:2,0.19,0.54,1,0.66063348416289,0.53166666666667,1,1
Epinephelus,lanceolatus,12.75,44.75,1104:124:4,0.05,1,1,0.66063348416289,0.071666666666667,1,1
Epinephelus,lanceolatus,13.25,42.25,1104:132:1,0.02,1,1,0.35294117647059,0.068333333333333,1,1
Epinephelus,lanceolatus,13.75,42.25,1104:132:3,0.03,1,1,0.35294117647059,0.086666666666667,1,1
Epinephelus,lanceolatus,13.75,42.75,1104:132:4,0.16,1,1,0.35294117647059,0.46333333333333,1,1
Epinephelus,lanceolatus,13.75,43.25,1104:133:3,0.01,1,1,0.35294117647059,0.038333333333333,1,1
Epinephelus,lanceolatus,14.75,40.25,1104:140:3,0.07,1,0.98333333333333,0.23981900452488,0.30333333333333,1,1
Epinephelus,lanceolatus,14.75,41.75,1104:141:4,0.08,1,1,0.23076923076923,0.35,1,1
Epinephelus,lanceolatus,14.25,42.25,1104:142:1,0.11,1,1,0.20814479638009,0.545,1,1
Epinephelus,lanceolatus,14.25,42.75,1104:142:2,0.07,1,1,0.20814479638009,0.36,1,1
Epinephelus,lanceolatus,14.75,42.25,1104:142:3,0.11,0.9,1,0.20814479638009,0.58666666666667,1,1
Epinephelus,lanceolatus,14.75,42.75,1104:142:4,0.01,1,1,0.20814479638009,0.066666666666667,1,1
Epinephelus,lanceolatus,10.75,45.75,1104:205:4,0.15,1,1,0.69230769230769,0.215,1,1
Epinephelus,lanceolatus,10.75,46.75,1104:206:4,0.17,1,1,0.68325791855204,0.25166666666667,1,1
Epinephelus,lanceolatus,10.75,47.25,1104:207:3,0.18,1,1,0.68325791855204,0.26166666666667,1,1
Epinephelus,lanceolatus,11.25,48.25,1104:218:1,0.17,1,1,0.73303167420815,0.23,1,1
Epinephelus,lanceolatus,13.25,45.25,1104:235:1,0.13,1,1,0.66063348416289,0.20166666666667,1,1
Epinephelus,lanceolatus,15.25,41.25,1104:351:1,0.05,1,0.97142857142857,0.23076923076923,0.24166666666667,1,1
Epinephelus,lanceolatus,15.25,41.75,1104:351:2,0.12,1,0.97142857142857,0.23076923076923,0.52333333333333,1,1
Epinephelus,lanceolatus,15.75,41.25,1104:351:3,0.12,1,0.97142857142857,0.23076923076923,0.54833333333333,1,1
Epinephelus,lanceolatus,15.75,41.75,1104:351:4,0.13,1,0.97142857142857,0.23076923076923,0.59166666666667,1,1
Epinephelus,lanceolatus,15.25,42.25,1104:352:1,0.08,1,0.98095238095238,0.23076923076923,0.35,1,1
Epinephelus,lanceolatus,15.25,42.75,1104:352:2,0.12,1,0.98095238095238,0.20814479638009,0.61,1,1
Epinephelus,lanceolatus,16.25,40.75,1104:360:2,0.01,1,0.94047619047619,0.027149321266966,0.43333333333333,1,1
Epinephelus,lanceolatus,16.75,40.25,1104:360:3,0.01,1,0.94047619047619,0.027149321266966,0.52833333333333,1,1
Epinephelus,lanceolatus,16.75,40.75,1104:360:4,0.03,1,0.94047619047619,0.027149321266966,0.98666666666667,1,1
Epinephelus,lanceolatus,16.25,41.25,1104:361:1,0.02,1,0.93571428571429,0.022624434389139,0.73833333333333,1,1
Epinephelus,lanceolatus,16.25,41.75,1104:361:2,0.01,1,0.93571428571429,0.022624434389139,0.66,1,1
Epinephelus,lanceolatus,16.75,41.25,1104:361:3,0.02,1,0.93571428571429,0.022624434389139,0.85833333333333,1,1
Epinephelus,lanceolatus,16.75,41.75,1104:361:4,0.02,1,0.93571428571429,0.022624434389139,0.75333333333333,1,1
Epinephelus,lanceolatus,16.25,42.75,1104:362:2,0.02,1,0.93571428571429,0.022624434389139,0.855,1,1
Epinephelus,lanceolatus,16.75,42.75,1104:362:4,0.02,1,0.93571428571429,0.022624434389139,0.87833333333333,1,1
Epinephelus,lanceolatus,17.25,40.75,1104:370:2,0.01,0.26,0.92380952380952,0.027149321266966,1,1,1
Epinephelus,lanceolatus,17.75,40.75,1104:370:4,0.03,1,0.92380952380952,0.027149321266966,1,1,1
Epinephelus,lanceolatus,18.25,40.75,1104:380:2,0.06,1,0.92142857142857,0.06787330316742,1,1,1
Epinephelus,lanceolatus,18.75,40.25,1104:380:3,0.02,0.3,0.92142857142857,0.06787330316742,1,1,1
Epinephelus,lanceolatus,18.75,40.75,1104:380:4,0.05,1,0.92142857142857,0.06787330316742,0.79666666666667,1,1
Epinephelus,lanceolatus,18.25,41.25,1104:381:1,0.06,1,0.89761904761905,0.06787330316742,0.96,1,1
Epinephelus,lanceolatus,18.75,41.25,1104:381:3,0.05,1,0.89761904761905,0.06787330316742,0.85333333333333,1,1
Epinephelus,lanceolatus,19.25,40.25,1104:390:1,0.02,1,0.94047619047619,0.022624434389139,0.99333333333333,1,1
Epinephelus,lanceolatus,19.25,40.75,1104:390:2,0.05,1,0.94047619047619,0.06787330316742,0.83833333333333,1,1
Epinephelus,lanceolatus,19.75,40.25,1104:390:3,0.02,1,0.94047619047619,0.022624434389139,0.88833333333333,1,1
Epinephelus,lanceolatus,19.75,40.75,1104:390:4,0.01,1,0.94047619047619,0.022624434389139,0.50666666666667,1,1
Epinephelus,lanceolatus,19.25,41.25,1104:391:1,0.03,1,0.9452380952381,0.06787330316742,0.52833333333333,1,1
Epinephelus,lanceolatus,10.25,51.75,1105:101:2,0.13,0.6,1,0.87782805429864,0.24666666666667,1,1
Epinephelus,lanceolatus,10.75,51.75,1105:101:4,0.14,0.52,1,0.87782805429864,0.3,1,1
Epinephelus,lanceolatus,11.75,50.75,1105:110:4,0.07,1,1,0.79638009049774,0.085,1,1
Epinephelus,lanceolatus,11.25,51.75,1105:111:2,0.01,0.06,1,0.92760180995475,0.10666666666667,1,1
Epinephelus,lanceolatus,11.75,51.75,1105:111:4,0.18,0.88,1,0.83710407239819,0.24833333333333,1,1
Epinephelus,lanceolatus,16.25,52.75,1105:362:2,0.16,1,1,0.78733031674208,0.20666666666667,1,1
Epinephelus,lanceolatus,16.75,53.25,1105:363:3,0.11,1,1,0.79638009049774,0.14333333333333,1,1
Epinephelus,lanceolatus,16.75,54.25,1105:364:3,0.01,1,1,0.79638009049774,0.016666666666667,1,1
Epinephelus,lanceolatus,16.75,54.75,1105:364:4,0.09,1,1,0.79638009049774,0.11666666666667,1,1
Epinephelus,lanceolatus,19.75,58.75,1105:498:4,0.01,1,1,0.82805429864254,0.016666666666667,1,1
Epinephelus,lanceolatus,14.25,74.75,1107:144:2,0.01,1,1,1,0.0083333333333333,1,1
Epinephelus,lanceolatus,10.75,79.75,1107:209:4,0.17,1,1,1,0.16666666666667,1,1
Epinephelus,lanceolatus,11.75,75.25,1107:215:3,0.01,1,1,1,0.011666666666667,1,1
Epinephelus,lanceolatus,11.25,79.75,1107:219:2,0.04,1,1,1,0.038333333333333,1,1
Epinephelus,lanceolatus,15.25,73.25,1107:353:1,0.08,1,1,1,0.076666666666667,1,1
Epinephelus,lanceolatus,15.75,81.25,1108:351:3,0.02,1,1,0.41237113402062,0.055,1,1
Epinephelus,lanceolatus,16.25,82.25,1108:362:1,0.08,1,1,0.4639175257732,0.16333333333333,1,1
Epinephelus,lanceolatus,17.25,82.25,1108:372:1,0.18,1,1,0.4639175257732,0.39833333333333,1,1
Epinephelus,lanceolatus,17.25,82.75,1108:372:2,0.10,1,1,0.4639175257732,0.21833333333333,1,1
Epinephelus,lanceolatus,17.75,83.25,1108:373:3,0.02,1,1,0.66323024054983,0.031666666666667,1,1
Epinephelus,lanceolatus,17.75,83.75,1108:373:4,0.19,1,1,0.66323024054983,0.28,1,1
Epinephelus,lanceolatus,11.75,93.75,1109:113:4,0.12,0.12,1,1,1,1,1
Epinephelus,lanceolatus,10.25,98.75,1109:208:2,0.18,1,1,1,0.17833333333333,1,1
Epinephelus,lanceolatus,11.75,96.75,1109:216:4,0.08,0.08,1,1,1,1,1
Epinephelus,lanceolatus,12.25,99.75,1109:229:2,0.10,1,1,0.52233676975945,0.18833333333333,1,1
Epinephelus,lanceolatus,13.25,98.25,1109:238:1,0.11,1,1,0.73883161512027,0.15333333333333,1,1
Epinephelus,lanceolatus,14.75,96.75,1109:246:4,0.11,0.66,1,0.33676975945017,0.475,1,1
Epinephelus,lanceolatus,14.75,97.25,1109:247:3,0.05,1,1,0.25085910652921,0.185,1,1
Epinephelus,lanceolatus,14.25,98.25,1109:248:1,0.07,1,1,0.25085910652921,0.28,1,1
Epinephelus,lanceolatus,15.25,94.25,1109:354:1,0.07,1,1,0.37113402061856,0.19333333333333,1,1
Epinephelus,lanceolatus,16.75,94.25,1109:364:3,0.04,1,1,0.91408934707904,0.046666666666667,1,1
Epinephelus,lanceolatus,17.25,94.75,1109:374:2,0.11,1,1,0.65979381443299,0.16166666666667,1,1
Epinephelus,lanceolatus,18.75,93.75,1109:383:4,0.13,1,1,0.53951890034364,0.24833333333333,1,1
Epinephelus,lanceolatus,18.25,94.25,1109:384:1,0.04,1,1,0.53951890034364,0.066666666666667,1,1
Epinephelus,lanceolatus,19.75,92.75,1109:392:4,0.11,1,1,0.32302405498282,0.34833333333333,1,1
Epinephelus,lanceolatus,19.25,93.25,1109:393:1,0.05,1,1,0.32302405498282,0.16,1,1
Epinephelus,lanceolatus,19.25,94.25,1109:394:1,0.01,1,1,0.53951890034364,0.02,1,1
Epinephelus,lanceolatus,15.25,97.75,1109:457:2,0.05,1,1,0.25085910652921,0.18166666666667,1,1
Epinephelus,lanceolatus,16.25,95.75,1109:465:2,0.02,1,1,0.041237113402061,0.425,1,1
Epinephelus,lanceolatus,17.75,106.25,1110:476:3,0.09,1,1,1,0.09,1,1
Epinephelus,lanceolatus,17.75,107.25,1110:477:3,0.18,0.18,1,1,1,1,1
Epinephelus,lanceolatus,17.75,107.75,1110:477:4,0.14,0.14,1,1,1,1,1
Epinephelus,lanceolatus,18.75,107.75,1110:487:4,0.04,0.04,1,1,1,1,1
Epinephelus,lanceolatus,12.25,117.25,1111:227:1,0.04,0.04,1,1,1,1,1
Epinephelus,lanceolatus,18.25,111.25,1111:381:1,0.06,0.06,1,1,1,1,1
Epinephelus,lanceolatus,20.25,39.75,1203:209:2,0.02,1,1,0.022624434389139,1,1,1
Epinephelus,lanceolatus,20.25,40.25,1204:100:1,0.02,1,1,0.022624434389139,0.77833333333333,1,1
Epinephelus,lanceolatus,21.25,58.75,1205:218:2,0.05,1,1,0.72398190045249,0.073333333333333,1,1
Epinephelus,lanceolatus,23.75,57.25,1205:237:3,0.07,1,1,0.52036199095023,0.12666666666667,1,1
Epinephelus,lanceolatus,23.75,58.75,1205:238:4,0.05,1,1,0.52036199095023,0.093333333333333,1,1
Epinephelus,lanceolatus,23.25,59.25,1205:239:1,0.03,1,1,0.57918552036199,0.043333333333333,1,1
Epinephelus,lanceolatus,24.75,56.25,1205:246:3,0.13,1,1,0.40723981900453,0.31833333333333,1,1
Epinephelus,lanceolatus,24.25,57.25,1205:247:1,0.14,1,1,0.52036199095023,0.26166666666667,1,1
Epinephelus,lanceolatus,24.75,57.25,1205:247:3,0.09,0.24,1,0.52036199095023,0.72166666666667,1,1
Epinephelus,lanceolatus,26.75,54.25,1205:364:3,0.03,1,1,0.045248868778278,0.65,1,1
Epinephelus,lanceolatus,26.75,54.75,1205:364:4,0.03,1,1,0.045248868778278,0.57333333333333,1,1
Epinephelus,lanceolatus,25.25,55.75,1205:455:2,0.03,0.2,1,0.40723981900453,0.365,1,1
Epinephelus,lanceolatus,25.75,55.75,1205:455:4,0.01,1,1,0.045248868778278,0.14833333333333,1,1
Epinephelus,lanceolatus,25.25,56.25,1205:456:1,0.13,1,1,0.40723981900453,0.32333333333333,1,1
Epinephelus,lanceolatus,25.75,56.25,1205:456:3,0.11,1,1,0.40723981900453,0.27333333333333,1,1
Epinephelus,lanceolatus,25.75,56.75,1205:456:4,0.18,1,1,0.40723981900453,0.435,1,1
Epinephelus,lanceolatus,25.75,57.25,1205:457:3,0.07,1,1,0.40723981900453,0.16666666666667,1,1
Epinephelus,lanceolatus,25.75,57.75,1205:457:4,0.04,1,1,0.40723981900453,0.10166666666667,1,1
Epinephelus,lanceolatus,25.75,58.25,1205:458:3,0.06,1,1,0.52036199095023,0.11,1,1
Epinephelus,lanceolatus,25.25,59.75,1205:459:2,0.06,1,1,0.52941176470588,0.10666666666667,1,1
Epinephelus,lanceolatus,26.75,55.25,1205:465:3,0.02,1,1,0.045248868778278,0.48666666666667,1,1
Epinephelus,lanceolatus,26.75,55.75,1205:465:4,0.02,1,1,0.045248868778278,0.37166666666667,1,1
Epinephelus,lanceolatus,26.25,56.75,1205:466:2,0.07,1,1,0.40723981900453,0.16333333333333,1,1
Epinephelus,lanceolatus,26.75,57.25,1205:467:3,0.02,1,1,0.40723981900453,0.041666666666667,1,1
Epinephelus,lanceolatus,27.25,55.75,1205:475:2,0.01,1,1,0.045248868778278,0.25166666666667,1,1
Epinephelus,lanceolatus,27.25,56.25,1205:476:1,0.02,1,1,0.045248868778278,0.49,1,1
Epinephelus,lanceolatus,20.75,69.25,1206:209:3,0.19,1,1,0.81447963800905,0.23,1,1
Epinephelus,lanceolatus,21.25,68.25,1206:218:1,0.14,0.26,1,0.74660633484163,0.725,1,1
Epinephelus,lanceolatus,21.25,68.75,1206:218:2,0.17,1,1,0.74660633484163,0.22666666666667,1,1
Epinephelus,lanceolatus,22.75,67.25,1206:227:3,0.05,1,1,0.69230769230769,0.078333333333333,1,1
Epinephelus,lanceolatus,22.25,68.25,1206:228:1,0.13,1,1,0.76470588235294,0.16833333333333,1,1
Epinephelus,lanceolatus,23.25,66.75,1206:236:2,0.06,0.34,1,0.64253393665158,0.26833333333333,1,1
Epinephelus,lanceolatus,24.25,65.75,1206:245:2,0.05,0.24,1,0.61085972850679,0.35,1,1
Epinephelus,lanceolatus,21.25,72.25,1207:112:1,0.05,1,1,1,0.055,1,1
Epinephelus,lanceolatus,20.25,90.25,1209:100:1,0.01,0.08,1,0.079037800687285,0.87333333333333,1,1
Epinephelus,lanceolatus,20.25,90.75,1209:100:2,0.04,0.84,1,0.079037800687285,0.67333333333333,1,1
Epinephelus,lanceolatus,20.25,91.75,1209:101:2,0.18,1,1,0.37800687285223,0.46666666666667,1,1
Epinephelus,lanceolatus,20.25,92.25,1209:102:1,0.06,1,1,0.37800687285223,0.14666666666667,1,1
Epinephelus,lanceolatus,20.25,106.75,1210:206:2,0.10,1,1,1,0.105,1,1
Epinephelus,lanceolatus,20.75,111.25,1211:101:3,0.02,1,1,1,0.02,1,1
Epinephelus,lanceolatus,21.75,112.75,1211:112:4,0.17,1,1,1,0.16666666666667,1,1
Epinephelus,lanceolatus,22.25,113.25,1211:123:1,0.15,1,1,1,0.14833333333333,1,1
Epinephelus,lanceolatus,22.25,114.25,1211:124:1,0.19,1,1,1,0.19166666666667,1,1
Epinephelus,lanceolatus,22.25,114.75,1211:124:2,0.14,1,1,1,0.14,1,1
Epinephelus,lanceolatus,23.75,117.75,1211:237:4,0.11,1,1,1,0.11166666666667,1,1
Epinephelus,lanceolatus,24.25,118.25,1211:248:1,0.16,1,0.96551724137931,1,0.17,1,1
Epinephelus,lanceolatus,24.75,118.25,1211:248:3,0.12,1,0.96551724137931,1,0.12833333333333,1,1
Epinephelus,lanceolatus,25.25,118.75,1211:458:2,0.10,1,0.86206896551724,1,0.12166666666667,1,1
Epinephelus,lanceolatus,25.75,119.25,1211:459:3,0.15,0.8,0.76293103448276,1,0.24666666666667,1,1
Epinephelus,lanceolatus,26.25,124.25,1212:364:1,0.12,0.12,1,1,1,1,1
