Mapping parameters for Serranus subligarius (Belted sandfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31,
Bounding Box (NSWE): ,37,24,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,2,10,18
Temperature (°C),1,22.01,23.23,26.13,30.33
Salinity (psu),1,32.57,33.86,36.06,38.01
Primary Production,1,52,678,1624,1996
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,3,14,121,208
 

Map data (HSPEC) for predicted occurrences (n = 215): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Serranus,subligarius,24.25,-75.75,7207:245:2,0.10
Serranus,subligarius,26.75,-83.25,7208:363:3,0.12
Serranus,subligarius,29.75,-88.25,7208:498:3,0.10
Serranus,subligarius,29.75,-88.75,7208:498:4,0.07
Serranus,subligarius,28.25,-91.75,7209:381:2,0.03
Serranus,subligarius,28.75,-91.25,7209:381:3,0.01
Serranus,subligarius,28.75,-91.75,7209:381:4,0.07
Serranus,subligarius,29.25,-91.25,7209:391:1,0.02
Serranus,subligarius,29.75,-91.25,7209:391:3,0.07
Serranus,subligarius,29.75,-91.75,7209:391:4,0.05
Serranus,subligarius,29.25,-92.25,7209:392:1,0.03
Serranus,subligarius,27.25,-96.75,7209:476:2,0.12
Serranus,subligarius,30.25,-88.25,7308:208:1,0.03
Serranus,subligarius,30.25,-88.75,7308:208:2,0.05
Serranus,subligarius,30.75,-88.25,7308:208:3,0.10
Serranus,subligarius,30.25,-89.75,7308:209:2,0.04
Serranus,subligarius,24.25,-74.25,7207:144:1,0.21
Serranus,subligarius,24.25,-75.25,7207:245:1,0.25
Serranus,subligarius,24.75,-75.75,7207:245:4,0.25
Serranus,subligarius,24.25,-76.25,7207:246:1,0.27
Serranus,subligarius,24.75,-76.25,7207:246:3,0.29
Serranus,subligarius,24.25,-79.75,7207:249:2,0.35
Serranus,subligarius,25.25,-76.25,7207:456:1,0.28
Serranus,subligarius,25.75,-76.75,7207:456:4,0.35
Serranus,subligarius,25.25,-77.25,7207:457:1,0.38
Serranus,subligarius,26.25,-76.75,7207:466:2,0.39
Serranus,subligarius,27.25,-79.75,7207:479:2,0.31
Serranus,subligarius,26.75,-82.75,7208:362:4,0.25
Serranus,subligarius,29.75,-86.25,7208:496:3,0.38
Serranus,subligarius,32.25,-64.75,7306:124:2,0.31
Serranus,subligarius,32.75,-64.75,7306:124:4,0.25
Serranus,subligarius,30.25,-80.75,7308:100:2,0.25
Serranus,subligarius,30.75,-80.75,7308:100:4,0.24
Serranus,subligarius,31.75,-80.25,7308:110:3,0.31
Serranus,subligarius,24.25,-77.25,7207:247:1,0.49
