Mapping parameters for Sillago robusta (Stout sillago)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  71 |  81,
Bounding Box (NSWE): ,-21,-40,111,157

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,16,41,70
Temperature (°C),1,16.15,19.09,24.28,28.02
Salinity (psu),1,34.86,35.36,35.65,36.15
Primary Production,1,145,363,829,1097
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,1,2,88,158
 

Map data (HSPEC) for predicted occurrences (n = 346): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sillago,robusta,-22.25,114.25,3211:124:1,0.01
Sillago,robusta,-24.75,112.25,3211:142:3,0.18
Sillago,robusta,-21.25,115.75,3211:215:2,0.15
Sillago,robusta,-21.75,115.25,3211:215:3,0.03
Sillago,robusta,-28.75,114.25,3211:384:3,0.02
Sillago,robusta,-23.25,151.75,3215:131:2,0.01
Sillago,robusta,-24.75,152.75,3215:142:4,0.05
Sillago,robusta,-22.25,155.75,3215:225:2,0.12
Sillago,robusta,-33.75,124.25,3312:134:3,0.05
Sillago,robusta,-32.25,127.25,3312:227:1,0.18
Sillago,robusta,-32.25,127.75,3312:227:2,0.18
Sillago,robusta,-32.75,127.75,3312:227:4,0.18
Sillago,robusta,-32.25,128.25,3312:228:1,0.17
Sillago,robusta,-32.25,128.75,3312:228:2,0.14
Sillago,robusta,-32.75,128.25,3312:228:3,0.17
Sillago,robusta,-32.75,128.75,3312:228:4,0.17
Sillago,robusta,-32.25,129.25,3312:229:1,0.14
Sillago,robusta,-32.25,129.75,3312:229:2,0.17
Sillago,robusta,-32.75,129.25,3312:229:3,0.18
Sillago,robusta,-32.75,129.75,3312:229:4,0.15
Sillago,robusta,-32.75,130.25,3313:120:3,0.12
Sillago,robusta,-32.75,130.75,3313:120:4,0.09
Sillago,robusta,-32.25,131.25,3313:121:1,0.15
Sillago,robusta,-32.75,131.25,3313:121:3,0.15
Sillago,robusta,-32.25,132.25,3313:122:1,0.18
Sillago,robusta,-32.25,132.75,3313:122:2,0.11
Sillago,robusta,-32.75,132.25,3313:122:3,0.12
Sillago,robusta,-32.25,133.25,3313:123:1,0.10
Sillago,robusta,-32.75,133.75,3313:123:4,0.12
Sillago,robusta,-33.75,132.25,3313:132:3,0.07
Sillago,robusta,-33.75,132.75,3313:132:4,0.18
Sillago,robusta,-34.25,133.75,3313:143:2,0.15
Sillago,robusta,-34.25,134.75,3313:144:2,0.13
Sillago,robusta,-34.75,134.25,3313:144:3,0.01
Sillago,robusta,-34.25,136.25,3313:246:1,0.14
Sillago,robusta,-34.75,137.25,3313:247:3,0.14
Sillago,robusta,-35.25,135.25,3313:455:1,0.14
Sillago,robusta,-35.25,135.75,3313:455:2,0.18
Sillago,robusta,-35.75,137.25,3313:457:3,0.12
Sillago,robusta,-35.75,137.75,3313:457:4,0.12
Sillago,robusta,-35.25,138.25,3313:458:1,0.16
Sillago,robusta,-35.75,139.25,3313:459:3,0.14
Sillago,robusta,-36.25,136.25,3313:466:1,0.06
Sillago,robusta,-36.25,136.75,3313:466:2,0.06
Sillago,robusta,-36.75,136.75,3313:466:4,0.06
Sillago,robusta,-36.25,137.25,3313:467:1,0.06
Sillago,robusta,-36.25,137.75,3313:467:2,0.05
Sillago,robusta,-36.75,137.25,3313:467:3,0.06
Sillago,robusta,-36.25,138.25,3313:468:1,0.05
Sillago,robusta,-36.25,138.75,3313:468:2,0.05
Sillago,robusta,-36.75,138.75,3313:468:4,0.01
Sillago,robusta,-37.75,147.75,3314:477:4,0.04
Sillago,robusta,-38.25,148.25,3314:488:1,0.02
Sillago,robusta,-38.25,148.75,3314:488:2,0.02
Sillago,robusta,-38.75,148.25,3314:488:3,0.02
Sillago,robusta,-21.75,113.75,3211:113:4,0.28
Sillago,robusta,-21.25,114.75,3211:114:2,0.26
Sillago,robusta,-21.75,114.25,3211:114:3,0.22
Sillago,robusta,-22.25,113.75,3211:123:2,0.33
Sillago,robusta,-22.75,113.75,3211:123:4,0.33
Sillago,robusta,-28.25,114.25,3211:384:1,0.32
Sillago,robusta,-29.25,113.75,3211:393:2,0.21
Sillago,robusta,-29.25,114.75,3211:394:2,0.38
Sillago,robusta,-21.25,149.25,3214:219:1,0.24
Sillago,robusta,-21.25,152.25,3215:112:1,0.32
Sillago,robusta,-22.25,150.75,3215:120:2,0.34
Sillago,robusta,-21.25,155.75,3215:215:2,0.38
Sillago,robusta,-26.25,153.25,3215:363:1,0.39
Sillago,robusta,-31.75,128.25,3312:218:3,0.20
Sillago,robusta,-31.75,128.75,3312:218:4,0.20
Sillago,robusta,-32.75,124.25,3312:124:3,0.39
Sillago,robusta,-32.75,124.75,3312:124:4,0.39
Sillago,robusta,-33.75,121.25,3312:131:3,0.38
Sillago,robusta,-33.75,122.25,3312:132:3,0.30
Sillago,robusta,-33.75,123.75,3312:133:4,0.32
Sillago,robusta,-33.25,124.25,3312:134:1,0.34
Sillago,robusta,-33.25,124.75,3312:134:2,0.34
Sillago,robusta,-33.75,124.75,3312:134:4,0.34
Sillago,robusta,-34.25,120.25,3312:140:1,0.38
Sillago,robusta,-34.25,120.75,3312:140:2,0.36
