Mapping parameters for Sillago sihama (Silver sillago)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  47 |  51 |  57 |  61 |  71 ,
Bounding Box (NSWE): ,41,-36,20,166

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,2,60
Temperature (°C),1,13.04,24.27,29.21,33.41
Salinity (psu),1,17.92,30.04,35.44,40.59
Primary Production (mgC·m-3·day-1) ,1,0.43,3.77,28.27,195.85
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,127.85,213.47,271.82
Distance to Land (km),0,0,6,94,620
 

Map data (HSPEC) for predicted occurrences (n = 5394): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sillago,sihama,-35.75,150.75,3315:350:4,0.14
Sillago,sihama,-33.25,156.25,3315:236:1,0.10
Sillago,sihama,-34.75,151.25,3315:141:3,0.19
Sillago,sihama,-33.75,151.75,3315:131:4,0.14
Sillago,sihama,-31.75,153.25,3315:113:3,0.09
Sillago,sihama,-35.75,136.25,3313:456:3,0.08
Sillago,sihama,-35.25,135.75,3313:455:2,0.10
Sillago,sihama,-34.75,137.25,3313:247:3,0.09
Sillago,sihama,-34.25,137.75,3313:247:2,0.17
Sillago,sihama,-34.25,137.25,3313:247:1,0.04
Sillago,sihama,-34.75,136.75,3313:246:4,0.10
Sillago,sihama,-34.25,136.75,3313:246:2,0.02
Sillago,sihama,-34.25,136.25,3313:246:1,0.10
Sillago,sihama,-33.25,138.25,3313:238:1,0.12
Sillago,sihama,-33.75,137.75,3313:237:4,0.12
Sillago,sihama,-33.75,137.25,3313:237:3,0.04
Sillago,sihama,-33.25,137.75,3313:237:2,0.04
Sillago,sihama,-33.25,137.25,3313:237:1,0.08
Sillago,sihama,-33.75,136.75,3313:236:4,0.04
Sillago,sihama,-33.75,136.25,3313:236:3,0.11
Sillago,sihama,-32.75,137.75,3313:227:4,0.05
Sillago,sihama,-34.25,134.75,3313:144:2,0.02
Sillago,sihama,-34.25,134.25,3313:144:1,0.06
Sillago,sihama,-34.25,133.75,3313:143:2,0.02
Sillago,sihama,-34.25,133.25,3313:143:1,0.16
Sillago,sihama,-34.25,132.75,3313:142:2,0.10
Sillago,sihama,-33.75,133.75,3313:133:4,0.10
Sillago,sihama,-33.75,133.25,3313:133:3,0.19
Sillago,sihama,-33.25,133.25,3313:133:1,0.08
Sillago,sihama,-33.75,132.75,3313:132:4,0.04
Sillago,sihama,-33.25,132.75,3313:132:2,0.06
Sillago,sihama,-33.25,132.25,3313:132:1,0.11
Sillago,sihama,-32.75,132.25,3313:122:3,0.03
Sillago,sihama,-32.25,132.75,3313:122:2,0.18
Sillago,sihama,-32.25,132.25,3313:122:1,0.18
Sillago,sihama,-32.75,131.75,3313:121:4,0.13
Sillago,sihama,-32.75,131.25,3313:121:3,0.08
Sillago,sihama,-32.25,131.75,3313:121:2,0.16
Sillago,sihama,-32.25,131.25,3313:121:1,0.05
Sillago,sihama,-32.75,130.75,3313:120:4,0.02
Sillago,sihama,-32.75,130.25,3313:120:3,0.05
Sillago,sihama,-31.75,131.75,3313:111:4,0.19
Sillago,sihama,-33.25,128.25,3312:238:1,0.07
Sillago,sihama,-32.75,129.75,3312:229:4,0.10
Sillago,sihama,-35.25,22.25,3302:352:1,0.11
Sillago,sihama,-35.25,21.25,3302:351:1,0.19
Sillago,sihama,-20.75,165.75,3216:205:4,0.18
Sillago,sihama,-20.75,161.75,3216:101:4,0.17
Sillago,sihama,-20.75,161.25,3216:101:3,0.09
Sillago,sihama,-20.25,161.25,3216:101:1,0.15
Sillago,sihama,-20.25,160.75,3216:100:2,0.15
Sillago,sihama,-29.75,153.75,3215:393:4,0.13
Sillago,sihama,-22.25,153.75,3215:123:2,0.15
Sillago,sihama,-22.75,152.25,3215:122:3,0.12
Sillago,sihama,-29.75,114.25,3211:394:3,0.11
Sillago,sihama,-26.25,112.75,3211:362:2,0.04
Sillago,sihama,-24.25,112.75,3211:142:2,0.16
Sillago,sihama,-21.25,55.75,3205:215:2,0.11
Sillago,sihama,-21.25,55.25,3205:215:1,0.13
Sillago,sihama,-20.25,57.75,3205:207:2,0.14
Sillago,sihama,-20.25,57.25,3205:207:1,0.15
Sillago,sihama,-20.75,55.75,3205:205:4,0.11
Sillago,sihama,-20.75,55.25,3205:205:3,0.11
Sillago,sihama,-25.75,46.75,3204:456:4,0.16
Sillago,sihama,-19.75,165.75,3116:495:4,0.13
Sillago,sihama,-19.75,164.25,3116:394:3,0.18
Sillago,sihama,-18.75,164.25,3116:384:3,0.11
Sillago,sihama,-18.25,164.25,3116:384:1,0.04
Sillago,sihama,-18.75,163.75,3116:383:4,0.15
Sillago,sihama,-17.75,163.25,3116:373:3,0.11
Sillago,sihama,-17.75,162.75,3116:372:4,0.11
Sillago,sihama,-19.25,159.75,3115:499:2,0.11
Sillago,sihama,-19.25,159.25,3115:499:1,0.18
Sillago,sihama,-19.75,158.25,3115:498:3,0.19
Sillago,sihama,-19.25,158.25,3115:498:1,0.14
Sillago,sihama,-18.75,158.75,3115:488:4,0.12
Sillago,sihama,-17.25,155.75,3115:475:2,0.05
Sillago,sihama,-18.75,152.25,3115:382:3,0.10
Sillago,sihama,-17.25,152.25,3115:372:1,0.07
Sillago,sihama,-17.75,151.75,3115:371:4,0.09
Sillago,sihama,-17.75,151.25,3115:371:3,0.13
Sillago,sihama,-17.25,151.75,3115:371:2,0.12
Sillago,sihama,-17.25,151.25,3115:371:1,0.13
Sillago,sihama,-17.75,150.75,3115:370:4,0.18
Sillago,sihama,-17.25,150.75,3115:370:2,0.14
Sillago,sihama,-17.25,150.25,3115:370:1,0.04
Sillago,sihama,-16.75,150.25,3115:360:3,0.13
Sillago,sihama,-16.25,150.25,3115:360:1,0.14
Sillago,sihama,-17.25,149.75,3114:479:2,0.06
Sillago,sihama,-17.25,148.75,3114:478:2,0.07
Sillago,sihama,-17.25,148.25,3114:478:1,0.18
Sillago,sihama,-16.75,149.75,3114:469:4,0.12
Sillago,sihama,-16.75,149.25,3114:469:3,0.11
Sillago,sihama,-16.25,149.75,3114:469:2,0.10
Sillago,sihama,-16.25,148.25,3114:468:1,0.17
Sillago,sihama,-16.75,147.75,3114:467:4,0.17
Sillago,sihama,-16.25,147.75,3114:467:2,0.18
Sillago,sihama,-15.25,139.75,3113:459:2,0.17
Sillago,sihama,-13.75,139.25,3113:239:3,0.19
Sillago,sihama,-13.25,139.75,3113:239:2,0.17
Sillago,sihama,-13.75,138.75,3113:238:4,0.19
Sillago,sihama,-12.25,139.75,3113:229:2,0.07
Sillago,sihama,-10.75,134.25,3113:104:3,0.10
Sillago,sihama,-10.25,130.25,3113:100:1,0.18
Sillago,sihama,-17.25,121.25,3112:371:1,0.03
Sillago,sihama,-13.25,125.25,3112:235:1,0.06
Sillago,sihama,-12.75,129.25,3112:229:3,0.03
Sillago,sihama,-12.75,127.75,3112:227:4,0.03
Sillago,sihama,-12.75,127.25,3112:227:3,0.13
Sillago,sihama,-12.75,126.25,3112:226:3,0.07
Sillago,sihama,-12.25,126.25,3112:226:1,0.09
Sillago,sihama,-12.75,125.75,3112:225:4,0.02
Sillago,sihama,-12.25,125.75,3112:225:2,0.09
Sillago,sihama,-12.25,125.25,3112:225:1,0.08
Sillago,sihama,-11.75,128.25,3112:218:3,0.12
Sillago,sihama,-11.25,127.75,3112:217:2,0.11
Sillago,sihama,-11.25,127.25,3112:217:1,0.15
Sillago,sihama,-11.75,125.75,3112:215:4,0.15
Sillago,sihama,-10.75,128.25,3112:208:3,0.16
Sillago,sihama,-14.75,123.25,3112:143:3,0.14
Sillago,sihama,-13.75,124.75,3112:134:4,0.12
Sillago,sihama,-12.75,124.75,3112:124:4,0.15
Sillago,sihama,-12.75,124.25,3112:124:3,0.10
Sillago,sihama,-19.75,115.75,3111:495:4,0.07
Sillago,sihama,-16.75,119.75,3111:469:4,0.16
Sillago,sihama,-16.75,119.25,3111:469:3,0.03
Sillago,sihama,-16.75,118.75,3111:468:4,0.07
Sillago,sihama,-16.75,60.25,3106:360:3,0.12
Sillago,sihama,-16.25,60.25,3106:360:1,0.12
Sillago,sihama,-15.75,61.25,3106:351:3,0.10
Sillago,sihama,-15.25,61.25,3106:351:1,0.14
Sillago,sihama,-15.75,60.75,3106:350:4,0.14
Sillago,sihama,-14.75,61.25,3106:141:3,0.17
Sillago,sihama,-14.25,61.25,3106:141:1,0.19
Sillago,sihama,-19.75,57.75,3105:497:4,0.10
Sillago,sihama,-18.75,58.75,3105:488:4,0.09
Sillago,sihama,-18.25,58.75,3105:488:2,0.10
Sillago,sihama,-12.75,50.25,3105:120:3,0.02
Sillago,sihama,-9.75,152.75,3015:392:4,0.03
Sillago,sihama,-9.25,145.25,3014:495:1,0.12
Sillago,sihama,-8.25,145.25,3014:485:1,0.14
Sillago,sihama,-9.75,134.75,3013:394:4,0.09
Sillago,sihama,-9.75,134.25,3013:394:3,0.08
Sillago,sihama,-9.75,132.25,3013:392:3,0.12
Sillago,sihama,-9.75,131.25,3013:391:3,0.12
Sillago,sihama,-8.75,133.75,3013:383:4,0.18
Sillago,sihama,-9.75,129.25,3012:499:3,0.03
Sillago,sihama,-7.75,117.75,3011:477:4,0.16
Sillago,sihama,-5.75,116.75,3011:456:4,0.12
Sillago,sihama,-5.75,116.25,3011:456:3,0.07
Sillago,sihama,-5.75,115.75,3011:455:4,0.19
Sillago,sihama,-6.25,114.25,3011:364:1,0.07
Sillago,sihama,-5.75,113.25,3011:353:3,0.17
Sillago,sihama,-5.25,112.75,3011:352:2,0.19
Sillago,sihama,-5.75,39.75,3003:459:4,0.03
Sillago,sihama,40.75,141.25,1414:101:3,0.04
Sillago,sihama,40.25,141.75,1414:101:2,0.03
Sillago,sihama,40.75,140.75,1414:100:4,0.12
Sillago,sihama,39.75,142.25,1314:392:3,0.05
Sillago,sihama,39.25,142.25,1314:392:1,0.12
Sillago,sihama,39.75,141.75,1314:391:4,0.08
Sillago,sihama,39.25,141.75,1314:391:2,0.12
Sillago,sihama,38.75,141.75,1314:381:4,0.15
Sillago,sihama,38.75,141.25,1314:381:3,0.19
Sillago,sihama,39.25,135.25,1313:495:1,0.15
Sillago,sihama,36.25,135.75,1313:465:2,0.13
Sillago,sihama,37.25,131.75,1313:371:2,0.09
Sillago,sihama,34.25,138.25,1313:248:1,0.16
Sillago,sihama,39.75,128.25,1312:498:3,0.04
Sillago,sihama,39.25,128.25,1312:498:1,0.07
Sillago,sihama,39.75,127.75,1312:497:4,0.02
Sillago,sihama,39.25,127.75,1312:497:2,0.07
Sillago,sihama,38.75,128.75,1312:488:4,0.06
Sillago,sihama,38.75,128.25,1312:488:3,0.15
Sillago,sihama,38.75,127.75,1312:487:4,0.11
Sillago,sihama,38.75,125.75,1312:485:4,0.02
Sillago,sihama,38.25,125.75,1312:485:2,0.03
Sillago,sihama,38.25,125.25,1312:485:1,0.02
Sillago,sihama,37.75,126.75,1312:476:4,0.07
Sillago,sihama,37.75,126.25,1312:476:3,0.04
Sillago,sihama,37.25,126.75,1312:476:2,0.10
Sillago,sihama,37.25,126.25,1312:476:1,0.03
Sillago,sihama,37.75,125.75,1312:475:4,0.04
Sillago,sihama,37.75,125.25,1312:475:3,0.03
