Mapping parameters for Pegusa nasuta (Blackhand sole)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  37 ,
Bounding Box (NSWE): ,46,35,-6,42

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,7,31,60
Temperature (°C),1,14.4,15.11,19.35,22.16
Salinity (psu),1,17.6,18.1,38.47,39.255
Primary Production,1,384,389,792,1200
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,3,7,127,280.5
 

Map data (HSPEC) for predicted occurrences (n = 424): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Pegusa,nasuta,35.25,10.75,1301:350:2,0.12,0.16666666666667,0.70818505338078,1,1,1,1
Pegusa,nasuta,35.25,12.75,1301:352:2,0.15,1,0.72953736654804,1,0.2,1,1
Pegusa,nasuta,36.25,10.25,1301:360:1,0.16,0.16666666666667,0.98220640569395,1,1,1,1
Pegusa,nasuta,37.25,12.25,1301:372:1,0.06,0.068965517241379,0.93238434163701,1,1,1,1
Pegusa,nasuta,37.25,14.25,1301:374:1,0.17,1,0.83985765124555,1,0.2,1,1
Pegusa,nasuta,35.75,23.25,1302:353:3,0.08,1,0.85053380782918,0.47770700636942,0.2,1,1
Pegusa,nasuta,36.25,30.75,1303:360:2,0.03,1,0.35231316725979,0.18471337579618,0.4,1,1
Pegusa,nasuta,36.75,30.75,1303:360:4,0.07,1,0.35231316725979,0.18471337579618,1,1,1
Pegusa,nasuta,36.75,31.25,1303:361:3,0.05,1,0.27758007117438,0.18471337579618,1,1,1
Pegusa,nasuta,36.75,31.75,1303:361:4,0.05,1,0.27758007117438,0.18471337579618,1,1,1
Pegusa,nasuta,36.25,32.75,1303:362:2,0.05,1,0.27402135231317,0.18471337579618,1,1,1
Pegusa,nasuta,36.75,32.25,1303:362:3,0.05,1,0.27402135231317,0.18471337579618,1,1,1
Pegusa,nasuta,36.25,33.25,1303:363:1,0.04,1,0.14590747330961,0.29936305732484,1,1,1
Pegusa,nasuta,36.25,33.75,1303:363:2,0.04,1,0.14590747330961,0.29936305732484,1,1,1
Pegusa,nasuta,36.25,35.75,1303:465:2,0.01,1,0.021352313167259,0.27388535031847,1,1,1
Pegusa,nasuta,36.75,35.25,1303:465:3,0.01,1,0.021352313167259,0.27388535031847,1,1,1
Pegusa,nasuta,36.75,35.75,1303:465:4,0.01,1,0.021352313167259,0.27388535031847,1,1,1
Pegusa,nasuta,36.25,36.25,1303:466:1,0.03,1,0.13167259786477,0.27388535031847,0.84558823529412,1,1
Pegusa,nasuta,36.75,36.25,1303:466:3,0.04,1,0.13167259786477,0.27388535031847,1,1,1
Pegusa,nasuta,41.25,28.75,1402:218:2,0.16,1,1,1,0.1593137254902,1,1
Pegusa,nasuta,41.75,28.75,1402:218:4,0.05,0.10344827586207,1,1,0.50980392156863,1,1
Pegusa,nasuta,41.25,29.25,1402:219:1,0.10,1,1,1,0.098039215686275,1,1
Pegusa,nasuta,42.75,27.75,1402:227:4,0.05,1,0.88732394366197,1,0.051470588235294,1,1
Pegusa,nasuta,42.25,28.25,1402:228:1,0.13,1,0.6056338028169,1,0.21813725490196,1,1
Pegusa,nasuta,43.25,28.75,1402:238:2,0.08,1,0.14084507042253,1,0.54901960784314,1,1
Pegusa,nasuta,43.75,29.75,1402:239:4,0.11,1,0.15492957746479,1,0.72303921568627,1,1
Pegusa,nasuta,41.25,30.25,1403:110:1,0.19,1,1,1,0.18872549019608,1,1
Pegusa,nasuta,41.25,30.75,1403:110:2,0.10,1,1,1,0.098039215686275,1,1
Pegusa,nasuta,41.75,32.25,1403:112:3,0.11,1,0.95774647887324,1,0.11764705882353,1,1
Pegusa,nasuta,42.25,33.25,1403:123:1,0.16,1,0.5774647887324,1,0.27696078431373,1,1
Pegusa,nasuta,41.75,35.25,1403:215:3,0.18,1,0.91549295774648,1,0.19117647058824,1,1
Pegusa,nasuta,41.75,35.75,1403:215:4,0.15,1,0.91549295774648,1,0.16421568627451,1,1
Pegusa,nasuta,41.25,37.75,1403:217:2,0.16,1,1,0.88,0.18137254901961,1,1
Pegusa,nasuta,43.75,39.75,1403:239:4,0.16,1,1,0.94,0.17156862745098,1,1
Pegusa,nasuta,44.75,36.25,1403:246:3,0.03,1,0.12676056338028,0.32,0.74754901960784,1,1
Pegusa,nasuta,44.75,36.75,1403:246:4,0.03,1,0.12676056338028,0.32,0.70343137254902,1,1
Pegusa,nasuta,44.75,37.25,1403:247:3,0.10,1,0.53521126760563,0.32,0.58088235294118,1,1
Pegusa,nasuta,44.75,37.75,1403:247:4,0.06,1,0.53521126760563,0.32,0.36764705882353,1,1
Pegusa,nasuta,41.25,40.75,1404:110:2,0.16,1,1,0.54,0.30392156862745,1,1
Pegusa,nasuta,43.25,40.25,1404:130:1,0.07,1,1,0.54,0.125,1,1
Pegusa,nasuta,39.75,2.25,1300:392:3,0.20,1,1,1,0.2,1,1
Pegusa,nasuta,37.75,11.75,1301:371:4,0.34,0.3448275862069,1,1,1,1,1
Pegusa,nasuta,39.75,18.75,1301:498:4,0.31,0.31034482758621,1,1,1,1,1
Pegusa,nasuta,36.75,21.75,1302:361:4,0.39,1,0.85409252669039,0.45222929936306,1,1,1
Pegusa,nasuta,39.25,25.25,1302:495:1,0.24,0.24137931034483,1,1,1,1,1
Pegusa,nasuta,41.75,9.75,1400:219:4,0.24,0.24137931034483,1,1,1,1,1
Pegusa,nasuta,42.25,12.25,1401:122:1,0.33,0.33333333333333,1,1,1,1,1
Pegusa,nasuta,43.25,14.75,1401:134:2,0.38,0.37931034482759,1,1,1,1,1
Pegusa,nasuta,44.75,12.25,1401:142:3,0.39,1,1,1,0.3921568627451,1,1
Pegusa,nasuta,44.25,13.75,1401:143:2,0.28,0.27586206896552,1,1,1,1,1
Pegusa,nasuta,44.75,13.25,1401:143:3,0.29,0.37931034482759,1,1,0.76225490196078,1,1
Pegusa,nasuta,40.75,19.75,1401:209:4,0.33,0.33333333333333,1,1,1,1,1
Pegusa,nasuta,45.25,13.25,1401:353:1,0.34,1,1,1,0.33578431372549,1,1
Pegusa,nasuta,41.25,28.25,1402:218:1,0.32,1,1,1,0.32107843137255,1,1
Pegusa,nasuta,41.25,29.75,1402:219:2,0.22,1,1,1,0.21813725490196,1,1
Pegusa,nasuta,42.75,28.25,1402:228:3,0.30,1,0.6056338028169,1,0.5,1,1
