Mapping parameters for Somniosus antarcticus (Southern sleeper shark)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 41 |  47 |  48 |  58 |  81 |  87,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,485,566,780,1150
Temperature (°C),1,-0.74,0.82,7.17,8.33
Salinity (psu),1,33.41,33.91,34.91,35.41
Primary Production (mgC·m-3·day-1) ,1,1.04,2.54,18.44,34.04
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),1,131.68,167.89,259.38,311.45
Distance to Land (km),0,16,80,427,906
 

Map data (HSPEC) for predicted occurrences (n = 1848): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Somniosus,antarcticus,-9.25,12.25,3001:392:1,0.16
Somniosus,antarcticus,-11.25,11.75,3101:111:2,0.11
Somniosus,antarcticus,-19.25,10.75,3101:390:2,0.12
Somniosus,antarcticus,-19.75,10.75,3101:390:4,0.01
Somniosus,antarcticus,-22.75,6.75,3200:226:4,0.18
Somniosus,antarcticus,-24.75,5.75,3200:245:4,0.13
Somniosus,antarcticus,-24.25,6.25,3200:246:1,0.16
Somniosus,antarcticus,-20.25,11.25,3201:101:1,0.19
Somniosus,antarcticus,-20.75,11.75,3201:101:4,0.16
Somniosus,antarcticus,-21.25,11.75,3201:111:2,0.01
Somniosus,antarcticus,-22.25,12.25,3201:122:1,0.14
Somniosus,antarcticus,-22.75,12.75,3201:122:4,0.02
Somniosus,antarcticus,-25.25,161.25,3216:351:1,0.13
Somniosus,antarcticus,-25.25,163.25,3216:353:1,0.13
Somniosus,antarcticus,-25.75,163.75,3216:353:4,0.15
Somniosus,antarcticus,-26.75,161.75,3216:361:4,0.14
Somniosus,antarcticus,-26.75,162.25,3216:362:3,0.15
Somniosus,antarcticus,-26.75,162.75,3216:362:4,0.12
Somniosus,antarcticus,-26.25,163.25,3216:363:1,0.11
Somniosus,antarcticus,-26.75,163.25,3216:363:3,0.07
Somniosus,antarcticus,-27.25,162.75,3216:372:2,0.04
Somniosus,antarcticus,-27.75,162.75,3216:372:4,0.05
Somniosus,antarcticus,-27.25,163.25,3216:373:1,0.04
Somniosus,antarcticus,-27.75,163.25,3216:373:3,0.01
Somniosus,antarcticus,-28.25,162.75,3216:382:2,0.09
Somniosus,antarcticus,-28.25,163.25,3216:383:1,0.10
Somniosus,antarcticus,-29.75,161.75,3216:391:4,0.02
Somniosus,antarcticus,-29.25,162.75,3216:392:2,0.13
Somniosus,antarcticus,-29.75,162.25,3216:392:3,0.19
Somniosus,antarcticus,-29.75,162.75,3216:392:4,0.11
Somniosus,antarcticus,-29.75,163.25,3216:393:3,0.12
Somniosus,antarcticus,-25.25,167.75,3216:457:2,0.01
Somniosus,antarcticus,-25.75,167.25,3216:457:3,0.07
Somniosus,antarcticus,-26.25,167.25,3216:467:1,0.14
Somniosus,antarcticus,-26.25,167.75,3216:467:2,0.14
Somniosus,antarcticus,-26.75,167.25,3216:467:3,0.13
Somniosus,antarcticus,-26.25,168.25,3216:468:1,0.08
Somniosus,antarcticus,-27.75,167.25,3216:477:3,0.02
Somniosus,antarcticus,-27.75,167.75,3216:477:4,0.16
Somniosus,antarcticus,-29.25,168.75,3216:498:2,0.07
Somniosus,antarcticus,-29.25,169.75,3216:499:2,0.12
Somniosus,antarcticus,-28.25,175.25,3217:485:1,0.13
Somniosus,antarcticus,-28.25,175.75,3217:485:2,0.08
Somniosus,antarcticus,-29.25,179.75,3217:499:2,0.07
Somniosus,antarcticus,-33.75,0.75,3300:130:4,0.17
Somniosus,antarcticus,-33.75,1.75,3300:131:4,0.09
Somniosus,antarcticus,-31.75,15.25,3301:215:3,0.08
Somniosus,antarcticus,-35.25,24.25,3302:354:1,0.12
Somniosus,antarcticus,-35.25,24.75,3302:354:2,0.05
Somniosus,antarcticus,-37.25,20.25,3302:370:1,0.08
Somniosus,antarcticus,-30.75,156.75,3315:206:4,0.06
Somniosus,antarcticus,-30.75,160.25,3316:100:3,0.15
Somniosus,antarcticus,-30.75,162.25,3316:102:3,0.07
Somniosus,antarcticus,-30.75,162.75,3316:102:4,0.19
Somniosus,antarcticus,-30.25,163.25,3316:103:1,0.03
Somniosus,antarcticus,-30.75,163.25,3316:103:3,0.06
Somniosus,antarcticus,-31.75,162.75,3316:112:4,0.06
Somniosus,antarcticus,-31.25,163.25,3316:113:1,0.17
Somniosus,antarcticus,-31.75,163.25,3316:113:3,0.01
Somniosus,antarcticus,-33.25,161.75,3316:131:2,0.02
Somniosus,antarcticus,-34.75,162.25,3316:142:3,0.05
Somniosus,antarcticus,-34.25,163.75,3316:143:2,0.10
Somniosus,antarcticus,-34.75,163.75,3316:143:4,0.15
Somniosus,antarcticus,-31.25,168.25,3316:218:1,0.10
Somniosus,antarcticus,-32.75,166.25,3316:226:3,0.19
Somniosus,antarcticus,-32.25,169.25,3316:229:1,0.18
Somniosus,antarcticus,-37.75,163.75,3316:373:4,0.09
Somniosus,antarcticus,-37.25,164.25,3316:374:1,0.05
Somniosus,antarcticus,-36.75,165.75,3316:465:4,0.09
Somniosus,antarcticus,-36.25,166.25,3316:466:1,0.15
Somniosus,antarcticus,-36.75,167.25,3316:467:3,0.14
Somniosus,antarcticus,-37.25,169.75,3316:479:2,0.09
Somniosus,antarcticus,-33.25,170.75,3317:130:2,0.19
Somniosus,antarcticus,-33.75,173.75,3317:133:4,0.13
Somniosus,antarcticus,-30.25,179.75,3317:209:2,0.18
Somniosus,antarcticus,-31.25,179.75,3317:219:2,0.19
Somniosus,antarcticus,-32.75,178.75,3317:228:4,0.02
Somniosus,antarcticus,-33.75,178.25,3317:238:3,0.04
Somniosus,antarcticus,-34.25,175.25,3317:245:1,0.17
Somniosus,antarcticus,-34.25,175.75,3317:245:2,0.01
Somniosus,antarcticus,-35.25,171.25,3317:351:1,0.03
Somniosus,antarcticus,-37.75,170.75,3317:370:4,0.03
Somniosus,antarcticus,-38.25,171.75,3317:381:2,0.12
Somniosus,antarcticus,-38.25,172.25,3317:382:1,0.16
Somniosus,antarcticus,-35.25,177.75,3317:457:2,0.19
Somniosus,antarcticus,-36.25,176.75,3317:466:2,0.17
Somniosus,antarcticus,-37.75,179.75,3317:479:4,0.05
Somniosus,antarcticus,-42.75,2.75,3400:122:4,0.12
Somniosus,antarcticus,-44.25,4.75,3400:144:2,0.09
Somniosus,antarcticus,-46.25,8.25,3400:468:1,0.03
Somniosus,antarcticus,-49.25,7.25,3400:497:1,0.06
Somniosus,antarcticus,-46.25,42.75,3404:362:2,0.12
Somniosus,antarcticus,-47.75,43.75,3404:373:4,0.01
Somniosus,antarcticus,-49.75,63.25,3406:393:3,0.14
Somniosus,antarcticus,-46.75,65.75,3406:465:4,0.14
Somniosus,antarcticus,-46.75,72.25,3407:362:3,0.07
Somniosus,antarcticus,-47.25,72.75,3407:372:2,0.02
Somniosus,antarcticus,-40.75,167.25,3416:207:3,0.16
Somniosus,antarcticus,-41.25,167.75,3416:217:2,0.16
Somniosus,antarcticus,-42.25,168.75,3416:228:2,0.10
Somniosus,antarcticus,-42.75,168.25,3416:228:3,0.08
Somniosus,antarcticus,-49.75,163.75,3416:393:4,0.08
Somniosus,antarcticus,-40.75,170.75,3417:100:4,0.15
Somniosus,antarcticus,-42.75,173.75,3417:123:4,0.11
Somniosus,antarcticus,-42.25,174.25,3417:124:1,0.04
Somniosus,antarcticus,-44.75,172.25,3417:142:3,0.18
Somniosus,antarcticus,-43.25,175.75,3417:235:2,0.13
Somniosus,antarcticus,-43.25,176.25,3417:236:1,0.01
Somniosus,antarcticus,-44.75,177.25,3417:247:3,0.08
Somniosus,antarcticus,-47.75,174.75,3417:374:4,0.14
Somniosus,antarcticus,-49.25,171.75,3417:391:2,0.17
Somniosus,antarcticus,-45.25,175.25,3417:455:1,0.08
Somniosus,antarcticus,-47.25,175.25,3417:475:1,0.09
Somniosus,antarcticus,-47.25,175.75,3417:475:2,0.12
Somniosus,antarcticus,-47.75,175.25,3417:475:3,0.06
Somniosus,antarcticus,-47.25,176.25,3417:476:1,0.11
Somniosus,antarcticus,-47.75,176.25,3417:476:3,0.06
Somniosus,antarcticus,-48.75,177.25,3417:487:3,0.13
Somniosus,antarcticus,-51.25,3.75,3500:113:2,0.03
Somniosus,antarcticus,-50.25,6.25,3500:206:1,0.09
Somniosus,antarcticus,-51.25,74.25,3507:114:1,0.11
Somniosus,antarcticus,-53.75,77.25,3507:237:3,0.10
