Mapping parameters for Sparisoma cretense (Parrotfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  34 |  37,
Bounding Box (NSWE): ,46,12,-32,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,20,23,36,50
Temperature (°C),1,16.03,18.8,22.97,25.57
Salinity (psu),1,32.53,36,39.12,39.62
Primary Production (mgC·m-3·day-1) ,1,-0.68,0.32,5.12,98.91
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,113.41,181.26,242.18,309.63
Distance to Land (km),0,1,12,98,366
 

Map data (HSPEC) for predicted occurrences (n = 741): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sparisoma,cretense,45.25,-2.75,7400:352:2,0.09
Sparisoma,cretense,45.25,-2.25,7400:352:1,0.08
Sparisoma,cretense,43.75,-5.75,7400:235:4,0.01
Sparisoma,cretense,43.75,-5.25,7400:235:3,0.07
Sparisoma,cretense,40.75,-9.25,7400:209:3,0.09
Sparisoma,cretense,40.25,-9.25,7400:209:1,0.02
Sparisoma,cretense,40.25,-8.75,7400:208:2,0.07
Sparisoma,cretense,44.75,-2.25,7400:142:3,0.09
Sparisoma,cretense,44.75,-1.75,7400:141:4,0.01
Sparisoma,cretense,44.25,-1.25,7400:141:1,0.01
Sparisoma,cretense,43.75,-4.75,7400:134:4,0.11
Sparisoma,cretense,43.75,-4.25,7400:134:3,0.03
