Mapping parameters for Sphoeroides maculatus (Northern puffer)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31,
Bounding Box (NSWE): ,54,29,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,28,93,183
Temperature (°C),1,8.2,10.02,24.11,26.08
Salinity (psu),1,19.98,29.23,36.16,36.66
Primary Production (mgC·m-3·day-1) ,1,2.24,3.62,22.52,52.15
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.02
Dissolved Bottom Oxygen (mmol·m-3),0,139.64,199.83,275.2,343
Distance to Land (km),0,1,7,254,451
 

Map data (HSPEC) for predicted occurrences (n = 407): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sphoeroides,maculatus,29.25,-80.25,7208:390:1,0.06
Sphoeroides,maculatus,29.75,-83.25,7208:393:3,0.17
Sphoeroides,maculatus,29.25,-84.25,7208:394:1,0.16
Sphoeroides,maculatus,29.25,-87.25,7208:497:1,0.15
Sphoeroides,maculatus,29.75,-89.25,7208:499:3,0.05
Sphoeroides,maculatus,29.75,-89.75,7208:499:4,0.06
Sphoeroides,maculatus,29.25,-93.25,7209:393:1,0.17
Sphoeroides,maculatus,31.75,-65.25,7306:215:3,0.07
Sphoeroides,maculatus,33.25,-76.75,7307:236:2,0.16
Sphoeroides,maculatus,37.75,-73.75,7307:373:4,0.02
Sphoeroides,maculatus,37.75,-76.25,7307:476:3,0.19
Sphoeroides,maculatus,38.75,-76.25,7307:486:3,0.02
Sphoeroides,maculatus,38.75,-76.75,7307:486:4,0.01
Sphoeroides,maculatus,39.25,-76.25,7307:496:1,0.05
Sphoeroides,maculatus,39.75,-76.25,7307:496:3,0.08
Sphoeroides,maculatus,30.25,-80.25,7308:100:1,0.04
Sphoeroides,maculatus,32.75,-80.25,7308:120:3,0.17
Sphoeroides,maculatus,30.25,-88.75,7308:208:2,0.06
Sphoeroides,maculatus,43.75,-49.25,7404:239:3,0.18
Sphoeroides,maculatus,43.75,-49.75,7404:239:4,0.17
Sphoeroides,maculatus,44.25,-48.75,7404:248:2,0.03
Sphoeroides,maculatus,46.75,-44.75,7404:364:4,0.15
Sphoeroides,maculatus,47.25,-44.25,7404:374:1,0.01
Sphoeroides,maculatus,46.75,-45.25,7404:465:3,0.03
Sphoeroides,maculatus,44.75,-50.25,7405:140:3,0.14
Sphoeroides,maculatus,44.75,-56.25,7405:246:3,0.18
Sphoeroides,maculatus,44.75,-57.75,7405:247:4,0.14
Sphoeroides,maculatus,44.75,-58.25,7405:248:3,0.10
Sphoeroides,maculatus,44.75,-58.75,7405:248:4,0.07
Sphoeroides,maculatus,44.75,-59.25,7405:249:3,0.09
Sphoeroides,maculatus,44.75,-59.75,7405:249:4,0.18
Sphoeroides,maculatus,45.25,-51.25,7405:351:1,0.04
Sphoeroides,maculatus,45.25,-51.75,7405:351:2,0.07
Sphoeroides,maculatus,45.25,-52.25,7405:352:1,0.07
Sphoeroides,maculatus,45.25,-52.75,7405:352:2,0.03
Sphoeroides,maculatus,45.25,-53.25,7405:353:1,0.02
Sphoeroides,maculatus,45.25,-53.75,7405:353:2,0.03
Sphoeroides,maculatus,45.25,-54.25,7405:354:1,0.04
Sphoeroides,maculatus,45.25,-54.75,7405:354:2,0.04
Sphoeroides,maculatus,43.75,-60.75,7406:130:4,0.04
Sphoeroides,maculatus,43.75,-61.75,7406:131:4,0.09
Sphoeroides,maculatus,43.75,-62.25,7406:132:3,0.16
Sphoeroides,maculatus,43.75,-62.75,7406:132:4,0.16
Sphoeroides,maculatus,44.75,-64.25,7406:144:3,0.08
Sphoeroides,maculatus,40.75,-66.25,7406:206:3,0.03
Sphoeroides,maculatus,42.75,-67.75,7406:227:4,0.19
Sphoeroides,maculatus,42.75,-68.25,7406:228:3,0.19
Sphoeroides,maculatus,43.25,-67.25,7406:237:1,0.09
Sphoeroides,maculatus,43.25,-67.75,7406:237:2,0.12
Sphoeroides,maculatus,44.75,-65.25,7406:245:3,0.19
Sphoeroides,maculatus,44.75,-67.25,7406:247:3,0.19
Sphoeroides,maculatus,44.25,-69.25,7406:249:1,0.19
Sphoeroides,maculatus,45.25,-60.75,7406:350:2,0.03
Sphoeroides,maculatus,45.25,-61.25,7406:351:1,0.07
Sphoeroides,maculatus,45.25,-61.75,7406:351:2,0.04
Sphoeroides,maculatus,45.75,-61.25,7406:351:3,0.01
Sphoeroides,maculatus,45.25,-63.75,7406:353:2,0.06
Sphoeroides,maculatus,45.25,-64.25,7406:354:1,0.08
Sphoeroides,maculatus,45.25,-65.75,7406:455:2,0.08
Sphoeroides,maculatus,45.75,-65.25,7406:455:3,0.01
Sphoeroides,maculatus,45.25,-66.75,7406:456:2,0.07
Sphoeroides,maculatus,45.25,-67.25,7406:457:1,0.01
Sphoeroides,maculatus,40.75,-74.25,7407:104:3,0.04
Sphoeroides,maculatus,41.25,-73.75,7407:113:2,0.01
Sphoeroides,maculatus,29.25,-81.25,7208:391:1,0.28
Sphoeroides,maculatus,29.25,-83.25,7208:393:1,0.28
Sphoeroides,maculatus,29.25,-83.75,7208:393:2,0.32
Sphoeroides,maculatus,29.25,-86.25,7208:496:1,0.39
Sphoeroides,maculatus,29.25,-88.75,7208:498:2,0.36
Sphoeroides,maculatus,29.75,-88.75,7208:498:4,0.25
Sphoeroides,maculatus,29.25,-89.25,7208:499:1,0.31
Sphoeroides,maculatus,29.25,-89.75,7208:499:2,0.22
