Mapping parameters for Marilyna pleurosticta ()

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  71 |  81 ,
Bounding Box (NSWE): ,-2,-36,129,155

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,6,26,50
Temperature (°C),1,19.5,24.05,28.71,32.91
Salinity (psu),1,34.27,34.385,35.385,35.885
Primary Production,1,50,200,974,2147
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,1,5,97,200
 

Map data (HSPEC) for predicted occurrences (n = 576): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Marilyna,pleurosticta,-9.75,131.25,3013:391:3,0.01,0.041666666666667,1,0.34782608695653,1,1,1
Marilyna,pleurosticta,-9.25,138.25,3013:498:1,0.14,0.45833333333333,1,0.34782608695653,0.85507246376812,1,1
Marilyna,pleurosticta,-9.25,145.25,3014:495:1,0.17,0.16666666666667,1,1,1,1,1
Marilyna,pleurosticta,-15.25,129.25,3112:459:1,0.15,0.2,1,1,0.7536231884058,1,1
Marilyna,pleurosticta,-10.75,133.75,3113:103:4,0.15,0.29166666666667,1,0.52173913043476,1,1,1
Marilyna,pleurosticta,-10.25,138.25,3113:208:1,0.15,0.45833333333333,1,0.34782608695653,0.93265132139812,1,1
Marilyna,pleurosticta,-10.25,138.75,3113:208:2,0.07,0.20833333333333,1,0.34782608695653,0.99573742540494,1,1
Marilyna,pleurosticta,-10.75,138.25,3113:208:3,0.06,0.16666666666667,1,0.34782608695653,1,1,1
Marilyna,pleurosticta,-10.75,138.75,3113:208:4,0.04,0.125,1,0.34782608695653,0.96504688832055,1,1
Marilyna,pleurosticta,-11.25,138.25,3113:218:1,0.12,0.70833333333333,1,0.17391304347823,1,1,1
Marilyna,pleurosticta,-11.25,138.75,3113:218:2,0.11,0.66666666666667,1,0.17391304347823,0.95737425404945,1,1
Marilyna,pleurosticta,-11.75,138.25,3113:218:3,0.16,0.91666666666667,1,0.17391304347823,1,1,1
Marilyna,pleurosticta,-11.75,138.75,3113:218:4,0.11,0.66666666666667,1,0.17391304347823,0.93179880647911,1,1
Marilyna,pleurosticta,-11.75,139.75,3113:219:4,0.07,0.125,1,0.52173913043476,1,1,1
Marilyna,pleurosticta,-12.75,138.75,3113:228:4,0.17,0.5,1,0.34782608695653,1,1,1
Marilyna,pleurosticta,-13.25,138.75,3113:238:2,0.07,0.083333333333333,1,0.78260869565218,1,1,1
Marilyna,pleurosticta,-13.75,138.75,3113:238:4,0.03,0.041666666666667,1,0.78260869565218,1,1,1
Marilyna,pleurosticta,-14.75,136.75,3113:246:4,0.04,1,1,1,0.04,1,1
Marilyna,pleurosticta,-14.75,138.25,3113:248:3,0.12,0.125,1,1,1,1,1
Marilyna,pleurosticta,-14.75,138.75,3113:248:4,0.12,0.125,1,1,1,1,1
Marilyna,pleurosticta,-14.25,139.75,3113:249:2,0.13,0.75,1,0.17391304347823,1,1,1
Marilyna,pleurosticta,-14.75,139.75,3113:249:4,0.05,0.29166666666667,1,0.17391304347823,1,1,1
Marilyna,pleurosticta,-15.75,139.75,3113:459:4,0.17,0.95833333333333,1,0.17391304347823,1,1,1
Marilyna,pleurosticta,-12.25,142.25,3114:122:1,0.12,0.2,1,0.60869565217394,1,1,1
Marilyna,pleurosticta,-32.75,152.75,3315:122:4,0.15,0.66666666666667,0.49450549450549,0.47,1,1,1
Marilyna,pleurosticta,-33.75,151.75,3315:131:4,0.02,0.083333333333333,0.36263736263736,0.55,1,1,1
Marilyna,pleurosticta,-34.25,150.75,3315:140:2,0.09,1,0.16043956043956,0.55,1,1,1
Marilyna,pleurosticta,-34.75,150.75,3315:140:4,0.09,1,0.16043956043956,0.55,1,1,1
Marilyna,pleurosticta,-34.25,151.25,3315:141:1,0.15,1,0.26813186813187,0.55,1,1,1
Marilyna,pleurosticta,-34.75,151.25,3315:141:3,0.04,0.29166666666667,0.26813186813187,0.55,1,1,1
Marilyna,pleurosticta,-35.25,150.25,3315:350:1,0.01,1,0.013186813186813,0.58999999999999,1,1,1
Marilyna,pleurosticta,-35.25,150.75,3315:350:2,0.01,1,0.013186813186813,0.58999999999999,1,1,1
Marilyna,pleurosticta,-35.75,150.25,3315:350:3,0.01,1,0.013186813186813,0.47,1,1,1
Marilyna,pleurosticta,-3.75,132.75,3013:132:4,0.35,1,1,0.34782608695653,1,1,1
Marilyna,pleurosticta,-4.25,132.75,3013:142:2,0.35,1,1,0.34782608695653,1,1,1
Marilyna,pleurosticta,-9.25,131.25,3013:391:1,0.35,1,1,0.34782608695653,1,1,1
Marilyna,pleurosticta,-9.25,131.75,3013:391:2,0.35,1,1,0.34782608695653,1,1,1
Marilyna,pleurosticta,-9.75,131.75,3013:391:4,0.33,0.95833333333333,1,0.34782608695653,1,1,1
