Mapping parameters for Sphoeroides testudineus (Checkered puffer)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  31 |  41 ,
Bounding Box (NSWE): ,42,-35,-98,-34

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,5,25,48
Temperature (°C),1,12.77,24.11,28.28,32.48
Salinity (psu),1,7.84,31.84,36.46,38.42
Primary Production (mgC·m-3·day-1) ,1,-0.53,0.47,29.58,78.09
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,136.35,172.57,220.08,270.39
Distance to Land (km),0,0,3,97,870
 

Map data (HSPEC) for predicted occurrences (n = 1390): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sphoeroides,testudineus,41.25,-72.75,7407:112:2,0.01
Sphoeroides,testudineus,40.75,-73.25,7407:103:3,0.06
Sphoeroides,testudineus,40.25,-73.75,7407:103:2,0.11
Sphoeroides,testudineus,40.25,-73.25,7407:103:1,0.12
Sphoeroides,testudineus,40.75,-72.75,7407:102:4,0.05
Sphoeroides,testudineus,40.75,-72.25,7407:102:3,0.06
Sphoeroides,testudineus,40.25,-72.75,7407:102:2,0.06
Sphoeroides,testudineus,40.25,-72.25,7407:102:1,0.01
Sphoeroides,testudineus,40.75,-71.75,7407:101:4,0.07
Sphoeroides,testudineus,40.75,-70.75,7407:100:4,0.01
Sphoeroides,testudineus,30.75,-87.25,7308:207:3,0.18
Sphoeroides,testudineus,39.75,-76.25,7307:496:3,0.06
Sphoeroides,testudineus,39.25,-76.75,7307:496:2,0.02
Sphoeroides,testudineus,39.25,-76.25,7307:496:1,0.07
Sphoeroides,testudineus,39.75,-75.75,7307:495:4,0.02
Sphoeroides,testudineus,39.25,-75.75,7307:495:2,0.02
Sphoeroides,testudineus,39.25,-75.25,7307:495:1,0.08
Sphoeroides,testudineus,38.25,-77.25,7307:487:1,0.05
Sphoeroides,testudineus,38.75,-76.75,7307:486:4,0.07
Sphoeroides,testudineus,38.75,-76.25,7307:486:3,0.08
Sphoeroides,testudineus,38.25,-76.75,7307:486:2,0.08
Sphoeroides,testudineus,38.25,-76.25,7307:486:1,0.08
Sphoeroides,testudineus,38.75,-75.25,7307:485:3,0.18
Sphoeroides,testudineus,37.75,-76.25,7307:476:3,0.19
Sphoeroides,testudineus,39.75,-74.25,7307:394:3,0.13
Sphoeroides,testudineus,39.25,-74.75,7307:394:2,0.13
Sphoeroides,testudineus,39.25,-74.25,7307:394:1,0.17
Sphoeroides,testudineus,39.75,-73.75,7307:393:4,0.15
Sphoeroides,testudineus,39.75,-73.25,7307:393:3,0.15
Sphoeroides,testudineus,39.25,-73.25,7307:393:1,0.14
Sphoeroides,testudineus,38.75,-74.75,7307:384:4,0.19
Sphoeroides,testudineus,38.75,-73.25,7307:383:3,0.12
Sphoeroides,testudineus,37.75,-74.25,7307:374:3,0.04
Sphoeroides,testudineus,30.75,-79.75,7307:209:4,0.13
Sphoeroides,testudineus,25.75,-96.25,7209:456:3,0.08
Sphoeroides,testudineus,25.25,-83.75,7208:353:2,0.09
Sphoeroides,testudineus,23.25,-88.25,7208:238:1,0.09
Sphoeroides,testudineus,17.25,-71.75,7107:371:2,0.13
Sphoeroides,testudineus,17.75,-63.75,7106:373:4,0.09
Sphoeroides,testudineus,7.25,-55.75,7005:475:2,0.09
Sphoeroides,testudineus,1.75,-50.75,7005:110:4,0.06
Sphoeroides,testudineus,1.75,-50.25,7005:110:3,0.18
Sphoeroides,testudineus,0.25,-51.25,7005:101:1,0.02
Sphoeroides,testudineus,0.75,-50.75,7005:100:4,0.02
Sphoeroides,testudineus,2.25,-48.75,7004:228:2,0.14
Sphoeroides,testudineus,1.75,-49.75,7004:219:4,0.17
Sphoeroides,testudineus,1.75,-48.25,7004:218:3,0.14
Sphoeroides,testudineus,1.25,-48.25,7004:218:1,0.15
Sphoeroides,testudineus,1.25,-47.75,7004:217:2,0.05
Sphoeroides,testudineus,0.25,-49.75,7004:209:2,0.02
Sphoeroides,testudineus,-34.75,-56.25,5305:246:3,0.10
Sphoeroides,testudineus,-32.75,-51.25,5305:121:3,0.09
Sphoeroides,testudineus,-32.75,-50.75,5305:120:4,0.14
Sphoeroides,testudineus,-32.25,-50.75,5305:120:2,0.03
Sphoeroides,testudineus,-30.75,-49.75,5304:209:4,0.19
