Mapping parameters for Sphyraena afra (Guinean barracuda)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 34 |  47,
Bounding Box (NSWE): ,21,-23,-19,15

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,7,38,75
Temperature (°C),1,16.2,24.14,27.85,32.05
Salinity (psu),1,17.86,24.37,35.07,37.22
Primary Production (mgC·m-3·day-1) ,1,6.02,10.64,63.58,103.37
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,14.44,92.3,220.05,241.42
Distance to Land (km),0,0,1,27,82
 

Map data (HSPEC) for predicted occurrences (n = 259): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sphyraena,afra,0.25,8.75,1000:208:2,0.17
Sphyraena,afra,0.75,9.25,1000:209:3,0.09
Sphyraena,afra,4.75,6.75,1000:246:4,0.11
Sphyraena,afra,4.75,7.25,1000:247:3,0.06
Sphyraena,afra,4.75,7.75,1000:247:4,0.13
Sphyraena,afra,4.75,8.75,1000:248:4,0.05
Sphyraena,afra,4.25,9.25,1000:249:1,0.16
Sphyraena,afra,4.25,9.75,1000:249:2,0.05
Sphyraena,afra,6.75,3.75,1000:363:4,0.14
Sphyraena,afra,5.25,5.75,1000:455:2,0.14
Sphyraena,afra,5.75,5.75,1000:455:4,0.14
Sphyraena,afra,3.25,10.25,1001:130:1,0.06
Sphyraena,afra,-5.75,12.75,3001:352:4,0.14
Sphyraena,afra,-9.75,12.75,3001:392:4,0.11
Sphyraena,afra,-10.75,13.25,3101:103:3,0.11
Sphyraena,afra,-16.25,11.75,3101:361:2,0.18
Sphyraena,afra,-16.75,11.25,3101:361:3,0.11
Sphyraena,afra,-16.75,11.75,3101:361:4,0.06
Sphyraena,afra,-17.25,11.75,3101:371:2,0.11
Sphyraena,afra,-17.75,11.75,3101:371:4,0.09
Sphyraena,afra,-18.25,11.75,3101:381:2,0.07
Sphyraena,afra,-18.25,12.25,3101:382:1,0.09
Sphyraena,afra,-18.75,12.25,3101:382:3,0.03
Sphyraena,afra,-18.75,12.75,3101:382:4,0.08
Sphyraena,afra,-19.25,12.75,3101:392:2,0.05
Sphyraena,afra,-19.75,12.25,3101:392:3,0.08
Sphyraena,afra,-19.75,12.75,3101:392:4,0.01
Sphyraena,afra,-19.75,13.25,3101:393:3,0.04
Sphyraena,afra,-20.25,12.75,3201:102:2,0.02
Sphyraena,afra,-20.25,13.25,3201:103:1,0.01
Sphyraena,afra,-20.75,13.75,3201:103:4,0.01
Sphyraena,afra,-21.75,13.25,3201:113:3,0.03
Sphyraena,afra,7.75,-12.25,7001:372:3,0.14
Sphyraena,afra,8.75,-12.75,7001:382:4,0.14
Sphyraena,afra,9.25,-14.25,7001:394:1,0.09
Sphyraena,afra,9.75,-14.75,7001:394:4,0.11
Sphyraena,afra,10.25,-13.75,7101:103:2,0.14
Sphyraena,afra,11.25,-14.75,7101:114:2,0.14
Sphyraena,afra,12.25,-14.75,7101:124:2,0.14
Sphyraena,afra,12.25,-15.25,7101:225:1,0.14
Sphyraena,afra,12.25,-15.75,7101:225:2,0.14
Sphyraena,afra,12.75,-16.25,7101:226:3,0.14
Sphyraena,afra,13.25,-15.75,7101:235:2,0.14
Sphyraena,afra,13.75,-15.75,7101:235:4,0.14
Sphyraena,afra,13.75,-16.25,7101:236:3,0.14
Sphyraena,afra,18.75,-16.25,7101:486:3,0.05
Sphyraena,afra,19.75,-17.25,7101:497:3,0.16
Sphyraena,afra,20.25,-17.75,7201:207:2,0.09
Sphyraena,afra,20.75,-17.25,7201:207:3,0.05
Sphyraena,afra,20.75,-17.75,7201:207:4,0.18
Sphyraena,afra,3.25,9.75,1000:239:2,0.22
Sphyraena,afra,3.75,9.75,1000:239:4,0.22
Sphyraena,afra,4.25,7.25,1000:247:1,0.34
Sphyraena,afra,6.75,3.25,1000:363:3,0.29
Sphyraena,afra,-2.25,8.75,3000:228:2,0.27
Sphyraena,afra,-6.25,11.75,3001:361:2,0.26
Sphyraena,afra,-15.75,11.75,3101:351:4,0.38
Sphyraena,afra,-15.75,12.25,3101:352:3,0.38
Sphyraena,afra,10.25,-16.75,7101:206:2,0.27
Sphyraena,afra,18.25,-16.25,7101:486:1,0.34
Sphyraena,afra,19.25,-16.25,7101:496:1,0.26
Sphyraena,afra,19.25,-16.75,7101:496:2,0.32
Sphyraena,afra,19.75,-16.25,7101:496:3,0.39
Sphyraena,afra,20.25,-16.25,7201:206:1,0.35
Sphyraena,afra,20.75,-16.25,7201:206:3,0.31
Sphyraena,afra,4.75,4.75,1000:144:4,0.51
Sphyraena,afra,5.25,0.25,1000:350:1,0.46
Sphyraena,afra,5.25,4.75,1000:354:2,0.49
Sphyraena,afra,-4.75,11.25,3001:141:3,0.46
Sphyraena,afra,-5.25,11.75,3001:351:2,0.49
Sphyraena,afra,-11.25,13.25,3101:113:1,0.49
