Mapping parameters for Squalus edmundsi (Edmund's spurdog)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 57 |  71,
Bounding Box (NSWE): ,,,,

Pelagic: True,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,204,300,500,850
Temperature (°C),1,0.85,1.35,23.96,27.04
Salinity (psu),1,33.97,34.54,35.54,36.04
Primary Production,1,344.5,424,752,958
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,15,23,311,323
 

Map data (HSPEC) for predicted occurrences (n = 12080): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Squalus,edmundsi,1.25,77.25,1007:217:1,0.01
Squalus,edmundsi,1.25,77.75,1007:217:2,0.11
Squalus,edmundsi,1.75,77.25,1007:217:3,0.19
Squalus,edmundsi,1.25,78.25,1007:218:1,0.16
Squalus,edmundsi,1.25,78.75,1007:218:2,0.09
Squalus,edmundsi,1.25,79.25,1007:219:1,0.14
Squalus,edmundsi,1.25,79.75,1007:219:2,0.02
Squalus,edmundsi,6.25,77.75,1007:467:2,0.13
Squalus,edmundsi,6.25,79.75,1007:469:2,0.14
Squalus,edmundsi,1.25,80.25,1008:110:1,0.02
Squalus,edmundsi,1.75,80.25,1008:110:3,0.17
Squalus,edmundsi,1.75,80.75,1008:110:4,0.11
Squalus,edmundsi,1.75,81.25,1008:111:3,0.09
Squalus,edmundsi,1.75,81.75,1008:111:4,0.08
Squalus,edmundsi,1.25,82.25,1008:112:1,0.06
Squalus,edmundsi,1.25,82.75,1008:112:2,0.06
Squalus,edmundsi,1.75,82.25,1008:112:3,0.14
Squalus,edmundsi,1.75,82.75,1008:112:4,0.18
Squalus,edmundsi,1.25,83.75,1008:113:2,0.02
Squalus,edmundsi,1.75,83.75,1008:113:4,0.14
Squalus,edmundsi,1.25,84.75,1008:114:2,0.06
