Mapping parameters for Stenotomus caprinus (Longspine porgy)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31,
Bounding Box (NSWE): ,37,20,-98,-74

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,5,24,91,185
Temperature (°C),1,16.71,22.41,26.1,30.3
Salinity (psu),1,18.94,29.01,36.18,40.29
Primary Production (mgC·m-3·day-1) ,1,-0.19,0.81,22.53,49.93
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,136.47,170.32,227.4,251.58
Distance to Land (km),0,1,13,160,234
 

Map data (HSPEC) for predicted occurrences (n = 521): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Stenotomus,caprinus,30.25,-88.75,7308:208:2,0.09
Stenotomus,caprinus,30.75,-86.75,7308:206:4,0.05
Stenotomus,caprinus,36.75,-76.25,7307:466:3,0.11
Stenotomus,caprinus,36.75,-75.25,7307:465:3,0.07
Stenotomus,caprinus,36.25,-75.75,7307:465:2,0.16
Stenotomus,caprinus,35.25,-76.75,7307:456:2,0.11
Stenotomus,caprinus,33.75,-79.25,7307:239:3,0.04
Stenotomus,caprinus,29.75,-89.75,7208:499:4,0.05
Stenotomus,caprinus,29.75,-89.25,7208:499:3,0.06
Stenotomus,caprinus,29.25,-89.75,7208:499:2,0.19
Stenotomus,caprinus,29.25,-82.75,7208:392:2,0.11
Stenotomus,caprinus,26.75,-84.75,7208:364:4,0.17
Stenotomus,caprinus,25.25,-80.75,7208:350:2,0.18
Stenotomus,caprinus,22.25,-81.25,7208:121:1,0.19
Stenotomus,caprinus,21.75,-84.75,7208:114:4,0.18
Stenotomus,caprinus,21.75,-84.25,7208:114:3,0.17
Stenotomus,caprinus,21.75,-83.75,7208:113:4,0.17
Stenotomus,caprinus,21.75,-83.25,7208:113:3,0.18
Stenotomus,caprinus,21.25,-82.75,7208:112:2,0.16
Stenotomus,caprinus,21.75,-80.75,7208:110:4,0.16
Stenotomus,caprinus,21.75,-80.25,7208:110:3,0.16
Stenotomus,caprinus,23.75,-76.75,7207:236:4,0.10
Stenotomus,caprinus,21.25,-79.75,7207:219:2,0.18
Stenotomus,caprinus,20.75,-79.25,7207:209:3,0.16
Stenotomus,caprinus,20.25,-74.25,7207:104:1,0.18
Stenotomus,caprinus,30.75,-88.25,7308:208:3,0.37
Stenotomus,caprinus,32.75,-80.25,7308:120:3,0.39
Stenotomus,caprinus,36.25,-76.75,7307:466:2,0.32
Stenotomus,caprinus,36.25,-76.25,7307:466:1,0.32
Stenotomus,caprinus,36.25,-75.25,7307:465:1,0.30
Stenotomus,caprinus,36.75,-74.75,7307:364:4,0.29
Stenotomus,caprinus,25.25,-96.25,7209:456:1,0.28
Stenotomus,caprinus,29.75,-94.75,7209:394:4,0.28
Stenotomus,caprinus,29.25,-94.75,7209:394:2,0.36
Stenotomus,caprinus,27.75,-91.25,7209:371:3,0.24
Stenotomus,caprinus,22.25,-97.75,7209:227:2,0.24
Stenotomus,caprinus,21.75,-97.75,7209:217:4,0.20
Stenotomus,caprinus,21.25,-96.75,7209:216:2,0.33
Stenotomus,caprinus,21.75,-92.25,7209:112:3,0.35
Stenotomus,caprinus,21.25,-92.25,7209:112:1,0.29
Stenotomus,caprinus,20.75,-92.25,7209:102:3,0.28
Stenotomus,caprinus,20.25,-92.25,7209:102:1,0.27
Stenotomus,caprinus,29.25,-89.25,7208:499:1,0.34
Stenotomus,caprinus,29.75,-88.75,7208:498:4,0.25
Stenotomus,caprinus,23.75,-89.25,7208:239:3,0.28
Stenotomus,caprinus,23.25,-89.75,7208:239:2,0.23
Stenotomus,caprinus,24.25,-81.25,7208:141:1,0.33
Stenotomus,caprinus,22.75,-84.25,7208:124:3,0.34
Stenotomus,caprinus,22.25,-84.75,7208:124:2,0.25
Stenotomus,caprinus,22.25,-84.25,7208:124:1,0.24
Stenotomus,caprinus,22.75,-83.75,7208:123:4,0.33
Stenotomus,caprinus,22.75,-83.25,7208:123:3,0.38
Stenotomus,caprinus,22.25,-83.75,7208:123:2,0.21
Stenotomus,caprinus,22.25,-83.25,7208:123:1,0.28
Stenotomus,caprinus,22.25,-82.75,7208:122:2,0.28
Stenotomus,caprinus,22.25,-82.25,7208:122:1,0.27
Stenotomus,caprinus,22.25,-81.75,7208:121:2,0.26
Stenotomus,caprinus,22.25,-80.75,7208:120:2,0.28
Stenotomus,caprinus,22.25,-80.25,7208:120:1,0.32
Stenotomus,caprinus,21.75,-82.75,7208:112:4,0.21
Stenotomus,caprinus,21.75,-82.25,7208:112:3,0.23
Stenotomus,caprinus,21.75,-81.75,7208:111:4,0.22
Stenotomus,caprinus,21.75,-81.25,7208:111:3,0.20
Stenotomus,caprinus,26.25,-76.75,7207:466:2,0.38
Stenotomus,caprinus,25.25,-77.75,7207:457:2,0.32
Stenotomus,caprinus,25.75,-76.75,7207:456:4,0.38
Stenotomus,caprinus,24.25,-79.25,7207:249:1,0.22
Stenotomus,caprinus,24.75,-77.75,7207:247:4,0.26
Stenotomus,caprinus,24.25,-77.75,7207:247:2,0.35
Stenotomus,caprinus,24.25,-77.25,7207:247:1,0.26
Stenotomus,caprinus,24.75,-76.75,7207:246:4,0.26
Stenotomus,caprinus,24.75,-76.25,7207:246:3,0.27
Stenotomus,caprinus,24.25,-76.25,7207:246:1,0.25
Stenotomus,caprinus,24.75,-75.75,7207:245:4,0.27
Stenotomus,caprinus,24.25,-75.75,7207:245:2,0.26
Stenotomus,caprinus,24.25,-75.25,7207:245:1,0.24
Stenotomus,caprinus,23.75,-77.75,7207:237:4,0.39
Stenotomus,caprinus,23.75,-77.25,7207:237:3,0.24
Stenotomus,caprinus,23.25,-77.75,7207:237:2,0.39
Stenotomus,caprinus,23.25,-77.25,7207:237:1,0.35
Stenotomus,caprinus,23.75,-76.25,7207:236:3,0.35
Stenotomus,caprinus,23.25,-76.75,7207:236:2,0.33
Stenotomus,caprinus,23.25,-76.25,7207:236:1,0.34
Stenotomus,caprinus,23.75,-75.75,7207:235:4,0.23
Stenotomus,caprinus,23.75,-75.25,7207:235:3,0.23
Stenotomus,caprinus,23.25,-75.75,7207:235:2,0.37
Stenotomus,caprinus,23.25,-75.25,7207:235:1,0.29
Stenotomus,caprinus,22.75,-76.75,7207:226:4,0.37
Stenotomus,caprinus,22.75,-76.25,7207:226:3,0.36
Stenotomus,caprinus,22.25,-76.75,7207:226:2,0.38
Stenotomus,caprinus,22.25,-76.25,7207:226:1,0.30
Stenotomus,caprinus,22.75,-75.75,7207:225:4,0.21
Stenotomus,caprinus,22.25,-75.75,7207:225:2,0.32
Stenotomus,caprinus,22.25,-75.25,7207:225:1,0.21
Stenotomus,caprinus,21.75,-79.75,7207:219:4,0.23
Stenotomus,caprinus,21.25,-79.25,7207:219:1,0.36
Stenotomus,caprinus,21.75,-76.75,7207:216:4,0.39
Stenotomus,caprinus,21.75,-75.75,7207:215:4,0.24
Stenotomus,caprinus,21.75,-75.25,7207:215:3,0.20
Stenotomus,caprinus,21.25,-75.75,7207:215:2,0.35
Stenotomus,caprinus,20.75,-78.75,7207:208:4,0.38
Stenotomus,caprinus,20.25,-78.25,7207:208:1,0.20
Stenotomus,caprinus,24.25,-74.25,7207:144:1,0.23
Stenotomus,caprinus,23.75,-74.75,7207:134:4,0.22
Stenotomus,caprinus,23.75,-74.25,7207:134:3,0.23
Stenotomus,caprinus,23.25,-74.75,7207:134:2,0.21
Stenotomus,caprinus,22.75,-74.75,7207:124:4,0.20
Stenotomus,caprinus,22.75,-74.25,7207:124:3,0.24
Stenotomus,caprinus,22.25,-74.75,7207:124:2,0.20
Stenotomus,caprinus,22.25,-74.25,7207:124:1,0.21
Stenotomus,caprinus,20.75,-74.75,7207:104:4,0.28
Stenotomus,caprinus,20.25,-74.75,7207:104:2,0.26
Stenotomus,caprinus,30.75,-87.75,7308:207:4,0.57
