Mapping parameters for Engraulis eurystole (Silver anchovy)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31 |  41,
Bounding Box (NSWE): ,45,,-91,-46

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,124,141,200,282
Temperature (°C),1,0.67,9.27,27.38,31.58
Salinity (psu),1,28.34,31.93,36.02,39.34
Primary Production,1,224,532,1840,3160
Sea Ice Concentration,1,-1,0,0,0.31
Distance to Land (km),0,1,14,268,488
 

Map data (HSPEC) for predicted occurrences (n = 1565): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Engraulis,eurystole,-3.75,-32.25,5003:132:3,0.17
Engraulis,eurystole,-2.75,-39.75,5003:229:4,0.08
Engraulis,eurystole,-3.75,-36.25,5003:236:3,0.17
Engraulis,eurystole,-4.75,-35.25,5003:245:3,0.12
Engraulis,eurystole,-4.25,-36.25,5003:246:1,0.04
Engraulis,eurystole,-0.75,-43.25,5004:103:3,0.15
Engraulis,eurystole,-0.25,-44.25,5004:104:1,0.08
Engraulis,eurystole,-1.75,-43.25,5004:113:3,0.01
Engraulis,eurystole,-2.25,-42.25,5004:122:1,0.16
Engraulis,eurystole,-2.25,-42.75,5004:122:2,0.11
Engraulis,eurystole,-15.75,-38.25,5103:458:3,0.09
Engraulis,eurystole,-16.75,-37.25,5103:467:3,0.08
Engraulis,eurystole,-17.25,-36.75,5103:476:2,0.11
Engraulis,eurystole,-17.25,-38.75,5103:478:2,0.19
Engraulis,eurystole,-17.75,-38.25,5103:478:3,0.10
Engraulis,eurystole,-20.25,-36.25,5203:206:1,0.01
Engraulis,eurystole,-20.25,-36.75,5203:206:2,0.09
Engraulis,eurystole,-21.75,-39.75,5203:219:4,0.14
Engraulis,eurystole,-22.25,-37.75,5203:227:2,0.18
Engraulis,eurystole,-22.75,-43.25,5204:123:3,0.18
Engraulis,eurystole,-23.25,-42.75,5204:132:2,0.06
Engraulis,eurystole,-25.25,-44.75,5204:354:2,0.14
Engraulis,eurystole,-26.75,-46.25,5204:466:3,0.02
Engraulis,eurystole,-29.75,-49.75,5204:499:4,0.18
Engraulis,eurystole,-29.75,-50.25,5205:390:3,0.12
Engraulis,eurystole,-30.25,-49.75,5304:209:2,0.12
Engraulis,eurystole,-30.75,-50.75,5305:100:4,0.09
Engraulis,eurystole,-31.25,-50.25,5305:110:1,0.09
Engraulis,eurystole,-31.25,-50.75,5305:110:2,0.09
Engraulis,eurystole,-31.75,-50.25,5305:110:3,0.09
Engraulis,eurystole,-39.25,-56.75,5305:496:2,0.06
Engraulis,eurystole,-40.75,-58.75,5405:208:4,0.07
Engraulis,eurystole,-42.25,-59.25,5405:229:1,0.12
Engraulis,eurystole,-49.75,-58.25,5405:498:3,0.07
Engraulis,eurystole,-43.75,-60.75,5406:130:4,0.12
Engraulis,eurystole,-48.25,-64.75,5406:384:2,0.18
Engraulis,eurystole,-46.75,-67.25,5406:467:3,0.06
Engraulis,eurystole,-49.75,-68.25,5406:498:3,0.17
Engraulis,eurystole,-54.75,-34.25,5503:144:3,0.02
Engraulis,eurystole,-54.75,-34.75,5503:144:4,0.02
Engraulis,eurystole,-53.75,-35.75,5503:235:4,0.07
Engraulis,eurystole,-53.75,-36.25,5503:236:3,0.10
Engraulis,eurystole,-53.75,-36.75,5503:236:4,0.13
Engraulis,eurystole,-53.75,-37.25,5503:237:3,0.14
Engraulis,eurystole,-53.75,-37.75,5503:237:4,0.14
Engraulis,eurystole,-53.75,-38.25,5503:238:3,0.14
Engraulis,eurystole,-53.75,-38.75,5503:238:4,0.15
Engraulis,eurystole,-53.75,-39.25,5503:239:3,0.15
Engraulis,eurystole,-54.25,-35.25,5503:245:1,0.03
Engraulis,eurystole,-54.25,-35.75,5503:245:2,0.04
Engraulis,eurystole,-54.75,-35.25,5503:245:3,0.03
Engraulis,eurystole,-54.75,-35.75,5503:245:4,0.04
Engraulis,eurystole,-54.25,-36.25,5503:246:1,0.07
Engraulis,eurystole,-54.25,-36.75,5503:246:2,0.06
Engraulis,eurystole,-54.75,-36.25,5503:246:3,0.06
Engraulis,eurystole,-54.75,-36.75,5503:246:4,0.04
Engraulis,eurystole,-54.25,-37.25,5503:247:1,0.07
Engraulis,eurystole,-54.25,-37.75,5503:247:2,0.06
Engraulis,eurystole,-54.75,-37.25,5503:247:3,0.06
