Mapping parameters for Stolephorus baganensis (Bagan anchovy)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  61 |  71,
Bounding Box (NSWE): ,16,-7,79,118

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,27.58,28.08,29.08,33.28
Salinity (psu),1,29.21,30.56,33.2,35.42
Primary Production,1,501,670,1715,2808.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,2,6,26,82
 

Map data (HSPEC) for predicted occurrences (n = 898): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Stolephorus,baganensis,6.25,80.25,1008:360:1,0.10
Stolephorus,baganensis,8.25,81.75,1008:381:2,0.11
Stolephorus,baganensis,2.75,95.25,1009:225:3,0.06
Stolephorus,baganensis,2.25,96.25,1009:226:1,0.19
Stolephorus,baganensis,2.75,96.25,1009:226:3,0.19
Stolephorus,baganensis,4.75,99.25,1009:249:3,0.08
Stolephorus,baganensis,5.75,94.75,1009:354:4,0.11
Stolephorus,baganensis,6.75,93.75,1009:363:4,0.15
Stolephorus,baganensis,7.75,93.75,1009:373:4,0.15
Stolephorus,baganensis,8.75,92.75,1009:382:4,0.05
Stolephorus,baganensis,8.75,93.75,1009:383:4,0.09
Stolephorus,baganensis,9.25,92.75,1009:392:2,0.12
Stolephorus,baganensis,5.25,98.25,1009:458:1,0.04
Stolephorus,baganensis,5.75,98.75,1009:458:4,0.04
Stolephorus,baganensis,5.25,99.25,1009:459:1,0.08
Stolephorus,baganensis,9.25,97.25,1009:497:1,0.01
Stolephorus,baganensis,1.75,100.75,1010:110:4,0.15
Stolephorus,baganensis,3.75,104.75,1010:134:4,0.06
Stolephorus,baganensis,4.25,104.25,1010:144:1,0.05
Stolephorus,baganensis,4.75,104.75,1010:144:4,0.01
