Mapping parameters for Symphurus plagusia (Duskycheek tonguefish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 31 |  41,
Bounding Box (NSWE): ,25,-30,-87,-30

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,10,75
Temperature (°C),1,22.51,23.56,28.33,32.53
Salinity (psu),1,7.84,27.89,36.79,40.12
Primary Production (mgC·m-3·day-1) ,1,-0.35,0.65,32.52,78.09
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,152.63,183.07,224.12,253.92
Distance to Land (km),0,1,5,84,565
 

Map data (HSPEC) for predicted occurrences (n = 942): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Symphurus,plagusia,24.25,-83.25,7208:143:1,0.09
Symphurus,plagusia,20.75,-70.25,7207:100:3,0.14
Symphurus,plagusia,20.25,-68.75,7206:208:2,0.04
Symphurus,plagusia,18.75,-75.75,7107:485:4,0.16
Symphurus,plagusia,17.75,-78.75,7107:478:4,0.19
Symphurus,plagusia,18.75,-67.75,7106:487:4,0.08
Symphurus,plagusia,18.75,-63.25,7106:383:3,0.11
Symphurus,plagusia,11.75,-62.25,7106:112:3,0.12
Symphurus,plagusia,11.25,-62.25,7106:112:1,0.15
Symphurus,plagusia,9.25,-76.75,7007:496:2,0.13
