Mapping parameters for Takifugu vermicularis (Purple puffer)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61,
Bounding Box (NSWE): ,40,22,115,145

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,6.35,13.63,24.48,24.98
Salinity (psu),1,26.26,30.08,34.03,37.48
Primary Production (mgC·m-3·day-1) ,1,3.41,8.88,62.42,81.57
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,69.69,103.25,285.84,295.47
Distance to Land (km),0,2,11,116,117
 

Map data (HSPEC) for predicted occurrences (n = 412): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Takifugu,vermicularis,22.75,117.75,1211:227:4,0.18
Takifugu,vermicularis,29.25,123.25,1212:393:1,0.17
Takifugu,vermicularis,26.75,127.75,1212:467:4,0.07
Takifugu,vermicularis,26.75,128.25,1212:468:3,0.02
Takifugu,vermicularis,27.25,127.75,1212:477:2,0.05
Takifugu,vermicularis,27.25,128.25,1212:478:1,0.17
Takifugu,vermicularis,27.25,128.75,1212:478:2,0.04
Takifugu,vermicularis,27.75,128.25,1212:478:3,0.18
Takifugu,vermicularis,27.75,129.25,1212:479:3,0.18
Takifugu,vermicularis,29.75,125.25,1212:495:3,0.06
Takifugu,vermicularis,29.75,127.25,1212:497:3,0.08
Takifugu,vermicularis,29.25,129.25,1212:499:1,0.01
Takifugu,vermicularis,27.75,142.25,1214:372:3,0.03
Takifugu,vermicularis,34.75,119.25,1311:249:3,0.08
Takifugu,vermicularis,34.75,119.75,1311:249:4,0.15
Takifugu,vermicularis,35.25,119.75,1311:459:2,0.03
Takifugu,vermicularis,30.25,124.25,1312:104:1,0.08
Takifugu,vermicularis,30.75,124.25,1312:104:3,0.17
Takifugu,vermicularis,30.75,124.75,1312:104:4,0.12
Takifugu,vermicularis,32.75,124.75,1312:124:4,0.11
Takifugu,vermicularis,33.25,121.75,1312:131:2,0.09
Takifugu,vermicularis,33.75,121.75,1312:131:4,0.08
Takifugu,vermicularis,33.75,123.25,1312:133:3,0.11
Takifugu,vermicularis,33.25,124.25,1312:134:1,0.08
Takifugu,vermicularis,34.75,120.25,1312:140:3,0.18
Takifugu,vermicularis,34.75,120.75,1312:140:4,0.08
Takifugu,vermicularis,34.25,121.25,1312:141:1,0.01
Takifugu,vermicularis,34.25,121.75,1312:141:2,0.05
Takifugu,vermicularis,34.25,122.75,1312:142:2,0.16
Takifugu,vermicularis,31.25,125.25,1312:215:1,0.19
Takifugu,vermicularis,31.25,125.75,1312:215:2,0.07
Takifugu,vermicularis,32.25,125.25,1312:225:1,0.19
Takifugu,vermicularis,34.75,125.25,1312:245:3,0.19
Takifugu,vermicularis,35.25,120.25,1312:350:1,0.02
Takifugu,vermicularis,35.75,120.25,1312:350:3,0.11
Takifugu,vermicularis,35.75,120.75,1312:350:4,0.02
Takifugu,vermicularis,35.25,121.25,1312:351:1,0.01
Takifugu,vermicularis,35.25,122.25,1312:352:1,0.11
Takifugu,vermicularis,35.75,122.25,1312:352:3,0.08
Takifugu,vermicularis,35.75,122.75,1312:352:4,0.05
Takifugu,vermicularis,36.25,120.75,1312:360:2,0.05
Takifugu,vermicularis,36.75,120.75,1312:360:4,0.02
Takifugu,vermicularis,36.25,122.75,1312:362:2,0.02
Takifugu,vermicularis,36.75,124.75,1312:364:4,0.05
Takifugu,vermicularis,37.25,124.75,1312:374:2,0.19
Takifugu,vermicularis,37.75,124.25,1312:374:3,0.10
Takifugu,vermicularis,38.75,121.75,1312:381:4,0.10
Takifugu,vermicularis,38.25,124.25,1312:384:1,0.14
Takifugu,vermicularis,39.25,122.25,1312:392:1,0.14
Takifugu,vermicularis,39.75,123.25,1312:393:3,0.05
Takifugu,vermicularis,35.75,125.25,1312:455:3,0.02
Takifugu,vermicularis,36.75,125.25,1312:465:3,0.06
Takifugu,vermicularis,37.75,125.75,1312:475:4,0.14
Takifugu,vermicularis,38.25,125.75,1312:485:2,0.19
Takifugu,vermicularis,38.75,125.75,1312:485:4,0.16
Takifugu,vermicularis,34.75,135.25,1313:245:3,0.08
Takifugu,vermicularis,34.75,136.75,1313:246:4,0.18
Takifugu,vermicularis,34.25,138.25,1313:248:1,0.12
Takifugu,vermicularis,37.25,131.75,1313:371:2,0.07
Takifugu,vermicularis,39.25,135.25,1313:495:1,0.09
Takifugu,vermicularis,22.75,117.25,1211:227:3,0.26
Takifugu,vermicularis,28.25,121.25,1212:381:1,0.39
Takifugu,vermicularis,28.75,121.75,1212:381:4,0.21
Takifugu,vermicularis,29.25,122.25,1212:392:1,0.30
Takifugu,vermicularis,27.25,125.25,1212:475:1,0.39
Takifugu,vermicularis,27.75,128.75,1212:478:4,0.26
Takifugu,vermicularis,28.75,129.25,1212:489:3,0.31
Takifugu,vermicularis,28.75,129.75,1212:489:4,0.31
Takifugu,vermicularis,28.25,130.25,1213:380:1,0.31
Takifugu,vermicularis,31.25,124.75,1312:114:2,0.28
Takifugu,vermicularis,32.75,122.25,1312:122:3,0.20
Takifugu,vermicularis,32.75,124.25,1312:124:3,0.39
Takifugu,vermicularis,33.25,122.25,1312:132:1,0.33
Takifugu,vermicularis,33.75,122.25,1312:132:3,0.38
Takifugu,vermicularis,33.25,123.75,1312:133:2,0.34
Takifugu,vermicularis,34.75,121.75,1312:141:4,0.27
Takifugu,vermicularis,34.75,122.25,1312:142:3,0.31
Takifugu,vermicularis,30.25,129.75,1312:209:2,0.34
Takifugu,vermicularis,31.75,126.25,1312:216:3,0.21
Takifugu,vermicularis,31.75,128.25,1312:218:3,0.27
Takifugu,vermicularis,34.25,125.25,1312:245:1,0.22
Takifugu,vermicularis,34.25,125.75,1312:245:2,0.32
Takifugu,vermicularis,34.75,125.75,1312:245:4,0.31
Takifugu,vermicularis,35.25,121.75,1312:351:2,0.24
Takifugu,vermicularis,35.75,125.75,1312:455:4,0.39
Takifugu,vermicularis,35.25,126.75,1312:456:2,0.20
Takifugu,vermicularis,35.25,127.75,1312:457:2,0.20
Takifugu,vermicularis,36.25,125.75,1312:465:2,0.26
Takifugu,vermicularis,37.25,125.25,1312:475:1,0.29
Takifugu,vermicularis,37.75,126.75,1312:476:4,0.36
Takifugu,vermicularis,38.75,128.75,1312:488:4,0.29
