Mapping parameters for Tautoga onitis (Tautog)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  31 ,
Bounding Box (NSWE): ,46,31,-81,-58

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,8,38,75
Temperature (°C),1,3.83,8.65,22.41,25.12
Salinity (psu),1,19.98,28.43,35.93,38.06
Primary Production (mgC·m-3·day-1) ,1,3,6.79,33.11,52.15
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.02
Dissolved Bottom Oxygen (mmol·m-3),0,149.87,215.9,305.64,353.26
Distance to Land (km),0,1,3,91,178
 

Map data (HSPEC) for predicted occurrences (n = 237): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Tautoga,onitis,32.25,-65.25,7306:225:1,0.07
Tautoga,onitis,31.75,-79.75,7307:219:4,0.09
Tautoga,onitis,32.75,-78.25,7307:228:3,0.09
Tautoga,onitis,32.25,-79.25,7307:229:1,0.15
Tautoga,onitis,33.75,-76.75,7307:236:4,0.08
Tautoga,onitis,33.25,-77.25,7307:237:1,0.03
Tautoga,onitis,33.25,-79.75,7307:239:2,0.14
Tautoga,onitis,35.25,-74.75,7307:354:2,0.12
Tautoga,onitis,38.75,-76.25,7307:486:3,0.04
Tautoga,onitis,38.75,-76.75,7307:486:4,0.02
Tautoga,onitis,38.25,-77.25,7307:487:1,0.02
Tautoga,onitis,39.25,-75.75,7307:495:2,0.02
Tautoga,onitis,39.75,-75.75,7307:495:4,0.04
Tautoga,onitis,39.25,-76.25,7307:496:1,0.09
Tautoga,onitis,39.25,-76.75,7307:496:2,0.01
Tautoga,onitis,39.75,-76.25,7307:496:3,0.14
Tautoga,onitis,43.75,-59.25,7405:239:3,0.06
Tautoga,onitis,44.25,-58.25,7405:248:1,0.15
Tautoga,onitis,44.25,-58.75,7405:248:2,0.06
Tautoga,onitis,44.75,-58.25,7405:248:3,0.05
Tautoga,onitis,44.75,-59.75,7405:249:4,0.05
Tautoga,onitis,45.25,-58.25,7405:458:1,0.04
Tautoga,onitis,45.25,-58.75,7405:458:2,0.01
Tautoga,onitis,45.75,-58.25,7405:458:3,0.10
Tautoga,onitis,45.75,-58.75,7405:458:4,0.11
Tautoga,onitis,42.75,-64.25,7406:124:3,0.04
Tautoga,onitis,42.75,-64.75,7406:124:4,0.16
Tautoga,onitis,43.25,-60.75,7406:130:2,0.01
Tautoga,onitis,43.75,-64.25,7406:134:3,0.03
Tautoga,onitis,44.75,-60.25,7406:140:3,0.17
Tautoga,onitis,41.25,-66.25,7406:216:1,0.05
Tautoga,onitis,41.25,-69.75,7406:219:2,0.19
Tautoga,onitis,42.25,-65.25,7406:225:1,0.11
Tautoga,onitis,42.75,-65.75,7406:225:4,0.07
Tautoga,onitis,43.25,-65.25,7406:235:1,0.03
Tautoga,onitis,43.25,-65.75,7406:235:2,0.16
Tautoga,onitis,43.75,-68.25,7406:238:3,0.03
Tautoga,onitis,43.25,-69.75,7406:239:2,0.18
Tautoga,onitis,44.25,-65.75,7406:245:2,0.14
Tautoga,onitis,44.25,-66.75,7406:246:2,0.14
Tautoga,onitis,44.75,-67.75,7406:247:4,0.10
Tautoga,onitis,44.75,-68.25,7406:248:3,0.07
Tautoga,onitis,44.75,-68.75,7406:248:4,0.04
Tautoga,onitis,45.25,-60.25,7406:350:1,0.17
Tautoga,onitis,45.25,-61.75,7406:351:2,0.15
Tautoga,onitis,45.75,-61.25,7406:351:3,0.07
Tautoga,onitis,45.75,-64.25,7406:354:3,0.03
Tautoga,onitis,40.25,-70.25,7407:100:1,0.19
Tautoga,onitis,40.25,-70.75,7407:100:2,0.08
Tautoga,onitis,40.25,-71.25,7407:101:1,0.16
Tautoga,onitis,40.75,-74.25,7407:104:3,0.13
Tautoga,onitis,41.25,-73.75,7407:113:2,0.01
Tautoga,onitis,42.25,-71.25,7407:121:1,0.14
Tautoga,onitis,32.25,-64.75,7306:124:2,0.23
Tautoga,onitis,32.75,-64.75,7306:124:4,0.35
Tautoga,onitis,32.75,-78.75,7307:228:4,0.34
Tautoga,onitis,33.25,-77.75,7307:237:2,0.33
Tautoga,onitis,34.75,-75.75,7307:245:4,0.34
Tautoga,onitis,34.25,-76.25,7307:246:1,0.25
Tautoga,onitis,39.25,-72.75,7307:392:2,0.38
Tautoga,onitis,39.75,-72.25,7307:392:3,0.32
Tautoga,onitis,37.75,-76.25,7307:476:3,0.25
Tautoga,onitis,31.25,-80.25,7308:110:1,0.23
Tautoga,onitis,45.75,-59.25,7405:459:3,0.31
Tautoga,onitis,44.75,-60.75,7406:140:4,0.23
Tautoga,onitis,44.75,-61.75,7406:141:4,0.30
Tautoga,onitis,44.25,-63.25,7406:143:1,0.21
Tautoga,onitis,44.25,-63.75,7406:143:2,0.36
Tautoga,onitis,40.75,-67.25,7406:207:3,0.27
Tautoga,onitis,40.25,-69.25,7406:209:1,0.35
Tautoga,onitis,40.25,-69.75,7406:209:2,0.38
Tautoga,onitis,41.25,-69.25,7406:219:1,0.36
Tautoga,onitis,41.75,-69.25,7406:219:3,0.23
Tautoga,onitis,41.75,-69.75,7406:219:4,0.28
Tautoga,onitis,42.25,-66.75,7406:226:2,0.27
Tautoga,onitis,42.75,-66.25,7406:226:3,0.25
Tautoga,onitis,42.25,-67.75,7406:227:2,0.33
Tautoga,onitis,42.25,-69.75,7406:229:2,0.29
Tautoga,onitis,43.75,-65.25,7406:235:3,0.33
Tautoga,onitis,43.25,-66.25,7406:236:1,0.22
Tautoga,onitis,45.25,-63.75,7406:353:2,0.37
Tautoga,onitis,45.25,-67.25,7406:457:1,0.32
Tautoga,onitis,40.25,-74.25,7407:104:1,0.38
Tautoga,onitis,41.25,-70.25,7407:110:1,0.22
Tautoga,onitis,32.25,-79.75,7307:229:2,0.58
Tautoga,onitis,33.75,-77.25,7307:237:3,0.47
Tautoga,onitis,33.25,-78.25,7307:238:1,0.58
Tautoga,onitis,37.25,-76.25,7307:476:1,0.58
Tautoga,onitis,37.25,-76.75,7307:476:2,0.50
Tautoga,onitis,31.75,-80.25,7308:110:3,0.59
Tautoga,onitis,42.75,-62.75,7406:122:4,0.44
Tautoga,onitis,43.75,-64.75,7406:134:4,0.46
Tautoga,onitis,44.25,-64.25,7406:144:1,0.47
Tautoga,onitis,40.25,-68.75,7406:208:2,0.57
Tautoga,onitis,42.25,-67.25,7406:227:1,0.43
Tautoga,onitis,45.25,-60.75,7406:350:2,0.42
Tautoga,onitis,45.75,-60.75,7406:350:4,0.41
Tautoga,onitis,45.25,-61.25,7406:351:1,0.46
Tautoga,onitis,45.75,-65.25,7406:455:3,0.52
Tautoga,onitis,40.75,-70.25,7407:100:3,0.52
Tautoga,onitis,40.75,-70.75,7407:100:4,0.55
Tautoga,onitis,40.25,-71.75,7407:101:2,0.49
Tautoga,onitis,40.75,-71.25,7407:101:3,0.53
Tautoga,onitis,40.75,-73.75,7407:103:4,0.56
Tautoga,onitis,41.25,-70.75,7407:110:2,0.44
