Mapping parameters for Thyrsites atun (Snoek)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 41 |  47 |  51 |  57 |  81 |  87,
Bounding Box (NSWE): ,-21,-56,-75,177

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,100,500,550
Temperature (°C),1,5.39,11.7,20.68,25.77
Salinity (psu),1,28.5,34.44,35.74,39.07
Primary Production (mgC·m-3·day-1) ,1,0.87,4.68,39.3,124.67
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,13.28,168.74,263.33,324.94
Distance to Land (km),0,0,9,194,690
 

Map data (HSPEC) for predicted occurrences (n = 2369): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Thyrsites,atun,-54.25,-70.25,5507:140:1,0.11
Thyrsites,atun,-52.25,-74.25,5507:124:1,0.02
Thyrsites,atun,-52.75,-73.25,5507:123:3,0.06
Thyrsites,atun,-52.25,-73.75,5507:123:2,0.15
Thyrsites,atun,-52.25,-73.25,5507:123:1,0.11
Thyrsites,atun,-52.75,-72.75,5507:122:4,0.19
Thyrsites,atun,-52.75,-72.25,5507:122:3,0.19
Thyrsites,atun,-52.75,-71.75,5507:121:4,0.19
Thyrsites,atun,-51.75,-74.25,5507:114:3,0.16
Thyrsites,atun,-51.75,-72.25,5507:112:3,0.07
Thyrsites,atun,-50.75,-74.25,5507:104:3,0.01
Thyrsites,atun,-55.25,-69.25,5506:459:1,0.16
Thyrsites,atun,-55.25,-68.75,5506:458:2,0.13
Thyrsites,atun,-55.75,-66.25,5506:456:3,0.17
Thyrsites,atun,-55.25,-65.25,5506:455:1,0.14
Thyrsites,atun,-54.75,-69.75,5506:249:4,0.17
Thyrsites,atun,-54.75,-69.25,5506:249:3,0.14
Thyrsites,atun,-54.25,-69.75,5506:249:2,0.18
Thyrsites,atun,-54.25,-69.25,5506:249:1,0.19
Thyrsites,atun,-54.75,-67.25,5506:247:3,0.08
Thyrsites,atun,-54.25,-67.25,5506:247:1,0.16
Thyrsites,atun,-54.75,-66.25,5506:246:3,0.10
Thyrsites,atun,-54.25,-66.75,5506:246:2,0.12
Thyrsites,atun,-54.25,-66.25,5506:246:1,0.18
Thyrsites,atun,-53.75,-69.25,5506:239:3,0.02
Thyrsites,atun,-53.25,-69.25,5506:239:1,0.19
Thyrsites,atun,-53.25,-68.75,5506:238:2,0.13
Thyrsites,atun,-53.25,-68.25,5506:238:1,0.17
Thyrsites,atun,-53.75,-67.75,5506:237:4,0.16
Thyrsites,atun,-53.75,-67.25,5506:237:3,0.18
Thyrsites,atun,-53.25,-67.75,5506:237:2,0.15
Thyrsites,atun,-52.25,-69.75,5506:229:2,0.15
Thyrsites,atun,-52.75,-68.75,5506:228:4,0.19
Thyrsites,atun,-52.25,-68.75,5506:228:2,0.17
Thyrsites,atun,-51.75,-69.25,5506:219:3,0.01
Thyrsites,atun,-50.25,-69.25,5506:209:1,0.02
Thyrsites,atun,-54.75,-63.75,5506:143:4,0.18
Thyrsites,atun,-54.75,-63.25,5506:143:3,0.11
Thyrsites,atun,-54.25,-63.75,5506:143:2,0.19
Thyrsites,atun,-54.25,-63.25,5506:143:1,0.13
Thyrsites,atun,-54.75,-62.75,5506:142:4,0.05
Thyrsites,atun,-54.75,-62.25,5506:142:3,0.03
Thyrsites,atun,-54.25,-62.75,5506:142:2,0.08
Thyrsites,atun,-54.25,-62.25,5506:142:1,0.06
Thyrsites,atun,-54.75,-61.75,5506:141:4,0.02
Thyrsites,atun,-54.75,-61.25,5506:141:3,0.01
