Mapping parameters for Thyrsitops lepidopoides (White snake mackerel)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 41 |  87,
Bounding Box (NSWE): ,-15,-43,-77,-40

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,30,66,178,350
Temperature (°C),1,11.68,15.06,23.55,28.85
Salinity (psu),1,26.8,32.71,36.75,38.98
Primary Production (mgC·m-3·day-1) ,1,1.89,6.43,32.52,84.7
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,83.2,200.88,264.94,273.53
Distance to Land (km),0,3,19,213,427
 

Map data (HSPEC) for predicted occurrences (n = 396): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Thyrsitops,lepidopoides,-27.25,-71.25,5207:371:1,0.06
Thyrsitops,lepidopoides,-15.75,-74.25,5107:354:3,0.17
Thyrsitops,lepidopoides,-16.75,-73.25,5107:363:3,0.19
Thyrsitops,lepidopoides,-17.75,-70.75,5107:370:4,0.05
Thyrsitops,lepidopoides,-17.75,-71.25,5107:371:3,0.08
Thyrsitops,lepidopoides,-17.25,-72.25,5107:372:1,0.09
Thyrsitops,lepidopoides,-18.25,-71.25,5107:381:1,0.01
Thyrsitops,lepidopoides,-26.25,-48.75,5204:468:2,0.08
Thyrsitops,lepidopoides,-27.25,-46.25,5204:476:1,0.01
Thyrsitops,lepidopoides,-29.75,-47.75,5204:497:4,0.03
Thyrsitops,lepidopoides,-31.25,-51.75,5305:111:2,0.04
Thyrsitops,lepidopoides,-31.75,-51.75,5305:111:4,0.11
Thyrsitops,lepidopoides,-32.75,-52.75,5305:122:4,0.16
Thyrsitops,lepidopoides,-33.25,-53.25,5305:133:1,0.06
Thyrsitops,lepidopoides,-34.75,-54.75,5305:144:4,0.01
Thyrsitops,lepidopoides,-35.25,-54.25,5305:354:1,0.16
Thyrsitops,lepidopoides,-35.25,-54.75,5305:354:2,0.11
Thyrsitops,lepidopoides,-35.75,-55.25,5305:455:3,0.12
Thyrsitops,lepidopoides,-36.25,-55.25,5305:465:1,0.14
Thyrsitops,lepidopoides,-36.75,-55.75,5305:465:4,0.08
Thyrsitops,lepidopoides,-37.25,-56.25,5305:476:1,0.19
Thyrsitops,lepidopoides,-37.25,-56.75,5305:476:2,0.11
Thyrsitops,lepidopoides,-38.75,-55.25,5305:485:3,0.14
Thyrsitops,lepidopoides,-38.75,-55.75,5305:485:4,0.16
Thyrsitops,lepidopoides,-39.25,-56.25,5305:496:1,0.17
Thyrsitops,lepidopoides,-39.75,-56.75,5305:496:4,0.15
Thyrsitops,lepidopoides,-38.75,-61.75,5306:381:4,0.19
Thyrsitops,lepidopoides,-39.25,-60.75,5306:390:2,0.03
Thyrsitops,lepidopoides,-39.75,-60.75,5306:390:4,0.02
Thyrsitops,lepidopoides,-39.75,-62.25,5306:392:3,0.16
Thyrsitops,lepidopoides,-34.75,-72.75,5307:142:4,0.06
Thyrsitops,lepidopoides,-35.75,-72.75,5307:352:4,0.09
